"","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-2.954,-13.905,9.118,27.027,20.434,31.781,39.24,44.667,-4.524,-1.452,-6.615,8.897,26.075,38.997,20.248,21.732,34.361,43.33,39.506,40.649,121.334,113.729,211.829,151.732,67.773,136.586,110.274,148.042,116.906,118.039,125.352,72.851,65.647,65.227
"B Annualized Returns",-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",-2.708,-3.999,4.37,15.322,9.817,19.916,28.315,36.606,27.248,19.186,17.017,21.3,26.796,34.959,25.885,19.439,26.408,30.606,19.034,13.341,33.904,57.637,142.504,97.868,22.315,91.306,44.255,91.336,81.395,93.528,101.993,64.297,47.122,43.137
"P Volatility",21.15,22.27,18.12,18.87,21.54,21.22,21.39,20.46,21.73,37.34,39.95,40.62,41.33,36.3,42.09,37.26,36.09,43.75,44.01,45.41,24.92,27.15,32.74,24.09,20.06,36.64,23.39,44.02,40.31,52.91,50.3,45.33,37.88,36.47
"B Volatility",12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",8.34,8.26,5.88,7.05,9.89,9.5,9.8,8.88,10.65,7.98,7.48,8.15,7.77,1.91,7.92,3.27,2.01000000000001,7.75,7.41,9.20999999999999,8.4,10.23,16.38,8.45,4.67,20.98,7.76,28.38,26.88,38.81,36.46,34.04,24.35,21.2
"P Tracking Error",16.68,14.3,14.04,11.6,13.85,14.65,14.96,14.58,14.3,14.51,14.64,16.23,14.62,12.91,14.87,9.04,7.99,10.39,12.62,14.71,15.44,28.05,31.73,22.26,17.27,30.32,16.08,37.66,37.73,49.34,47.38,43.83,33.82,31.26
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.16,-0.28,0.31,1.32,0.71,1.36,1.89,2.51,1.91,1.32,1.16,1.31,1.83,2.71,1.74,2.15,3.31,2.95,1.51,0.91,2.2,2.05,4.49,4.4,1.29,3.01,2.75,2.43,2.16,1.9,2.15,1.47,1.39,1.38
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.57,-0.6,0.64,0.29,0.69,1.24,1.29,2.07,2.36,2.88,2.58,1.96,2.7,1.73,2.5,1.71,1.75,2.03,1.55,0.14,0.48,5.27,6.87,6.31,2.33,3.36,2.51,2.17,3.12,5.06,5.54,4.94,2.06,2.24
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.02,1.24,0.94,1.29,1.5,1.36,1.37,1.27,1.59,1.19,1.16,1.16,1.16,0.99,1.16,1.07,1.03,1.2,1.16,1.2,1.2,0.41,0.62,0.67,0.72,1.36,1.09,1.56,1.06,1.42,1.25,1.02,1.3,1.26
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",30.87,56.77,33.47,61.75,62.25,51.4,50.11,46.14,61.97,85.61,86.86,84.03,88.06,85.97,88.1,93.86,94.67,96.66,92.92,91.29,59.34,-3.74,-0.41,10.1,22.8,26.57,47.89,23.09,2.74,4.75,1.95,-3.87,12.68,19.65
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-21.0821,-18.9542,-14.6679,-12.9934,-13.2224,-11.558,-11.629,-11.6309,-36.3009,-36.0889,-36.3146,-36.6047,-37.1856,-33.7619,-37.0802,-36.2919,-35.536,-38.3308,-38.7382,-34.8525,-9.845,-8.7515,-9.0825,-10.5441,-6.8437,-19.9705,-7.9727,-16.4608,-16.8726,-23.7578,-22.9623,-20.5829,-17.7002,-16.8039
"B Max Drawdown",-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",-7.1032,-4.9753,-3.3904,-1.7159,-1.9449,-0.2805,-0.3515,-0.353400000000001,2.0046,2.2166,1.9909,1.7008,1.1199,4.5436,1.2253,2.0136,2.7695,-0.0253000000000014,-1.1314,0.600000000000001,-2.4979,-1.4044,-2.1807,-3.6423,0.0580999999999996,-13.0687,-1.6352,-10.1233,-10.5351,-13.5156,-12.7201,-8.0829,-3.3668,-2.4706
