"","2 Y 2019-07-23 to 2021-07-24","2 Y 2019-08-23 to 2021-08-24","2 Y 2019-09-23 to 2021-09-24","2 Y 2019-10-23 to 2021-10-24","2 Y 2019-11-25 to 2021-11-24","2 Y 2019-12-23 to 2021-12-24","2 Y 2020-01-23 to 2022-01-24","2 Y 2020-02-24 to 2022-02-24","2 Y 2020-03-23 to 2022-03-24","2 Y 2020-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",87.12,87.27,90.763,85.151,82.953,74.441,73.439,62.763,119.035,77.786
"B Annualized Returns",18.891,22.471,24.235,25.403,21.266,18.759,21.249,20.369,50.803,37.754
"AR DIFF(P-B)",68.229,64.799,66.528,59.748,61.687,55.682,52.19,42.394,68.232,40.032
"P Volatility",40.29,37.73,39.11,38.92,38.33,36.7,37.73,40.53,32.67,33
"B Volatility",25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",14.31,11.84,12.94,12.77,12.17,10.2,11.27,14.39,15.85,16.99
"P Tracking Error",22.94,23.46,24.52,24.54,24.29,23.08,23.8,26.38,26.62,26.76
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",2.97,2.76,2.71,2.43,2.54,2.41,2.19,1.61,2.56,1.5
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",3.97,3.48,4.01,3.23,3.23,3.54,3.18,3.14,3.4,1.77
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.31,1.15,1.18,1.17,1.14,1.08,1.11,1.19,1.13,1.23
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",70.31,60.6,60.32,59.67,58.92,58.89,58.99,57.23,30.95,32.34
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-41.0864,-37.8145,-37.2785,-37.3984,-36.6152,-36.189,-36.4098,-34.3749,-15.7213,-17.7203
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-14.3334,-14.3334
"MD DIFF(P-B)",-2.7809,0.491,1.027,0.9071,1.6903,2.1165,1.197,1.2834,-1.3879,-3.3869
