"","2 Y 2017-01-24 to 2019-01-25","2 Y 2017-02-27 to 2019-02-25","2 Y 2017-03-24 to 2019-03-25","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",23.126,24.305,27.88,18.058,33.367,25.039,13.691,8.312,12.656,4.147,12.595,2.5,15.567,21.211,-2.475,1.572,0.289,6.044,8.927,5.798,19.328,24.837,33.73,122.496,44.125,37.352,33.753,36,51.365,49.17,104.348,125.441,98.836,90.425,88.216,82.6,85.57,65.566,69.825,58.882
"B Annualized Returns",12.64,9.14,12.003,11.433,10.412,9.667,4.867,2.533,6.982,4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",10.486,15.165,15.877,6.625,22.955,15.372,8.824,5.779,5.674,-0.816,7.266,-3.215,12.293,16.804,11.019,9.061,7.944,8.905,9.411,7.537,21.039,17.935,23.996,110.809,28.891,20.261,20.669,25.181,37.994,33.075,85.013,102.471,74.601,64.804,67.266,63.168,66.386,48.008,20.777,20.685
"P Volatility",23.13,26.97,27.47,25.7,21.79,24,24.67,23.05,22.39,20.77,26.6,19.75,24.9,24.7,25.09,29.87,21.64,26.2,24.91,25.7,23.73,22.97,29.96,41.03,26.71,24.17,29.45,43.08,43.35,40.59,45.73,48.96,42.63,40.36,35.08,38.62,43.49,43.31,24.95,23.89
"B Volatility",13.11,12.99,12.9,13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",10.02,13.98,14.57,12.33,8.46,10.71,11.92,9.39,8.76,7.45,13.1,6.28,11.7,12.07,12.33,7.08,-2.78,1.8,0.25,0.559999999999999,-0.98,-1.44,5.62,15.49,0.740000000000002,-1.81,3.05,16.51,16.79,13.95,19.75,23.07,16.46,14.21,8.92,12.12,17.03,17.17,8.13,7.88
"P Tracking Error",17.51,20.53,21.49,18.6,14.09,16.09,16.94,14.42,15.33,15.44,19.82,13.06,19.64,19.06,18.44,16.5,11.8,10.11,10.23,10.47,11.85,11.03,13.34,30.44,14.73,15.95,13.01,22.69,28.39,25.93,34.93,37.32,34.1,28.66,24.84,28.51,29.39,27.62,21.98,24.06
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
