"","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",4.773,17.46,9.462,9.079,25.851,5.79,3.185,3.494,8.856,8.397,11.431,12.722,20.866,30.658,35.569,33.717,47.077,50.442,27.128,52.996,62.726,79.005,92.041,152.307,115.62,105.356,87.518,72.233,46.953,60.974,61.194
"B Annualized Returns",4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",-0.19,12.131,3.747,5.805,21.444,19.284,10.674,11.149,11.717,8.881,13.17,14.433,13.964,20.924,23.882,18.483,29.986,37.358,16.309,39.625,46.631,59.67,69.071,128.072,89.999,84.406,68.086,53.049,29.395,11.926,22.997
"P Volatility",21.51,26.72,24.14,23.57,23.5,22.29,34.08,30.13,28.64,27.76,30.89,35.83,24.59,24.79,27.5,25.5,25.19,31.3,28.01,34.71,36.06,42.89,37.9,50.54,47.37,47.96,45.45,48.73,38.99,28.06,25.12
"B Volatility",13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",8.19,13.22,10.67,10.37,10.87,9.53,11.29,5.71,4.24,3.1,5.75,11.12,0.18,0.449999999999999,1.96,-0.469999999999999,-0.789999999999999,4.9,1.44,8.15,9.42,16.91,12.01,24.37,21.22,21.8,18.95,22.27,12.85,11.24,9.11
"P Tracking Error",14.73,19.37,19.07,18.41,15.56,14.09,16.2,12.35,12.71,13.24,11.22,16.41,11.15,14.29,12.76,12.23,11.8,10.86,13.96,17.89,19.07,28.21,23.04,38.59,34.96,34.89,32.7,32.22,26.13,24.9,24.6
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
