"","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",11.695,9.309,14.376,10.005,22.962,25.128,30.713,40.676,50.173,34.186,23.765,24.458,45.188,50.145,56.446,45.939,49.044,44.407,50.773,20.946,48.272,70.556
"B Annualized Returns",2.97,4.007,2.131,4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",8.725,5.302,12.245,5.938,16.448,17.506,22.233,29.25,38.209,24.371,11.126,11.224,32.78,38.177,39.08,25.148,31.307,27.977,34.638,6.773,33.403,55.971
"P Volatility",35.28,33.96,38.59,35.18,34.84,38.82,37.5,31.82,36.19,30.95,28.54,27.98,30.74,34.96,33.24,24.55,25.62,24.54,27.73,20.84,26.84,38.36
"B Volatility",21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",13.99,12.28,16.91,13.76,13.37,16.47,14.83,9.39,13.39,8.11,5.7,5.1,8.13,12.38,10.81,2.44,3.55,2.22,5.46,-1.4,4.24,15.44
"P Tracking Error",20.16,19.57,23.91,21.83,19.88,22.65,19.74,15.25,19.5,16.76,12.94,12.83,17.07,23.76,24.47,15.2,15.27,16.38,16.14,13.54,16.49,24.62
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.43,0.27,0.51,0.27,0.83,0.77,1.13,1.92,1.96,1.45,0.86,0.87,1.92,1.61,1.6,1.65,2.05,1.71,2.15,0.5,2.03,2.27
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.17,0.27,1.1,0.79,1.14,1.23,1.6,1.51,2.05,1.68,0.93,0.74,2.32,2.46,3.02,1.92,1.93,2.17,2.4,0.72,2.37,3.23
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.42,1.32,1.48,1.33,1.39,1.49,1.49,1.28,1.39,1.15,1.12,1.09,1.14,1.15,1,0.88,0.93,0.84,1.01,0.75,0.94,1.32
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",73.09,70.07,67.84,64.47,72.33,73.29,80.49,80.22,76.39,71.03,79.76,78.89,69.29,53.33,44.15,61.72,63.71,56.43,65.09,63.62,61.39,61.41
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-46.1424,-44.8057,-47.2164,-45.0827,-44.7379,-45.3492,-45.1975,-38.243,-40.1962,-38.164,-36.7309,-36.2962,-36.5732,-36.016,-34.1313,-32.2233,-32.359,-30.7952,-33.9015,-27.9997,-34.3491,-39.7736
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-7.8369,-6.5002,-8.9109,-6.7772,-6.4324,-7.0437,-6.892,0.0625,-1.8907,0.141500000000001,1.5746,2.0093,1.7323,2.2895,4.1742,6.0822,5.9465,7.5103,4.404,10.3058,3.9564,-1.4681
