"","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",0.678,22.141,24.124,23.959,42.097,49.992,56.302,45.624,36.967,30.53,43.949,61.302,45.866,56.396,58.731,46.342,46.141,51.767,19.276
"B Annualized Returns",4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",-3.389,15.627,16.502,15.479,30.671,38.028,46.487,32.985,23.733,18.122,31.981,43.936,25.075,38.659,42.301,30.207,31.968,36.898,4.691
"P Volatility",33.05,35.74,32.56,34.54,37.42,35.94,38.62,31.49,30.26,29.46,31.1,39.54,24.69,30.89,32.46,25.13,25.04,28.63,27.2
"B Volatility",21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",11.63,14.27,10.21,11.87,14.99,13.14,15.78,8.65,7.38,6.85,8.52,17.11,2.58,8.82,10.14,2.86,2.8,6.03,4.28
"P Tracking Error",17.56,21.14,19.11,19.76,19.51,18.19,23.72,17.19,16.77,19.22,16.34,24.53,14.87,23.28,22.72,17.25,17.11,15.91,17.93
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.19,0.74,0.86,0.78,1.57,2.09,1.96,1.92,1.42,0.94,1.96,1.79,1.69,1.66,1.86,1.75,1.87,2.32,0.26
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0,1.09,1.06,1.16,1.51,2.02,2.92,1.96,1.9,1.48,2.17,2.83,1.87,2.45,2.9,2.36,2.41,2.46,0.74
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.35,1.4,1.2,1.28,1.51,1.42,1.39,1.17,1.11,0.99,1.19,1.46,0.9,0.92,1.04,0.84,0.84,1.05,0.9
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",76.34,69.95,66.34,69.77,81.78,81.05,66.63,70.81,69.02,56.18,73.46,67.23,63.48,41.79,49.62,53.63,54.01,68.39,55.99
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-44.9778,-45.3836,-41.0313,-43.5112,-45.1332,-40.5541,-40.9774,-36.748,-35.4789,-32.905,-38.1063,-42.1317,-31.594,-30.1593,-32.8771,-31.0251,-32.1909,-36.539,-32.7673
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-6.6723,-7.0781,-2.7258,-5.2057,-6.8277,-2.2486,-2.6719,1.5575,2.8266,5.4005,0.199200000000005,-3.8262,6.7115,8.1462,5.4284,7.2804,6.1146,1.7665,5.5382
