"","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",10.572,6.299,-1.186,2.909,16.348,5.996,-8.452,-0.582,0.156,-9.576,-10.8,7.598,1.992,-2.622,-4.135,-12.566,-20.051,-2.711,11.697,8.771,12.277,30.215,25.857,3.259,-17.745,5.399,-20.646,-1.52,13.431,-0.95,47.937,65.973,52.705,56.054,88.027,210.27,136.596,134.172,132.593,94.468,96.268,149.091,127.194,101.533,70.933,73.447,38.225,43.164,41.421
"B Annualized Returns",15.147,12.118,12.507,10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",-4.575,-5.819,-13.693,-7.334,0.706999999999999,-3.274,-7.079,-0.755,-1.946,-5.745,-10.682,-4.156,-5.846,-11.35,-11.05,-12.32,-10.145,-7.459,-0.0080000000000009,-1.846,0.411999999999999,19.29,17.796,35.031,2.893,29.031,-8.243,-0.799,9.393,4.687,45.644,58.02,39.981,35.582,60.719,122.84,80.504,64.847,78.729,49.01,50.988,83.072,70.488,66.022,46.422,50.088,29.671,24.639,19.331
"P Volatility",20.01,18.57,22.33,21.59,21.17,24.4,27.08,24.22,21.7,17.91,17.04,20.45,16.68,14.01,15.86,13.94,16.81,15.16,15.64,17.67,16.4,18.19,17.13,27.67,35.8,47.64,51.78,45.95,44.89,46.66,49.52,49.48,52.15,49.4,48.99,28.29,29.04,30.07,28.35,26.17,26.39,32.55,25.88,24.19,22.67,22.1,25.58,23.87,21.89
"B Volatility",12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",7.29,5.42,9.35,9.72,7.58,11.07,12.41,8.55,5.62,2.45,2.5,6.28,1.98,-0.720000000000001,1.33,1.13,2.8,2.92,3.82,6.02,4.68,6.6,5.55,16.59,6.44,15.17,19.31,12.39,10.5,12.49,15.53,15.4,16.15,12.8,12.79,11.77,12.12,13.71,12.71,10.78,10.73,16.92,10.24,10.76,8.57,8.26,14.29,10.34,6.62
"P Tracking Error",15.16,12.69,17.41,17.05,15.7,17.47,18.18,17.23,15.64,12.64,10.43,13.57,9.91,7.28,6.27,7.59,7.07,8.63,9.33,10.62,10.61,13.05,14.49,20.88,12.61,23.78,23.51,15.97,17.29,18.39,24.95,23.88,22.76,21.91,21.32,19.7,20.36,19.25,23.47,17.51,16.82,21.99,17.01,20.63,20.68,21.27,23.81,16.17,13.46
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
