"","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",8.173,13.059,5.933,-12.18,-4.729,-6.617,-6.655,-1.522,9.478,4.507,3.818,-2.211,-5.861,-19.656,-9.593,9.93,10.153,11.136,25.325,20.427,-16.727,-21.681,-22.09,45.791,0.772,11.581,3.916,52.832,58.824,57.174,57.46,100.465,164.936,136.906,149.372,108.239,147.999,97.445,161.592,143.922,125.035,86.478,64.374,54.095,46.053,40.584
"B Annualized Returns",10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",-2.07,-2.582,-3.337,-10.807,-4.902,-8.719,-2.824,-1.404,-2.276,-3.331,-4.91,-9.126,-5.615,-9.75,-14.341,-1.775,-0.464,-0.729000000000001,14.4,12.366,15.045,-1.043,1.542,58.194,1.493,7.543,9.553,50.539,50.871,44.45,36.988,73.157,77.506,80.814,80.047,54.375,102.541,52.165,95.573,87.216,89.524,61.967,41.015,45.541,27.528,18.494
"P Volatility",17.56,20.12,24.62,25.72,22.28,22.6,20.16,18.79,20.43,16.38,15.49,17.28,14.48,18.36,13.65,15.85,18.99,19.61,20.96,16.16,18.96,36.84,46.19,49.69,43.22,45.74,44.83,52.45,48.97,51.19,49.28,53.69,25.91,25.61,30.64,21.87,24.71,23.93,33.61,35.01,33.34,22.73,24.99,24.87,21.04,20.76
"B Volatility",11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",5.69,6.53,11.29,11.05,6.61,6.52,4.7,4.25,6.26,1.68,0.76,2.75,1.67,4.35,1.41,4.03,7.34,7.89,9.37,4.58,7.88,7.48,13.72,17.22,9.66,11.35,10.66,18.46,14.89,15.19,12.68,17.49,9.39,8.69,14.28,6.23,9.32,8.27,17.98,19.37,19.91,8.63,11.15,13.58,7.51,5.49
"P Tracking Error",13.86,18.04,18.74,18.09,17.21,17.27,12.41,11.5,15.2,9.24,9.91,10.64,10.26,7.1,8.87,9.18,11.66,11.89,13.51,11.9,11.93,13.55,18.31,24.44,17.05,19.06,18,28.75,22.81,24.49,23.4,24.78,17.99,18.48,21.18,16.07,17.78,15.28,24.94,27.64,27.9,18.76,21.04,22.74,14.54,12.19
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.15,-0.14,-0.18,-0.6,-0.28,-0.5,-0.23,-0.12,-0.15,-0.36,-0.5,-0.86,-0.55,-1.37,-1.62,-0.19,-0.04,-0.06,1.07,1.04,1.26,-0.08,0.08,2.38,0.09,0.4,0.53,1.76,2.23,1.82,1.58,2.95,4.31,4.37,3.78,3.38,5.77,3.41,3.83,3.16,3.21,3.3,1.95,2,1.89,1.52
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.09,-0.28,-0.4,-1.48,-0.24,-0.68,-0.08,0.22,0.34,-0.24,0.03,-0.82,-0.24,-1.23,-1.09,-0.59,0.1,-0.18,0.36,0.9,1.07,0.65,1.52,3.79,1.2,0.2,1.19,4.19,2.98,3.38,2.52,3.45,3.03,3.63,1.86,3.03,5.02,2.34,2.63,2.56,2.65,4.23,2.81,3.81,1.42,0.9
