"","3 Y 2017-01-24 to 2020-01-25","3 Y 2017-02-27 to 2020-02-25","3 Y 2017-03-24 to 2020-03-25","3 Y 2017-04-24 to 2020-04-25","3 Y 2017-05-24 to 2020-05-25","3 Y 2017-06-27 to 2020-06-25","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",21.144,22.073,1.307,5.452,2.947,9.129,6.554,9.521,4.34,8.861,12.786,6.12,18.037,28.571,30.36,35.511,30.813,26.208,18.757,23.407,34.553,37.828,44.814,69.958,89.078,83.696,82.328,52.337
"B Annualized Returns",12.067,9.104,-5.654,-0.487,-1.474,1.992,2.97,4.007,2.131,4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",9.077,12.969,6.961,5.939,4.421,7.137,3.584,5.514,2.209,4.794,6.272,-1.502,9.557,17.145,18.396,25.696,18.174,12.974,6.349,11.439,17.187,17.037,27.077,53.528,72.943,69.523,67.459,37.752
"P Volatility",17.85,20.04,22.16,25.82,27.46,27.55,29.78,29.29,26.52,29.02,30.45,27.17,30.37,32.58,32.45,32.02,26.55,28.29,26.89,30.7,27.18,26.96,32.8,36.72,38.51,40.81,42.36,37.48
"B Volatility",12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",5.52,7.81,9.75,5.87,6.45,6.55,8.49,7.61,4.84,7.6,8.98,4.82,7.7,10.15,9.65,9.18,3.71,5.41,4.28,8.12,4.75,4.85,10.73,14.4,16.24,18.57,19.76,14.56
"P Tracking Error",12.91,14.05,16.84,15.46,12.07,12.34,13.94,14.59,13.5,16.26,16.15,14.38,16.49,13.7,16.33,18.61,13.78,13.54,10.8,15.86,12.69,12.08,17.45,26.21,29.84,34.5,33.66,22.02
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
