"","3 Y 2017-04-24 to 2020-04-25","3 Y 2017-05-24 to 2020-05-25","3 Y 2017-06-27 to 2020-06-25","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",6.232,0.362,4.996,6.102,14.135,11.881,11.361,14.991,21.507,12.967,22.778,32.53,23.236,32.941,23.907,29.656,26.614,41.953,38.151,35.834,36.001,46.922,44.95,84.022,33.937
"B Annualized Returns",-0.487,-1.474,1.992,2.97,4.007,2.131,4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",6.719,1.836,3.004,3.132,10.128,9.75,7.294,8.477,13.885,4.487,11.352,20.566,13.421,20.302,10.673,17.248,14.646,24.587,17.36,18.097,19.571,30.787,30.777,69.153,19.352
"P Volatility",26.8,28.25,27.81,32.71,31.81,32.48,31.39,26.56,26.02,24.31,28.33,32.64,26.4,30.52,28.74,30.41,27.31,33.17,26.65,25.63,27.11,30.01,31.58,40.14,31.45
"B Volatility",19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",6.85,7.24,6.81,11.42,10.13,10.8,9.97,5.09,3.67,1.64,5.9,9.84,3.56,7.68,5.86,7.8,4.73,10.74,4.54,3.56,4.79,7.74,9.34,17.54,8.53
"P Tracking Error",14.97,14.72,16.26,17.02,16.19,17.35,16.63,13.31,12.79,12.81,12.79,16.19,13.28,16.54,13.91,14.74,12.88,18.74,12.4,12.79,13.48,17,18.82,30.84,16.85
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.45,0.12,0.18,0.18,0.63,0.56,0.44,0.64,1.09,0.35,0.89,1.27,1.01,1.23,0.77,1.17,1.14,1.31,1.4,1.41,1.45,1.81,1.64,2.24,1.15
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.76,0.35,0.36,0.67,0.4,0.69,0.81,0.71,0.92,0.43,0.42,1.14,0.9,1.42,0.93,1.25,1.07,1.8,0.96,1.1,1.52,1.86,1.93,4.48,1.23
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
