"","1 Y 2017-01-24 to 2018-01-25","1 Y 2017-02-27 to 2018-02-25","1 Y 2017-03-24 to 2018-03-25","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",10.618,10.174,-4.507,-8.855,-10.69,-6.41,-23.489,-2.373,-13.238,-2.361,-16.555,-16.369,-20.026,-5.371,-17.166,-10.633,7.052,-10.154,-20.535,-29.626,-11.863,12.686,0.171,21.571,78.878,54.961,1.505,-29.582,-34.043,-13.619,-3.694,5.082,0.162,4.188,5.674,5.995,17.021,64.39,235.312,193.898,207.344,175.984,193.791,111.83,63.35,20.094,17.602,7.885,12.684,-4.163,-6.856,-2.656
"B Annualized Returns",31.933,16.97,12.142,15.147,12.118,12.507,10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",-21.315,-6.796,-16.649,-24.002,-22.808,-18.917,-33.732,-18.014,-22.508,-0.988,-16.728,-18.471,-16.195,-5.253,-28.92,-18.471,-1.676,-17.069,-20.289,-19.72,-16.611,0.981,-10.446,9.706,67.953,46.9,33.277,-8.944,-10.411,-1.216,-2.973,1.044,5.799,1.895,-2.279,-6.729,-3.451,37.082,147.882,137.806,138.019,122.12,148.333,66.55,-2.669,-36.612,-17.909,-16.626,-10.675,-12.717,-25.381,-24.746
"P Volatility",14.2,14.08,15.69,14.7,17.61,19.7,21,21.8,21.78,27.96,25.77,18.85,22.86,17.28,15.5,22.39,23.33,19.36,16.56,20.06,11.99,20.11,19.22,23.27,31.56,37.92,48.3,39.33,49.58,36.2,40.04,53.99,53.55,54.47,51.57,53.68,48.67,47.78,39.98,49.06,46.51,45.43,43,39.7,17.78,11.75,14.18,11.41,16.87,16.22,15.68,16.46
"B Volatility",9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",4.33,4.2,3.63,1.98,4.46,6.72,9.13,8.21,8.45,13.29,10.1,2.77,7.4,2.74,1.33,7.69,8.6,4.83,3.75,6.05,-0.25,8.29,7.57,11.55,19.97,26.34,37.22,9.97,17.11,3.73,6.48,19.6,19.38,20.48,17.49,17.68,12.07,11.58,23.46,32.14,30.15,29.79,27.61,24.04,2.15,-3.89,0.75,-2.69,3.03,4.93,2.15,1.19
"P Tracking Error",11.94,11.97,16.32,16.86,13.13,15.73,17.3,21.68,18.59,18.9,21.26,19.62,19.24,8.9,14.85,15.72,11.76,9.03,13.1,8.23,8.52,13.47,14.57,16.12,27.31,33.57,41.78,15.46,23.28,17.42,19.13,26.97,25.73,26.85,25.91,26.68,22.98,22.71,30.41,38.32,35.49,36.49,34.29,28.74,8.07,12.98,13.81,12.04,12.57,15.11,10.31,14.19
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
