"","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-9.744,-7.89,-12.644,-18.1,-5.022,-8.059,-20.955,-19.224,-14.932,-19.524,-18.116,-3.742,-3.576,-18.122,-18.098,-20.455,-29.723,-11.452,1.695,-7.292,4.149,25.83,-1.912,-32.615,-30.766,32.556,-34.65,-9.274,8.067,-6.131,8.146,5.674,14.133,30.712,75.165,310.264,207.366,184.658,144.131,132.685,102.039,191.665,183.129,81.828,4.009,-0.005,-3.846,-0.217,3.081
"B Annualized Returns",15.147,12.118,12.507,10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",-24.891,-20.008,-25.151,-28.343,-20.663,-17.329,-19.582,-19.397,-17.034,-15.693,-17.998,-15.496,-11.414,-26.85,-25.013,-20.209,-19.817,-16.2,-10.01,-17.909,-7.716,14.905,-9.973,-0.843000000000004,-10.128,56.188,-22.247,-8.553,4.029,-0.494000000000001,5.853,-2.279,1.409,10.24,47.857,222.834,151.274,115.333,90.267,87.227,56.759,125.646,126.423,46.317,-20.502,-23.364,-12.4,-18.742,-19.009
"P Volatility",19.4,17.84,19.73,23.4,20.98,23.82,24.03,21.02,19.12,20.9,14.73,21.69,14.76,16.96,15.6,15.54,19.32,19.06,21.2,26.87,22.55,21.93,23.58,28.85,35.77,52.32,61.4,48.13,56.25,56.49,57.15,51.57,55.71,58.01,53.73,42.17,45.25,48.55,42.43,43.25,38.45,46.17,34.94,22.99,12.08,14.32,13.37,17.62,17.66
"B Volatility",12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",6.68,4.69,6.75,11.53,7.39,10.49,9.36,5.35,3.04,5.44,0.190000000000001,7.52,0.0600000000000005,2.23,1.07,2.73,5.31,6.82,9.38,15.22,10.83,10.34,12,17.77,6.41,19.85,28.93,14.57,21.86,22.32,23.16,17.49,19.71,21.41,17.53,25.65,28.33,32.19,26.79,27.86,22.79,30.54,19.3,9.56,-2.02,0.48,2.08,4.09,2.39
"P Tracking Error",17.76,14.12,17.51,20.82,22.11,21.04,20.5,18.37,17.39,17.4,11.55,17.66,10.18,13.68,10.82,12.11,9.32,9.8,14.63,19.43,15.68,16.86,20.84,24.01,20.37,35.21,34.5,22.62,29.01,30.62,29.76,25.91,26.94,30.09,27.68,32.39,34.97,36.37,32.92,33.69,27.49,34.52,25.86,15.38,11.97,15.7,14.27,10.92,11.85
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-1.4,-1.42,-1.44,-1.36,-0.93,-0.82,-0.96,-1.06,-0.98,-0.9,-1.56,-0.88,-1.12,-1.96,-2.31,-1.67,-2.13,-1.65,-0.68,-0.92,-0.49,0.88,-0.48,-0.04,-0.5,1.6,-0.64,-0.38,0.14,-0.02,0.2,-0.09,0.05,0.34,1.73,6.88,4.33,3.17,2.74,2.59,2.06,3.64,4.89,3.01,-1.71,-1.49,-0.87,-1.72,-1.6
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-1.89,-1.07,-2.25,-1.14,-1.73,-1.14,-1.93,-2.11,-1.49,-1.47,-1.49,-0.82,-1.11,-1.91,-2.04,-1.89,-2.04,-1.22,-1.63,-1.44,-0.89,0.6,-0.22,-0.71,-0.92,5.1,-0.8,0.79,-0.28,1.2,0.69,-0.22,0.17,0.07,2.26,2.64,2.6,-0.28,0.66,1.97,0.19,0.37,2.08,1.3,-0.45,-0.29,-0.06,-1.01,-1.11
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.69,0.84,0.75,0.9,0.37,0.85,0.87,0.71,0.62,0.78,0.7,0.89,0.76,0.73,0.8,0.79,1.23,1.39,1.34,1.77,1.46,1.23,0.95,1.54,1,1.21,1.72,1.3,1.48,1.47,1.53,1.36,1.42,1.42,1.31,1.83,1.94,2.43,1.96,2.05,1.97,2.43,1.63,1.31,0.51,0.39,0.4,1.02,0.87
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",11.47,31.88,15.64,12.24,-4.78,14.09,19.9,20.2,19.32,25.92,41.59,26.83,53.25,33.78,50.46,35.91,77.25,77.67,51.12,54.2,52.58,36.01,13.25,27.83,63.97,51.56,81.17,80.36,80.09,76.15,80.95,78.09,82.11,77.84,75.33,46.32,47.41,63.49,47.15,48.2,60.69,63.76,47.95,53.9,27.74,4.86,1.77,57.35,51.44
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-17.6656,-15.5734,-19.6041,-20.041,-26.644,-24.5368,-24.5419,-30.6737,-24.8515,-26.2345,-23.7246,-20.5466,-21.1078,-27.6427,-24.2182,-26.5199,-32.6557,-23.8629,-29.1675,-33.8139,-27.4157,-20.1955,-20.8567,-43.3618,-44.0261,-44.3206,-57.6086,-45.704,-54.3583,-54.1304,-52.0024,-49.8245,-51.6324,-48.6374,-42.6986,-11.8153,-11.8654,-14.3593,-11.9961,-12.1488,-11.853,-16.3094,-8.8325,-8.9412,-14.1185,-15.1447,-19.6256,-22.8488,-22.7011
"B Max Drawdown",-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",-8.2973,-6.2051,-10.2358,-10.6727,-17.2757,-15.1685,-10.7926,-16.6948,-10.8726,-12.2556,-9.7457,-6.5677,-7.1289,-13.6638,-10.2393,-12.541,-18.6768,-12.5854,-17.89,-22.5364,-16.1382,-8.918,-9.5792,-5.0563,-5.7206,-6.0151,-19.3031,-7.3985,-16.0528,-15.8249,-13.6969,-11.519,-13.3269,-11.0306,-7.2461,-4.4682,-4.5183,-7.4575,-5.0943,-5.247,-4.9512,-9.9719,-2.495,-2.6037,-3.8763,-4.9025,-7.1256,-8.5154,-8.3678
