"","2 Y 2016-10-24 to 2018-10-25","2 Y 2016-11-24 to 2018-11-25","2 Y 2016-12-26 to 2018-12-25","2 Y 2017-01-24 to 2019-01-25","2 Y 2017-02-27 to 2019-02-25","2 Y 2017-03-24 to 2019-03-25","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",33.296,43.753,34.625,21.455,15.324,-2.283,-10.484,-6.093,-9.278,0.366,6.922,3.336,1.875,2.134,14.83,14.958,-0.494,-28.176,-13.66,-9.439,3.059,-2.154,-15.293,-4.638,4.324,5.446,7.276,30.861,155.388,150.607,21.181,18.533,29.846,38.868,57.714,95.94,68.699,90.07,39.056,7.997,26.139,176.255,113.427
"B Annualized Returns",7.767,15.227,18.05,12.64,9.14,12.003,11.433,10.412,9.667,4.867,2.533,6.982,4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",25.529,28.526,16.575,8.815,6.184,-14.286,-21.917,-16.505,-18.945,-4.501,4.389,-3.646,-3.088,-3.195,9.115,11.684,-4.901,-14.682,-6.171,-1.784,5.92,-1.67,-13.554,-2.927,-2.578,-4.288,-4.411,15.627,138.297,137.523,10.362,5.162,13.751,19.533,34.744,71.705,43.078,69.12,19.624,-11.187,8.581,127.207,75.23
"P Volatility",20.45,26.42,23.6,19.06,27.68,14.77,18.49,17.2,19.14,22.1,18.08,23.24,22.05,14.46,14.25,18.07,20.96,21.7,38.97,40.57,35.9,39.72,31.98,34.82,35.61,41.74,43.08,39.49,53.09,47.11,23.59,28.95,35.3,43.46,48.44,50.81,44.66,43.34,27.01,22.4,26.15,44.34,37.19
"B Volatility",13.64,13.68,13.64,13.11,12.99,12.9,13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",6.81,12.74,9.96,5.95,14.69,1.87,5.12,3.87,5.85,9.35,4.42,9.61,8.73,0.960000000000001,0.779999999999999,4.87,8.33,8.94,16.18,16.15,11.5,15.06,6.84,10.11,11.2,17.4,17.54,13.52,27.11,20.71,-2.98,2.39,8.66,17.48,22.55,24.64,18.51,17.18,0.510000000000002,-4.06,0.00999999999999801,27.52,21.18
"P Tracking Error",13.29,18.42,16.37,15.21,23.85,15.12,17.26,15.8,14.54,15.46,15.98,17.44,18.04,9.33,9.15,10.63,13.64,12.94,22.58,24.7,19.88,21.47,16.2,15.27,14.94,22.67,25.48,20.09,42.66,37.39,12.97,13.03,17.26,23.94,30.06,35.5,27.14,30.27,13.01,14.49,16.13,35.38,29.05
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
