"","2 Y 2017-01-24 to 2019-01-25","2 Y 2017-02-27 to 2019-02-25","2 Y 2017-03-24 to 2019-03-25","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",9.847,3.641,-2.587,-0.881,-7.751,-3.112,-11.34,-3.41,-9.552,1.875,-7.23,-7.252,-10.414,7.978,-26.118,-12.607,-1.808,-0.098,-15.219,-11.736,-11.062,0.297,1.469,13.473,134.278,147.257,148.553,61.778,34.557,22.106,25.902,49.248,61.787,68.885,57.996,43.047,35.765,46.788,134.206,121.49
"B Annualized Returns",12.64,9.14,12.003,11.433,10.412,9.667,4.867,2.533,6.982,4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",-2.793,-5.499,-14.59,-12.314,-18.163,-12.779,-16.207,-5.943,-16.534,-3.088,-12.559,-12.967,-13.688,3.571,-12.624,-5.118,5.847,2.763,-14.735,-9.997,-9.351,-6.605,-8.265,1.786,119.044,130.166,135.469,50.959,21.186,6.011,6.567,26.278,37.552,43.264,37.046,23.615,16.581,29.23,85.158,83.293
"P Volatility",18.19,17.71,20,19.4,17.09,18.58,18.25,21.48,19.31,22.05,22.27,17.03,19.79,18.53,20.24,29.25,34.11,33.63,37.71,38.6,36.41,39.34,38,36.81,52.98,56.39,59.77,44.58,42.41,31.29,31.26,43.09,40.32,43.55,41.11,40.83,35.59,34.89,33.75,38.23
"B Volatility",13.11,12.99,12.9,13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",5.08,4.72,7.1,6.03,3.76,5.29,5.5,7.82,5.68,8.73,8.77,3.56,6.59,5.9,7.48,6.46,9.69,9.23,13.05,13.46,11.7,14.93,13.66,11.27,27.01,30.41,33.37,18.01,15.85,4.65,5.28,17.2,14.15,17.4,14.95,14.33,9.13,8.75,16.93,22.22
"P Tracking Error",14.45,14.44,19.01,18.08,15.09,14.39,14.85,19.37,15.99,18.04,19.09,17.91,18.22,10.57,16.32,16.55,16.98,17.18,19.34,19.55,16.48,19.54,17.1,15.99,42.99,48.38,49.7,28.09,23.21,17,18.32,24.97,21.89,25.86,23.84,24.36,19.74,19.28,25.17,30.01
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
