"","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-2.049,-0.176,5.726,8.396,1.295,5.458,8.41,19.016,15.642,12.013,16.401,22.192,21.812,47.647,50.31,67.921,63.535,54.515,56.813,66.861,119.892,132.582
"B Annualized Returns",-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",-1.565,1.563,7.437,1.494,-8.439,-6.229,-6.824,1.925,2.558,1.194,3.03,6.097,2.477,24.677,26.075,42.3,42.585,35.083,37.629,49.303,70.844,94.385
"P Volatility",31.71,32.79,33.18,31.54,34.9,36.38,41.33,44.18,45.89,44.23,43.77,44.1,42.94,45.37,45.72,44.58,46.12,45.81,46.61,43.42,31.91,35.86
"B Volatility",24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",7.05,7.65,8.47,7.13,10.56,10.84,15.36,18.2,19.49,17.66,17.21,17.46,16.96,19.48,19.55,18.43,19.96,19.31,20.15,17.28,15.09,19.85
"P Tracking Error",19.24,17.74,21.04,17.07,21.31,21.92,24.16,27.38,28.21,26.06,26.58,26.84,26.55,26.85,28.17,26.8,29.55,29.47,28.79,25.75,24.35,28.66
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.08,0.09,0.35,0.09,-0.4,-0.28,-0.28,0.07,0.09,0.05,0.11,0.23,0.09,0.92,0.93,1.58,1.44,1.19,1.31,1.91,2.91,3.29
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.17,0.25,0.23,0.41,-0.36,-0.45,-1.14,-0.34,0.16,0.11,0.16,0.26,0.57,1.57,1.51,1.24,2.08,2.38,2.21,3.24,3.37,3.53
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.02,1.1,1.04,1.09,1.14,1.15,1.33,1.39,1.44,1.4,1.36,1.36,1.34,1.5,1.45,1.43,1.42,1.38,1.46,1.39,1.25,1.4
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",61.45,69.99,57.96,69.82,62.01,63.1,68.8,65.29,67.14,69.81,66.3,66.21,64.48,71.78,67.09,68.75,62.82,61.6,67.19,69.07,40.83,36.47
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-39.6727,-37.5749,-37.479,-38.0157,-45.9567,-46.743,-52.7902,-52.1123,-52.5407,-49.7128,-53.0106,-51.5823,-50.5445,-54.167,-55.8681,-55.6974,-51.8008,-53.9758,-51.6481,-42.5461,-15.0873,-13.1702
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-1.3672,0.730600000000003,0.826500000000003,0.2898,-7.6512,-8.4375,-14.4847,-13.8068,-14.2352,-11.4073,-14.7051,-13.2768,-12.239,-15.8615,-17.5626,-17.3919,-13.4953,-15.6703,-14.0413,-7.0936,-0.753900000000002,1.1632
