"","3 Y 2017-01-24 to 2020-01-25","3 Y 2017-02-27 to 2020-02-25","3 Y 2017-03-24 to 2020-03-25","3 Y 2017-04-24 to 2020-04-25","3 Y 2017-05-24 to 2020-05-25","3 Y 2017-06-27 to 2020-06-25","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",14.672,12.796,-8.449,6.175,-4.737,2.936,-1.241,8.859,0.392,14.384,3.728,5.252,4.269,12.681,5.268,21.284,40.983,29.173,16.698,25.862,17.24,27.114,26.946,26.944,111.542,114.912,111.781,61.823
"B Annualized Returns",12.067,9.104,-5.654,-0.487,-1.474,1.992,2.97,4.007,2.131,4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",2.605,3.692,-2.795,6.662,-3.263,0.944,-4.211,4.852,-1.739,10.317,-2.786,-2.37,-4.211,1.255,-6.696,11.469,28.344,15.939,4.29,13.894,-0.126000000000001,6.323,9.209,10.514,95.407,100.739,96.912,47.238
"P Volatility",16.16,16.15,18.77,21.43,23.8,26.97,29.59,31.27,28.84,34.55,29.5,25.63,29.45,37.1,31.84,35.21,36.77,36.69,38.94,45.52,35.43,35.94,35.51,32.18,48.89,53.55,55.24,38.36
"B Volatility",12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",3.83,3.92,6.36,1.48,2.79,5.97,8.3,9.59,7.16,13.13,8.03,3.28,6.78,14.67,9.04,12.37,13.93,13.81,16.33,22.94,13,13.83,13.44,9.86,26.62,31.31,32.64,15.44
"P Tracking Error",13.91,12.84,17.1,18.16,16.94,16.78,18.1,21.56,17.62,23.48,20.95,21.18,20.99,18.91,20.86,22.28,23.07,23.49,22.96,31.09,18.53,19.37,20.02,16.77,40.87,47.5,47.68,25.3
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.19,0.29,-0.16,0.37,-0.19,0.06,-0.23,0.23,-0.1,0.44,-0.13,-0.11,-0.2,0.07,-0.32,0.51,1.23,0.68,0.19,0.45,-0.01,0.33,0.46,0.63,2.33,2.12,2.03,1.87
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.27,0.38,-0.05,0.14,-0.25,0.32,-0.04,0.37,-0.38,1.16,0.09,0,-0.2,-0.18,-0.38,0.76,1.42,1.53,0.17,0.64,-0.23,-0.39,0.32,0.8,4.71,6.05,6.21,2.81
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.72,0.82,0.69,0.66,0.82,1,1.1,1.05,1.05,1.2,0.97,0.71,0.92,1.51,1.06,1.21,1.29,1.26,1.47,1.58,1.41,1.44,1.38,1.26,1.23,1.12,1.26,1.29
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",28.27,36.74,18.67,36.18,50.52,60.09,62.04,51.09,61.71,54,48.1,36.29,48.09,83.15,55.97,60.7,62.7,60.45,71.76,60.57,78.65,77.51,73.09,75.29,29.09,19.16,24.41,58.32
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
