"","3 Y 2018-01-23 to 2021-01-24","3 Y 2018-02-23 to 2021-02-24","3 Y 2018-03-23 to 2021-03-24","3 Y 2018-04-23 to 2021-04-24","3 Y 2018-05-23 to 2021-05-24","3 Y 2018-06-25 to 2021-06-24","3 Y 2018-07-23 to 2021-07-24","3 Y 2018-08-23 to 2021-08-24","3 Y 2018-09-24 to 2021-09-24","3 Y 2018-10-23 to 2021-10-24","3 Y 2018-11-26 to 2021-11-24","3 Y 2018-12-24 to 2021-12-24","3 Y 2019-01-23 to 2022-01-24","3 Y 2019-02-25 to 2022-02-24","3 Y 2019-03-25 to 2022-03-24","3 Y 2019-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",11.437,13.012,12.803,12.521,18.697,15.6,20.545,9.845,21.675,22.052,19.576,20.045,26.328,22.397,19.32,17.403
"B Annualized Returns",8.461,10.819,12.643,9.89,12.256,13.065,12.657,11.952,17.366,21.087,17.94,16.43,17.721,16.125,14.879,15.023
"AR DIFF(P-B)",2.976,2.193,0.16,2.631,6.441,2.535,7.888,-2.107,4.309,0.965,1.636,3.615,8.607,6.272,4.441,2.38
"P Volatility",23.51,24.93,28.91,28,27.83,28.29,30.44,31.55,35.21,31.33,35.78,37.48,33.28,33.9,38.23,32.58
"B Volatility",22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",0.84,2.5,6.11,5.16,4.99,5.41,7.83,8.97,12.78,9.22,13.71,15.16,11.01,11.66,15.63,9.66
"P Tracking Error",19.37,18.91,18.66,18.41,18.35,17.83,19.79,18.3,19.24,17.3,21.79,25.59,22.48,20.94,26.66,18.86
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.15,0.12,0.01,0.14,0.35,0.14,0.4,-0.12,0.22,0.06,0.08,0.14,0.38,0.3,0.17,0.13
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.55,0.39,0.26,0.22,0.6,0.37,0.79,0.01,0.32,-0.33,-0.18,0.4,0.71,0.67,0.63,0.23
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.67,0.76,0.97,0.93,0.92,0.96,1.02,1.15,1.36,1.2,1.33,1.25,1.11,1.22,1.23,1.17
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",40.32,45.44,57.12,55.82,55.63,59.17,56.47,66.47,74.77,70.59,65.97,54.31,53.54,62.8,51.86,67
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-27.838,-27.7926,-34.6385,-34.592,-33.818,-34.6621,-41.7848,-48.4428,-46.0275,-49.0922,-57.3068,-61.2459,-46.1637,-45.2804,-56.1948,-43.3424
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",10.4675,10.5129,3.667,3.7135,4.4875,3.6434,-3.47929999999999,-10.1373,-7.722,-10.7867,-19.0013,-22.9404,-7.8582,-6.9749,-17.8893,-5.0369
