"","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",22.744,16.566,20.245,24.467,21.492,18.976,16.762,23.984,24.626,22.977
"B Annualized Returns",12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",10.336,4.598,2.879,3.676,3.755,2.546,0.626999999999999,9.811,9.757,8.392
"P Volatility",29,28.81,29.53,28.07,31.48,32.05,36.29,38.64,39.57,38.05
"B Volatility",22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",6.39,6.23,7.1,5.96,9.41,9.73,14.02,16.4,16.97,15.13
"P Tracking Error",18.13,16.71,19.92,17.05,20.35,21.27,23.89,26.05,26.37,24.59
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.57,0.28,0.14,0.22,0.18,0.12,0.03,0.38,0.37,0.34
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.9,0.39,0.53,0.1,0.19,0.41,-0.04,0.65,0.85,0.52
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1,1.04,0.97,1.01,1.09,1.08,1.25,1.32,1.35,1.3
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",59.72,65.46,53.17,61.99,57.4,54.92,57.84,56.74,58.4,60.38
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-39.6727,-37.5749,-37.479,-38.0157,-45.9567,-46.743,-52.7902,-52.1123,-52.5407,-49.7128
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-1.3672,0.730600000000003,0.826500000000003,0.2898,-7.6512,-8.4375,-14.4847,-13.8068,-14.2352,-11.4073
