"","1 Y 2017-12-12 to 2018-12-13","1 Y 2018-01-12 to 2019-01-13","1 Y 2018-02-12 to 2019-02-13","1 Y 2018-03-12 to 2019-03-13","1 Y 2018-04-12 to 2019-04-13","1 Y 2018-05-14 to 2019-05-13","1 Y 2018-06-12 to 2019-06-13","1 Y 2018-07-12 to 2019-07-13","1 Y 2018-08-13 to 2019-08-13","1 Y 2018-09-12 to 2019-09-13","1 Y 2018-10-12 to 2019-10-13","1 Y 2018-11-12 to 2019-11-13","1 Y 2018-12-12 to 2019-12-13","1 Y 2019-01-14 to 2020-01-13","1 Y 2019-02-12 to 2020-02-13","1 Y 2019-03-12 to 2020-03-13","1 Y 2019-04-12 to 2020-04-13","1 Y 2019-05-13 to 2020-05-13","1 Y 2019-06-12 to 2020-06-13","1 Y 2019-07-12 to 2020-07-13","1 Y 2019-08-12 to 2020-08-13","1 Y 2019-09-12 to 2020-09-13","1 Y 2019-10-14 to 2020-10-13","1 Y 2019-11-12 to 2020-11-13","1 Y 2019-12-12 to 2020-12-13","1 Y 2020-01-13 to 2021-01-13","1 Y 2020-02-12 to 2021-02-13","1 Y 2020-03-12 to 2021-03-13","1 Y 2020-04-13 to 2021-04-13","1 Y 2020-05-12 to 2021-05-13","1 Y 2020-06-12 to 2021-06-13","1 Y 2020-07-13 to 2021-07-13","1 Y 2020-08-12 to 2021-08-13","1 Y 2020-09-14 to 2021-09-13"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","1.603","-3.468","4.327","3.03","7.816","6.563","2.337","8.225","3.018","4.313","5.583","14.531","19.367","22.841","20.619","-5.069","-4.114","-1.622","4.027","6.547","29.225","22.053","20.894","16.257","18.56","27.702","24.494","62.038","60.669","65.25","48.948","45.891","42.209","40.482"
"B Annualized Returns","-0.377","-6.984","2.548","0.434","8.77","5.836","3.818","7.473","1.75","4.107","6.455","13.785","20.114","28.636","25.882","-9.545","-0.824","6.385","8.375","10.106","20.732","16.494","24.645","17.969","18.936","17.452","18.359","59.453","48.75","39.199","37.925","37.392","31.066","34.146"
"AR DIFF(P-B)","1.98","3.516","1.779","2.596","-0.954","0.726999999999999","-1.481","0.752","1.268","0.206","-0.872","0.746","-0.747","-5.795","-5.263","4.476","-3.29","-8.007","-4.348","-3.559","8.493","5.559","-3.751","-1.712","-0.376000000000001","10.25","6.135","2.58499999999999","11.919","26.051","11.023","8.499","11.143","6.336"
"P Volatility","12.05","13.06","15.18","14.44","15","15.32","16.81","18.42","18.85","19.51","17.89","18.94","15.25","12.88","12.59","15.89","22.55","26.53","27.07","26.91","29","31.61","28.3","28.86","31.04","33.31","31.34","21.29","18.73","17.78","17.39","17.1","17.1","15.49"
"B Volatility","12.81","14.17","15.9","15.5","15.53","16.08","17.44","17.65","17.36","17.51","15.73","15.82","11.86","10.55","10.51","15.75","18.95","22.61","22.37","22.49","22.48","24.24","25.31","25.38","26.51","26.6","23.33","18","14.74","15.14","15.58","15.49","12.95","10.33"
"V DIFF(P-B)","-0.76","-1.11","-0.720000000000001","-1.06","-0.529999999999999","-0.759999999999998","-0.630000000000003","0.770000000000003","1.49","2","2.16","3.12","3.39","2.33","2.08","0.140000000000001","3.6","3.92","4.7","4.42","6.52","7.37","2.99","3.48","4.53","6.71","8.01","3.29","3.99","2.64","1.81","1.61","4.15","5.16"
"P Tracking Error","3.66","3.58","3.51","3.16","3.55","3.75","3.66","4","4.48","4.8","4.88","5.82","6.45","5.6","5.9","6.15","8.14","8.48","9.99","9.56","10.7","11.03","8.79","8.56","9.51","10.8","10.75","8.19","8.73","9.36","8.94","10.19","11.01","11.25"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
