"","1 Y 2013-12-11 to 2014-12-12","1 Y 2014-01-13 to 2015-01-12","1 Y 2014-02-11 to 2015-02-12","1 Y 2014-03-11 to 2015-03-12","1 Y 2014-04-11 to 2015-04-12","1 Y 2014-05-12 to 2015-05-12","1 Y 2014-06-11 to 2015-06-12","1 Y 2014-07-11 to 2015-07-12","1 Y 2014-08-11 to 2015-08-12","1 Y 2014-09-11 to 2015-09-12","1 Y 2014-10-13 to 2015-10-12","1 Y 2014-11-11 to 2015-11-12","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","15.879","13.94","14.591","11.07","16.349","16.003","15.899","11.923","12.473","1.785","13.894","5.865","9.688","4.444","-8.534","-0.222","2.797","2.375","2.479","4.866","6.582","9.04","10.054","12.607","16.824","27.074","40.547","26.004","21.537","25.365","26.747","21.251","21.058","24.565","27.069","20.963","20.136","24.579","15.693","22.277","19.447","15.852","17.628","14.531","14.454","15.138","5.733","8.373","2.238","-5.148","4.809","1.437","9.163","7.645","5.552","7.996","3.443","4.672","5.962","13.513","16.884","21.547","19.681","-13.013","-1.695","5.461","9.807","16.477","24.94","11.253","19.584","12.393","27.056","26.632","25.325","76.606","57.835","60.852","53.393","50.258","45.74","45.928"
"B Annualized Returns","13.175","12.662","13.061","8.947","12.658","10.188","7.8","2.974","6.679","-3.18","5.943","2.407","1.741","-4.163","-8.783","-1.446","-0.893","-0.738","0.552","2.209","5.298","12.344","6.405","3.607","9.383","16.38","22.52","17.753","14.76","15.467","16.955","13.025","11.632","14.93","18.951","19.843","18.104","21.738","11.418","14.792","11.553","13.273","14.212","14.311","16.08","16.434","7.565","9.628","-0.541","-6.245","1.178","0.16","9.702","5.836","4.184","8.589","3.739","3.815","7.278","13.662","19.721","28.636","26.794","0.479","-0.156","8.455","8.375","10.532","20.717","16.806","21.097","19.006","19.875","17.643","18.359","44.413","48.22","39.453","40.072","36.05","32.52","34.146"
"AR DIFF(P-B)","2.704","1.278","1.53","2.123","3.691","5.815","8.099","8.949","5.794","4.965","7.951","3.458","7.947","8.607","0.248999999999999","1.224","3.69","3.113","1.927","2.657","1.284","-3.304","3.649","9","7.441","10.694","18.027","8.251","6.777","9.898","9.792","8.226","9.426","9.635","8.118","1.12","2.032","2.841","4.275","7.485","7.894","2.579","3.416","0.220000000000001","-1.626","-1.296","-1.832","-1.255","2.779","1.097","3.631","1.277","-0.539","1.809","1.368","-0.593","-0.296","0.857","-1.316","-0.149000000000001","-2.837","-7.089","-7.113","-13.492","-1.539","-2.994","1.432","5.945","4.223","-5.553","-1.513","-6.613","7.181","8.989","6.966","32.193","9.615","21.399","13.321","14.208","13.22","11.782"
"P Volatility","9.46","9.12","7.65","8.7","9.58","9.22","10.43","10.21","9.27","13.71","13.82","15.08","15.52","15.41","15.95","16.5","15.82","15.31","15.76","15.84","12.36","12.28","10.43","10.85","11.03","7.73","8.44","7.45","8.8","8.88","8.46","7.39","7.57","7.13","5.82","5.33","5.57","6.11","7.05","9.45","9.9","9.91","10.4","9.72","10.07","10.47","10.53","13.25","12.89","13.23","15.3","14.91","15.49","14.96","16.08","18.38","18.05","19.08","17.52","18.83","14.98","12.49","12.35","15.08","22.35","25.65","26.7","25.47","27.04","26.94","26.21","27.44","35.14","33.71","31.13","22.15","20.11","19.04","18.38","17.95","18.46","17.03"
"B Volatility","7.08","5.04","7.02","8.17","9.16","9.13","9.14","9.68","9.58","11.95","12.35","16.04","16.07","15.63","16.43","16.36","17.68","17.59","17.35","17.09","15.7","15.06","11.26","11.26","11.31","7.37","7.4","6","6.06","6.1","5.99","5.46","5.34","4.85","4.25","4.22","4.18","4.13","4.97","7.63","9.23","9.25","9.4","9.41","9.92","10.26","10.2","12.91","12.81","14.17","15.9","15.5","15.53","16.08","17.44","17.65","17.36","17.51","15.73","15.82","11.86","10.55","10.51","15.75","18.95","22.61","22.37","22.49","22.48","24.24","25.31","25.38","26.51","26.6","23.33","18","14.74","15.14","15.58","15.49","12.95","10.33"
"V DIFF(P-B)","2.38","4.08","0.630000000000001","0.529999999999999","0.42","0.0899999999999999","1.29","0.530000000000001","-0.31","1.76","1.47","-0.959999999999999","-0.550000000000001","-0.220000000000001","-0.48","0.140000000000001","-1.86","-2.28","-1.59","-1.25","-3.34","-2.78","-0.83","-0.41","-0.280000000000001","0.36","1.04","1.45","2.74","2.78","2.47","1.93","2.23","2.28","1.57","1.11","1.39","1.98","2.08","1.82","0.67","0.66","1","0.31","0.15","0.210000000000001","0.33","0.34","0.0800000000000001","-0.94","-0.6","-0.59","-0.0399999999999991","-1.12","-1.36","0.73","0.690000000000001","1.57","1.79","3.01","3.12","1.94","1.84","-0.67","3.4","3.04","4.33","2.98","4.56","2.7","0.900000000000002","2.06","8.63","7.11","7.8","4.15","5.37","3.9","2.8","2.46","5.51","6.7"
"P Tracking Error","6.14","5.91","5.3","4.86","4.33","4.86","4.82","4.61","4.73","5.1","6.75","7.52","7.34","7.14","7.02","7.14","7.14","8.06","7.03","6.93","6.64","4.38","2.99","3.31","3.32","3.32","4.33","3.48","4.81","4.85","4.75","3.97","4.78","3.99","4.22","3.44","3.4","3.52","3.66","4.16","4.09","4.06","4.02","3.42","3.45","3.45","3.42","3.79","3.89","3.58","3.4","3.18","2.93","4.57","4.88","4.45","4.61","5.37","5.29","6.19","6.14","5.59","5.66","5.73","7.28","7.77","9.67","8.67","9.16","8.87","8.69","8.54","12.75","10.9","11.17","10.08","10.42","11.45","11.39","11.93","12.14","12.74"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
