"","1 Y 2017-12-12 to 2019-12-13","1 Y 2018-01-12 to 2020-01-13","1 Y 2018-02-12 to 2020-02-13","1 Y 2018-03-12 to 2020-03-13","1 Y 2018-04-12 to 2020-04-13","1 Y 2018-05-14 to 2020-05-13","1 Y 2018-06-12 to 2020-06-13","1 Y 2018-07-12 to 2020-07-13","1 Y 2018-08-13 to 2020-08-13","1 Y 2018-09-12 to 2020-09-13","1 Y 2018-10-12 to 2020-10-13","1 Y 2018-11-12 to 2020-11-13","1 Y 2018-12-12 to 2020-12-13","1 Y 2019-01-14 to 2021-01-13","1 Y 2019-02-12 to 2021-02-13","1 Y 2019-03-12 to 2021-03-13","1 Y 2019-04-12 to 2021-04-13","1 Y 2019-05-13 to 2021-05-13","1 Y 2019-06-12 to 2021-06-13","1 Y 2019-07-12 to 2021-07-13","1 Y 2019-08-12 to 2021-08-13","1 Y 2019-09-12 to 2021-09-13","2 Y 2017-12-12 to 2019-12-13","2 Y 2018-01-12 to 2020-01-13","2 Y 2018-02-12 to 2020-02-13","2 Y 2018-03-12 to 2020-03-13","2 Y 2018-04-12 to 2020-04-13","2 Y 2018-05-14 to 2020-05-13","2 Y 2018-06-12 to 2020-06-13","2 Y 2018-07-12 to 2020-07-13","2 Y 2018-08-13 to 2020-08-13","2 Y 2018-09-12 to 2020-09-13","2 Y 2018-10-12 to 2020-10-13","2 Y 2018-11-12 to 2020-11-13","2 Y 2018-12-12 to 2020-12-13","2 Y 2019-01-14 to 2021-01-13","2 Y 2019-02-12 to 2021-02-13","2 Y 2019-03-12 to 2021-03-13","2 Y 2019-04-12 to 2021-04-13","2 Y 2019-05-13 to 2021-05-13","2 Y 2019-06-12 to 2021-06-13","2 Y 2019-07-12 to 2021-07-13","2 Y 2019-08-12 to 2021-08-13","2 Y 2019-09-12 to 2021-09-13"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","18.758","23.715","23.227","-1.697","-0.042","2.916","9.718","13.676","25.605","12.938","21.555","26.964","30.098","34.384","19.908","62.295","47.153","48.675","47.519","40.133","43.955","38.371","9.846","9.227","13.384","0.828","3.633","3.958","5.964","10.534","12.128","8.657","13.747","20.805","24.675","28.935","20.263","18.896","20.401","20.939","23.27","22.39","36.391","33.303"
"B Annualized Returns","20.114","27.891","25.882","-9.545","-0.203","6.385","8.375","10.686","20.732","16.806","24.645","17.969","19.875","17.452","18.359","44.413","48.75","39.199","31.987","37.392","31.066","24.246","9.39","9.067","13.618","-3.973","4.212","4.912","6.072","8.992","11.71","10.118","15.689","15.985","19.524","23.018","22.062","20.459","21.238","21.691","23.187","22.955","25.793","25.371"
"AR DIFF(P-B)","-1.356","-4.176","-2.655","7.848","0.161","-3.469","1.343","2.99","4.873","-3.868","-3.09","8.995","10.223","16.932","1.549","17.882","-1.597","9.476","15.532","2.741","12.889","14.125","0.456","0.16","-0.234","4.801","-0.579","-0.954","-0.108","1.542","0.417999999999999","-1.461","-1.942","4.82","5.151","5.917","-1.799","-1.563","-0.837","-0.751999999999999","0.0829999999999984","-0.564999999999998","10.598","7.932"
"P Volatility","12.92","10.79","10.81","14.23","22.1","25.65","25.98","26.99","27.6","28.55","28.52","31.52","34.6","34.75","29.76","21.22","18.11","16.46","17.21","17.1","20.56","18.74","14.01","13.24","12.8","13.68","18.42","20.78","21.42","22.06","22.67","23.55","22.83","24.81","25.51","25.16","23.01","23.2","22.98","22.04","22.16","21.91","25.64","25.26"
"B Volatility","11.86","10.55","10.51","15.75","18.95","22.61","22.37","22.49","22.48","24.24","25.31","25.38","26.51","26.6","23.33","18","14.74","15.14","15.58","15.49","12.95","10.33","14.01","13.69","13.25","14.92","17.09","19.27","19.37","19.31","19.36","20.51","20.15","20.28","19.62","19.3","19.29","19.34","19.24","18.74","18.71","18.74","18.53","18.53"
"V DIFF(P-B)","1.06","0.239999999999998","0.300000000000001","-1.52","3.15","3.04","3.61","4.5","5.12","4.31","3.21","6.14","8.09","8.15","6.43","3.22","3.37","1.32","1.63","1.61","7.61","8.41","0","-0.449999999999999","-0.449999999999999","-1.24","1.33","1.51","2.05","2.75","3.31","3.04","2.68","4.53","5.89","5.86","3.72","3.86","3.74","3.3","3.45","3.17","7.11","6.73"
"P Tracking Error","5.65","5.62","5.53","5.83","7.58","7.3","8.32","8.67","8.79","8.4","8.01","9.22","12.03","11.86","9.75","8.39","7.99","6.87","7.39","7.54","11.39","10.93","4.56","4.58","4.57","4.49","5.76","5.56","6.38","6.59","6.75","6.6","6.41","7.59","9.43","9.4","7.92","8.14","8","8.27","8.5","8.28","10.95","10.5"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
