"","2013-12-11_to_2015-12-12_ALLPortfolio_4QRank","2014-01-13_to_2016-01-12_ALLPortfolio_4QRank","2014-02-11_to_2016-02-12_ALLPortfolio_4QRank","2014-03-11_to_2016-03-12_ALLPortfolio_4QRank","2014-04-11_to_2016-04-12_ALLPortfolio_4QRank","2014-05-12_to_2016-05-12_ALLPortfolio_4QRank","2014-06-11_to_2016-06-12_ALLPortfolio_4QRank","2014-07-11_to_2016-07-12_ALLPortfolio_4QRank","2014-08-11_to_2016-08-12_ALLPortfolio_4QRank","2014-09-11_to_2016-09-12_ALLPortfolio_4QRank","2014-10-13_to_2016-10-12_ALLPortfolio_4QRank","2014-11-11_to_2016-11-12_ALLPortfolio_4QRank","2014-12-11_to_2016-12-12_ALLPortfolio_4QRank","2015-01-12_to_2017-01-12_ALLPortfolio_4QRank","2015-02-11_to_2017-02-12_ALLPortfolio_4QRank","2015-03-11_to_2017-03-12_ALLPortfolio_4QRank","2015-04-13_to_2017-04-12_ALLPortfolio_4QRank","2015-05-11_to_2017-05-12_ALLPortfolio_4QRank","2015-06-11_to_2017-06-12_ALLPortfolio_4QRank","2015-07-13_to_2017-07-12_ALLPortfolio_4QRank","2015-08-11_to_2017-08-12_ALLPortfolio_4QRank","2015-09-11_to_2017-09-12_ALLPortfolio_4QRank","2015-10-12_to_2017-10-12_ALLPortfolio_4QRank","2015-11-11_to_2017-11-12_ALLPortfolio_4QRank","2015-12-11_to_2017-12-12_ALLPortfolio_4QRank","2016-01-11_to_2018-01-12_ALLPortfolio_4QRank","2016-02-11_to_2018-02-12_ALLPortfolio_4QRank","2016-03-11_to_2018-03-12_ALLPortfolio_4QRank","2016-04-11_to_2018-04-12_ALLPortfolio_4QRank","2016-05-11_to_2018-05-12_ALLPortfolio_4QRank","2016-06-13_to_2018-06-12_ALLPortfolio_4QRank","2016-07-11_to_2018-07-12_ALLPortfolio_4QRank","2016-08-11_to_2018-08-12_ALLPortfolio_4QRank","2016-09-12_to_2018-09-12_ALLPortfolio_4QRank","2016-10-11_to_2018-10-12_ALLPortfolio_4QRank","2016-11-11_to_2018-11-12_ALLPortfolio_4QRank","2016-12-12_to_2018-12-12_ALLPortfolio_4QRank","2017-01-11_to_2019-01-12_ALLPortfolio_4QRank","2017-02-13_to_2019-02-12_ALLPortfolio_4QRank","2017-03-13_to_2019-03-12_ALLPortfolio_4QRank","2017-04-11_to_2019-04-12_ALLPortfolio_4QRank","2017-05-11_to_2019-05-12_ALLPortfolio_4QRank","2017-06-12_to_2019-06-12_ALLPortfolio_4QRank","2017-07-11_to_2019-07-12_ALLPortfolio_4QRank","2017-08-11_to_2019-08-12_ALLPortfolio_4QRank","2017-09-11_to_2019-09-12_ALLPortfolio_4QRank","2017-10-11_to_2019-10-12_ALLPortfolio_4QRank","2017-11-13_to_2019-11-12_ALLPortfolio_4QRank","2017-12-11_to_2019-12-12_ALLPortfolio_4QRank","2018-01-11_to_2020-01-12_ALLPortfolio_4QRank","2018-02-12_to_2020-02-12_ALLPortfolio_4QRank","2018-03-12_to_2020-03-12_ALLPortfolio_4QRank","2018-04-11_to_2020-04-12_ALLPortfolio_4QRank","2018-05-11_to_2020-05-12_ALLPortfolio_4QRank","2018-06-11_to_2020-06-12_ALLPortfolio_4QRank","2018-07-11_to_2020-07-12_ALLPortfolio_4QRank","2018-08-13_to_2020-08-12_ALLPortfolio_4QRank","2018-09-11_to_2020-09-12_ALLPortfolio_4QRank","2018-10-11_to_2020-10-12_ALLPortfolio_4QRank","2018-11-12_to_2020-11-12_ALLPortfolio_4QRank","2018-12-11_to_2020-12-12_ALLPortfolio_4QRank","2019-01-11_to_2021-01-12_ALLPortfolio_4QRank","2019-02-11_to_2021-02-12_ALLPortfolio_4QRank","2019-03-11_to_2021-03-12_ALLPortfolio_4QRank","2019-04-11_to_2021-04-12_ALLPortfolio_4QRank","2019-05-13_to_2021-05-12_ALLPortfolio_4QRank","2019-06-11_to_2021-06-12_ALLPortfolio_4QRank","2019-07-11_to_2021-07-12_ALLPortfolio_4QRank","2019-08-12_to_2021-08-12_ALLPortfolio_4QRank","2019-09-11_to_2021-09-12_ALLPortfolio_4QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","11.739","8.668","4.513","7.622","11.322","9.531","10.483","8.295","11.268","6.052","10.393","6.191","13.543","11.46","12.104","11.524","7.903","8.189","9.256","8.987","9.528","14.052","19.305","19.859","21.229","27.694","31.787","26.877","23.045","23.01","23.46","18.183","19.654","19.391","19.057","14.831","10.26","7.542","9.607","9.757","12.703","9.668","8.854","10.186","8.173","9.316","6.276","8.96","9.998","8.054","12.314","-4.6","3.431","5.571","7.84","7.232","9.712","13.592","19.937","16.456","18.398","21.972","20.438","19.691","28.535","30.004","33.184","30.194","34.141","23.67"
"B Annualized Returns","7.314","3.001","1.554","3.621","5.718","4.406","4.118","3.851","6.054","4.263","6.268","3.006","4.723","6.055","5.695","8.343","6.657","6.882","7.525","7.488","8.48","13.075","12.503","11.014","14.092","19.494","17.296","16.289","13.145","14.366","15.35","13.666","14.381","15.68","13.115","14.472","8.368","6.853","7.66","8.02","10.624","9.682","9.076","11.413","9.045","9.944","7.421","9.879","9.12","9.403","13.282","0.456","4.664","5.925","6.117","9.555","10.842","10.119","14.39","16.366","19.798","23.126","22.854","20.593","21.161","23.003","22.997","22.447","26.481","25.528"
"AR DIFF(P-B)","4.425","5.667","2.959","4.001","5.604","5.125","6.365","4.444","5.214","1.789","4.125","3.185","8.82","5.405","6.409","3.181","1.246","1.307","1.731","1.499","1.048","0.977","6.802","8.845","7.137","8.2","14.491","10.588","9.9","8.644","8.11","4.517","5.273","3.711","5.942","0.359","1.892","0.689","1.947","1.737","2.079","-0.0140000000000011","-0.222000000000001","-1.227","-0.872","-0.628","-1.145","-0.918999999999999","0.878","-1.349","-0.968","-5.056","-1.233","-0.354","1.723","-2.323","-1.13","3.473","5.547","0.0899999999999999","-1.4","-1.154","-2.416","-0.902000000000001","7.374","7.001","10.187","7.747","7.66","-1.858"
"P Volatility","11.57","11.41","11.47","11.48","12.31","12.22","12.97","12.85","12.9","12.76","13.03","12.47","13","12.89","13.3","13.27","11.85","11.49","11.9","11.94","9.66","9.53","8.88","9.01","8.7","6.68","8.25","8.99","9.7","9.56","9.63","9.07","9.32","9.04","8.81","9.37","9.39","11.96","12.71","12.99","13.34","13.22","14.35","14.47","14.61","14.34","14.36","14.6","14.41","13.67","12.55","13.95","17.84","19.74","20.36","21","21.42","24.79","24.57","23.66","24.37","22.78","23.7","22.48","24.86","24","24.38","23.59","23.98","20.59"
"B Volatility","11.94","11.67","12.79","12.78","13.49","13.46","13.43","13.41","13.42","13.4","13.44","13.23","13.35","13.12","12.74","12.77","12.75","12.73","12.49","12.39","11.21","10.79","8.48","8.49","8.36","5.72","6.32","6.58","7.48","7.5","7.53","7.34","7.62","7.65","7.51","9.44","9.35","11.44","12.09","12.18","12.19","12.56","13.39","13.71","13.73","13.87","13.83","13.82","14.01","13.69","13.25","14.92","17.09","19.27","19.37","19.31","19.36","20.51","20.15","20.28","19.62","19.3","19.29","19.34","19.24","18.74","18.71","18.74","18.53","18.53"
"V DIFF(P-B)","-0.369999999999999","-0.26","-1.32","-1.3","-1.18","-1.24","-0.459999999999999","-0.56","-0.52","-0.640000000000001","-0.41","-0.76","-0.35","-0.229999999999999","0.56","0.5","-0.9","-1.24","-0.59","-0.450000000000001","-1.55","-1.26","0.4","0.52","0.34","0.96","1.93","2.41","2.22","2.06","2.1","1.73","1.7","1.39","1.3","-0.0700000000000003","0.0400000000000009","0.520000000000001","0.620000000000001","0.81","1.15","0.66","0.959999999999999","0.76","0.879999999999999","0.470000000000001","0.529999999999999","0.779999999999999","0.4","-0.0199999999999996","-0.699999999999999","-0.970000000000001","0.75","0.469999999999999","0.989999999999998","1.69","2.06","4.28","4.42","3.38","4.75","3.48","4.41","3.14","5.62","5.26","5.67","4.85","5.45","2.06"
"P Tracking Error","6.86","6.6","6.38","6.34","6.06","6.48","6.41","6.2","5.97","5.78","5.45","5.92","5.41","5.17","5.8","5.49","5.36","5.98","5.41","5.53","5.39","4.18","4.28","4.24","3.98","4.17","4.76","4.43","4.74","4.79","4.41","4.03","4.96","4.13","4.55","3.28","3.26","3.62","3.71","4.02","4.04","3.94","4.08","4.14","3.96","4.32","4.5","4.67","4.66","4.43","4.28","4.38","4.94","5.02","6.32","6.11","6.3","7.76","7.59","7.28","8.4","7.54","8.7","8.45","9","9.93","10.2","9.54","9.93","8.3"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
