"","2014-12-11_to_2016-12-12_ALLPortfolio_8QRank","2015-01-12_to_2017-01-12_ALLPortfolio_8QRank","2015-02-11_to_2017-02-12_ALLPortfolio_8QRank","2015-03-11_to_2017-03-12_ALLPortfolio_8QRank","2015-04-13_to_2017-04-12_ALLPortfolio_8QRank","2015-05-11_to_2017-05-12_ALLPortfolio_8QRank","2015-06-11_to_2017-06-12_ALLPortfolio_8QRank","2015-07-13_to_2017-07-12_ALLPortfolio_8QRank","2015-08-11_to_2017-08-12_ALLPortfolio_8QRank","2015-09-11_to_2017-09-12_ALLPortfolio_8QRank","2015-10-12_to_2017-10-12_ALLPortfolio_8QRank","2015-11-11_to_2017-11-12_ALLPortfolio_8QRank","2015-12-11_to_2017-12-12_ALLPortfolio_8QRank","2016-01-11_to_2018-01-12_ALLPortfolio_8QRank","2016-02-11_to_2018-02-12_ALLPortfolio_8QRank","2016-03-11_to_2018-03-12_ALLPortfolio_8QRank","2016-04-11_to_2018-04-12_ALLPortfolio_8QRank","2016-05-11_to_2018-05-12_ALLPortfolio_8QRank","2016-06-13_to_2018-06-12_ALLPortfolio_8QRank","2016-07-11_to_2018-07-12_ALLPortfolio_8QRank","2016-08-11_to_2018-08-12_ALLPortfolio_8QRank","2016-09-12_to_2018-09-12_ALLPortfolio_8QRank","2016-10-11_to_2018-10-12_ALLPortfolio_8QRank","2016-11-11_to_2018-11-12_ALLPortfolio_8QRank","2016-12-12_to_2018-12-12_ALLPortfolio_8QRank","2017-01-11_to_2019-01-12_ALLPortfolio_8QRank","2017-02-13_to_2019-02-12_ALLPortfolio_8QRank","2017-03-13_to_2019-03-12_ALLPortfolio_8QRank","2017-04-11_to_2019-04-12_ALLPortfolio_8QRank","2017-05-11_to_2019-05-12_ALLPortfolio_8QRank","2017-06-12_to_2019-06-12_ALLPortfolio_8QRank","2017-07-11_to_2019-07-12_ALLPortfolio_8QRank","2017-08-11_to_2019-08-12_ALLPortfolio_8QRank","2017-09-11_to_2019-09-12_ALLPortfolio_8QRank","2017-10-11_to_2019-10-12_ALLPortfolio_8QRank","2017-11-13_to_2019-11-12_ALLPortfolio_8QRank","2017-12-11_to_2019-12-12_ALLPortfolio_8QRank","2018-01-11_to_2020-01-12_ALLPortfolio_8QRank","2018-02-12_to_2020-02-12_ALLPortfolio_8QRank","2018-03-12_to_2020-03-12_ALLPortfolio_8QRank","2018-04-11_to_2020-04-12_ALLPortfolio_8QRank","2018-05-11_to_2020-05-12_ALLPortfolio_8QRank","2018-06-11_to_2020-06-12_ALLPortfolio_8QRank","2018-07-11_to_2020-07-12_ALLPortfolio_8QRank","2018-08-13_to_2020-08-12_ALLPortfolio_8QRank","2018-09-11_to_2020-09-12_ALLPortfolio_8QRank","2018-10-11_to_2020-10-12_ALLPortfolio_8QRank","2018-11-12_to_2020-11-12_ALLPortfolio_8QRank","2018-12-11_to_2020-12-12_ALLPortfolio_8QRank","2019-01-11_to_2021-01-12_ALLPortfolio_8QRank","2019-02-11_to_2021-02-12_ALLPortfolio_8QRank","2019-03-11_to_2021-03-12_ALLPortfolio_8QRank","2019-04-11_to_2021-04-12_ALLPortfolio_8QRank","2019-05-13_to_2021-05-12_ALLPortfolio_8QRank","2019-06-11_to_2021-06-12_ALLPortfolio_8QRank","2019-07-11_to_2021-07-12_ALLPortfolio_8QRank","2019-08-12_to_2021-08-12_ALLPortfolio_8QRank","2019-09-11_to_2021-09-12_ALLPortfolio_8QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","8.702","10.436","8.637","11.445","10.769","10.35","9.331","8.952","14.824","14.458","18.311","19.138","19.818","28.028","31.183","25.927","22.625","23.751","24.315","20.982","20.217","22.336","18.842","17.575","12.774","9.715","10.584","10.719","12.644","11.201","8.228","12.027","8.594","11.291","8.026","10.743","8.983","7.868","11.018","-4.556","0.195","2.819","3.83","5.492","9.726","6.714","12.696","19.124","24.645","26.54","19.545","19.646","27.554","26.307","30.549","28.375","34.136","32.079"
"B Annualized Returns","4.723","6.055","5.695","8.343","6.657","6.882","7.525","7.488","8.48","13.075","12.503","11.014","14.092","19.494","17.296","16.289","13.145","14.366","15.35","13.666","14.381","15.68","13.115","14.472","8.368","6.853","7.66","8.02","10.624","9.682","9.076","11.413","9.045","9.944","7.421","9.879","9.12","9.403","13.282","0.456","4.664","5.925","6.117","9.555","10.842","10.119","14.39","16.366","19.798","23.126","22.854","20.593","21.161","23.003","22.997","22.447","26.481","25.528"
"AR DIFF(P-B)","3.979","4.381","2.942","3.102","4.112","3.468","1.806","1.464","6.344","1.383","5.808","8.124","5.726","8.534","13.887","9.638","9.48","9.385","8.965","7.316","5.836","6.656","5.727","3.103","4.406","2.862","2.924","2.699","2.02","1.519","-0.848000000000001","0.613999999999999","-0.451000000000001","1.347","0.605","0.864000000000001","-0.136999999999999","-1.535","-2.264","-5.012","-4.469","-3.106","-2.287","-4.063","-1.116","-3.405","-1.694","2.758","4.847","3.414","-3.309","-0.946999999999999","6.393","3.304","7.552","5.928","7.655","6.551"
"P Volatility","12.44","12.95","11.91","11.75","11.67","11.36","11.15","11.26","9.48","8.9","8.61","8.84","8.49","6.92","8.58","9.34","9.8","9.98","9.77","9.87","9.29","9.5","8.76","9.87","9.65","11.91","13.23","13.46","13.28","13.51","13.78","14.64","14.28","14.39","14.56","13.61","13.79","13.84","12.89","14.01","18.77","20.47","20.96","21.71","22.53","22.66","23.22","23.88","25.93","24.49","23.35","23.18","25.35","24.77","25.28","24.55","24.59","24.02"
"B Volatility","13.35","13.12","12.74","12.77","12.75","12.73","12.49","12.39","11.21","10.79","8.48","8.49","8.36","5.72","6.32","6.58","7.48","7.5","7.53","7.34","7.62","7.65","7.51","9.44","9.35","11.44","12.09","12.18","12.19","12.56","13.39","13.71","13.73","13.87","13.83","13.82","14.01","13.69","13.25","14.92","17.09","19.27","19.37","19.31","19.36","20.51","20.15","20.28","19.62","19.3","19.29","19.34","19.24","18.74","18.71","18.74","18.53","18.53"
"V DIFF(P-B)","-0.91","-0.17","-0.83","-1.02","-1.08","-1.37","-1.34","-1.13","-1.73","-1.89","0.129999999999999","0.35","0.130000000000001","1.2","2.26","2.76","2.32","2.48","2.24","2.53","1.67","1.85","1.25","0.43","0.300000000000001","0.470000000000001","1.14","1.28","1.09","0.949999999999999","0.389999999999999","0.93","0.549999999999999","0.520000000000001","0.73","-0.210000000000001","-0.220000000000001","0.15","-0.359999999999999","-0.91","1.68","1.2","1.59","2.4","3.17","2.15","3.07","3.6","6.31","5.19","4.06","3.84","6.11","6.03","6.57","5.81","6.06","5.49"
"P Tracking Error","5.77","5.46","5.51","5.85","5.82","5.64","5.95","5.92","6.07","4.56","4.4","4.16","3.86","4.17","4.87","4.55","5.03","5.07","4.77","5.04","5.08","5.06","4.76","4.51","3.71","3.4","3.91","3.79","3.83","3.76","3.52","3.53","3.99","4","4.04","4.59","4.31","4.19","4.82","4.67","5.93","5.01","5.76","6.13","6.74","6.35","6.76","7.23","9.65","8.88","8.13","8.56","9.38","9.94","10.49","9.76","10.16","9.89"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
