"","1 Y 2013-03-12 to 2016-03-13","1 Y 2013-04-12 to 2016-04-13","1 Y 2013-05-13 to 2016-05-13","1 Y 2013-06-12 to 2016-06-13","1 Y 2013-07-12 to 2016-07-13","1 Y 2013-08-12 to 2016-08-13","1 Y 2013-09-12 to 2016-09-13","1 Y 2013-10-14 to 2016-10-13","1 Y 2013-11-12 to 2016-11-13","1 Y 2013-12-12 to 2016-12-13","1 Y 2014-01-13 to 2017-01-13","1 Y 2014-02-12 to 2017-02-13","1 Y 2014-03-12 to 2017-03-13","1 Y 2014-04-14 to 2017-04-13","1 Y 2014-05-12 to 2017-05-13","1 Y 2014-06-12 to 2017-06-13","1 Y 2014-07-14 to 2017-07-13","1 Y 2014-08-12 to 2017-08-13","1 Y 2014-09-12 to 2017-09-13","1 Y 2014-10-13 to 2017-10-13","1 Y 2014-11-12 to 2017-11-13","1 Y 2014-12-12 to 2017-12-13","1 Y 2015-01-12 to 2018-01-13","1 Y 2015-02-12 to 2018-02-13","1 Y 2015-03-12 to 2018-03-13","1 Y 2015-04-13 to 2018-04-13","1 Y 2015-05-12 to 2018-05-13","1 Y 2015-06-12 to 2018-06-13","1 Y 2015-07-13 to 2018-07-13","1 Y 2015-08-12 to 2018-08-13","1 Y 2015-09-14 to 2018-09-13","1 Y 2015-10-12 to 2018-10-13","1 Y 2015-11-12 to 2018-11-13","1 Y 2015-12-14 to 2018-12-13","1 Y 2016-01-12 to 2019-01-13","1 Y 2016-02-12 to 2019-02-13","1 Y 2016-03-14 to 2019-03-13","1 Y 2016-04-12 to 2019-04-13","1 Y 2016-05-12 to 2019-05-13","1 Y 2016-06-13 to 2019-06-13","1 Y 2016-07-12 to 2019-07-13","1 Y 2016-08-12 to 2019-08-13","1 Y 2016-09-12 to 2019-09-13","1 Y 2016-10-12 to 2019-10-13","1 Y 2016-11-14 to 2019-11-13","1 Y 2016-12-12 to 2019-12-13","1 Y 2017-01-12 to 2020-01-13","1 Y 2017-02-13 to 2020-02-13","1 Y 2017-03-13 to 2020-03-13","1 Y 2017-04-12 to 2020-04-13","1 Y 2017-05-12 to 2020-05-13","1 Y 2017-06-12 to 2020-06-13","1 Y 2017-07-12 to 2020-07-13","1 Y 2017-08-14 to 2020-08-13","1 Y 2017-09-12 to 2020-09-13","1 Y 2017-10-12 to 2020-10-13","1 Y 2017-11-13 to 2020-11-13","1 Y 2017-12-12 to 2020-12-13","1 Y 2018-01-12 to 2021-01-13","1 Y 2018-02-12 to 2021-02-13","1 Y 2018-03-12 to 2021-03-13","1 Y 2018-04-12 to 2021-04-13","1 Y 2018-05-14 to 2021-05-13","1 Y 2018-06-12 to 2021-06-13","1 Y 2018-07-12 to 2021-07-13","1 Y 2018-08-13 to 2021-08-13","1 Y 2018-09-12 to 2021-09-13","1 Y 2018-10-12 to 2021-10-13","2 Y 2013-03-12 to 2016-03-13","2 Y 2013-04-12 to 2016-04-13","2 Y 2013-05-13 to 2016-05-13","2 Y 2013-06-12 to 2016-06-13","2 Y 2013-07-12 to 2016-07-13","2 Y 2013-08-12 to 2016-08-13","2 Y 2013-09-12 to 2016-09-13","2 Y 2013-10-14 to 2016-10-13","2 Y 2013-11-12 to 2016-11-13","2 Y 2013-12-12 to 2016-12-13","2 Y 2014-01-13 to 2017-01-13","2 Y 2014-02-12 to 2017-02-13","2 Y 2014-03-12 to 2017-03-13","2 Y 2014-04-14 to 2017-04-13","2 Y 2014-05-12 to 2017-05-13","2 Y 2014-06-12 to 2017-06-13","2 Y 2014-07-14 to 2017-07-13","2 Y 2014-08-12 to 2017-08-13","2 Y 2014-09-12 to 2017-09-13","2 Y 2014-10-13 to 2017-10-13","2 Y 2014-11-12 to 2017-11-13","2 Y 2014-12-12 to 2017-12-13","2 Y 2015-01-12 to 2018-01-13","2 Y 2015-02-12 to 2018-02-13","2 Y 2015-03-12 to 2018-03-13","2 Y 2015-04-13 to 2018-04-13","2 Y 2015-05-12 to 2018-05-13","2 Y 2015-06-12 to 2018-06-13","2 Y 2015-07-13 to 2018-07-13","2 Y 2015-08-12 to 2018-08-13","2 Y 2015-09-14 to 2018-09-13","2 Y 2015-10-12 to 2018-10-13","2 Y 2015-11-12 to 2018-11-13","2 Y 2015-12-14 to 2018-12-13","2 Y 2016-01-12 to 2019-01-13","2 Y 2016-02-12 to 2019-02-13","2 Y 2016-03-14 to 2019-03-13","2 Y 2016-04-12 to 2019-04-13","2 Y 2016-05-12 to 2019-05-13","2 Y 2016-06-13 to 2019-06-13","2 Y 2016-07-12 to 2019-07-13","2 Y 2016-08-12 to 2019-08-13","2 Y 2016-09-12 to 2019-09-13","2 Y 2016-10-12 to 2019-10-13","2 Y 2016-11-14 to 2019-11-13","2 Y 2016-12-12 to 2019-12-13","2 Y 2017-01-12 to 2020-01-13","2 Y 2017-02-13 to 2020-02-13","2 Y 2017-03-13 to 2020-03-13","2 Y 2017-04-12 to 2020-04-13","2 Y 2017-05-12 to 2020-05-13","2 Y 2017-06-12 to 2020-06-13","2 Y 2017-07-12 to 2020-07-13","2 Y 2017-08-14 to 2020-08-13","2 Y 2017-09-12 to 2020-09-13","2 Y 2017-10-12 to 2020-10-13","2 Y 2017-11-13 to 2020-11-13","2 Y 2017-12-12 to 2020-12-13","2 Y 2018-01-12 to 2021-01-13","2 Y 2018-02-12 to 2021-02-13","2 Y 2018-03-12 to 2021-03-13","2 Y 2018-04-12 to 2021-04-13","2 Y 2018-05-14 to 2021-05-13","2 Y 2018-06-12 to 2021-06-13","2 Y 2018-07-12 to 2021-07-13","2 Y 2018-08-13 to 2021-08-13","2 Y 2018-09-12 to 2021-09-13","2 Y 2018-10-12 to 2021-10-13","3 Y 2013-03-12 to 2016-03-13","3 Y 2013-04-12 to 2016-04-13","3 Y 2013-05-13 to 2016-05-13","3 Y 2013-06-12 to 2016-06-13","3 Y 2013-07-12 to 2016-07-13","3 Y 2013-08-12 to 2016-08-13","3 Y 2013-09-12 to 2016-09-13","3 Y 2013-10-14 to 2016-10-13","3 Y 2013-11-12 to 2016-11-13","3 Y 2013-12-12 to 2016-12-13","3 Y 2014-01-13 to 2017-01-13","3 Y 2014-02-12 to 2017-02-13","3 Y 2014-03-12 to 2017-03-13","3 Y 2014-04-14 to 2017-04-13","3 Y 2014-05-12 to 2017-05-13","3 Y 2014-06-12 to 2017-06-13","3 Y 2014-07-14 to 2017-07-13","3 Y 2014-08-12 to 2017-08-13","3 Y 2014-09-12 to 2017-09-13","3 Y 2014-10-13 to 2017-10-13","3 Y 2014-11-12 to 2017-11-13","3 Y 2014-12-12 to 2017-12-13","3 Y 2015-01-12 to 2018-01-13","3 Y 2015-02-12 to 2018-02-13","3 Y 2015-03-12 to 2018-03-13","3 Y 2015-04-13 to 2018-04-13","3 Y 2015-05-12 to 2018-05-13","3 Y 2015-06-12 to 2018-06-13","3 Y 2015-07-13 to 2018-07-13","3 Y 2015-08-12 to 2018-08-13","3 Y 2015-09-14 to 2018-09-13","3 Y 2015-10-12 to 2018-10-13","3 Y 2015-11-12 to 2018-11-13","3 Y 2015-12-14 to 2018-12-13","3 Y 2016-01-12 to 2019-01-13","3 Y 2016-02-12 to 2019-02-13","3 Y 2016-03-14 to 2019-03-13","3 Y 2016-04-12 to 2019-04-13","3 Y 2016-05-12 to 2019-05-13","3 Y 2016-06-13 to 2019-06-13","3 Y 2016-07-12 to 2019-07-13","3 Y 2016-08-12 to 2019-08-13","3 Y 2016-09-12 to 2019-09-13","3 Y 2016-10-12 to 2019-10-13","3 Y 2016-11-14 to 2019-11-13","3 Y 2016-12-12 to 2019-12-13","3 Y 2017-01-12 to 2020-01-13","3 Y 2017-02-13 to 2020-02-13","3 Y 2017-03-13 to 2020-03-13","3 Y 2017-04-12 to 2020-04-13","3 Y 2017-05-12 to 2020-05-13","3 Y 2017-06-12 to 2020-06-13","3 Y 2017-07-12 to 2020-07-13","3 Y 2017-08-14 to 2020-08-13","3 Y 2017-09-12 to 2020-09-13","3 Y 2017-10-12 to 2020-10-13","3 Y 2017-11-13 to 2020-11-13","3 Y 2017-12-12 to 2020-12-13","3 Y 2018-01-12 to 2021-01-13","3 Y 2018-02-12 to 2021-02-13","3 Y 2018-03-12 to 2021-03-13","3 Y 2018-04-12 to 2021-04-13","3 Y 2018-05-14 to 2021-05-13","3 Y 2018-06-12 to 2021-06-13","3 Y 2018-07-12 to 2021-07-13","3 Y 2018-08-13 to 2021-08-13","3 Y 2018-09-12 to 2021-09-13","3 Y 2018-10-12 to 2021-10-13"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","2.396","5.262","1.784","2.624","3.768","6.824","9.56","8.696","8.296","15.58","18.982","29.068","28.384","20.023","28.413","22.713","18.862","16.683","24.397","34.801","26.133","22.37","34.764","26.414","31.752","26.398","23.188","24.158","22.53","22.286","20.794","11.169","6.652","-1.581","-7.298","3.126","1.965","5.992","3.236","1.545","5.509","3.575","2.012","5.583","11.18","15.879","22.965","23.456","-3.771","-0.75","2.598","8.79","10.162","24.554","15.145","17.11","30.661","26.28","34.898","19.526","60.842","62.681","49.534","44.442","39.603","42.07","37.801","40.051","8.557","13.129","11.321","8.566","7.938","10.475","7.643","11.931","8.576","14.109","10.284","10.141","14.556","12.545","16.83","12.774","10.758","11.118","15.035","22.102","15.82","17.298","30.742","30.908","28.255","22.205","23.509","27.392","23.478","21.02","24.202","20.551","17.548","10.547","10.202","10.807","11.722","14.888","13.853","12.25","13.851","11.428","9.503","6.085","8.801","7.655","8.746","11.427","-0.773","2.995","3.171","6.267","9.731","12.75","10.397","12.295","22.193","21.341","29.434","18.711","17.96","29.067","25.209","21.924","22.061","34.047","32.706","34.997","17.301","19.385","15.659","14.63","12.594","13.381","11.733","12.355","12.234","15.114","11.037","11.626","14.286","14.739","16.983","13.685","11.653","11.409","11.7","18.763","13.491","15.584","20.411","16.828","19.22","16.216","17.114","19.329","17.164","16.854","20.175","16.693","15.476","12.635","16.045","17.22","14.499","16.968","17.139","15.981","15.603","13.584","14.223","12.427","13.099","12.175","13.732","13.259","6.411","7.095","7.686","9.239","12.24","13.422","11.546","10.548","16.69","13.45","16.448","13.7","12.963","20.998","19.333","14.681","17.246","21.665","20.683","25.244"
"B Annualized Returns","-1.446","0.085","-0.699","0.721","2.781","5.298","11.251","7.074","3.607","10.217","19.062","22.452","19.02","13.362","15.467","16.5","13.142","12.047","15.356","18.473","19.033","18.453","21.738","14.558","16.496","12.811","13.036","14.286","14.752","15.516","15.992","7.565","6.221","-0.377","-5.623","2.548","0.434","9.702","7.214","3.818","8.589","1.75","4.107","5.047","13.785","20.114","27.891","25.882","-9.545","-0.203","6.385","8.375","10.686","20.732","16.806","24.645","17.969","19.875","17.452","18.359","44.413","48.75","39.199","31.987","37.392","31.066","24.246","24.246","3.621","6.23","4.358","3.908","4.139","6.118","3.8","6.291","3.006","5.144","6.089","5.76","8.16","6.517","7.058","7.366","7.837","8.48","13.287","12.629","10.871","14.267","19.029","18.895","17.825","13.086","13.801","15.386","13.944","14.382","15.674","13.115","12.283","8.631","6.973","8.379","8.156","10.624","9.479","8.926","11.413","8.524","9.889","7.525","9.943","9.39","9.721","13.618","-3.973","4.318","4.912","6.072","9.179","11.71","10.119","16.08","15.985","19.798","23.018","22.062","20.459","21.51","21.691","22.997","23.117","25.793","27.388","27.388","8.163","9.343","7.694","8.675","8.059","8.572","8.32","7.656","6.758","7.937","7.502","8.147","8.549","8.558","7.97","7.802","7.06","7.922","7.696","10.206","8.089","10.321","11.044","8.525","10.606","8.575","9.087","10.12","10.095","11.264","14.183","10.832","9.829","9.156","9.942","13.014","11.273","11.632","11.578","11.39","11.749","9.539","11.682","11.126","13.029","12.331","13.463","13.93","2.142","7.008","7.647","8.742","10.883","12.65","12.044","13.316","12.553","12.478","11.931","15.176","13.376","17.122","15.292","16.353","17.684","17.821","17.779","20.2"
"AR DIFF(P-B)","3.842","5.177","2.483","1.903","0.987","1.526","-1.691","1.622","4.689","5.363","-0.0800000000000018","6.616","9.364","6.661","12.946","6.213","5.72","4.636","9.041","16.328","7.1","3.917","13.026","11.856","15.256","13.587","10.152","9.872","7.778","6.77","4.802","3.604","0.431","-1.204","-1.675","0.578","1.531","-3.71","-3.978","-2.273","-3.08","1.825","-2.095","0.536","-2.605","-4.235","-4.926","-2.426","5.774","-0.547","-3.787","0.414999999999999","-0.523999999999999","3.822","-1.661","-7.535","12.692","6.405","17.446","1.167","16.429","13.931","10.335","12.455","2.211","11.004","13.555","15.805","4.936","6.899","6.963","4.658","3.799","4.357","3.843","5.64","5.57","8.965","4.195","4.381","6.396","6.028","9.772","5.408","2.921","2.638","1.748","9.473","4.949","3.031","11.713","12.013","10.43","9.119","9.708","12.006","9.534","6.638","8.528","7.436","5.265","1.916","3.229","2.428","3.566","4.264","4.374","3.324","2.438","2.904","-0.385999999999999","-1.44","-1.142","-1.735","-0.975","-2.191","3.2","-1.323","-1.741","0.195","0.552","1.04","0.278","-3.785","6.208","1.543","6.416","-3.351","-2.499","7.557","3.518","-1.073","-1.056","8.254","5.318","7.609","9.138","10.042","7.965","5.955","4.535","4.809","3.413","4.699","5.476","7.177","3.535","3.479","5.737","6.181","9.013","5.883","4.593","3.487","4.004","8.557","5.402","5.263","9.367","8.303","8.614","7.641","8.027","9.209","7.069","5.59","5.992","5.861","5.647","3.479","6.103","4.206","3.226","5.336","5.561","4.591","3.854","4.045","2.541","1.301","0.0700000000000003","-0.155999999999999","0.269","-0.670999999999999","4.269","0.0869999999999997","0.0389999999999997","0.497","1.357","0.772","-0.498000000000001","-2.768","4.137","0.972","4.517","-1.476","-0.413","3.876","4.041","-1.672","-0.438000000000002","3.844","2.904","5.044"
"P Volatility","15.95","17.68","17.04","16.47","15.86","11.97","12.8","10.77","11.47","11.75","8.56","7.38","6.98","7.98","7.98","8.17","7.04","7.17","6.67","7.03","6.05","5.8","7.02","9.59","11.14","12.35","11.53","12.66","13.68","12.7","12.6","12.06","14.98","15.09","16.05","16.1","16.46","18.19","17.58","19.35","19.66","19.17","18.95","18.72","18.41","14.47","10.9","12.83","16.05","22.17","29.17","26.91","25.91","27.73","26.6","26.7","29.66","33.02","32.54","27.68","18.87","21.52","20.78","16.53","17.22","17.92","18.84","18.49","13.5","14.88","14.14","13.44","12.93","12.37","12.56","12.26","12.31","12.8","11.93","11.5","12.25","12.77","12.54","12.55","12.05","9.74","10.02","9.75","9.81","8.66","7.27","8.68","9.21","9.37","9.4","10.44","10.97","10","10.05","9.46","11.26","11.25","13.77","12.84","13.32","14.76","14.56","15.39","15.38","15.18","15.11","15.73","15.17","15.46","14.22","13.58","15.31","19.27","23.07","22.04","21.29","22.62","22.17","21.27","22.99","24.06","23.18","21.67","21","24.66","22.69","20.25","22.31","22.58","24.5","24.5","13.13","14.43","13.49","12.9","11.73","11.33","11.35","11.14","11.48","11.85","10.8","10.78","11.58","12.04","11.9","11.79","11.1","11.35","11.31","12.01","11.53","10.99","11.72","11.91","11.76","11.95","11.56","12.44","13","10.86","11.22","10.61","11.37","11.19","12.15","11.48","11.62","12.98","12.5","13.13","13.04","13.01","12.93","13.39","12.88","13.07","12.6","12.11","13.56","16.62","19.61","18.59","18.08","19.15","18.9","18.64","19.7","21.62","20.9","19.46","18.79","21.83","20.55","19.35","20.82","20.9","22.36","22.44"
"B Volatility","16.36","17.68","17.59","17.35","17.09","15.7","15.06","11.26","11.26","11.31","7.37","7.4","6","6.06","6.1","5.99","5.46","5.34","4.85","4.25","4.22","4.18","4.13","4.97","7.63","9.23","9.25","9.4","9.41","9.92","10.26","10.2","12.91","12.81","14.17","15.9","15.5","15.53","16.08","17.44","17.65","17.36","17.51","15.73","15.82","11.86","10.55","10.51","15.75","18.95","22.61","22.37","22.49","22.48","24.24","25.31","25.38","26.51","26.6","23.33","18","14.74","15.14","15.58","15.49","12.95","10.33","10.33","12.78","13.49","13.46","13.43","13.41","13.42","13.4","13.44","13.23","13.35","13.12","12.74","12.77","12.75","12.73","12.49","12.39","11.21","10.79","8.48","8.49","8.36","5.72","6.32","6.58","7.48","7.5","7.53","7.34","7.62","7.65","7.51","9.44","9.35","11.44","12.09","12.18","12.19","12.56","13.39","13.71","13.73","13.87","13.83","13.82","14.01","13.69","13.25","14.92","17.09","19.27","19.37","19.31","19.36","20.51","20.15","20.28","19.62","19.3","19.29","19.34","19.24","18.74","18.71","18.74","18.53","18.53","18.53","11.86","12.28","12.17","12","11.82","11.72","11.7","11.5","11.44","11.47","11.28","11.23","11.41","11.41","11.39","11.38","11.35","11.25","11.23","11.23","11.15","11.21","10.91","10.97","11.11","11.42","11.41","11.28","11.21","10.51","10.31","8.86","9.89","9.79","10.16","10.78","10.36","10.37","10.64","11.29","11.43","11.43","11.5","11.47","11.46","11.55","11.59","11.46","13.01","14.67","16.33","16.4","16.46","16.57","17.42","17.75","17.8","18.33","18.23","17.98","17.76","17.8","18.01","18.04","18","17.98","17.99","17.56"
"V DIFF(P-B)","-0.41","0","-0.550000000000001","-0.880000000000003","-1.23","-3.73","-2.26","-0.49","0.210000000000001","0.44","1.19","-0.0200000000000005","0.98","1.92","1.88","2.18","1.58","1.83","1.82","2.78","1.83","1.62","2.89","4.62","3.51","3.12","2.28","3.26","4.27","2.78","2.34","1.86","2.07","2.28","1.88","0.200000000000001","0.960000000000001","2.66","1.5","1.91","2.01","1.81","1.44","2.99","2.59","2.61","0.35","2.32","0.300000000000001","3.22","6.56","4.54","3.42","5.25","2.36","1.39","4.28","6.51","5.94","4.35","0.870000000000001","6.78","5.64","0.950000000000001","1.73","4.97","8.51","8.16","0.720000000000001","1.39","0.68","0.00999999999999979","-0.48","-1.05","-0.84","-1.18","-0.92","-0.549999999999999","-1.19","-1.24","-0.52","0.0199999999999996","-0.190000000000001","0.0600000000000005","-0.34","-1.47","-0.77","1.27","1.32","0.300000000000001","1.55","2.36","2.63","1.89","1.9","2.91","3.63","2.38","2.4","1.95","1.82","1.9","2.33","0.75","1.14","2.57","2","2","1.67","1.45","1.24","1.9","1.35","1.45","0.530000000000001","0.33","0.390000000000001","2.18","3.8","2.67","1.98","3.26","1.66","1.12","2.71","4.44","3.88","2.38","1.66","5.42","3.95","1.54","3.57","4.05","5.97","5.97","1.27","2.15","1.32","0.9","-0.0899999999999999","-0.390000000000001","-0.35","-0.359999999999999","0.0400000000000009","0.379999999999999","-0.479999999999999","-0.450000000000001","0.17","0.629999999999999","0.51","0.409999999999998","-0.25","0.0999999999999996","0.0800000000000001","0.779999999999999","0.379999999999999","-0.220000000000001","0.81","0.94","0.65","0.529999999999999","0.15","1.16","1.79","0.35","0.91","1.75","1.48","1.4","1.99","0.700000000000001","1.26","2.61","1.86","1.84","1.61","1.58","1.43","1.92","1.42","1.52","1.01","0.649999999999999","0.550000000000001","1.95","3.28","2.19","1.62","2.58","1.48","0.890000000000001","1.9","3.29","2.67","1.48","1.03","4.03","2.54","1.31","2.82","2.92","4.37","4.88"
"P Tracking Error","7.18","9.15","7.76","7.55","7.5","6.58","4.42","3.8","2.38","3.95","2.82","3.72","4.37","4.19","4.58","4.75","4.41","4.52","3.91","5.67","4.85","4.58","6.64","6.6","6.78","7.59","6.6","5.85","7.13","7.29","6.29","5.87","5.54","5.19","5.65","4.83","3.39","5.25","4.57","4.06","4.4","5.16","4.81","5.48","6.24","6.64","5.16","6.64","7.25","8.53","10.36","9.37","8.23","9.55","7.93","8.44","8.61","11.59","10.71","9.03","7.01","9.53","8.97","9.51","8.72","9.84","11.71","10.92","6.57","7.77","6.5","6.51","6.17","5.99","6.1","5.89","5.94","6.12","5.47","5.98","6.24","5.9","6.11","5.73","6.11","5.42","4.16","4.73","4.06","3.68","5.13","5.15","5.41","5.49","5.72","5.78","6.65","6.27","5.85","5.29","5.35","4.87","5.46","4.22","3.74","5.34","5.54","5.05","4.59","4.87","4.29","4.47","5.05","5.47","4.71","4.95","5.62","6.49","7.55","7.19","6.6","7.16","6.44","6.73","7.08","8.92","8.6","7.29","6.81","8.91","7.96","8.63","8.58","8.66","10.43","9.85","6.58","8.53","6.92","7.03","6.08","5.98","5.89","5.77","6.19","6.14","5.36","5.6","5.9","5.8","5.86","5.43","5.44","5.42","5.24","5.36","5.32","5.03","5.73","5.85","6.05","6.03","6.27","6.29","6.74","6.06","5.2","4.99","4.74","4.43","5.04","3.75","3.71","5.14","4.98","4.73","4.57","4.87","4.27","4.29","4.66","5.08","4.51","4.46","5.18","5.84","6.71","6.1","5.68","6.11","5.68","5.89","6.15","7.61","7.33","6.34","5.88","7.62","6.86","7.61","7.36","7.56","9.12","8.69"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
