"","2014-03-11_to_2017-03-12_ALLPortfolio_5QRank","2014-04-11_to_2017-04-12_ALLPortfolio_5QRank","2014-05-12_to_2017-05-12_ALLPortfolio_5QRank","2014-06-11_to_2017-06-12_ALLPortfolio_5QRank","2014-07-11_to_2017-07-12_ALLPortfolio_5QRank","2014-08-11_to_2017-08-12_ALLPortfolio_5QRank","2014-09-11_to_2017-09-12_ALLPortfolio_5QRank","2014-10-13_to_2017-10-12_ALLPortfolio_5QRank","2014-11-11_to_2017-11-12_ALLPortfolio_5QRank","2014-12-11_to_2017-12-12_ALLPortfolio_5QRank","2015-01-12_to_2018-01-12_ALLPortfolio_5QRank","2015-02-11_to_2018-02-12_ALLPortfolio_5QRank","2015-03-11_to_2018-03-12_ALLPortfolio_5QRank","2015-04-13_to_2018-04-12_ALLPortfolio_5QRank","2015-05-11_to_2018-05-12_ALLPortfolio_5QRank","2015-06-11_to_2018-06-12_ALLPortfolio_5QRank","2015-07-13_to_2018-07-12_ALLPortfolio_5QRank","2015-08-11_to_2018-08-12_ALLPortfolio_5QRank","2015-09-11_to_2018-09-12_ALLPortfolio_5QRank","2015-10-12_to_2018-10-12_ALLPortfolio_5QRank","2015-11-11_to_2018-11-12_ALLPortfolio_5QRank","2015-12-11_to_2018-12-12_ALLPortfolio_5QRank","2016-01-11_to_2019-01-12_ALLPortfolio_5QRank","2016-02-11_to_2019-02-12_ALLPortfolio_5QRank","2016-03-11_to_2019-03-12_ALLPortfolio_5QRank","2016-04-11_to_2019-04-12_ALLPortfolio_5QRank","2016-05-11_to_2019-05-12_ALLPortfolio_5QRank","2016-06-13_to_2019-06-12_ALLPortfolio_5QRank","2016-07-11_to_2019-07-12_ALLPortfolio_5QRank","2016-08-11_to_2019-08-12_ALLPortfolio_5QRank","2016-09-12_to_2019-09-12_ALLPortfolio_5QRank","2016-10-11_to_2019-10-12_ALLPortfolio_5QRank","2016-11-11_to_2019-11-12_ALLPortfolio_5QRank","2016-12-12_to_2019-12-12_ALLPortfolio_5QRank","2017-01-11_to_2020-01-12_ALLPortfolio_5QRank","2017-02-13_to_2020-02-12_ALLPortfolio_5QRank","2017-03-13_to_2020-03-12_ALLPortfolio_5QRank","2017-04-11_to_2020-04-12_ALLPortfolio_5QRank","2017-05-11_to_2020-05-12_ALLPortfolio_5QRank","2017-06-12_to_2020-06-12_ALLPortfolio_5QRank","2017-07-11_to_2020-07-12_ALLPortfolio_5QRank","2017-08-11_to_2020-08-12_ALLPortfolio_5QRank","2017-09-11_to_2020-09-12_ALLPortfolio_5QRank","2017-10-11_to_2020-10-12_ALLPortfolio_5QRank","2017-11-13_to_2020-11-12_ALLPortfolio_5QRank","2017-12-11_to_2020-12-12_ALLPortfolio_5QRank","2018-01-11_to_2021-01-12_ALLPortfolio_5QRank","2018-02-12_to_2021-02-12_ALLPortfolio_5QRank","2018-03-12_to_2021-03-12_ALLPortfolio_5QRank","2018-04-11_to_2021-04-12_ALLPortfolio_5QRank","2018-05-11_to_2021-05-12_ALLPortfolio_5QRank","2018-06-11_to_2021-06-12_ALLPortfolio_5QRank","2018-07-11_to_2021-07-12_ALLPortfolio_5QRank","2018-08-13_to_2021-08-12_ALLPortfolio_5QRank","2018-09-11_to_2021-09-12_ALLPortfolio_5QRank","2018-10-11_to_2021-10-12_ALLPortfolio_5QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","11.404","15.148","14.918","15.476","14.656","12.943","12.676","15.286","13.059","13.18","15.214","10.421","16.275","15.947","11.19","11.974","11.679","13.208","15.689","16.689","16.211","13.423","15.916","19.872","16.507","16.89","17.933","16.539","16.978","13.774","14.506","13.372","13.411","14.307","14.968","14.554","1.586","6.858","7.311","8.231","10.652","12.342","13.883","13.145","11.561","15.096","15.969","20.572","17.358","16.761","15.77","15.794","18.059","17.38","22.429","25.454"
"B Annualized Returns","8.544","8.655","7.97","7.617","6.829","7.876","7.371","10.341","8.065","9.282","11.044","7.849","10.471","8.266","8.966","9.593","9.718","11.306","14.186","10.832","10.473","8.98","10.236","12.691","11.183","11.986","11.581","11.494","11.948","10.277","11.578","11.138","12.988","12.031","13.377","13.705","5.532","6.914","8.436","8.742","11.119","12.066","12.185","12.064","12.888","12.594","12.206","15.176","13.376","17.207","16.113","16.376","17.633","17.648","17.773","20.463"
"AR DIFF(P-B)","2.86","6.493","6.948","7.859","7.827","5.067","5.305","4.945","4.994","3.898","4.17","2.572","5.804","7.681","2.224","2.381","1.961","1.902","1.503","5.857","5.738","4.443","5.68","7.181","5.324","4.904","6.352","5.045","5.03","3.497","2.928","2.234","0.423","2.276","1.591","0.849","-3.946","-0.056","-1.125","-0.511000000000001","-0.467000000000001","0.276","1.698","1.081","-1.327","2.502","3.763","5.396","3.982","-0.446000000000002","-0.343","-0.582000000000001","0.426000000000002","-0.268000000000001","4.656","4.991"
"P Volatility","10.94","11.13","11.16","10.89","10.96","10.51","11.07","11.45","11.17","11.04","11.12","10.69","11.33","12.09","10.9","11.15","11","9.6","10.03","10.27","10.91","11.16","11.94","13.63","13.2","12.72","13.29","13.78","14.24","13.81","13.01","12.71","12.01","12.42","12.38","12.4","12.97","15.78","17.91","18.67","18.78","19.03","20.78","21.09","20.15","22.23","21.57","22.12","21.4","19.86","19.31","19.3","19.39","19.53","22.13","22.6"
"B Volatility","11.41","11.41","11.39","11.38","11.35","11.25","11.23","11.23","11.15","11.21","10.91","10.97","11.11","11.42","11.41","11.28","11.21","10.51","10.31","8.86","9.89","9.79","10.16","10.78","10.36","10.37","10.64","11.29","11.43","11.43","11.5","11.47","11.46","11.55","11.59","11.46","13.01","14.67","16.33","16.4","16.46","16.57","17.42","17.75","17.8","18.33","18.23","17.98","17.76","17.8","18.01","18.04","18","17.98","17.99","17.56"
"V DIFF(P-B)","-0.470000000000001","-0.279999999999999","-0.23","-0.49","-0.389999999999999","-0.74","-0.16","0.219999999999999","0.0199999999999996","-0.170000000000002","0.209999999999999","-0.280000000000001","0.220000000000001","0.67","-0.51","-0.129999999999999","-0.210000000000001","-0.91","-0.280000000000001","1.41","1.02","1.37","1.78","2.85","2.84","2.35","2.65","2.49","2.81","2.38","1.51","1.24","0.549999999999999","0.869999999999999","0.790000000000001","0.94","-0.0399999999999991","1.11","1.58","2.27","2.32","2.46","3.36","3.34","2.35","3.9","3.34","4.14","3.64","2.06","1.3","1.26","1.39","1.55","4.14","5.04"
"P Tracking Error","5.12","5.51","5.41","6.01","6.04","5.78","5.67","5.48","5.22","4.86","4.91","4.91","5.54","5.84","4.95","4.8","4.84","4.95","4.17","4.9","4.36","4.46","4.64","5.3","5.21","4.99","5.55","5.04","5.26","4.89","4.4","4.28","4.43","4.46","4.21","4.57","4.56","5.03","5.47","6.33","6.33","6.24","6.73","6.98","6.13","7.55","7.11","7.56","7.05","6.04","6.2","6.53","6.66","6.97","8.07","8.64"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
