"","1 Y 2014-06-11 to 2015-06-12","1 Y 2014-07-11 to 2015-07-12","1 Y 2014-08-11 to 2015-08-12","1 Y 2014-09-11 to 2015-09-12","1 Y 2014-10-13 to 2015-10-12","1 Y 2014-11-11 to 2015-11-12","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","14.666","10.519","16.066","4.099","16.145","6.93","3.806","2.838","-6.204","1.72","3.067","3.185","2.455","8.657","6.879","16.03","7.226","6.426","12.852","20.549","25.614","19.238","10.928","10.108","13.569","9.516","7.538","14.986","18.879","15.861","15.336","21.299","15.974","18.924","14.704","13.721","14.215","12.334","14.999","13.534","8.189","5.283","0.807","-4.35","3.745","1.814","9.947","8.69","6.083","8.341","2.035","5.167","8.518","11.999","19.574","22.844","20.002","-15.157","-4.453","-5.604","-2.099","-1.655","7.291","4.185","8.982","12.64","21.055","11.528","14.901","58.357","47.517","40.262","40.723","36.878","31.48","33.181"
"B Annualized Returns","7.842","4.877","6.944","-3.171","6.13","1.056","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","6.824","5.642","9.122","7.27","10.015","5.874","2.069","6.192","2.908","2.872","2.982","3.884","2.64","5.876","1.522","4.779","0.152","1.572","2.635","1.487","2.785","1.51","-2.434","-5.269","-2.931","-3.626","-4.257","-0.369999999999999","0.406000000000002","-3.15","-3.117","-1.544","1.416","2.428","1.893","0.206","-0.0709999999999997","-2.418","-1.102","-2.458","-1.466","-0.938","1.184","1.888","1.197","1.38","0.526","2.425","2.265","0.435","0.285","1.06","0.161000000000001","-1.786","-0.539999999999999","-4.449","-5.88","-5.612","-4.297","-11.989","-11.336","-13.357","-13.441","-12.177","-15.663","-5.329","2.181","-5.924","-4.256","-0.694000000000003","-1.233","1.063","0.571999999999996","-0.514000000000003","0.414000000000001","-1.752"
"P Volatility","10.86","10.25","9.81","12.31","12.39","15.48","15.09","13.89","13.9","14.36","15.99","16.68","16.11","15.92","13.3","13.43","10.88","10.83","10.45","7.79","7.65","6.71","7.08","6.51","6.49","6.2","5.75","5.62","4.36","4.79","5.06","4.94","6.25","8.59","9.42","9.52","9.74","9.6","10.83","9.94","10.15","11.57","11.99","13.59","14.67","15.26","14.84","15.29","16.97","17.09","18.42","17.61","17.12","17.02","12.98","12.51","12.53","16.53","20.41","24.13","23.32","24.49","24.76","24.82","25.66","26.66","30.73","27.48","24.92","18.4","15.62","15.39","15.41","15.98","14.4","13.87"
"B Volatility","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","0.91","0.0299999999999994","-0.109999999999999","0.360000000000001","0.190000000000001","-0.77","-1.19","-1.55","-1.13","-0.51","-0.319999999999999","0.41","-0.0600000000000023","-0.0500000000000007","-1.42","-0.620000000000001","1.11","0.92","0.479999999999999","-0.18","0.11","0.54","0.85","0.27","0.36","0.680000000000001","0.3","0.31","0.100000000000001","0.64","0.8","0.680000000000001","0.68","0.609999999999999","-0.130000000000001","-0.0500000000000007","0.0500000000000007","-0.0400000000000009","0.69","-0.51","-0.279999999999999","-1.47","-1.06","-1.21","-1.79","-0.81","-1.32","-1.21","-1.48","-2.25","-0.629999999999999","-1.58","-0.469999999999999","-0.66","-0.48","0.16","0.129999999999999","0.350000000000001","1.27","1.91","1.81","2.9","2.95","1.7","1.42","2.04","4.37","1.07","1.03","-0.530000000000001","-0.25","-0.699999999999999","-0.940000000000001","-0.0899999999999999","0.0700000000000003","1.79"
"P Tracking Error","3.67","2.96","3.08","3.2","2.92","2.28","2.74","2.66","4.09","3.5","3.37","3.16","2.91","3.17","3.39","2.64","2.87","2.89","2.38","2.03","1.75","2.51","2.7","2.04","1.45","2.13","2.14","2.09","1.91","1.86","1.61","1.7","1.51","1.63","1.55","1.63","1.73","1.68","2.26","3.38","2.36","3.3","4.27","3.83","4.42","4.1","4.01","4.09","4.36","5.21","4.13","4.76","3.75","2.86","2.89","2.22","3.3","2.74","3.55","4.32","4.5","4.9","4.82","3.93","5.68","4.48","7.05","6.28","5.95","6.1","4.93","8.41","8.3","8.6","7.34","7.1"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
