"","2014-12-11_to_2015-12-12_CorePortfolio_8QRank","2015-01-12_to_2016-01-12_CorePortfolio_8QRank","2015-02-11_to_2016-02-12_CorePortfolio_8QRank","2015-03-11_to_2016-03-12_CorePortfolio_8QRank","2015-04-13_to_2016-04-12_CorePortfolio_8QRank","2015-05-11_to_2016-05-12_CorePortfolio_8QRank","2015-06-11_to_2016-06-12_CorePortfolio_8QRank","2015-07-13_to_2016-07-12_CorePortfolio_8QRank","2015-08-11_to_2016-08-12_CorePortfolio_8QRank","2015-09-11_to_2016-09-12_CorePortfolio_8QRank","2015-10-12_to_2016-10-12_CorePortfolio_8QRank","2015-11-11_to_2016-11-12_CorePortfolio_8QRank","2015-12-11_to_2016-12-12_CorePortfolio_8QRank","2016-01-11_to_2017-01-12_CorePortfolio_8QRank","2016-02-11_to_2017-02-12_CorePortfolio_8QRank","2016-03-11_to_2017-03-12_CorePortfolio_8QRank","2016-04-11_to_2017-04-12_CorePortfolio_8QRank","2016-05-11_to_2017-05-12_CorePortfolio_8QRank","2016-06-13_to_2017-06-12_CorePortfolio_8QRank","2016-07-11_to_2017-07-12_CorePortfolio_8QRank","2016-08-11_to_2017-08-12_CorePortfolio_8QRank","2016-09-12_to_2017-09-12_CorePortfolio_8QRank","2016-10-11_to_2017-10-12_CorePortfolio_8QRank","2016-11-11_to_2017-11-12_CorePortfolio_8QRank","2016-12-12_to_2017-12-12_CorePortfolio_8QRank","2017-01-11_to_2018-01-12_CorePortfolio_8QRank","2017-02-13_to_2018-02-12_CorePortfolio_8QRank","2017-03-13_to_2018-03-12_CorePortfolio_8QRank","2017-04-11_to_2018-04-12_CorePortfolio_8QRank","2017-05-11_to_2018-05-12_CorePortfolio_8QRank","2017-06-12_to_2018-06-12_CorePortfolio_8QRank","2017-07-11_to_2018-07-12_CorePortfolio_8QRank","2017-08-11_to_2018-08-12_CorePortfolio_8QRank","2017-09-11_to_2018-09-12_CorePortfolio_8QRank","2017-10-11_to_2018-10-12_CorePortfolio_8QRank","2017-11-13_to_2018-11-12_CorePortfolio_8QRank","2017-12-11_to_2018-12-12_CorePortfolio_8QRank","2018-01-11_to_2019-01-12_CorePortfolio_8QRank","2018-02-12_to_2019-02-12_CorePortfolio_8QRank","2018-03-12_to_2019-03-12_CorePortfolio_8QRank","2018-04-11_to_2019-04-12_CorePortfolio_8QRank","2018-05-11_to_2019-05-12_CorePortfolio_8QRank","2018-06-11_to_2019-06-12_CorePortfolio_8QRank","2018-07-11_to_2019-07-12_CorePortfolio_8QRank","2018-08-13_to_2019-08-12_CorePortfolio_8QRank","2018-09-11_to_2019-09-12_CorePortfolio_8QRank","2018-10-11_to_2019-10-12_CorePortfolio_8QRank","2018-11-12_to_2019-11-12_CorePortfolio_8QRank","2018-12-11_to_2019-12-12_CorePortfolio_8QRank","2019-01-11_to_2020-01-12_CorePortfolio_8QRank","2019-02-11_to_2020-02-12_CorePortfolio_8QRank","2019-03-11_to_2020-03-12_CorePortfolio_8QRank","2019-04-11_to_2020-04-12_CorePortfolio_8QRank","2019-05-13_to_2020-05-12_CorePortfolio_8QRank","2019-06-11_to_2020-06-12_CorePortfolio_8QRank","2019-07-11_to_2020-07-12_CorePortfolio_8QRank","2019-08-12_to_2020-08-12_CorePortfolio_8QRank","2019-09-11_to_2020-09-12_CorePortfolio_8QRank","2019-10-11_to_2020-10-12_CorePortfolio_8QRank","2019-11-11_to_2020-11-12_CorePortfolio_8QRank","2019-12-11_to_2020-12-12_CorePortfolio_8QRank","2020-01-13_to_2021-01-12_CorePortfolio_8QRank","2020-02-11_to_2021-02-12_CorePortfolio_8QRank","2020-03-11_to_2021-03-12_CorePortfolio_8QRank","2020-04-13_to_2021-04-12_CorePortfolio_8QRank","2020-05-11_to_2021-05-12_CorePortfolio_8QRank","2020-06-11_to_2021-06-12_CorePortfolio_8QRank","2020-07-13_to_2021-07-12_CorePortfolio_8QRank","2020-08-11_to_2021-08-12_CorePortfolio_8QRank","2020-09-11_to_2021-09-12_CorePortfolio_8QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","6.493","-0.295","-6.437","0.566","1.988","1.751","4.704","8.988","5.284","15.317","8.141","7.048","11.903","18.345","24.362","19.247","12.505","14.091","16.197","13.762","10.122","14.964","19.154","16.239","16.187","23.324","13.881","15.375","12.067","12.584","14.343","10.176","13.454","10.742","4.829","2.556","-0.641","-5.263","4.407","1.63","11.952","7.598","5.959","10.137","4.925","6.036","10.129","11.478","16.201","23.605","22.021","-11.284","-5.526","-0.7","2.419","2.502","11.847","5.634","9.827","14.71","21.371","12.07","9.94","55.776","45.533","42.789","40.494","35.397","30.317","32.251"
"B Annualized Returns","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","4.756","3.059","2.675","1.718","1.903","2.45","4.889","6.207","-0.0730000000000004","4.066","1.067","2.194","1.686","-0.717000000000002","1.533","1.519","-0.856999999999999","-1.286","-0.303000000000001","0.620000000000001","-1.673","-0.391999999999999","0.681000000000001","-2.772","-2.266","0.481000000000002","-0.677","-1.121","-0.744","-0.931000000000001","0.0570000000000004","-4.576","-2.647","-5.25","-4.826","-3.665","-0.264","0.975000000000001","1.859","1.196","2.531","1.333","2.141","2.231","3.175","1.929","1.772","-2.307","-3.913","-3.688","-3.861","-1.739","-5.37","-7.085","-6.818","-9.2","-8.885","-10.728","-14.818","-3.259","2.497","-5.382","-9.217","-3.275","-3.217","3.59","0.342999999999996","-1.995","-0.748999999999999","-2.682"
"P Volatility","14.91","13.65","14.66","15.22","16.62","16.47","16.88","16.67","14.91","14.98","11.54","11.15","11.08","8.26","7.92","6.41","6.65","6.34","6.39","5.53","6.18","5.51","4.93","4.75","4.57","4.48","5.08","7.49","8.85","8.63","9.11","8.93","9.74","9.57","9.53","11.86","12","13.65","15.12","15.38","14.16","14.76","16.75","17.71","17.91","17.79","16.48","17.22","13.62","12.46","12.08","15.76","20.04","23.09","22.25","22.58","22.8","23.94","23.97","26.31","31.17","27.87","24.46","17.87","15.35","16.11","15.18","15.98","14.28","13.73"
"B Volatility","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","-1.37","-1.79","-0.369999999999999","0.350000000000001","0.310000000000002","0.199999999999999","0.709999999999997","0.700000000000001","0.19","0.93","1.77","1.24","1.11","0.29","0.38","0.24","0.42","0.0999999999999996","0.26","0.0100000000000007","0.73","0.2","0.67","0.6","0.31","0.220000000000001","-0.49","-0.49","-0.700000000000001","-0.94","-0.58","-0.710000000000001","-0.4","-0.879999999999999","-0.9","-1.18","-1.05","-1.15","-1.34","-0.69","-2","-1.74","-1.7","-1.63","-1.14","-1.4","-1.11","-0.460000000000001","0.159999999999998","0.110000000000001","-0.32","-0.42","0.899999999999999","0.870000000000001","0.739999999999998","0.989999999999998","0.990000000000002","0.82","-0.27","1.69","4.81","1.46","0.57","-1.06","-0.52","0.0199999999999996","-1.17","-0.0899999999999999","-0.0500000000000007","1.65"
"P Tracking Error","2.97","3.05","3.29","2.92","3.18","3.16","2.86","2.91","3.44","3.66","3.16","2.67","2.24","2.12","1.61","1.73","2.15","1.82","1.69","1.95","1.68","1.4","1.53","1.76","1.36","1.36","1.57","1.5","1.77","1.6","1.97","1.86","2.32","2.61","3.3","3.58","2.8","3.9","3.12","3.49","3.95","4.55","4.13","4.36","3.55","3.96","3.98","2.3","2.73","2.47","2.61","2.5","3.05","3.46","2.96","3.74","4.14","3.92","5.59","4.11","7.48","6.97","6.74","5.33","6.53","7.53","6.97","7.88","7.04","6.67"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
