"","2013-09-11_to_2015-09-12_CorePortfolio_3QRank","2013-10-11_to_2015-10-12_CorePortfolio_3QRank","2013-11-11_to_2015-11-12_CorePortfolio_3QRank","2013-12-11_to_2015-12-12_CorePortfolio_3QRank","2014-01-13_to_2016-01-12_CorePortfolio_3QRank","2014-02-11_to_2016-02-12_CorePortfolio_3QRank","2014-03-11_to_2016-03-12_CorePortfolio_3QRank","2014-04-11_to_2016-04-12_CorePortfolio_3QRank","2014-05-12_to_2016-05-12_CorePortfolio_3QRank","2014-06-11_to_2016-06-12_CorePortfolio_3QRank","2014-07-11_to_2016-07-12_CorePortfolio_3QRank","2014-08-11_to_2016-08-12_CorePortfolio_3QRank","2014-09-11_to_2016-09-12_CorePortfolio_3QRank","2014-10-13_to_2016-10-12_CorePortfolio_3QRank","2014-11-11_to_2016-11-12_CorePortfolio_3QRank","2014-12-11_to_2016-12-12_CorePortfolio_3QRank","2015-01-12_to_2017-01-12_CorePortfolio_3QRank","2015-02-11_to_2017-02-12_CorePortfolio_3QRank","2015-03-11_to_2017-03-12_CorePortfolio_3QRank","2015-04-13_to_2017-04-12_CorePortfolio_3QRank","2015-05-11_to_2017-05-12_CorePortfolio_3QRank","2015-06-11_to_2017-06-12_CorePortfolio_3QRank","2015-07-13_to_2017-07-12_CorePortfolio_3QRank","2015-08-11_to_2017-08-12_CorePortfolio_3QRank","2015-09-11_to_2017-09-12_CorePortfolio_3QRank","2015-10-12_to_2017-10-12_CorePortfolio_3QRank","2015-11-11_to_2017-11-12_CorePortfolio_3QRank","2015-12-11_to_2017-12-12_CorePortfolio_3QRank","2016-01-11_to_2018-01-12_CorePortfolio_3QRank","2016-02-11_to_2018-02-12_CorePortfolio_3QRank","2016-03-11_to_2018-03-12_CorePortfolio_3QRank","2016-04-11_to_2018-04-12_CorePortfolio_3QRank","2016-05-11_to_2018-05-12_CorePortfolio_3QRank","2016-06-13_to_2018-06-12_CorePortfolio_3QRank","2016-07-11_to_2018-07-12_CorePortfolio_3QRank","2016-08-11_to_2018-08-12_CorePortfolio_3QRank","2016-09-12_to_2018-09-12_CorePortfolio_3QRank","2016-10-11_to_2018-10-12_CorePortfolio_3QRank","2016-11-11_to_2018-11-12_CorePortfolio_3QRank","2016-12-12_to_2018-12-12_CorePortfolio_3QRank","2017-01-11_to_2019-01-12_CorePortfolio_3QRank","2017-02-13_to_2019-02-12_CorePortfolio_3QRank","2017-03-13_to_2019-03-12_CorePortfolio_3QRank","2017-04-11_to_2019-04-12_CorePortfolio_3QRank","2017-05-11_to_2019-05-12_CorePortfolio_3QRank","2017-06-12_to_2019-06-12_CorePortfolio_3QRank","2017-07-11_to_2019-07-12_CorePortfolio_3QRank","2017-08-11_to_2019-08-12_CorePortfolio_3QRank","2017-09-11_to_2019-09-12_CorePortfolio_3QRank","2017-10-11_to_2019-10-12_CorePortfolio_3QRank","2017-11-13_to_2019-11-12_CorePortfolio_3QRank","2017-12-11_to_2019-12-12_CorePortfolio_3QRank","2018-01-11_to_2020-01-12_CorePortfolio_3QRank","2018-02-12_to_2020-02-12_CorePortfolio_3QRank","2018-03-12_to_2020-03-12_CorePortfolio_3QRank","2018-04-11_to_2020-04-12_CorePortfolio_3QRank","2018-05-11_to_2020-05-12_CorePortfolio_3QRank","2018-06-11_to_2020-06-12_CorePortfolio_3QRank","2018-07-11_to_2020-07-12_CorePortfolio_3QRank","2018-08-13_to_2020-08-12_CorePortfolio_3QRank","2018-09-11_to_2020-09-12_CorePortfolio_3QRank","2018-10-11_to_2020-10-12_CorePortfolio_3QRank","2018-11-12_to_2020-11-12_CorePortfolio_3QRank","2018-12-11_to_2020-12-12_CorePortfolio_3QRank","2019-01-11_to_2021-01-12_CorePortfolio_3QRank","2019-02-11_to_2021-02-12_CorePortfolio_3QRank","2019-03-11_to_2021-03-12_CorePortfolio_3QRank","2019-04-11_to_2021-04-12_CorePortfolio_3QRank","2019-05-13_to_2021-05-12_CorePortfolio_3QRank","2019-06-11_to_2021-06-12_CorePortfolio_3QRank","2019-07-11_to_2021-07-12_CorePortfolio_3QRank","2019-08-12_to_2021-08-12_CorePortfolio_3QRank","2019-09-11_to_2021-09-12_CorePortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","12.615","11.628","11.357","8.626","6.69","2.475","5.573","8.382","6.115","8.478","7.947","10.806","6.477","11.034","7.794","8.768","9.338","10.742","15.078","12.437","12.929","14.493","15.872","13.032","12.495","13.012","11.796","15.152","19.955","20.781","19.374","13.857","14.415","16.241","15.554","14.257","14.881","13.612","13.406","11.612","9.766","11.152","11.778","14.144","11.591","11.035","13.422","7.861","9.351","6.386","7.869","8.8","6.587","9.388","-5.832","-0.052","-0.255","1.196","4.275","8.799","3.828","11.59","13.59","18.817","18.288","26.987","15.578","16.894","19.37","19.503","27.558","23.083","22.977"
"B Annualized Returns","6.736","8.481","7.483","7.303","3.425","1.851","4.379","6.631","4.419","3.731","4.425","5.983","3.8","6.291","2.909","5.144","5.944","5.849","8.486","6.517","6.851","7.366","7.837","8.564","13.269","12.293","10.917","13.431","19.888","18.895","16.99","13.622","14.487","15.386","14.245","13.925","15.674","13.993","12.401","8.631","6.838","8.379","8.156","10.951","9.835","8.926","11.632","8.44","10.099","7.96","9.943","9.563","9.225","13.618","-4.331","4.657","4.975","6.74","10.135","11.71","10.065","16.08","15.845","19.766","22.625","23.046","20.488","21.51","21.691","23.054","23.117","26.747","25.396"
"AR DIFF(P-B)","5.879","3.147","3.874","1.323","3.265","0.624","1.194","1.751","1.696","4.747","3.522","4.823","2.677","4.743","4.885","3.624","3.394","4.893","6.592","5.92","6.078","7.127","8.035","4.468","-0.774000000000001","0.719000000000001","0.879","1.721","0.0669999999999966","1.886","2.384","0.234999999999999","-0.072000000000001","0.855","1.309","0.331999999999999","-0.792999999999999","-0.381","1.005","2.981","2.928","2.773","3.622","3.193","1.756","2.109","1.79","-0.579","-0.747999999999999","-1.574","-2.074","-0.763","-2.638","-4.23","-1.501","-4.709","-5.23","-5.544","-5.86","-2.911","-6.237","-4.49","-2.255","-0.948999999999998","-4.337","3.941","-4.91","-4.616","-2.321","-3.551","4.441","-3.664","-2.419"
"P Volatility","10.97","10.72","11.95","11.86","12.29","12.88","12.3","12.47","12.43","12.55","13.27","12.7","11.72","12.27","11.67","11.51","11.63","11.4","11.36","11.86","11.58","12.31","12.91","10.86","10.3","8.83","8.58","8.21","6.46","7.08","7.08","7.76","7.75","8.26","8.11","8.01","7.81","7.85","9.71","9.56","11.32","12.43","12.38","12.51","11.89","13.18","13.94","14.07","14.63","14.43","14.33","14.59","14.2","13.77","14.65","17.87","19.6","19.6","18.16","20.03","18.9","18.74","20.93","20.79","19.52","21.29","20.58","21.5","19.46","19.19","23.09","18.49","18.07"
"B Volatility","10.31","10.21","12.25","12.23","11.83","12.23","12.25","12.99","12.94","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","0.66","0.51","-0.300000000000001","-0.370000000000001","0.459999999999999","0.65","0.0500000000000007","-0.52","-0.51","-0.379999999999999","0.359999999999999","-0.220000000000001","-1.17","-0.6","-1.18","-1.46","-0.83","-0.48","-0.600000000000001","-0.0899999999999999","-0.369999999999999","0.520000000000001","1.19","0.24","0.130000000000001","1.13","0.9","0.680000000000001","0.35","0.47","0.21","0.0499999999999998","0.0199999999999996","0.5","0.579999999999999","0.23","-0.100000000000001","0.21","0.200000000000001","0.0999999999999996","-0.59","-0.109999999999999","-0.229999999999999","-0.15","-1.02","-0.93","-0.83","-0.699999999999999","-0.26","-0.44","-0.529999999999999","-0.42","-0.450000000000001","-0.450000000000001","-0.77","0.510000000000002","0.0800000000000018","-0.0499999999999972","-1.4","0.280000000000001","-1.69","-1.51","0.399999999999999","0.789999999999999","-0.170000000000002","1.54","0.84","1.77","0.630000000000003","0.650000000000002","4.53","0.139999999999997","-0.300000000000001"
"P Tracking Error","3.49","2.86","3.73","2.89","2.97","3.31","3.23","3.15","3.25","3.28","2.58","2.63","3.39","3.04","2.56","3.29","2.92","3.02","3.27","2.97","3.05","3.03","3.82","3.43","2.3","2.37","2.3","2.08","2.24","1.86","1.91","2.02","2.13","1.69","1.96","2.27","2.15","2.32","2.28","2.2","2.04","1.97","2.65","2.85","3.15","2.98","2.84","3.19","3.13","3.27","3.69","2.84","2.72","2.94","3.06","3.59","3.69","4.07","4.08","3.51","5.29","4.87","3.57","3.94","4.39","3.76","3.44","5.22","4.39","5.11","7.3","5.64","5.15"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
