"","1 Y 2014-06-11 to 2016-06-12","1 Y 2014-07-11 to 2016-07-12","1 Y 2014-08-11 to 2016-08-12","1 Y 2014-09-11 to 2016-09-12","1 Y 2014-10-13 to 2016-10-12","1 Y 2014-11-11 to 2016-11-12","1 Y 2014-12-11 to 2016-12-12","1 Y 2015-01-12 to 2017-01-12","1 Y 2015-02-11 to 2017-02-12","1 Y 2015-03-11 to 2017-03-12","1 Y 2015-04-13 to 2017-04-12","1 Y 2015-05-11 to 2017-05-12","1 Y 2015-06-11 to 2017-06-12","1 Y 2015-07-13 to 2017-07-12","1 Y 2015-08-11 to 2017-08-12","1 Y 2015-09-11 to 2017-09-12","1 Y 2015-10-12 to 2017-10-12","1 Y 2015-11-11 to 2017-11-12","1 Y 2015-12-11 to 2017-12-12","1 Y 2016-01-11 to 2018-01-12","1 Y 2016-02-11 to 2018-02-12","1 Y 2016-03-11 to 2018-03-12","1 Y 2016-04-11 to 2018-04-12","1 Y 2016-05-11 to 2018-05-12","1 Y 2016-06-13 to 2018-06-12","1 Y 2016-07-11 to 2018-07-12","1 Y 2016-08-11 to 2018-08-12","1 Y 2016-09-12 to 2018-09-12","1 Y 2016-10-11 to 2018-10-12","1 Y 2016-11-11 to 2018-11-12","1 Y 2016-12-12 to 2018-12-12","1 Y 2017-01-11 to 2019-01-12","1 Y 2017-02-13 to 2019-02-12","1 Y 2017-03-13 to 2019-03-12","1 Y 2017-04-11 to 2019-04-12","1 Y 2017-05-11 to 2019-05-12","1 Y 2017-06-12 to 2019-06-12","1 Y 2017-07-11 to 2019-07-12","1 Y 2017-08-11 to 2019-08-12","1 Y 2017-09-11 to 2019-09-12","1 Y 2017-10-11 to 2019-10-12","1 Y 2017-11-13 to 2019-11-12","1 Y 2017-12-11 to 2019-12-12","1 Y 2018-01-11 to 2020-01-12","1 Y 2018-02-12 to 2020-02-12","1 Y 2018-03-12 to 2020-03-12","1 Y 2018-04-11 to 2020-04-12","1 Y 2018-05-11 to 2020-05-12","1 Y 2018-06-11 to 2020-06-12","1 Y 2018-07-11 to 2020-07-12","1 Y 2018-08-13 to 2020-08-12","1 Y 2018-09-11 to 2020-09-12","1 Y 2018-10-11 to 2020-10-12","1 Y 2018-11-12 to 2020-11-12","1 Y 2018-12-11 to 2020-12-12","1 Y 2019-01-11 to 2021-01-12","1 Y 2019-02-11 to 2021-02-12","1 Y 2019-03-11 to 2021-03-12","1 Y 2019-04-11 to 2021-04-12","1 Y 2019-05-13 to 2021-05-12","1 Y 2019-06-11 to 2021-06-12","1 Y 2019-07-11 to 2021-07-12","1 Y 2019-08-12 to 2021-08-12","1 Y 2019-09-11 to 2021-09-12","2 Y 2014-06-11 to 2016-06-12","2 Y 2014-07-11 to 2016-07-12","2 Y 2014-08-11 to 2016-08-12","2 Y 2014-09-11 to 2016-09-12","2 Y 2014-10-13 to 2016-10-12","2 Y 2014-11-11 to 2016-11-12","2 Y 2014-12-11 to 2016-12-12","2 Y 2015-01-12 to 2017-01-12","2 Y 2015-02-11 to 2017-02-12","2 Y 2015-03-11 to 2017-03-12","2 Y 2015-04-13 to 2017-04-12","2 Y 2015-05-11 to 2017-05-12","2 Y 2015-06-11 to 2017-06-12","2 Y 2015-07-13 to 2017-07-12","2 Y 2015-08-11 to 2017-08-12","2 Y 2015-09-11 to 2017-09-12","2 Y 2015-10-12 to 2017-10-12","2 Y 2015-11-11 to 2017-11-12","2 Y 2015-12-11 to 2017-12-12","2 Y 2016-01-11 to 2018-01-12","2 Y 2016-02-11 to 2018-02-12","2 Y 2016-03-11 to 2018-03-12","2 Y 2016-04-11 to 2018-04-12","2 Y 2016-05-11 to 2018-05-12","2 Y 2016-06-13 to 2018-06-12","2 Y 2016-07-11 to 2018-07-12","2 Y 2016-08-11 to 2018-08-12","2 Y 2016-09-12 to 2018-09-12","2 Y 2016-10-11 to 2018-10-12","2 Y 2016-11-11 to 2018-11-12","2 Y 2016-12-12 to 2018-12-12","2 Y 2017-01-11 to 2019-01-12","2 Y 2017-02-13 to 2019-02-12","2 Y 2017-03-13 to 2019-03-12","2 Y 2017-04-11 to 2019-04-12","2 Y 2017-05-11 to 2019-05-12","2 Y 2017-06-12 to 2019-06-12","2 Y 2017-07-11 to 2019-07-12","2 Y 2017-08-11 to 2019-08-12","2 Y 2017-09-11 to 2019-09-12","2 Y 2017-10-11 to 2019-10-12","2 Y 2017-11-13 to 2019-11-12","2 Y 2017-12-11 to 2019-12-12","2 Y 2018-01-11 to 2020-01-12","2 Y 2018-02-12 to 2020-02-12","2 Y 2018-03-12 to 2020-03-12","2 Y 2018-04-11 to 2020-04-12","2 Y 2018-05-11 to 2020-05-12","2 Y 2018-06-11 to 2020-06-12","2 Y 2018-07-11 to 2020-07-12","2 Y 2018-08-13 to 2020-08-12","2 Y 2018-09-11 to 2020-09-12","2 Y 2018-10-11 to 2020-10-12","2 Y 2018-11-12 to 2020-11-12","2 Y 2018-12-11 to 2020-12-12","2 Y 2019-01-11 to 2021-01-12","2 Y 2019-02-11 to 2021-02-12","2 Y 2019-03-11 to 2021-03-12","2 Y 2019-04-11 to 2021-04-12","2 Y 2019-05-13 to 2021-05-12","2 Y 2019-06-11 to 2021-06-12","2 Y 2019-07-11 to 2021-07-12","2 Y 2019-08-12 to 2021-08-12","2 Y 2019-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","3.133","3.255","4.516","13.409","10.829","10.807","17.697","26.112","28.834","23.057","16.273","25.162","17.793","23.921","15.434","24.504","22.61","17.904","18.072","21.728","15.779","18.473","11.694","10.974","10.623","11.944","11.476","11.956","5.484","3.589","-1.803","-6.761","5.291","1.2","11.628","7.028","7.094","10.841","5.113","6.694","10.05","12.543","16.857","23.457","21.076","-14.663","-5.437","-3.458","-0.656","5.728","15.188","12.89","8.874","16.622","24.941","29.486","15.639","58.779","50.045","45.578","41.555","41.487","33.303","31.904","8.574","7.149","9.861","8.867","13.139","8.851","11.637","12.385","9.243","12.046","9.471","13.643","10.094","16.039","11.156","20.198","14.66","11.196","15.436","21.137","19.705","18.779","11.31","10.725","12.084","10.724","9.476","13.461","11.981","9.619","6.422","5.911","10.496","9.693","13.155","10.171","10.597","11.585","9.669","10.061","8.383","8.858","8.536","8.629","12.076","-6.207","1.796","1.256","3.003","7.017","9.089","8.96","8.101","14.219","22.228","26.92","17.472","16.066","18.252","17.226","17.441","17.536","19.592","18.492"
"B Annualized Returns","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","19.418","13.362","15.377","16.5","13.142","11.795","15.356","18.473","18.741","18.453","22.843","14.559","16.496","12.811","13.515","14.286","14.752","16.259","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.51","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.195","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","30.588","3.731","4.139","5.679","4.053","6.291","2.937","6.055","6.089","5.849","8.486","6.517","7.038","7.783","7.837","8.498","13.287","12.629","10.917","14.267","20.938","18.573","16.99","13.086","14.487","15.386","13.944","13.925","15.674","13.978","12.401","8.631","6.838","8.379","8.156","11.103","9.835","8.926","11.277","8.44","9.889","7.96","9.943","9.39","9.225","13.618","-3.973","4.657","4.912","6.912","10.135","11.71","10.064","15.19","15.985","19.492","23.018","22.134","19.946","21.167","21.691","23.243","22.893","25.793","25.396"
"AR DIFF(P-B)","3.318","0.474","-0.841","2.158","3.755","5.953","7.48","7.05","6.005","3.639","2.911","9.785","1.293","10.779","3.639","9.148","4.137","-0.837","-0.381","-1.115","1.22","1.977","-1.117","-2.541","-3.663","-2.808","-4.783","-4.036","-4.171","-2.632","-1.426","-0.523","2.743","0.766","2.207","0.518","3.276","2.935","3.363","2.587","1.693","-1.242","-3.257","-3.738","-4.806","-5.118","-5.281","-9.843","-9.893","-5.974","-5.544","-3.472","-15.771","-1.347","6.067","12.034","-3.518","-0.271999999999998","1.295","6.379","1.404","4.095","2.237","1.316","4.843","3.01","4.182","4.814","6.848","5.914","5.582","6.296","3.394","3.56","2.954","6.605","2.311","8.202","2.658","6.911","2.031","0.279","1.169","0.199000000000002","1.132","1.789","-1.776","-3.762","-3.302","-3.22","-4.449","-2.213","-1.997","-2.782","-2.209","-0.927","2.117","1.537","2.052","0.335999999999999","1.671","0.308000000000002","1.229","0.172000000000001","0.422999999999999","-1.085","-0.854000000000001","-0.596","-1.542","-2.234","-2.861","-3.656","-3.909","-3.118","-2.621","-1.104","-7.089","-1.766","2.736","3.902","-4.662","-3.88","-2.915","-4.465","-5.802","-5.357","-6.201","-6.904"
"P Volatility","16.15","16.05","14.01","14.5","11.11","11.85","11.39","7.27","7.64","6.78","6.63","7.38","6.91","6.53","5.61","5.95","4.95","4.21","3.87","4.05","5.69","7.72","8.62","8.54","9.58","9.54","9.69","10.25","9.93","11.09","11.2","14.1","15.92","15.86","15.47","15.72","17.83","17.96","17.86","17.6","16.08","16.11","12.53","11.11","11.52","14.63","18.89","22.4","21.05","21.59","22.07","24.92","22.63","25.99","28.21","28.94","23.33","17.09","16.05","15.79","14.85","15.91","15.21","14.24","13.31","13.03","12.69","13.09","12.74","13.15","12.84","11.96","11.18","11.77","11.83","12.57","11.92","12.12","9.81","10.01","8.55","8.34","7.68","5.93","6.67","6.95","7.52","7.25","7.83","7.69","7.61","7.93","7.4","8.66","8.52","11.45","12.39","12.63","12.25","12.4","13.72","13.85","14.15","13.68","13.55","13.61","13.83","13.31","12.85","14.29","16.83","18.99","18.79","18.57","19.45","20.76","19.17","21","20.94","21.41","19.25","20.16","20.5","20.08","19.51","20.4","20.23","19.88"
"B Volatility","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","-0.0200000000000031","0.0800000000000001","-0.710000000000001","0.449999999999999","1.34","1.94","1.42","-0.7","0.0999999999999996","0.61","0.399999999999999","1.14","0.78","1.01","0.16","0.640000000000001","0.69","0.0599999999999996","-0.39","-0.21","0.12","-0.260000000000001","-0.930000000000001","-1.03","-0.109999999999999","-0.100000000000001","-0.450000000000001","-0.199999999999999","-0.5","-1.95","-1.85","-0.700000000000001","-0.540000000000001","-0.210000000000001","-0.69","-0.779999999999999","-0.620000000000001","-1.38","-1.19","-1.59","-1.51","-1.57","-0.930000000000001","-1.24","-0.880000000000001","-1.55","-0.25","0.18","-0.460000000000001","0","0.260000000000002","1.8","-1.61","1.37","1.85","2.53","-0.560000000000002","-1.84","0.180000000000001","-0.300000000000001","-1.5","-0.16","0.880000000000001","2.16","0.380000000000001","0.119999999999999","-0.23","0.199999999999999","-0.129999999999999","0.300000000000001","-0.130000000000001","-0.5","-0.700000000000001","-0.190000000000001","-0.119999999999999","0.620000000000001","0.130000000000001","0.399999999999999","-0.809999999999999","-0.16","0.850000000000001","0.66","0.149999999999999","-0.180000000000001","0.0599999999999996","0.0800000000000001","-0.19","-0.48","0.0700000000000003","0.16","-0.17","0.0199999999999996","-0.239999999999999","-0.85","-0.940000000000001","-0.460000000000001","-0.149999999999999","0.0200000000000014","-0.41","-0.51","-0.389999999999999","-0.92","-0.619999999999999","-1.21","-1.32","-1.25","-1.18","-1.34","-1.37","-1.13","-0.530000000000001","-0.530000000000001","-0.859999999999999","-0.989999999999998","-0.300000000000001","0.170000000000002","-1.08","0.469999999999999","0.940000000000001","1.72","-0.5","0.420000000000002","0.77","1.25","0.970000000000002","1.84","1.88","1.51"
"P Tracking Error","2.44","3.04","3.3","3.19","2.54","3","3.18","2.34","2.31","2.5","1.56","2.79","1.51","3.75","1.44","3.31","1.52","1.42","1.51","1.73","1.47","1.53","2.08","1.86","1.92","1.77","2.04","2.37","2.16","3.57","4.71","4.12","3.07","3.56","3.22","3.84","3.08","3.5","4","3.96","3.87","3.06","2.99","3.25","2.45","3.33","3.31","3.57","3.55","3.08","2.23","3.31","5.76","4.63","5.43","5.42","5.21","5.67","5.69","6.91","6.4","7.39","6.61","6.38","2.99","3.05","3.32","3.17","2.94","2.74","2.85","2.74","3.18","2.92","2.66","2.88","2.24","3.4","2.49","2.92","2.19","2.22","1.92","1.92","1.55","1.98","2.33","1.87","1.78","1.89","2.02","2.27","2.02","2.81","3.36","3.07","2.31","2.66","2.47","2.97","2.43","2.76","3.33","3.67","3.29","3.53","3.6","3.45","3.59","3.69","3.69","4.11","4.07","4.2","3.46","4","5.12","3.7","4.33","4.32","4.21","4.64","4.9","5.7","5.97","6.58","6.34","5.66"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
