"","2014-12-11_to_2016-12-12_CorePortfolio_8QRank","2015-01-12_to_2017-01-12_CorePortfolio_8QRank","2015-02-11_to_2017-02-12_CorePortfolio_8QRank","2015-03-11_to_2017-03-12_CorePortfolio_8QRank","2015-04-13_to_2017-04-12_CorePortfolio_8QRank","2015-05-11_to_2017-05-12_CorePortfolio_8QRank","2015-06-11_to_2017-06-12_CorePortfolio_8QRank","2015-07-13_to_2017-07-12_CorePortfolio_8QRank","2015-08-11_to_2017-08-12_CorePortfolio_8QRank","2015-09-11_to_2017-09-12_CorePortfolio_8QRank","2015-10-12_to_2017-10-12_CorePortfolio_8QRank","2015-11-11_to_2017-11-12_CorePortfolio_8QRank","2015-12-11_to_2017-12-12_CorePortfolio_8QRank","2016-01-11_to_2018-01-12_CorePortfolio_8QRank","2016-02-11_to_2018-02-12_CorePortfolio_8QRank","2016-03-11_to_2018-03-12_CorePortfolio_8QRank","2016-04-11_to_2018-04-12_CorePortfolio_8QRank","2016-05-11_to_2018-05-12_CorePortfolio_8QRank","2016-06-13_to_2018-06-12_CorePortfolio_8QRank","2016-07-11_to_2018-07-12_CorePortfolio_8QRank","2016-08-11_to_2018-08-12_CorePortfolio_8QRank","2016-09-12_to_2018-09-12_CorePortfolio_8QRank","2016-10-11_to_2018-10-12_CorePortfolio_8QRank","2016-11-11_to_2018-11-12_CorePortfolio_8QRank","2016-12-12_to_2018-12-12_CorePortfolio_8QRank","2017-01-11_to_2019-01-12_CorePortfolio_8QRank","2017-02-13_to_2019-02-12_CorePortfolio_8QRank","2017-03-13_to_2019-03-12_CorePortfolio_8QRank","2017-04-11_to_2019-04-12_CorePortfolio_8QRank","2017-05-11_to_2019-05-12_CorePortfolio_8QRank","2017-06-12_to_2019-06-12_CorePortfolio_8QRank","2017-07-11_to_2019-07-12_CorePortfolio_8QRank","2017-08-11_to_2019-08-12_CorePortfolio_8QRank","2017-09-11_to_2019-09-12_CorePortfolio_8QRank","2017-10-11_to_2019-10-12_CorePortfolio_8QRank","2017-11-13_to_2019-11-12_CorePortfolio_8QRank","2017-12-11_to_2019-12-12_CorePortfolio_8QRank","2018-01-11_to_2020-01-12_CorePortfolio_8QRank","2018-02-12_to_2020-02-12_CorePortfolio_8QRank","2018-03-12_to_2020-03-12_CorePortfolio_8QRank","2018-04-11_to_2020-04-12_CorePortfolio_8QRank","2018-05-11_to_2020-05-12_CorePortfolio_8QRank","2018-06-11_to_2020-06-12_CorePortfolio_8QRank","2018-07-11_to_2020-07-12_CorePortfolio_8QRank","2018-08-13_to_2020-08-12_CorePortfolio_8QRank","2018-09-11_to_2020-09-12_CorePortfolio_8QRank","2018-10-11_to_2020-10-12_CorePortfolio_8QRank","2018-11-12_to_2020-11-12_CorePortfolio_8QRank","2018-12-11_to_2020-12-12_CorePortfolio_8QRank","2019-01-11_to_2021-01-12_CorePortfolio_8QRank","2019-02-11_to_2021-02-12_CorePortfolio_8QRank","2019-03-11_to_2021-03-12_CorePortfolio_8QRank","2019-04-11_to_2021-04-12_CorePortfolio_8QRank","2019-05-13_to_2021-05-12_CorePortfolio_8QRank","2019-06-11_to_2021-06-12_CorePortfolio_8QRank","2019-07-11_to_2021-07-12_CorePortfolio_8QRank","2019-08-12_to_2021-08-12_CorePortfolio_8QRank","2019-09-11_to_2021-09-12_CorePortfolio_8QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","11.215","10.957","12.2","11.58","8.576","11.383","14.532","15.899","8.862","19.414","14.923","11.647","15.445","19.19","19.269","18.578","12.458","12.513","13.459","12.779","10.876","13.783","12.268","10.417","7.257","7.846","9.147","8.408","11.162","9.388","9.904","10.482","8.786","8.016","6.714","7.016","7.827","7.153","12.398","-6.897","4.622","3.248","4.796","8.905","9.14","10.979","16.969","9.129","12.991","19.859","25.947","23.803","17.098","21.131","21.574","21.345","23.495","21.219"
"B Annualized Returns","5.144","5.944","5.849","8.486","6.517","6.851","7.366","7.837","8.564","13.269","12.293","10.917","13.431","19.888","18.895","16.99","13.622","14.487","15.386","14.245","13.925","15.674","13.993","12.401","8.631","6.838","8.379","8.156","10.951","9.835","8.926","11.632","8.44","10.099","7.96","9.943","9.563","9.225","13.618","-4.331","4.657","4.975","6.74","10.135","11.71","10.065","16.08","15.845","19.766","22.625","23.046","20.488","21.51","21.691","23.054","23.117","26.747","25.396"
"AR DIFF(P-B)","6.071","5.013","6.351","3.094","2.059","4.532","7.166","8.062","0.298","6.145","2.63","0.73","2.014","-0.698","0.373999999999999","1.588","-1.164","-1.974","-1.927","-1.466","-3.049","-1.891","-1.725","-1.984","-1.374","1.008","0.768000000000001","0.251999999999999","0.211","-0.447000000000001","0.978","-1.15","0.346","-2.083","-1.246","-2.927","-1.736","-2.072","-1.22","-2.566","-0.0350000000000001","-1.727","-1.944","-1.23","-2.57","0.914","0.889000000000003","-6.716","-6.775","-2.766","2.901","3.315","-4.412","-0.559999999999999","-1.48","-1.772","-3.252","-4.177"
"P Volatility","12.81","11.88","11.93","12.28","12.45","12.47","12.69","12.63","11.02","11.02","8.85","8.6","8.36","6.35","6.71","6.68","7.45","7.29","7.59","7.17","7.95","7.74","7.77","9.06","8.74","11.3","11.67","11.56","11.9","11.7","13.49","13.82","14.06","14.11","13.68","14.86","14.6","13.43","13.15","14.81","16.49","18.96","19.38","19.03","18.99","21.09","20.48","20.25","19.22","19.63","21.5","22.11","19.96","19.5","18.71","18.89","18.73","19.12"
"B Volatility","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","-0.16","-0.58","0.0499999999999989","0.319999999999999","0.5","0.520000000000001","0.9","0.91","0.4","0.85","1.15","0.92","0.829999999999999","0.239999999999999","0.0999999999999996","-0.19","-0.26","-0.44","-0.17","-0.36","0.17","-0.17","0.13","-0.449999999999999","-0.720000000000001","-0.609999999999999","-0.869999999999999","-1.05","-0.76","-1.21","-0.619999999999999","-0.949999999999999","-0.709999999999999","-0.780000000000001","-1.19","0","-0.41","-1.22","-1.07","-0.609999999999999","-0.870000000000001","-0.559999999999999","-0.27","-0.529999999999998","-0.760000000000002","0.5","0.23","-0.280000000000001","-0.780000000000001","-0.0600000000000023","1.75","2.37","0.23","0.670000000000002","0.170000000000002","0.330000000000002","0.379999999999999","0.75"
"P Tracking Error","2.97","2.64","2.83","2.66","2.86","3","3.12","3.14","2.61","3.16","2.3","2.07","1.95","1.86","1.44","1.58","1.85","1.79","2.01","1.99","2.19","2.19","2.51","2.47","2.47","2.79","2.9","3.12","2.94","3.37","2.86","2.98","2.75","2.98","3.5","3.25","2.55","3.5","3.06","3.01","2.99","3.69","3.78","3.78","4.05","3.84","4.19","4.97","4.85","4.07","4.63","5.02","4.73","5.02","4.83","5.2","5.38","5.62"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
