"","1 Y 2013-03-12 to 2016-03-13","1 Y 2013-04-12 to 2016-04-13","1 Y 2013-05-13 to 2016-05-13","1 Y 2013-06-12 to 2016-06-13","1 Y 2013-07-12 to 2016-07-13","1 Y 2013-08-12 to 2016-08-13","1 Y 2013-09-12 to 2016-09-13","1 Y 2013-10-14 to 2016-10-13","1 Y 2013-11-12 to 2016-11-13","1 Y 2013-12-12 to 2016-12-13","1 Y 2014-01-13 to 2017-01-13","1 Y 2014-02-12 to 2017-02-13","1 Y 2014-03-12 to 2017-03-13","1 Y 2014-04-14 to 2017-04-13","1 Y 2014-05-12 to 2017-05-13","1 Y 2014-06-12 to 2017-06-13","1 Y 2014-07-14 to 2017-07-13","1 Y 2014-08-12 to 2017-08-13","1 Y 2014-09-12 to 2017-09-13","1 Y 2014-10-13 to 2017-10-13","1 Y 2014-11-12 to 2017-11-13","1 Y 2014-12-12 to 2017-12-13","1 Y 2015-01-12 to 2018-01-13","1 Y 2015-02-12 to 2018-02-13","1 Y 2015-03-12 to 2018-03-13","1 Y 2015-04-13 to 2018-04-13","1 Y 2015-05-12 to 2018-05-13","1 Y 2015-06-12 to 2018-06-13","1 Y 2015-07-13 to 2018-07-13","1 Y 2015-08-12 to 2018-08-13","1 Y 2015-09-14 to 2018-09-13","1 Y 2015-10-12 to 2018-10-13","1 Y 2015-11-12 to 2018-11-13","1 Y 2015-12-14 to 2018-12-13","1 Y 2016-01-12 to 2019-01-13","1 Y 2016-02-12 to 2019-02-13","1 Y 2016-03-14 to 2019-03-13","1 Y 2016-04-12 to 2019-04-13","1 Y 2016-05-12 to 2019-05-13","1 Y 2016-06-13 to 2019-06-13","1 Y 2016-07-12 to 2019-07-13","1 Y 2016-08-12 to 2019-08-13","1 Y 2016-09-12 to 2019-09-13","1 Y 2016-10-12 to 2019-10-13","1 Y 2016-11-14 to 2019-11-13","1 Y 2016-12-12 to 2019-12-13","1 Y 2017-01-12 to 2020-01-13","1 Y 2017-02-13 to 2020-02-13","1 Y 2017-03-13 to 2020-03-13","1 Y 2017-04-12 to 2020-04-13","1 Y 2017-05-12 to 2020-05-13","1 Y 2017-06-12 to 2020-06-13","1 Y 2017-07-12 to 2020-07-13","1 Y 2017-08-14 to 2020-08-13","1 Y 2017-09-12 to 2020-09-13","1 Y 2017-10-12 to 2020-10-13","1 Y 2017-11-13 to 2020-11-13","1 Y 2017-12-12 to 2020-12-13","1 Y 2018-01-12 to 2021-01-13","1 Y 2018-02-12 to 2021-02-13","1 Y 2018-03-12 to 2021-03-13","1 Y 2018-04-12 to 2021-04-13","1 Y 2018-05-14 to 2021-05-13","1 Y 2018-06-12 to 2021-06-13","1 Y 2018-07-12 to 2021-07-13","1 Y 2018-08-13 to 2021-08-13","1 Y 2018-09-12 to 2021-09-13","1 Y 2018-10-12 to 2021-10-13","2 Y 2013-03-12 to 2016-03-13","2 Y 2013-04-12 to 2016-04-13","2 Y 2013-05-13 to 2016-05-13","2 Y 2013-06-12 to 2016-06-13","2 Y 2013-07-12 to 2016-07-13","2 Y 2013-08-12 to 2016-08-13","2 Y 2013-09-12 to 2016-09-13","2 Y 2013-10-14 to 2016-10-13","2 Y 2013-11-12 to 2016-11-13","2 Y 2013-12-12 to 2016-12-13","2 Y 2014-01-13 to 2017-01-13","2 Y 2014-02-12 to 2017-02-13","2 Y 2014-03-12 to 2017-03-13","2 Y 2014-04-14 to 2017-04-13","2 Y 2014-05-12 to 2017-05-13","2 Y 2014-06-12 to 2017-06-13","2 Y 2014-07-14 to 2017-07-13","2 Y 2014-08-12 to 2017-08-13","2 Y 2014-09-12 to 2017-09-13","2 Y 2014-10-13 to 2017-10-13","2 Y 2014-11-12 to 2017-11-13","2 Y 2014-12-12 to 2017-12-13","2 Y 2015-01-12 to 2018-01-13","2 Y 2015-02-12 to 2018-02-13","2 Y 2015-03-12 to 2018-03-13","2 Y 2015-04-13 to 2018-04-13","2 Y 2015-05-12 to 2018-05-13","2 Y 2015-06-12 to 2018-06-13","2 Y 2015-07-13 to 2018-07-13","2 Y 2015-08-12 to 2018-08-13","2 Y 2015-09-14 to 2018-09-13","2 Y 2015-10-12 to 2018-10-13","2 Y 2015-11-12 to 2018-11-13","2 Y 2015-12-14 to 2018-12-13","2 Y 2016-01-12 to 2019-01-13","2 Y 2016-02-12 to 2019-02-13","2 Y 2016-03-14 to 2019-03-13","2 Y 2016-04-12 to 2019-04-13","2 Y 2016-05-12 to 2019-05-13","2 Y 2016-06-13 to 2019-06-13","2 Y 2016-07-12 to 2019-07-13","2 Y 2016-08-12 to 2019-08-13","2 Y 2016-09-12 to 2019-09-13","2 Y 2016-10-12 to 2019-10-13","2 Y 2016-11-14 to 2019-11-13","2 Y 2016-12-12 to 2019-12-13","2 Y 2017-01-12 to 2020-01-13","2 Y 2017-02-13 to 2020-02-13","2 Y 2017-03-13 to 2020-03-13","2 Y 2017-04-12 to 2020-04-13","2 Y 2017-05-12 to 2020-05-13","2 Y 2017-06-12 to 2020-06-13","2 Y 2017-07-12 to 2020-07-13","2 Y 2017-08-14 to 2020-08-13","2 Y 2017-09-12 to 2020-09-13","2 Y 2017-10-12 to 2020-10-13","2 Y 2017-11-13 to 2020-11-13","2 Y 2017-12-12 to 2020-12-13","2 Y 2018-01-12 to 2021-01-13","2 Y 2018-02-12 to 2021-02-13","2 Y 2018-03-12 to 2021-03-13","2 Y 2018-04-12 to 2021-04-13","2 Y 2018-05-14 to 2021-05-13","2 Y 2018-06-12 to 2021-06-13","2 Y 2018-07-12 to 2021-07-13","2 Y 2018-08-13 to 2021-08-13","2 Y 2018-09-12 to 2021-09-13","2 Y 2018-10-12 to 2021-10-13","3 Y 2013-03-12 to 2016-03-13","3 Y 2013-04-12 to 2016-04-13","3 Y 2013-05-13 to 2016-05-13","3 Y 2013-06-12 to 2016-06-13","3 Y 2013-07-12 to 2016-07-13","3 Y 2013-08-12 to 2016-08-13","3 Y 2013-09-12 to 2016-09-13","3 Y 2013-10-14 to 2016-10-13","3 Y 2013-11-12 to 2016-11-13","3 Y 2013-12-12 to 2016-12-13","3 Y 2014-01-13 to 2017-01-13","3 Y 2014-02-12 to 2017-02-13","3 Y 2014-03-12 to 2017-03-13","3 Y 2014-04-14 to 2017-04-13","3 Y 2014-05-12 to 2017-05-13","3 Y 2014-06-12 to 2017-06-13","3 Y 2014-07-14 to 2017-07-13","3 Y 2014-08-12 to 2017-08-13","3 Y 2014-09-12 to 2017-09-13","3 Y 2014-10-13 to 2017-10-13","3 Y 2014-11-12 to 2017-11-13","3 Y 2014-12-12 to 2017-12-13","3 Y 2015-01-12 to 2018-01-13","3 Y 2015-02-12 to 2018-02-13","3 Y 2015-03-12 to 2018-03-13","3 Y 2015-04-13 to 2018-04-13","3 Y 2015-05-12 to 2018-05-13","3 Y 2015-06-12 to 2018-06-13","3 Y 2015-07-13 to 2018-07-13","3 Y 2015-08-12 to 2018-08-13","3 Y 2015-09-14 to 2018-09-13","3 Y 2015-10-12 to 2018-10-13","3 Y 2015-11-12 to 2018-11-13","3 Y 2015-12-14 to 2018-12-13","3 Y 2016-01-12 to 2019-01-13","3 Y 2016-02-12 to 2019-02-13","3 Y 2016-03-14 to 2019-03-13","3 Y 2016-04-12 to 2019-04-13","3 Y 2016-05-12 to 2019-05-13","3 Y 2016-06-13 to 2019-06-13","3 Y 2016-07-12 to 2019-07-13","3 Y 2016-08-12 to 2019-08-13","3 Y 2016-09-12 to 2019-09-13","3 Y 2016-10-12 to 2019-10-13","3 Y 2016-11-14 to 2019-11-13","3 Y 2016-12-12 to 2019-12-13","3 Y 2017-01-12 to 2020-01-13","3 Y 2017-02-13 to 2020-02-13","3 Y 2017-03-13 to 2020-03-13","3 Y 2017-04-12 to 2020-04-13","3 Y 2017-05-12 to 2020-05-13","3 Y 2017-06-12 to 2020-06-13","3 Y 2017-07-12 to 2020-07-13","3 Y 2017-08-14 to 2020-08-13","3 Y 2017-09-12 to 2020-09-13","3 Y 2017-10-12 to 2020-10-13","3 Y 2017-11-13 to 2020-11-13","3 Y 2017-12-12 to 2020-12-13","3 Y 2018-01-12 to 2021-01-13","3 Y 2018-02-12 to 2021-02-13","3 Y 2018-03-12 to 2021-03-13","3 Y 2018-04-12 to 2021-04-13","3 Y 2018-05-14 to 2021-05-13","3 Y 2018-06-12 to 2021-06-13","3 Y 2018-07-12 to 2021-07-13","3 Y 2018-08-13 to 2021-08-13","3 Y 2018-09-12 to 2021-09-13","3 Y 2018-10-12 to 2021-10-13"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","1.16","5.688","1.419","5.058","7.214","10.011","12.572","11.052","11.8","13.655","26.046","34.51","17.664","11.016","12.657","23.954","20.666","18.813","24.769","22.449","26.734","24.835","24.215","15.666","15.457","15.285","15.926","11.974","12.957","10.277","14.759","6.335","4.916","1.747","-4.266","1.482","-0.197","10.848","5.194","4.658","9.604","2.752","4.948","11.305","14.326","19.846","25.718","19.814","-3.057","-5.913","-2.009","3.09","6.823","17.739","14.023","30.359","8.391","18.971","16.386","29.319","71.564","45.937","55.176","49.093","45.621","32.617","32.748","30.193","5.209","10.514","7.117","9.69","10.788","11.897","8.268","10.065","7.671","7.674","12.14","10.769","9.076","6.795","5.858","12.75","13.991","14.373","20.242","15.397","19.158","20.858","22.211","20.439","17.354","13.739","16.23","13.186","13.725","12.957","16.682","13.32","11.36","10.022","8.242","11.737","10.861","12.103","8.1","7.526","10.237","7.35","10.604","8.949","10.411","10.962","8.764","13.437","0.104","2.454","2.185","4.049","7.116","8.181","8.829","18.861","9.589","18.616","19.47","26.207","22.867","16.054","20.229","25.052","23.9","20.86","20.003","18.334","12.503","12.604","9.388","13.061","14.141","13.333","11.895","10.26","10.113","9.873","11.965","12.456","10.398","10.099","8.019","12.227","12.992","14.773","14.14","14.158","13.919","15.443","12.838","10.201","11.407","9.801","10.441","9.169","10.967","10.361","13.957","11.441","10.495","10.657","10.528","17.288","14.833","11.233","10.534","10.947","12.16","9.515","13.324","13.312","14.038","13.64","14.052","14.911","4.835","7.116","5.029","7.4","8.134","9.928","10.977","14.681","7.799","12.377","10.401","17.756","14.985","14.135","13.89","18.565","18.2","13.875","15.212","15"
"B Annualized Returns","-1.152","0.881","-2.688","0.284","2.267","5.357","9.721","7.273","4.854","11.052","17.077","22.901","17.789","11.48","15.377","16.879","13.395","11.795","17.125","18.992","19.473","17.508","22.843","14.823","15.565","13.306","13.515","13.426","14.605","14.558","16.443","9.655","5.99","-0.169","-6.238","2.534","1.943","9.421","3.455","4.638","7.906","3.362","3.452","8.357","14.034","19.976","28.863","25.184","-0.288","-1.185","4.029","9.237","10.035","24.12","16.362","23.882","19.338","18.874","18.384","19.157","59.051","49.36","42.952","40.151","37.087","31.563","30.588","30.588","4.38","6.73","4.124","3.563","4.135","5.679","3.34","6.143","2.937","6.864","6.507","5.438","8.128","6.048","7.038","8.275","7.687","8.498","13.363","12.981","12.379","14.235","20.938","18.788","16.67","12.389","14.487","15.139","13.998","13.73","16.784","13.978","12.52","8.31","6.838","8.504","8.54","11.103","8.46","8.943","11.277","8.808","9.756","7.96","9.938","9.441","9.222","13.294","1.075","4.147","4.109","6.912","8.922","11.298","10.064","15.346","17.09","19.492","23.319","22.134","19.946","21.521","21.947","23.243","22.837","27.787","25.777","25.777","8.686","9.683","7.063","7.891","8.053","8.408","7.743","7.528","6.688","8.253","7.213","8.11","9.184","8.29","7.909","7.82","7.135","7.978","7.749","10.264","7.952","10.304","11.403","8.475","10.55","8.414","9.169","9.967","9.945","10.744","14.381","11.629","10.21","9.216","9.928","13.097","11.534","11.851","11.057","11.527","11.895","10.166","12.159","11.494","13.023","12.067","13.534","13.802","5.573","7.118","7.094","9.041","10.632","12.571","12.006","13.07","13.108","12.464","12.124","15.216","13.617","17.434","15.715","16.395","17.593","17.68","17.724","19.762"
"AR DIFF(P-B)","2.312","4.807","4.107","4.774","4.947","4.654","2.851","3.779","6.946","2.603","8.969","11.609","-0.125","-0.464","-2.72","7.075","7.271","7.018","7.644","3.457","7.261","7.327","1.372","0.843","-0.107999999999999","1.979","2.411","-1.452","-1.648","-4.281","-1.684","-3.32","-1.074","1.916","1.972","-1.052","-2.14","1.427","1.739","0.0200000000000005","1.698","-0.61","1.496","2.948","0.292","-0.129999999999999","-3.145","-5.37","-2.769","-4.728","-6.038","-6.147","-3.212","-6.381","-2.339","6.477","-10.947","0.0970000000000013","-1.998","10.162","12.513","-3.423","12.224","8.942","8.534","1.054","2.16","-0.395","0.829","3.784","2.993","6.127","6.653","6.218","4.928","3.922","4.734","0.81","5.633","5.331","0.948","0.747","-1.18","4.475","6.304","5.875","6.879","2.416","6.779","6.623","1.273","1.651","0.683999999999997","1.35","1.743","-1.953","-0.273","-0.773","-0.102","-0.657999999999999","-1.16","1.712","1.404","3.233","2.321","1","-0.360000000000001","-1.417","-1.04","-1.458","0.847999999999999","0.989","0.472999999999999","1.521","-0.458","0.142999999999999","-0.971","-1.693","-1.924","-2.863","-1.806","-3.117","-1.235","3.515","-7.501","-0.876000000000001","-3.849","4.073","2.921","-5.467","-1.718","1.809","1.063","-6.927","-5.774","-7.443","3.817","2.921","2.325","5.17","6.088","4.925","4.152","2.732","3.425","1.62","4.752","4.346","1.214","1.809","0.11","4.407","5.857","6.795","6.391","3.894","5.967","5.139","1.435","1.726","0.856999999999999","1.387","1.272","-0.798","1.022","-0.382999999999999","-0.423999999999999","-0.187999999999999","0.284999999999998","1.441","0.6","4.191","3.299","-0.618","-0.523","-0.58","0.265000000000001","-0.651","1.165","1.818","1.015","1.573","0.517999999999999","1.109","-0.738","-0.00200000000000067","-2.065","-1.641","-2.498","-2.643","-1.029","1.611","-5.309","-0.0869999999999997","-1.723","2.54","1.368","-3.299","-1.825","2.17","0.606999999999999","-3.805","-2.512","-4.762"
"P Volatility","12.88","15.09","14.65","15.11","15.49","14.63","13.43","10.96","10.26","10.27","7.72","8.52","6.78","6.31","6.32","6.6","6.41","6.39","6.64","3.89","5.16","4.92","4.51","5.32","8.02","8.96","10.24","8.18","8.42","10.08","9.86","9.84","11.58","11.36","13.29","17.95","16.99","14.93","15.59","17.47","19.22","18.98","18.8","16.12","16.01","12.75","12.85","10.75","14.16","18.81","19.69","21.68","21.89","21.42","25.75","25.88","24.15","26.1","26.37","27.37","21.32","14.75","14.97","18.17","18.28","13.51","12.35","13.1","11.41","12","11.77","12.4","12.58","13.16","12.77","12.66","12.41","12.16","12.65","12.23","11.57","11.12","11.3","11.18","11.62","10.08","9.69","7.82","7.82","8.7","6.34","6.38","6.89","7.86","8.55","6.93","6.96","7.89","7.6","7.3","8.85","8.49","11.27","14.39","13.51","11.72","12.35","13.57","14.71","14.59","14.45","13.55","13.72","13.9","13.91","13.47","14.29","16.8","17.83","19.36","19.52","18.89","21.54","21.13","20.2","19.51","19.55","21.62","22.03","19.26","19.41","20.45","19.65","18.34","17.67","17.84","11.07","11.22","11.05","11.64","11.74","11.91","11.57","11.35","11.19","10.66","11.43","11.22","10.76","10.34","10.44","10.42","10.77","10.3","10.22","9.63","10.06","10.79","9.73","9.56","10.3","10.59","11.29","9.96","9.87","9.58","9","7.97","8.97","8.79","10.15","12.68","11.48","9.96","10.56","11.6","12.34","12.08","11.96","11.22","11.34","11.47","11.86","11.89","12.6","14.59","15.14","16.43","16.54","16.08","18.03","18.07","17.53","18.07","18.25","19.46","19.69","17.38","18.57","19.1","18.51","17.98","17.59","17.4"
"B Volatility","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08","12.08","12.25","12.99","12.94","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37","18.37","11.58","12.02","11.99","11.91","11.66","11.55","11.53","11.29","11.27","11.3","10.99","10.86","11.05","11.06","11.03","11.02","10.99","10.89","10.85","10.85","10.85","10.91","10.39","10.41","10.61","10.93","10.93","10.86","10.81","10.17","9.96","8.45","9.5","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","-1.99","-1.22","-1.62","-1.06","-0.48","-0.0899999999999999","-0.620000000000001","1.19","0.35","0.299999999999999","-0.25","0.98","0.61","0.0799999999999992","0.0800000000000001","0.47","0.890000000000001","0.94","1.33","-0.37","1.01","0.66","0.25","-0.25","0.0399999999999991","-0.59","0.67","-1.51","-1.22","-0.0600000000000005","-0.59","-0.59","-1.46","-1.69","-1.51","1.49","0.919999999999998","-1.23","-0.91","-0.98","-0.120000000000001","-0.0700000000000003","-0.390000000000001","-1.47","-1.67","-0.710000000000001","0.5","-1.65","-2.02","-0.330000000000002","-2.53","0.169999999999998","0.300000000000001","-0.389999999999997","2.63","1.64","-0.470000000000002","-0.259999999999998","-0.0399999999999991","3.48","2.39","-1.12","-1.12","1.82","2.21","-0.82","0.27","1.02","-0.84","-0.99","-1.17","-0.529999999999999","-0.33","0.24","-0.120000000000001","-0.209999999999999","-0.44","-0.81","0.19","0.35","-0.390000000000001","-0.83","-0.649999999999999","-0.609999999999999","-0.100000000000001","-0.539999999999999","-0.48","0.12","0.140000000000001","1.17","0.23","-0.23","0.0199999999999996","0.15","0.82","-0.83","-0.57","0.109999999999999","-0.31","-0.34","-0.66","-0.970000000000001","-0.640000000000001","1.85","0.9","-0.94","-0.56","-0.539999999999999","-0.0599999999999987","-0.18","-0.440000000000001","-1.32","-1.14","-1.11","-0.74","-0.75","-1.13","-0.559999999999999","-1.69","-0.289999999999999","-0.0399999999999991","-0.859999999999999","0.949999999999999","0.879999999999999","-0.330000000000002","-0.489999999999998","-0.140000000000001","1.87","2.29","-0.469999999999999","0.580000000000002","1.91","1.09","-0.0100000000000016","-0.699999999999999","-0.530000000000001","-0.51","-0.799999999999999","-0.94","-0.27","0.0800000000000001","0.359999999999999","0.0400000000000009","0.0600000000000005","-0.0800000000000001","-0.640000000000001","0.44","0.360000000000001","-0.290000000000001","-0.720000000000001","-0.59","-0.6","-0.220000000000001","-0.59","-0.629999999999999","-1.22","-0.789999999999999","-0.120000000000001","-0.66","-0.85","-0.309999999999999","-0.34","0.359999999999999","-0.899999999999999","-0.940000000000001","-0.59","-0.960000000000001","-0.48","-0.529999999999999","-0.600000000000001","-0.43","1.55","0.75","-0.789999999999999","-0.369999999999999","-0.27","0.0700000000000003","-0.17","-0.389999999999999","-1.05","-0.93","-0.869999999999999","-0.540000000000001","-0.379999999999999","-0.85","-0.34","-1.43","-0.23","-0.140000000000001","-0.810000000000002","0.52","0.219999999999999","-0.469999999999999","-0.710000000000001","-0.390000000000001","1.03","1.5","-0.870000000000001","0.170000000000002","0.690000000000001","0.130000000000003","-0.359999999999999","-0.780000000000001","-0.57"
"P Tracking Error","5.6","3.13","3.46","3.1","3.83","3.79","4.1","2.78","1.03","2.96","1.97","1.73","1.46","1.8","1.52","3.93","2.89","3.84","4.02","2.44","3.76","3.89","1.48","1.54","1.39","1.79","1.75","2.22","2.29","1.56","1.76","3.08","3.39","3.76","3.96","4.04","2.75","2.67","3.81","4.82","4.22","2.73","3.1","4.52","2.59","3.07","2.64","3.12","3.19","2.52","3.31","3.18","2.75","2.31","3.47","3.16","5.85","3.6","3.12","5.85","5.73","5.56","7.27","4.59","6.53","5.13","4.12","5.1","4.77","2.88","3.39","3.53","3.94","3.56","3.65","3.03","2.36","3.12","2.59","3.03","2.12","2.25","2.67","3.61","2.8","3.41","3.19","2.09","2.65","3.23","2","1.47","1.63","1.73","1.79","1.82","2.14","1.78","1.6","2.25","2.52","2.74","2.8","3.89","3.01","2.45","3.08","3.54","3.23","2.44","2.63","3.74","2.46","2.8","2.95","3.69","3.4","3.52","4.21","3.09","3.13","2.78","3.34","2.9","4.45","3.14","2.71","4.65","4.75","4.46","6.1","4.07","5.31","5.05","4.65","5.15","4.99","2.61","3.06","3.23","3.84","3.42","3.44","3.03","2.54","2.84","2.82","3.14","2.59","2.56","2.99","3.62","2.93","3.33","3.49","3.4","2.96","3.37","2.72","2.18","1.94","2.51","2.39","2.47","2.68","2.63","2.67","2.24","2.49","2.52","2.69","3.56","2.87","2.31","2.66","2.96","2.86","2.26","2.27","3.11","2.42","2.73","2.71","3.08","2.87","3.13","3.73","2.68","2.73","2.58","3.08","2.8","4.05","2.91","2.62","4.15","4.39","4.37","5.39","3.86","5","4.58","4.21","4.68"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
