"","2013-09-11_to_2016-09-12_CorePortfolio_3QRank","2013-10-11_to_2016-10-12_CorePortfolio_3QRank","2013-11-11_to_2016-11-12_CorePortfolio_3QRank","2013-12-11_to_2016-12-12_CorePortfolio_3QRank","2014-01-13_to_2017-01-12_CorePortfolio_3QRank","2014-02-11_to_2017-02-12_CorePortfolio_3QRank","2014-03-11_to_2017-03-12_CorePortfolio_3QRank","2014-04-11_to_2017-04-12_CorePortfolio_3QRank","2014-05-12_to_2017-05-12_CorePortfolio_3QRank","2014-06-11_to_2017-06-12_CorePortfolio_3QRank","2014-07-11_to_2017-07-12_CorePortfolio_3QRank","2014-08-11_to_2017-08-12_CorePortfolio_3QRank","2014-09-11_to_2017-09-12_CorePortfolio_3QRank","2014-10-13_to_2017-10-12_CorePortfolio_3QRank","2014-11-11_to_2017-11-12_CorePortfolio_3QRank","2014-12-11_to_2017-12-12_CorePortfolio_3QRank","2015-01-12_to_2018-01-12_CorePortfolio_3QRank","2015-02-11_to_2018-02-12_CorePortfolio_3QRank","2015-03-11_to_2018-03-12_CorePortfolio_3QRank","2015-04-13_to_2018-04-12_CorePortfolio_3QRank","2015-05-11_to_2018-05-12_CorePortfolio_3QRank","2015-06-11_to_2018-06-12_CorePortfolio_3QRank","2015-07-13_to_2018-07-12_CorePortfolio_3QRank","2015-08-11_to_2018-08-12_CorePortfolio_3QRank","2015-09-11_to_2018-09-12_CorePortfolio_3QRank","2015-10-12_to_2018-10-12_CorePortfolio_3QRank","2015-11-11_to_2018-11-12_CorePortfolio_3QRank","2015-12-11_to_2018-12-12_CorePortfolio_3QRank","2016-01-11_to_2019-01-12_CorePortfolio_3QRank","2016-02-11_to_2019-02-12_CorePortfolio_3QRank","2016-03-11_to_2019-03-12_CorePortfolio_3QRank","2016-04-11_to_2019-04-12_CorePortfolio_3QRank","2016-05-11_to_2019-05-12_CorePortfolio_3QRank","2016-06-13_to_2019-06-12_CorePortfolio_3QRank","2016-07-11_to_2019-07-12_CorePortfolio_3QRank","2016-08-11_to_2019-08-12_CorePortfolio_3QRank","2016-09-12_to_2019-09-12_CorePortfolio_3QRank","2016-10-11_to_2019-10-12_CorePortfolio_3QRank","2016-11-11_to_2019-11-12_CorePortfolio_3QRank","2016-12-12_to_2019-12-12_CorePortfolio_3QRank","2017-01-11_to_2020-01-12_CorePortfolio_3QRank","2017-02-13_to_2020-02-12_CorePortfolio_3QRank","2017-03-13_to_2020-03-12_CorePortfolio_3QRank","2017-04-11_to_2020-04-12_CorePortfolio_3QRank","2017-05-11_to_2020-05-12_CorePortfolio_3QRank","2017-06-12_to_2020-06-12_CorePortfolio_3QRank","2017-07-11_to_2020-07-12_CorePortfolio_3QRank","2017-08-11_to_2020-08-12_CorePortfolio_3QRank","2017-09-11_to_2020-09-12_CorePortfolio_3QRank","2017-10-11_to_2020-10-12_CorePortfolio_3QRank","2017-11-13_to_2020-11-12_CorePortfolio_3QRank","2017-12-11_to_2020-12-12_CorePortfolio_3QRank","2018-01-11_to_2021-01-12_CorePortfolio_3QRank","2018-02-12_to_2021-02-12_CorePortfolio_3QRank","2018-03-12_to_2021-03-12_CorePortfolio_3QRank","2018-04-11_to_2021-04-12_CorePortfolio_3QRank","2018-05-11_to_2021-05-12_CorePortfolio_3QRank","2018-06-11_to_2021-06-12_CorePortfolio_3QRank","2018-07-11_to_2021-07-12_CorePortfolio_3QRank","2018-08-13_to_2021-08-12_CorePortfolio_3QRank","2018-09-11_to_2021-09-12_CorePortfolio_3QRank","2018-10-11_to_2021-10-12_CorePortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","14.186","11.63","11.734","11.722","12.035","11.807","11.651","9.582","8.786","13.459","12.932","13.623","9.204","16.893","13.396","13.494","16","15.387","20.831","17.259","15.498","15.778","15.228","14.759","11.663","9.341","9.132","9.547","10.556","15.679","13.981","12.242","13.469","12.634","13.36","10.404","11.611","12.078","13.389","14.001","13.656","14.617","3.981","7.862","6.473","8.141","11.015","9.519","8.753","8.98","10.735","10.517","13.151","10.759","11.706","13.535","13.296","13.471","14.521","17.739","12.42","17.065"
"B Annualized Returns","8.219","7.8","6.6","7.751","7.502","8.201","8.639","8.825","7.948","7.51","7.248","7.932","7.51","10.206","8.004","9.398","11.296","8.861","11.028","8.575","9.047","9.621","10.095","11.014","14.168","11.408","9.319","8.636","10.223","13.186","11.194","12.205","11.683","11.39","12.094","9.546","11.682","11.506","12.86","12.331","13.25","13.93","2.142","6.907","7.743","9.165","11.51","12.967","12.146","13.175","12.553","12.58","12.15","15.304","13.316","17.447","15.309","16.418","18.079","17.821","17.718","20.396"
"AR DIFF(P-B)","5.967","3.83","5.134","3.971","4.533","3.606","3.012","0.757000000000001","0.837999999999999","5.949","5.684","5.691","1.694","6.687","5.392","4.096","4.704","6.526","9.803","8.684","6.451","6.157","5.133","3.745","-2.505","-2.067","-0.187000000000001","0.911000000000001","0.332999999999998","2.493","2.787","0.0370000000000008","1.786","1.244","1.266","0.858000000000001","-0.0709999999999997","0.571999999999999","0.529","1.67","0.406000000000001","0.687000000000001","1.839","0.955","-1.27","-1.024","-0.494999999999999","-3.448","-3.393","-4.195","-1.818","-2.063","1.001","-4.545","-1.61","-3.912","-2.013","-2.947","-3.558","-0.0820000000000007","-5.298","-3.331"
"P Volatility","11.69","11.72","11.48","11.62","11.92","11.97","11.48","10.67","10.64","10.86","11.36","10.84","9.97","10.63","10.15","9.95","9.96","10.75","11.18","11.7","11.35","11.74","12.33","10.88","10.1","9.13","9.53","9.25","10.14","10.51","10.48","10.41","10.27","11.82","12.01","12.1","11.88","11.67","11.97","12.01","11.75","11.75","12.85","14.39","15.68","16.11","15.89","16.29","16.27","16.44","17.99","18.5","20.51","18.28","17.45","18.23","18.11","18.02","16.73","19.5","17.25","16.98"
"B Volatility","11.53","11.29","11.27","11.3","10.99","10.86","11.05","11.06","11.03","11.02","10.99","10.89","10.85","10.85","10.85","10.91","10.39","10.41","10.61","10.93","10.93","10.86","10.81","10.17","9.96","8.45","9.5","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","0.16","0.430000000000001","0.210000000000001","0.319999999999999","0.93","1.11","0.43","-0.390000000000001","-0.389999999999999","-0.16","0.369999999999999","-0.0500000000000007","-0.879999999999999","-0.219999999999999","-0.699999999999999","-0.960000000000001","-0.43","0.34","0.57","0.77","0.42","0.880000000000001","1.52","0.710000000000001","0.139999999999999","0.680000000000001","0.0299999999999994","-0.140000000000001","-0.44","-0.620000000000001","-0.25","-0.34","-0.66","-0.0499999999999989","-0.26","-0.15","-0.469999999999999","-0.6","-0.299999999999999","-0.33","-0.65","-0.52","-0.6","-0.539999999999999","-0.890000000000001","-0.550000000000001","-0.789999999999999","-0.600000000000001","-1.24","-1.41","-0.0100000000000016","-0.280000000000001","1.87","-0.149999999999999","-0.740000000000002","-0.0199999999999996","-0.289999999999999","-0.390000000000001","-1.65","1.16","-1.12","-0.989999999999998"
"P Tracking Error","3.3","2.99","3.46","3.29","3.01","3.65","3.22","2.86","2.76","3.38","2.96","2.81","2.98","3.25","2.91","3.49","3.37","3.62","4.22","4.06","3.56","3.38","4.07","3.76","2.57","2.89","2.88","3.02","3.17","2.7","2.52","2.68","2.83","2.65","3.03","2.65","2.31","2.83","2.58","2.56","2.53","2.2","2.54","2.74","3.2","3.09","2.97","3.4","3.72","4.06","3.72","4.27","4.24","3.88","3.93","4.23","4.38","4.56","4.91","4.49","5.88","4.69"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
