"","2017-12-12_to_2018-12-13_GrowthPortfolio_20QRank","2018-01-12_to_2019-01-13_GrowthPortfolio_20QRank","2018-02-12_to_2019-02-13_GrowthPortfolio_20QRank","2018-03-12_to_2019-03-13_GrowthPortfolio_20QRank","2018-04-12_to_2019-04-13_GrowthPortfolio_20QRank","2018-05-14_to_2019-05-13_GrowthPortfolio_20QRank","2018-06-12_to_2019-06-13_GrowthPortfolio_20QRank","2018-07-12_to_2019-07-13_GrowthPortfolio_20QRank","2018-08-13_to_2019-08-13_GrowthPortfolio_20QRank","2018-09-12_to_2019-09-13_GrowthPortfolio_20QRank","2018-10-12_to_2019-10-13_GrowthPortfolio_20QRank","2018-11-12_to_2019-11-13_GrowthPortfolio_20QRank","2018-12-12_to_2019-12-13_GrowthPortfolio_20QRank","2019-01-14_to_2020-01-13_GrowthPortfolio_20QRank","2019-02-12_to_2020-02-13_GrowthPortfolio_20QRank","2019-03-12_to_2020-03-13_GrowthPortfolio_20QRank","2019-04-12_to_2020-04-13_GrowthPortfolio_20QRank","2019-05-13_to_2020-05-13_GrowthPortfolio_20QRank","2019-06-12_to_2020-06-13_GrowthPortfolio_20QRank","2019-07-12_to_2020-07-13_GrowthPortfolio_20QRank","2019-08-12_to_2020-08-13_GrowthPortfolio_20QRank","2019-09-12_to_2020-09-13_GrowthPortfolio_20QRank","2019-10-14_to_2020-10-13_GrowthPortfolio_20QRank","2019-11-12_to_2020-11-13_GrowthPortfolio_20QRank","2019-12-12_to_2020-12-13_GrowthPortfolio_20QRank","2020-01-13_to_2021-01-13_GrowthPortfolio_20QRank","2020-02-12_to_2021-02-13_GrowthPortfolio_20QRank","2020-03-12_to_2021-03-13_GrowthPortfolio_20QRank","2020-04-13_to_2021-04-13_GrowthPortfolio_20QRank","2020-05-12_to_2021-05-13_GrowthPortfolio_20QRank","2020-06-12_to_2021-06-13_GrowthPortfolio_20QRank","2020-07-13_to_2021-07-13_GrowthPortfolio_20QRank","2020-08-12_to_2021-08-13_GrowthPortfolio_20QRank","2020-09-14_to_2021-09-13_GrowthPortfolio_20QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","9.171","1.627","7.358","0.702","12.654","3.082","0.03","10.902","6.301","8.096","11.675","21.231","22.696","34.969","35.256","7.881","7.01","15.906","22.115","24.868","39.2","36.981","51.557","44.058","42.004","66.588","52.723","82.839","76.358","50.28","48.435","43.426","35.365","35.047"
"B Annualized Returns","-0.169","-6.92","2.534","1.943","9.421","3.455","4.638","7.906","3.362","3.452","6.675","14.034","19.976","28.863","25.184","-0.288","-1.185","4.029","9.237","10.035","24.12","16.362","23.882","19.338","18.874","18.384","19.157","59.051","49.36","42.952","38.619","37.088","31.563","33.761"
"AR DIFF(P-B)","9.34","8.547","4.824","-1.241","3.233","-0.373","-4.608","2.996","2.939","4.644","5","7.197","2.72","6.106","10.072","8.169","8.195","11.877","12.878","14.833","15.08","20.619","27.675","24.72","23.13","48.204","33.566","23.788","26.998","7.328","9.816","6.338","3.802","1.28599999999999"
"P Volatility","19.78","16.82","19.45","18.35","19.01","19.36","21.41","22.24","21.9","22.75","18.4","19.09","15.37","14.05","13.13","14.93","17.32","20.33","20.37","20.08","21.22","21.92","22.27","25.35","25.29","32.22","27.22","25.24","23.17","21.87","22.13","19.53","15.5","13.54"
"B Volatility","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","6.73","2.02","2.99","2.28","2.85","2.86","2.96","2.9","2.85","3.56","0.809999999999999","1.41","1.91","1.7","0.73","-1.25","-1.82","-1.89","-1.14","-1.51","-0.59","-1.2","-1.97","0.73","-1.07","5.81","3.33","6.31","7.3","5.78","5.78","3.46","1.17","1.46"
"P Tracking Error","9.96","6.84","6.4","6.08","6.58","5.75","6.26","5.59","5.54","6.65","5.47","5.22","4.89","4.56","4.73","4.7","5.48","5.89","7","6.24","7.23","4.72","4.66","5.41","5.66","9.4","7.21","10.3","11.08","9.86","9.4","7.44","5.75","5.3"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
