"","2013-09-11_to_2014-09-12_GrowthPortfolio_3QRank","2013-10-11_to_2014-10-12_GrowthPortfolio_3QRank","2013-11-11_to_2014-11-12_GrowthPortfolio_3QRank","2013-12-11_to_2014-12-12_GrowthPortfolio_3QRank","2014-01-13_to_2015-01-12_GrowthPortfolio_3QRank","2014-02-11_to_2015-02-12_GrowthPortfolio_3QRank","2014-03-11_to_2015-03-12_GrowthPortfolio_3QRank","2014-04-11_to_2015-04-12_GrowthPortfolio_3QRank","2014-05-12_to_2015-05-12_GrowthPortfolio_3QRank","2014-06-11_to_2015-06-12_GrowthPortfolio_3QRank","2014-07-11_to_2015-07-12_GrowthPortfolio_3QRank","2014-08-11_to_2015-08-12_GrowthPortfolio_3QRank","2014-09-11_to_2015-09-12_GrowthPortfolio_3QRank","2014-10-13_to_2015-10-12_GrowthPortfolio_3QRank","2014-11-11_to_2015-11-12_GrowthPortfolio_3QRank","2014-12-11_to_2015-12-12_GrowthPortfolio_3QRank","2015-01-12_to_2016-01-12_GrowthPortfolio_3QRank","2015-02-11_to_2016-02-12_GrowthPortfolio_3QRank","2015-03-11_to_2016-03-12_GrowthPortfolio_3QRank","2015-04-13_to_2016-04-12_GrowthPortfolio_3QRank","2015-05-11_to_2016-05-12_GrowthPortfolio_3QRank","2015-06-11_to_2016-06-12_GrowthPortfolio_3QRank","2015-07-13_to_2016-07-12_GrowthPortfolio_3QRank","2015-08-11_to_2016-08-12_GrowthPortfolio_3QRank","2015-09-11_to_2016-09-12_GrowthPortfolio_3QRank","2015-10-12_to_2016-10-12_GrowthPortfolio_3QRank","2015-11-11_to_2016-11-12_GrowthPortfolio_3QRank","2015-12-11_to_2016-12-12_GrowthPortfolio_3QRank","2016-01-11_to_2017-01-12_GrowthPortfolio_3QRank","2016-02-11_to_2017-02-12_GrowthPortfolio_3QRank","2016-03-11_to_2017-03-12_GrowthPortfolio_3QRank","2016-04-11_to_2017-04-12_GrowthPortfolio_3QRank","2016-05-11_to_2017-05-12_GrowthPortfolio_3QRank","2016-06-13_to_2017-06-12_GrowthPortfolio_3QRank","2016-07-11_to_2017-07-12_GrowthPortfolio_3QRank","2016-08-11_to_2017-08-12_GrowthPortfolio_3QRank","2016-09-12_to_2017-09-12_GrowthPortfolio_3QRank","2016-10-11_to_2017-10-12_GrowthPortfolio_3QRank","2016-11-11_to_2017-11-12_GrowthPortfolio_3QRank","2016-12-12_to_2017-12-12_GrowthPortfolio_3QRank","2017-01-11_to_2018-01-12_GrowthPortfolio_3QRank","2017-02-13_to_2018-02-12_GrowthPortfolio_3QRank","2017-03-13_to_2018-03-12_GrowthPortfolio_3QRank","2017-04-11_to_2018-04-12_GrowthPortfolio_3QRank","2017-05-11_to_2018-05-12_GrowthPortfolio_3QRank","2017-06-12_to_2018-06-12_GrowthPortfolio_3QRank","2017-07-11_to_2018-07-12_GrowthPortfolio_3QRank","2017-08-11_to_2018-08-12_GrowthPortfolio_3QRank","2017-09-11_to_2018-09-12_GrowthPortfolio_3QRank","2017-10-11_to_2018-10-12_GrowthPortfolio_3QRank","2017-11-13_to_2018-11-12_GrowthPortfolio_3QRank","2017-12-11_to_2018-12-12_GrowthPortfolio_3QRank","2018-01-11_to_2019-01-12_GrowthPortfolio_3QRank","2018-02-12_to_2019-02-12_GrowthPortfolio_3QRank","2018-03-12_to_2019-03-12_GrowthPortfolio_3QRank","2018-04-11_to_2019-04-12_GrowthPortfolio_3QRank","2018-05-11_to_2019-05-12_GrowthPortfolio_3QRank","2018-06-11_to_2019-06-12_GrowthPortfolio_3QRank","2018-07-11_to_2019-07-12_GrowthPortfolio_3QRank","2018-08-13_to_2019-08-12_GrowthPortfolio_3QRank","2018-09-11_to_2019-09-12_GrowthPortfolio_3QRank","2018-10-11_to_2019-10-12_GrowthPortfolio_3QRank","2018-11-12_to_2019-11-12_GrowthPortfolio_3QRank","2018-12-11_to_2019-12-12_GrowthPortfolio_3QRank","2019-01-11_to_2020-01-12_GrowthPortfolio_3QRank","2019-02-11_to_2020-02-12_GrowthPortfolio_3QRank","2019-03-11_to_2020-03-12_GrowthPortfolio_3QRank","2019-04-11_to_2020-04-12_GrowthPortfolio_3QRank","2019-05-13_to_2020-05-12_GrowthPortfolio_3QRank","2019-06-11_to_2020-06-12_GrowthPortfolio_3QRank","2019-07-11_to_2020-07-12_GrowthPortfolio_3QRank","2019-08-12_to_2020-08-12_GrowthPortfolio_3QRank","2019-09-11_to_2020-09-12_GrowthPortfolio_3QRank","2019-10-11_to_2020-10-12_GrowthPortfolio_3QRank","2019-11-11_to_2020-11-12_GrowthPortfolio_3QRank","2019-12-11_to_2020-12-12_GrowthPortfolio_3QRank","2020-01-13_to_2021-01-12_GrowthPortfolio_3QRank","2020-02-11_to_2021-02-12_GrowthPortfolio_3QRank","2020-03-11_to_2021-03-12_GrowthPortfolio_3QRank","2020-04-13_to_2021-04-12_GrowthPortfolio_3QRank","2020-05-11_to_2021-05-12_GrowthPortfolio_3QRank","2020-06-11_to_2021-06-12_GrowthPortfolio_3QRank","2020-07-13_to_2021-07-12_GrowthPortfolio_3QRank","2020-08-11_to_2021-08-12_GrowthPortfolio_3QRank","2020-09-11_to_2021-09-12_GrowthPortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","25.569","20.71","24.172","24.097","15.037","15.402","11.424","28.728","24.28","22.604","21.046","16.77","3.806","17.427","4.809","5.393","3.468","-1.874","-0.361","4.058","5.472","2.149","6.787","10.072","20.611","18.146","14.891","13.603","25.843","34.706","21.234","23.847","28.474","23.871","19.812","17.579","22.86","30.242","36.755","26.213","31.624","29.713","34.183","34.277","33.947","32.988","23.457","26.574","24.471","17.181","15.214","11.021","3.059","6.42","0.628","15.1","7.223","3.804","12.657","5.378","7","12.838","13.458","8.782","23.505","17.628","-3.114","4.868","0.692","7.74","11.132","22.483","16.636","28.461","22.877","24.023","56.347","35.181","69.343","57.529","41.356","52.831","45.417","38.506","38.001"
"B Annualized Returns","17.4","12.657","14.605","11.808","10.7","14.273","10.223","14.176","9.817","7.842","4.877","6.944","-3.171","6.13","1.056","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","8.169","8.053","9.567","12.289","4.337","1.129","1.201","14.552","14.463","14.762","16.169","9.826","6.977","11.297","3.753","3.656","6.822","7.238","0.791","3.973","6.171","2.334","4.006","4.715","9.36","11.072","10.037","3.386","6.781","11.877","3.506","10.485","13.097","7.371","6.67","5.784","7.504","11.769","17.744","7.76","8.781","15.155","17.687","21.466","20.432","18.702","8.705","10.473","8.479","7.526","8.993","11.398","9.297","3.872","0.194","5.679","0.958","-0.0140000000000002","4.751","3.628","2.893","4.481","-0.327","-11.332","-3.788","-8.254","6.431","5.024","-5.693","-1.497","-0.57","1.751","0.274000000000001","3.816","4.908","5.149","38.895","16.024","10.292","8.779","2.157","12.68","8.025","7.44","3.068"
"P Volatility","11.37","13.11","13.01","13.69","13.27","11.59","12.25","13.56","9.89","10.26","9.66","9.09","12.24","11.48","12.36","14.06","13.76","14.9","14.12","13.8","15.43","13.95","13.91","11.79","14","11.87","13.36","11.77","9.34","7.99","6.82","5.58","6.55","7.9","9.19","7.73","6.99","5.05","5.65","4.58","6.11","9.77","11.32","13.01","14.07","13.27","13.34","13.89","14.63","13.52","18.89","18.76","17","19.45","19.98","19.63","20.3","22.99","22.47","19.86","19.85","14.21","12.97","7.32","9.78","5.76","10.88","13.58","20.46","19.06","20.08","22.56","25.11","23.37","26.51","25.26","31.18","25.88","23.27","21.15","22.41","19.74","19.31","14.54","13.45"
"B Volatility","8.4","7.94","7.69","7.72","5.1","7.66","9.3","10.03","9.98","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","2.97","5.17","5.32","5.97","8.17","3.93","2.95","3.53","-0.0899999999999999","0.31","-0.56","-0.83","0.290000000000001","-0.719999999999999","-3.89","-2.22","-1.68","-0.129999999999999","-0.75","-2.51","-0.84","-2.22","-2.06","-2.93","-0.0500000000000007","2.1","3.45","1.8","1.37","0.45","0.65","-0.65","0.31","1.77","3.67","2.28","1.68","0.79","1.5","0.32","1.85","4.2","3.34","3.46","4.5","3.58","3.7","3.75","4.18","3.09","5.85","5.71","2.2","2.99","3.91","3.47","3.8","4.54","3.13","0.809999999999999","0.66","-3.38","-4.71","-6.14","-2.57","-6.64","-5.3","-5.56","-1.76","-2.45","-1.51","0.75","1.99","-0.869999999999997","1.89","-1.1","4.77","1.99","4.34","5.28","6.32","3.39","3.24","0.209999999999999","1.37"
"P Tracking Error","10.08","10.86","10.76","11.52","10.53","12.27","9.45","8.02","8.02","7.23","8.05","8.42","6.66","7.3","8.08","6.62","6.31","6.47","6.78","5.22","5.19","5.77","5.48","4.96","6.34","5.29","7.08","5.14","5.42","4.71","4.44","5.05","4.18","7.38","8.31","6.79","5.43","4.92","4.31","3.63","4.36","5.78","7.33","7.58","7.6","6.51","6.86","9.3","9.46","8.98","9.58","9.32","5.92","5.57","7.92","7.4","7.73","8.05","6.63","6.25","6.74","6.34","7.89","9.89","7.08","8.65","9.57","8.06","4.89","6.99","6.26","6.19","5.35","5.96","5.96","4.83","10.17","8.67","9.89","10.17","10.88","6.88","7.84","6.53","7.05"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
