"","1 Y 2017-12-12 to 2020-12-13","1 Y 2018-01-12 to 2021-01-13","1 Y 2018-02-12 to 2021-02-13","1 Y 2018-03-12 to 2021-03-13","1 Y 2018-04-12 to 2021-04-13","1 Y 2018-05-14 to 2021-05-13","1 Y 2018-06-12 to 2021-06-13","1 Y 2018-07-12 to 2021-07-13","1 Y 2018-08-13 to 2021-08-13","1 Y 2018-09-12 to 2021-09-13","1 Y 2018-10-12 to 2021-10-13","2 Y 2017-12-12 to 2020-12-13","2 Y 2018-01-12 to 2021-01-13","2 Y 2018-02-12 to 2021-02-13","2 Y 2018-03-12 to 2021-03-13","2 Y 2018-04-12 to 2021-04-13","2 Y 2018-05-14 to 2021-05-13","2 Y 2018-06-12 to 2021-06-13","2 Y 2018-07-12 to 2021-07-13","2 Y 2018-08-13 to 2021-08-13","2 Y 2018-09-12 to 2021-09-13","2 Y 2018-10-12 to 2021-10-13","3 Y 2017-12-12 to 2020-12-13","3 Y 2018-01-12 to 2021-01-13","3 Y 2018-02-12 to 2021-02-13","3 Y 2018-03-12 to 2021-03-13","3 Y 2018-04-12 to 2021-04-13","3 Y 2018-05-14 to 2021-05-13","3 Y 2018-06-12 to 2021-06-13","3 Y 2018-07-12 to 2021-07-13","3 Y 2018-08-13 to 2021-08-13","3 Y 2018-09-12 to 2021-09-13","3 Y 2018-10-12 to 2021-10-13"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","63.578","67.587","57.181","100.732","93.321","66.188","60.951","52.995","44.385","31.085","32.218","42.187","49.549","47.311","43.276","47.696","41.831","46.088","46.983","51.784","35.571","36.556","30.291","31.16","32.566","27.388","34.903","28.024","28.605","33.784","33.218","26.313","29.212"
"B Annualized Returns","18.874","18.384","19.157","59.051","49.36","42.952","40.151","37.087","31.563","30.588","30.588","19.492","23.319","22.134","19.946","21.521","21.947","23.243","22.837","27.787","25.777","25.777","12.464","12.124","15.216","13.617","17.434","15.715","16.395","17.593","17.68","17.724","19.762"
"AR DIFF(P-B)","44.704","49.203","38.024","41.681","43.961","23.236","20.8","15.908","12.822","0.497","1.63","22.695","26.23","25.177","23.33","26.175","19.884","22.845","24.146","23.997","9.794","10.779","17.827","19.036","17.35","13.771","17.469","12.309","12.21","16.191","15.538","8.589","9.45"
"P Volatility","32.63","32.96","32.2","30.73","29.95","30.89","30.91","30.16","21.15","13.04","12.71","24.56","24.37","24.79","26.68","27.44","26.86","26.66","26.34","25.11","18.82","18.34","23.65","23.05","23.14","24.02","24.66","25.37","25.18","24.77","24.03","19.92","18.26"
"B Volatility","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08","12.08","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37","18.37","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","6.27","6.55","8.31","11.8","14.08","14.8","14.56","14.09","6.82","0.959999999999999","0.630000000000001","4.56","4.68","5.04","6.94","7.71","8.03","8.12","7.78","6.76","0.449999999999999","-0.0300000000000011","4.87","4.41","4.71","5.83","6.41","6.97","6.77","6.39","5.69","1.55","0.290000000000003"
"P Tracking Error","9.57","9.91","10.35","14.18","16.55","17.76","16.85","16.69","9.87","4.39","4.46","8.52","8.92","9.17","10.85","12.4","13.06","12.7","12.44","11.55","5.49","5.27","8.84","8.44","8.55","9.74","10.82","11.46","11.17","10.7","10","5.89","5.28"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","4.67","4.96","3.67","2.94","2.66","1.31","1.23","0.95","1.3","0.11","0.37","2.66","2.94","2.75","2.15","2.11","1.52","1.8","1.94","2.08","1.78","2.05","2.02","2.26","2.03","1.41","1.61","1.07","1.09","1.51","1.55","1.46","1.79"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","2.71","2.53","1.99","0.6","0.09","-0.01","-0.66","-0.44","-0.48","-0.26","-0.06","1.33","1.39","1.49","1.34","1.26","1.21","1.07","1.27","1.11","0.78","0.91","1.15","1.07","1.05","0.89","0.89","0.75","0.64","0.99","0.88","0.53","0.77"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
