"","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","15.904","27.666","43.33","24.804","20.08","23.471","30.593","26.537","22.001","26.232","30.422","25.213","19.521","29.401","20.681","26.817","21.479","21.17","22.868","24.167","21.359","22.679","10.964","12.358","4.094","-2.283","4.537","2.048","5.357","4.596","-2.427","6.175","1.126","2.808","5.264","14.534","16.666","20.729","20.98","-11.851","-4.58","0.588","11.792","4.248","12.625","10.916","21.303","27.555","35.299","33.591","30.517","87.452","65.08","63.455","52.552","52.884","43.565","44.197"
"B Annualized Returns","9.383","16.38","22.52","17.753","14.76","15.467","16.955","13.025","11.632","14.93","18.951","19.843","18.104","21.738","11.418","14.792","11.553","13.273","14.212","14.311","16.08","16.434","7.565","9.628","-0.541","-6.245","1.178","0.16","9.702","5.836","4.184","8.589","3.739","3.815","7.278","13.662","19.721","28.636","26.794","0.479","-0.156","8.455","8.375","10.532","20.717","16.806","21.097","19.006","19.875","17.643","18.359","44.413","48.22","39.453","40.072","36.05","32.52","34.146"
"AR DIFF(P-B)","6.521","11.286","20.81","7.051","5.32","8.004","13.638","13.512","10.369","11.302","11.471","5.37","1.417","7.663","9.263","12.025","9.926","7.897","8.656","9.856","5.279","6.245","3.399","2.73","4.635","3.962","3.359","1.888","-4.345","-1.24","-6.611","-2.414","-2.613","-1.007","-2.014","0.872","-3.055","-7.907","-5.814","-12.33","-4.424","-7.867","3.417","-6.284","-8.092","-5.89","0.206","8.549","15.424","15.948","12.158","43.039","16.86","24.002","12.48","16.834","11.045","10.051"
"P Volatility","10.59","8.72","9.31","7.17","7.63","8.12","8.59","8.71","8.09","8.04","7.09","6.69","6.08","5.34","7.95","10.63","11.48","10.81","11.45","12","10.92","11.41","11.22","14.37","14.01","13.97","16.73","15.76","16.53","17.1","18.79","19.47","20.19","19.69","18.71","18.93","14.74","10.85","11.5","14.67","21.73","24.55","27.98","26.05","26.79","27","27.1","31.86","36.11","35.09","32.18","22.08","19.06","19.07","17.47","16.73","17.52","16.98"
"B Volatility","11.31","7.37","7.4","6","6.06","6.1","5.99","5.46","5.34","4.85","4.25","4.22","4.18","4.13","4.97","7.63","9.23","9.25","9.4","9.41","9.92","10.26","10.2","12.91","12.81","14.17","15.9","15.5","15.53","16.08","17.44","17.65","17.36","17.51","15.73","15.82","11.86","10.55","10.51","15.75","18.95","22.61","22.37","22.49","22.48","24.24","25.31","25.38","26.51","26.6","23.33","18","14.74","15.14","15.58","15.49","12.95","10.33"
"V DIFF(P-B)","-0.720000000000001","1.35","1.91","1.17","1.57","2.02","2.6","3.25","2.75","3.19","2.84","2.47","1.9","1.21","2.98","3","2.25","1.56","2.05","2.59","1","1.15","1.02","1.46","1.2","-0.199999999999999","0.83","0.26","1","1.02","1.35","1.82","2.83","2.18","2.98","3.11","2.88","0.299999999999999","0.99","-1.08","2.78","1.94","5.61","3.56","4.31","2.76","1.79","6.48","9.6","8.49","8.85","4.08","4.32","3.93","1.89","1.24","4.57","6.65"
"P Tracking Error","4.94","3.43","5.27","3.59","3.81","4.49","5.72","6.49","6.18","5.97","5.4","5.42","4.82","4.42","4.66","4.67","5.79","4.91","4.41","4.76","5.04","4.91","4.96","4.46","3.67","3.33","3.44","2.75","3.43","3.19","3.77","4.11","5.32","4.65","5.2","5.93","6.7","4.57","6.01","5.5","7.6","7.41","10.45","9.21","9.38","8.78","8.13","10.49","12.99","11.78","11.16","7.86","8.48","10.42","8.62","9.01","10.57","12.52"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.32","3.29","3.95","1.96","1.4","1.78","2.38","2.08","1.68","1.89","2.12","0.99","0.29","1.73","1.99","2.57","1.71","1.61","1.96","2.07","1.05","1.27","0.69","0.61","1.26","1.19","0.98","0.69","-1.27","-0.39","-1.75","-0.59","-0.49","-0.22","-0.39","0.15","-0.46","-1.73","-0.97","-2.24","-0.58","-1.06","0.33","-0.68","-0.86","-0.67","0.03","0.81","1.19","1.35","1.09","5.48","1.99","2.3","1.45","1.87","1.04","0.8"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.51","0.33","0.91","0.49","0.4","0.33","0.94","0.79","0.85","0.38","0.56","0.61","0.47","0.61","-0.05","0.21","0.56","0.45","0.71","0.43","0.45","0.38","0.28","0.39","0.41","0.28","0.35","0.19","-0.3","-0.51","-0.63","-0.02","-0.13","-0.06","-0.31","-0.07","-0.4","-0.29","-0.4","-0.22","-0.53","-0.62","0.09","-0.4","-0.52","-0.37","-0.15","0.7","0.99","0.73","-0.03","1.42","1.35","1","1.06","1.44","0.58","0.45"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.84","1.09","1.04","1.04","1.09","1.12","1.07","1.07","0.98","1.12","1.08","0.93","0.89","0.76","1.34","1.28","1.08","1.04","1.13","1.19","0.98","1","0.99","1.06","1.06","0.96","1.03","1","1.04","1.05","1.06","1.08","1.13","1.1","1.15","1.15","1.11","0.93","0.94","0.87","1.08","1.04","1.17","1.09","1.12","1.05","1.02","1.2","1.31","1.27","1.34","1.16","1.17","1.06","0.98","0.91","1.08","1.12"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","78.9","83.5","64.48","72.28","72.86","66.86","50.93","38.59","35.34","39.39","35.77","27.27","30.69","27.58","66.88","83.17","72.19","77.25","84.84","84.93","76.41","79.46","78.26","89.59","92.67","93.9","95.4","96.62","95.38","96.34","95.84","95.65","93.68","94.62","93.28","90.76","77.97","80.72","70.02","86.44","86.92","90","86.63","86.75","87.55","88.53","90.05","90.84","91.3","92.2","93.26","87.77","79.96","67.01","72.97","68.49","59.96","40.14"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-10.6568","-6.2549","-5.4705","-4.2618","-4.3188","-4.3148","-4.4377","-3.7716","-3.6396","-3.6006","-3.0129","-2.8878","-2.8679","-2.5199","-9.742","-9.6565","-10.3513","-10.2684","-10.0292","-10.2335","-9.9073","-9.7315","-9.5879","-10.445","-12.859","-19.164","-19.899","-19.132","-20.8371","-21.12","-20.944","-20.2104","-20.8406","-20.1235","-16.4051","-14.1685","-11.1318","-7.245","-7.1989","-26.3548","-30.6838","-30.0876","-32.4268","-29.9461","-31.0488","-30.2367","-29.59","-31.818","-32.238","-32.3878","-32.7208","-13.7657","-8.7127","-8.6618","-8.4955","-8.2363","-9.3759","-6.8418"
"B Max Drawdown","-10.5262","-5.1204","-5.1204","-5.1205","-5.1204","-5.1205","-4.8468","-4.3548","-4.3548","-3.7967","-2.9402","-2.9033","-2.9033","-2.9033","-9.7411","-9.7411","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-10.5811","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-19.9593","-16.7416","-15.8126","-11.4984","-7.6691","-7.6691","-18.5281","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-16.0505","-10.5021","-10.5021","-10.5021","-10.502","-10.5021","-7.8111"
"MD DIFF(P-B)","-0.130600000000001","-1.1345","-0.3501","0.8587","0.8016","0.8057","0.4091","0.5832","0.7152","0.1961","-0.0727000000000002","0.0155000000000003","0.0354000000000001","0.3834","-0.000900000000001455","0.0846","0.229799999999999","0.3127","0.5519","0.3476","0.6738","0.849599999999999","0.9932","0.136099999999999","-2.2779","0.795299999999997","0.060299999999998","0.827299999999997","-0.877800000000001","-1.1607","-0.9847","-0.251100000000001","-0.8813","-0.164200000000001","0.336499999999997","1.6441","0.3666","0.4241","0.4702","-7.8267","0.847399999999997","1.4436","-0.895600000000002","1.5851","0.482399999999998","1.2945","1.9412","-0.286800000000003","-0.706800000000001","-0.8566","-1.1896","2.2848","1.7894","1.8403","2.0066","2.2657","1.1262","0.9693"
