"","1 Y 2013-03-12 to 2014-03-13","1 Y 2013-04-12 to 2014-04-13","1 Y 2013-05-13 to 2014-05-13","1 Y 2013-06-12 to 2014-06-13","1 Y 2013-07-12 to 2014-07-13","1 Y 2013-08-12 to 2014-08-13","1 Y 2013-09-12 to 2014-09-13","1 Y 2013-10-14 to 2014-10-13","1 Y 2013-11-12 to 2014-11-13","1 Y 2013-12-12 to 2014-12-13","1 Y 2014-01-13 to 2015-01-13","1 Y 2014-02-12 to 2015-02-13","1 Y 2014-03-12 to 2015-03-13","1 Y 2014-04-14 to 2015-04-13","1 Y 2014-05-12 to 2015-05-13","1 Y 2014-06-12 to 2015-06-13","1 Y 2014-07-14 to 2015-07-13","1 Y 2014-08-12 to 2015-08-13","1 Y 2014-09-12 to 2015-09-13","1 Y 2014-10-13 to 2015-10-13","1 Y 2014-11-12 to 2015-11-13","1 Y 2014-12-12 to 2015-12-13","1 Y 2015-01-12 to 2016-01-13","1 Y 2015-02-12 to 2016-02-13","1 Y 2015-03-12 to 2016-03-13","1 Y 2015-04-13 to 2016-04-13","1 Y 2015-05-12 to 2016-05-13","1 Y 2015-06-12 to 2016-06-13","1 Y 2015-07-13 to 2016-07-13","1 Y 2015-08-12 to 2016-08-13","1 Y 2015-09-14 to 2016-09-13","1 Y 2015-10-12 to 2016-10-13","1 Y 2015-11-12 to 2016-11-13","1 Y 2015-12-14 to 2016-12-13","1 Y 2016-01-12 to 2017-01-13","1 Y 2016-02-12 to 2017-02-13","1 Y 2016-03-14 to 2017-03-13","1 Y 2016-04-12 to 2017-04-13","1 Y 2016-05-12 to 2017-05-13","1 Y 2016-06-13 to 2017-06-13","1 Y 2016-07-12 to 2017-07-13","1 Y 2016-08-12 to 2017-08-13","1 Y 2016-09-12 to 2017-09-13","1 Y 2016-10-12 to 2017-10-13","1 Y 2016-11-14 to 2017-11-13","1 Y 2016-12-12 to 2017-12-13","1 Y 2017-01-12 to 2018-01-13","1 Y 2017-02-13 to 2018-02-13","1 Y 2017-03-13 to 2018-03-13","1 Y 2017-04-12 to 2018-04-13","1 Y 2017-05-12 to 2018-05-13","1 Y 2017-06-12 to 2018-06-13","1 Y 2017-07-12 to 2018-07-13","1 Y 2017-08-14 to 2018-08-13","1 Y 2017-09-12 to 2018-09-13","1 Y 2017-10-12 to 2018-10-13","1 Y 2017-11-13 to 2018-11-13","1 Y 2017-12-12 to 2018-12-13","1 Y 2018-01-12 to 2019-01-13","1 Y 2018-02-12 to 2019-02-13","1 Y 2018-03-12 to 2019-03-13","1 Y 2018-04-12 to 2019-04-13","1 Y 2018-05-14 to 2019-05-13","1 Y 2018-06-12 to 2019-06-13","1 Y 2018-07-12 to 2019-07-13","1 Y 2018-08-13 to 2019-08-13","1 Y 2018-09-12 to 2019-09-13","1 Y 2018-10-12 to 2019-10-13","1 Y 2018-11-12 to 2019-11-13","1 Y 2018-12-12 to 2019-12-13","1 Y 2019-01-14 to 2020-01-13","1 Y 2019-02-12 to 2020-02-13","1 Y 2019-03-12 to 2020-03-13","1 Y 2019-04-12 to 2020-04-13","1 Y 2019-05-13 to 2020-05-13","1 Y 2019-06-12 to 2020-06-13","1 Y 2019-07-12 to 2020-07-13","1 Y 2019-08-12 to 2020-08-13","1 Y 2019-09-12 to 2020-09-13","1 Y 2019-10-14 to 2020-10-13","1 Y 2019-11-12 to 2020-11-13","1 Y 2019-12-12 to 2020-12-13","1 Y 2020-01-13 to 2021-01-13","1 Y 2020-02-12 to 2021-02-13","1 Y 2020-03-12 to 2021-03-13","1 Y 2020-04-13 to 2021-04-13","1 Y 2020-05-12 to 2021-05-13","1 Y 2020-06-12 to 2021-06-13","1 Y 2020-07-13 to 2021-07-13","1 Y 2020-08-12 to 2021-08-13","1 Y 2020-09-14 to 2021-09-13"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","37.019","34.523","29.429","29.077","21.694","20.219","21.108","12.854","21.354","17.974","15.187","15.757","15.065","20.708","18.493","16.896","13.339","11.381","4.157","12.776","6.546","9.78","3.619","-6.687","3.022","5.795","5.35","7.184","5.447","10.484","15.581","9.614","10.699","19.466","29.388","33.57","19.411","23.449","25.31","23.81","19.792","19.077","25.617","26.987","23.534","22.445","26.107","17.565","24.628","16.162","20.711","15.687","20.306","14.169","14.368","7.151","6.962","-1.203","-6.553","4.752","4.318","4.908","7.936","0.18","8.246","3.438","1.542","7.034","11.431","18.094","26.089","18.516","-4.756","2.474","1.682","6.771","16.99","20.734","25.565","25.388","29.057","32.702","35.577","30.084","88.329","64.165","74.178","51.077","42.239","36.913","41.101"
"B Annualized Returns","16.431","12.55","14.691","16.269","15.846","14.078","17.4","10.446","13.927","11.808","10.384","14.231","10.828","12.771","9.672","7.842","5.52","6.003","-2.716","5.514","-0.371","3.505","-5.471","-9.112","-1.152","0.881","-2.688","0.284","2.267","5.357","9.721","7.273","4.854","11.052","17.077","22.901","17.789","11.48","15.377","16.879","13.395","11.963","17.126","18.992","19.473","17.508","22.843","14.823","15.565","13.306","13.601","13.426","14.605","14.558","16.443","9.655","5.99","-0.169","-6.92","2.534","1.943","9.421","3.455","4.638","7.906","3.362","3.452","6.675","14.034","19.976","28.863","25.184","-0.288","-1.185","4.029","9.237","10.035","24.12","16.362","23.882","19.338","18.874","18.384","19.157","59.051","49.36","42.952","38.619","37.088","31.563","33.761"
"AR DIFF(P-B)","20.588","21.973","14.738","12.808","5.848","6.141","3.708","2.408","7.427","6.166","4.803","1.526","4.237","7.937","8.821","9.054","7.819","5.378","6.873","7.262","6.917","6.275","9.09","2.425","4.174","4.914","8.038","6.9","3.18","5.127","5.86","2.341","5.845","8.414","12.311","10.669","1.622","11.969","9.933","6.931","6.397","7.114","8.491","7.995","4.061","4.937","3.264","2.742","9.063","2.856","7.11","2.261","5.701","-0.388999999999999","-2.075","-2.504","0.972","-1.034","0.367","2.218","2.375","-4.513","4.481","-4.458","0.340000000000001","0.0760000000000001","-1.91","0.359","-2.603","-1.882","-2.774","-6.668","-4.468","3.659","-2.347","-2.466","6.955","-3.386","9.203","1.506","9.719","13.828","17.193","10.927","29.278","14.805","31.226","12.458","5.151","5.35","7.34"
"P Volatility","10.06","12.75","11.87","10.35","7.63","8.22","7.81","8.79","9.91","10.21","7.34","7.16","9.42","10.08","10.02","9.75","9.37","9.94","12.36","12.45","14.05","13.75","14.16","14.67","13.61","15.79","14.39","15.8","16.2","14.76","15.87","13.83","13.16","13.16","9.48","8.11","6.53","8.97","6.69","5.9","5.39","6.55","5.86","4.59","5.32","5.73","5.27","6.36","9.46","10.88","11.65","10.35","10.52","11.02","11.87","11.7","13.02","12.94","12.84","16.27","15.16","16.74","14.81","19.12","20.67","18.88","18.68","18.09","17.38","15.88","12.06","14.26","14.76","19.56","24.64","24.66","25.15","22.52","27.93","23.3","27.1","33.7","28.75","27.04","20.69","19.31","19.46","16.68","15.36","15.07","16.15"
"B Volatility","10.63","10.61","10.58","10.01","9.31","8.17","8.4","7.94","7.69","7.72","5.1","7.66","9.3","10.03","9.98","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","-0.57","2.14","1.29","0.34","-1.68","0.0500000000000007","-0.590000000000001","0.849999999999999","2.22","2.49","2.24","-0.5","0.119999999999999","0.0500000000000007","0.0399999999999991","-0.199999999999999","-0.850000000000001","0.0199999999999996","0.41","0.25","-2.2","-2.53","-1.28","-0.359999999999999","-1.26","-0.52","-1.88","-0.370000000000001","0.229999999999999","0.0399999999999991","1.82","4.06","3.25","3.19","1.51","0.569999999999999","0.36","2.74","0.45","-0.23","-0.13","1.1","0.550000000000001","0.33","1.17","1.47","1.01","0.79","1.48","1.33","2.08","0.66","0.879999999999999","0.879999999999999","1.42","1.27","-0.0199999999999996","-0.110000000000001","-1.96","-0.190000000000001","-0.91","0.579999999999998","-1.69","0.670000000000002","1.33","-0.170000000000002","-0.510000000000002","0.5","-0.300000000000001","2.42","-0.289999999999999","1.86","-1.42","0.419999999999998","2.42","3.15","3.56","0.710000000000001","4.81","-0.939999999999998","2.48","7.34","2.34","3.15","1.76","3.44","3.37","0.329999999999998","-0.710000000000001","0.74","4.07"
"P Tracking Error","3.91","10.47","7.95","8.27","6.34","6.28","5.53","5.72","7.01","5.83","3.58","5.45","5.26","4.14","3.85","2.89","3.28","3.22","2.32","2.73","5.13","4.69","3.12","4.92","5.54","4.28","4.55","4.76","4.43","3.53","4.41","5.58","4.32","4.37","3.67","3.5","2.13","5.43","2.15","3.12","3.88","3.32","2.44","2.16","2.79","3.6","2.59","2.27","2.81","3.49","3.75","2.3","1.93","2.24","3.65","3.59","3.61","3.78","3.66","3.5","3","3.26","3.56","4.83","4.04","2.97","4.35","2.9","2.33","3.2","2.46","3.18","2.64","3.12","2.96","5.15","4.47","3.7","6.64","4.65","5.11","10.47","5.85","6.38","6.1","9.43","9.68","5.11","2.79","7.3","9.08"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
