"","2017-12-12_to_2018-12-13_VGPortfolio_20QRank","2018-01-12_to_2019-01-13_VGPortfolio_20QRank","2018-02-12_to_2019-02-13_VGPortfolio_20QRank","2018-03-12_to_2019-03-13_VGPortfolio_20QRank","2018-04-12_to_2019-04-13_VGPortfolio_20QRank","2018-05-14_to_2019-05-13_VGPortfolio_20QRank","2018-06-12_to_2019-06-13_VGPortfolio_20QRank","2018-07-12_to_2019-07-13_VGPortfolio_20QRank","2018-08-13_to_2019-08-13_VGPortfolio_20QRank","2018-09-12_to_2019-09-13_VGPortfolio_20QRank","2018-10-12_to_2019-10-13_VGPortfolio_20QRank","2018-11-12_to_2019-11-13_VGPortfolio_20QRank","2018-12-12_to_2019-12-13_VGPortfolio_20QRank","2019-01-14_to_2020-01-13_VGPortfolio_20QRank","2019-02-12_to_2020-02-13_VGPortfolio_20QRank","2019-03-12_to_2020-03-13_VGPortfolio_20QRank","2019-04-12_to_2020-04-13_VGPortfolio_20QRank","2019-05-13_to_2020-05-13_VGPortfolio_20QRank","2019-06-12_to_2020-06-13_VGPortfolio_20QRank","2019-07-12_to_2020-07-13_VGPortfolio_20QRank","2019-08-12_to_2020-08-13_VGPortfolio_20QRank","2019-09-12_to_2020-09-13_VGPortfolio_20QRank","2019-10-14_to_2020-10-13_VGPortfolio_20QRank","2019-11-12_to_2020-11-13_VGPortfolio_20QRank","2019-12-12_to_2020-12-13_VGPortfolio_20QRank","2020-01-13_to_2021-01-13_VGPortfolio_20QRank","2020-02-12_to_2021-02-13_VGPortfolio_20QRank","2020-03-12_to_2021-03-13_VGPortfolio_20QRank","2020-04-13_to_2021-04-13_VGPortfolio_20QRank","2020-05-12_to_2021-05-13_VGPortfolio_20QRank","2020-06-12_to_2021-06-13_VGPortfolio_20QRank","2020-07-13_to_2021-07-13_VGPortfolio_20QRank","2020-08-12_to_2021-08-13_VGPortfolio_20QRank","2020-09-14_to_2021-09-13_VGPortfolio_20QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","2.53","-2.216","4.919","3.577","7.698","6.379","1.322","8.554","2.83","4.477","5.85","15.912","20.35","23.306","20.995","-4.693","-3.864","-1.484","3.646","6.299","33.678","26.459","21.044","16.265","18.256","31.88","28.245","66.816","65.754","69.638","52.396","48.469","44.498","42.083"
"B Annualized Returns","-0.377","-6.984","2.548","0.434","8.77","5.836","3.818","7.473","1.75","4.107","6.455","13.785","20.114","28.636","25.882","-9.545","-0.824","6.385","8.375","10.106","20.732","16.494","24.645","17.969","18.936","17.452","18.359","59.453","48.75","39.199","37.925","37.392","31.066","34.146"
"AR DIFF(P-B)","2.907","4.768","2.371","3.143","-1.072","0.542999999999999","-2.496","1.081","1.08","0.37","-0.605","2.127","0.236000000000001","-5.33","-4.887","4.852","-3.04","-7.869","-4.729","-3.807","12.946","9.965","-3.601","-1.704","-0.68","14.428","9.886","7.363","17.004","30.439","14.471","11.077","13.432","7.937"
"P Volatility","12.25","12.98","15.39","14.28","15.25","15.68","17.18","18.92","19.56","20.63","18.57","19.71","16.16","13.55","13.04","16.13","22.57","26.53","27.12","26.94","29.83","32.94","27.87","28.76","30.42","34.2","32.47","21.91","19.36","18.21","17.91","17.43","17.58","15.65"
"B Volatility","12.81","14.17","15.9","15.5","15.53","16.08","17.44","17.65","17.36","17.51","15.73","15.82","11.86","10.55","10.51","15.75","18.95","22.61","22.37","22.49","22.48","24.24","25.31","25.38","26.51","26.6","23.33","18","14.74","15.14","15.58","15.49","12.95","10.33"
"V DIFF(P-B)","-0.56","-1.19","-0.51","-1.22","-0.279999999999999","-0.399999999999999","-0.260000000000002","1.27","2.2","3.12","2.84","3.89","4.3","3","2.53","0.379999999999999","3.62","3.92","4.75","4.45","7.35","8.7","2.56","3.38","3.91","7.6","9.14","3.91","4.62","3.07","2.33","1.94","4.63","5.32"
"P Tracking Error","4.01","3.75","3.78","3.65","4.41","4.19","4.14","4.16","4.88","5.53","5.39","6.45","7.21","5.95","6.06","6.36","8.49","8.9","10.52","10.04","11.68","12.37","8.98","8.65","9.12","11.55","11.44","8.03","8.69","9.21","8.69","10.03","11.25","11.46"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
