"","2013-12-11_to_2014-12-12_VGPortfolio_4QRank","2014-01-13_to_2015-01-12_VGPortfolio_4QRank","2014-02-11_to_2015-02-12_VGPortfolio_4QRank","2014-03-11_to_2015-03-12_VGPortfolio_4QRank","2014-04-11_to_2015-04-12_VGPortfolio_4QRank","2014-05-12_to_2015-05-12_VGPortfolio_4QRank","2014-06-11_to_2015-06-12_VGPortfolio_4QRank","2014-07-11_to_2015-07-12_VGPortfolio_4QRank","2014-08-11_to_2015-08-12_VGPortfolio_4QRank","2014-09-11_to_2015-09-12_VGPortfolio_4QRank","2014-10-13_to_2015-10-12_VGPortfolio_4QRank","2014-11-11_to_2015-11-12_VGPortfolio_4QRank","2014-12-11_to_2015-12-12_VGPortfolio_4QRank","2015-01-12_to_2016-01-12_VGPortfolio_4QRank","2015-02-11_to_2016-02-12_VGPortfolio_4QRank","2015-03-11_to_2016-03-12_VGPortfolio_4QRank","2015-04-13_to_2016-04-12_VGPortfolio_4QRank","2015-05-11_to_2016-05-12_VGPortfolio_4QRank","2015-06-11_to_2016-06-12_VGPortfolio_4QRank","2015-07-13_to_2016-07-12_VGPortfolio_4QRank","2015-08-11_to_2016-08-12_VGPortfolio_4QRank","2015-09-11_to_2016-09-12_VGPortfolio_4QRank","2015-10-12_to_2016-10-12_VGPortfolio_4QRank","2015-11-11_to_2016-11-12_VGPortfolio_4QRank","2015-12-11_to_2016-12-12_VGPortfolio_4QRank","2016-01-11_to_2017-01-12_VGPortfolio_4QRank","2016-02-11_to_2017-02-12_VGPortfolio_4QRank","2016-03-11_to_2017-03-12_VGPortfolio_4QRank","2016-04-11_to_2017-04-12_VGPortfolio_4QRank","2016-05-11_to_2017-05-12_VGPortfolio_4QRank","2016-06-13_to_2017-06-12_VGPortfolio_4QRank","2016-07-11_to_2017-07-12_VGPortfolio_4QRank","2016-08-11_to_2017-08-12_VGPortfolio_4QRank","2016-09-12_to_2017-09-12_VGPortfolio_4QRank","2016-10-11_to_2017-10-12_VGPortfolio_4QRank","2016-11-11_to_2017-11-12_VGPortfolio_4QRank","2016-12-12_to_2017-12-12_VGPortfolio_4QRank","2017-01-11_to_2018-01-12_VGPortfolio_4QRank","2017-02-13_to_2018-02-12_VGPortfolio_4QRank","2017-03-13_to_2018-03-12_VGPortfolio_4QRank","2017-04-11_to_2018-04-12_VGPortfolio_4QRank","2017-05-11_to_2018-05-12_VGPortfolio_4QRank","2017-06-12_to_2018-06-12_VGPortfolio_4QRank","2017-07-11_to_2018-07-12_VGPortfolio_4QRank","2017-08-11_to_2018-08-12_VGPortfolio_4QRank","2017-09-11_to_2018-09-12_VGPortfolio_4QRank","2017-10-11_to_2018-10-12_VGPortfolio_4QRank","2017-11-13_to_2018-11-12_VGPortfolio_4QRank","2017-12-11_to_2018-12-12_VGPortfolio_4QRank","2018-01-11_to_2019-01-12_VGPortfolio_4QRank","2018-02-12_to_2019-02-12_VGPortfolio_4QRank","2018-03-12_to_2019-03-12_VGPortfolio_4QRank","2018-04-11_to_2019-04-12_VGPortfolio_4QRank","2018-05-11_to_2019-05-12_VGPortfolio_4QRank","2018-06-11_to_2019-06-12_VGPortfolio_4QRank","2018-07-11_to_2019-07-12_VGPortfolio_4QRank","2018-08-13_to_2019-08-12_VGPortfolio_4QRank","2018-09-11_to_2019-09-12_VGPortfolio_4QRank","2018-10-11_to_2019-10-12_VGPortfolio_4QRank","2018-11-12_to_2019-11-12_VGPortfolio_4QRank","2018-12-11_to_2019-12-12_VGPortfolio_4QRank","2019-01-11_to_2020-01-12_VGPortfolio_4QRank","2019-02-11_to_2020-02-12_VGPortfolio_4QRank","2019-03-11_to_2020-03-12_VGPortfolio_4QRank","2019-04-11_to_2020-04-12_VGPortfolio_4QRank","2019-05-13_to_2020-05-12_VGPortfolio_4QRank","2019-06-11_to_2020-06-12_VGPortfolio_4QRank","2019-07-11_to_2020-07-12_VGPortfolio_4QRank","2019-08-12_to_2020-08-12_VGPortfolio_4QRank","2019-09-11_to_2020-09-12_VGPortfolio_4QRank","2019-10-11_to_2020-10-12_VGPortfolio_4QRank","2019-11-11_to_2020-11-12_VGPortfolio_4QRank","2019-12-11_to_2020-12-12_VGPortfolio_4QRank","2020-01-13_to_2021-01-12_VGPortfolio_4QRank","2020-02-11_to_2021-02-12_VGPortfolio_4QRank","2020-03-11_to_2021-03-12_VGPortfolio_4QRank","2020-04-13_to_2021-04-12_VGPortfolio_4QRank","2020-05-11_to_2021-05-12_VGPortfolio_4QRank","2020-06-11_to_2021-06-12_VGPortfolio_4QRank","2020-07-13_to_2021-07-12_VGPortfolio_4QRank","2020-08-11_to_2021-08-12_VGPortfolio_4QRank","2020-09-11_to_2021-09-12_VGPortfolio_4QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","15.551","14.706","13.606","10.13","16.625","16.597","16.967","12.783","11.665","0.426","14.452","5.533","9.486","5.338","-9.272","-0.816","3.208","2.275","1.272","5.135","5.976","11.653","10.815","14.468","19.694","29.142","48.748","28.066","24.136","28.824","27.417","23.186","23.684","24.067","28.618","20.785","20.907","24","17.576","22.65","21.093","16.061","19.135","14.352","15.555","15.4","4.84","5.731","3.419","-4.257","5.787","0.835","9.667","6.956","6.381","8.048","2.855","4.657","7.204","14.376","16.45","22.182","19.196","-12.762","0.442","9.081","12.181","21.569","28.441","9.812","20.885","10.843","30.568","29.905","28.735","81.377","64.247","65.429","59.511","56.43","50.244","52.157"
"B Annualized Returns","11.808","10.7","14.273","10.223","14.176","9.817","7.842","4.877","6.944","-3.171","6.13","1.056","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","3.743","4.006","-0.667","-0.093","2.449","6.78","9.125","7.906","4.721","3.597","8.322","4.477","7.749","8.692","-0.16","0.336","3.123","2.974","1.457","2.354","0.619","0.402000000000001","3.741","9.614","9.477","10.08","25.919","10.338","10.774","13.447","10.917","10.044","11.889","8.711","10.145","1.774","2.454","1.157","3.018","6.154","8.282","2.546","4.849","-0.4","-0.545999999999999","-0.592000000000001","-4.815","-0.49","3.796","1.981","3.239","0.401","0.246","0.691000000000001","2.563","0.142","1.105","0.55","-1.153","0.590999999999999","-3.664","-5.111","-6.686","-3.217","0.598","2.696","2.944","9.867","7.709","-6.55","-3.76","-7.126","11.694","12.453","9.578","22.326","15.497","26.23","19.36","19.038","19.178","17.224"
"P Volatility","8.95","8.77","6.4","7.12","8.19","7.47","9.35","9.67","8.79","11.37","11.88","13.21","13.83","13.51","14.67","14.89","15.02","13.9","14.92","14.93","13.36","12.65","11.39","11.72","12.32","9.25","9.86","6.97","8.35","8.25","7.18","5.42","6.17","5.45","4.42","3.29","3.9","4.41","7.03","8.85","10.04","10.07","10.6","9.29","10.19","10.57","10.58","14.75","14.05","13.66","15.94","15.17","16.05","15.48","16.71","19.52","19.12","20.9","18.63","19.89","16.38","13.5","13.34","15.41","19.36","20.8","21.15","20.07","21.43","21.33","20.11","21.82","32.25","30.09","27.21","20.86","19.45","18.46","17.95","17.49","18.22","16.05"
"B Volatility","7.72","5.1","7.66","9.3","10.03","9.98","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","1.23","3.67","-1.26","-2.18","-1.84","-2.51","-0.6","-0.550000000000001","-1.13","-0.58","-0.319999999999999","-3.04","-2.45","-1.93","-0.359999999999999","0.0200000000000014","-1.29","-2.37","-1.25","-1.04","-1.36","-1.4","1.62","1.81","2.35","1.28","2.32","0.8","2.12","2.01","1.05","-0.0999999999999996","0.72","0.140000000000001","0.16","-0.86","-0.36","0.15","1.46","0.869999999999999","0.489999999999998","0.5","0.91","-0.350000000000001","0.0499999999999989","0.120000000000001","0.15","1.71","1","-1.14","-0.520000000000001","-0.9","-0.109999999999999","-1.02","-1.74","0.18","0.0700000000000003","1.71","1.04","2.21","2.92","1.15","0.94","-0.77","0.219999999999999","-1.42","-0.360000000000003","-1.52","-0.379999999999999","-1.79","-4.13","-2.8","5.89","3.68","3.32","1.93","3.58","2.37","1.6","1.42","3.89","3.97"
"P Tracking Error","6","4.91","5.97","5.21","4.85","5.67","4.4","4.13","4.89","4.7","4.16","5.82","5.06","3.45","4.28","5.03","3.59","5.1","3.66","3.65","4.91","4.82","2.66","2.31","3.14","3.03","4.83","4.27","5.7","4.55","3.73","2.99","4.59","2.34","3.63","1.94","2.15","1.43","2.29","3.09","2.64","3.07","3.51","2.89","2.52","2.98","2.73","3.77","3.63","3.12","2.67","2.86","2.32","3.77","4.16","3.13","3.41","3.75","3.6","4.56","4.82","1.94","1.76","1.28","2.23","2.71","3.22","3.57","2.7","4.51","6.72","5.33","7.94","5.58","5.72","6.37","7.49","8.8","8.76","8.77","8.63","9.35"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
