"","1 Y 2014-06-11 to 2015-06-12","1 Y 2014-07-11 to 2015-07-12","1 Y 2014-08-11 to 2015-08-12","1 Y 2014-09-11 to 2015-09-12","1 Y 2014-10-13 to 2015-10-12","1 Y 2014-11-11 to 2015-11-12","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","12.592","11.47","11.09","1.12","10.124","5.734","5.854","-0.135","-8.411","-0.283","2.387","1.7","3.091","2.065","8.985","9.347","10.524","12.666","16.04","26.616","43.959","26.204","24.276","30.946","28.489","28.825","25.67","25.902","30.143","28.159","28.061","30.384","19.758","21.235","18.544","16.888","18.13","18.763","15.111","16.153","6.398","6.191","-1.239","-6.513","2.808","-0.902","5.617","3.558","0.697","7.215","3.875","3.986","7.824","12.158","15.009","21.364","21.463","-11.013","-2.564","10.862","15.659","22.368","33.685","28.97","45.171","19.648","18.49","33.157","24.068","80.574","66.697","68.636","58.075","54.143","44.57","47.322"
"B Annualized Returns","7.842","4.877","6.944","-3.171","6.13","1.056","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","4.75","6.593","4.146","4.291","3.994","4.678","4.117","3.219","0.701000000000001","0.869","2.302","2.399","3.276","-0.716","3.628","-1.904","3.45","7.812","5.823","7.554","21.13","8.476","10.914","15.569","11.989","15.683","13.875","10.546","11.67","9.148","9.608","7.541","5.2","4.739","5.733","3.373","3.844","4.011","-0.989999999999998","0.160999999999998","-3.257","-0.0300000000000002","-0.862","-0.274999999999999","0.26","-1.336","-3.804","-2.707","-3.121","-0.691","2.125","-0.121","-0.532999999999999","-1.627","-5.105","-5.929","-4.419","-1.468","-2.408","4.477","6.422","10.666","12.953","12.608","20.526","1.679","-0.384","15.705","4.911","21.523","17.947","29.437","17.924","16.751","13.504","12.389"
"P Volatility","7.61","8.36","8.23","10.6","10.58","12.16","12.58","13.46","13.9","12.66","14.94","13.56","14.17","14.12","14.41","13.47","11.34","11.49","12.65","9.84","10.48","8.42","8.8","8.62","7.14","6.73","6.71","5.9","5.18","3.94","3.21","3.58","6.14","8.78","10.52","10.33","10.02","9.89","9.07","11.13","10.13","13.27","13.42","13.99","16.78","15.36","15.99","15.91","17.93","20.68","19.11","20.71","18.41","19.17","16.22","11.79","12.71","15.43","19.46","21.13","21.22","19.7","20.3","25.15","25.74","22.87","25.05","27.61","24.59","18.18","17.88","18.72","16.87","16.38","17.53","15.44"
"B Volatility","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","-2.34","-1.86","-1.69","-1.35","-1.62","-4.09","-3.7","-1.98","-1.13","-2.21","-1.37","-2.71","-2","-1.85","-0.31","-0.58","1.57","1.58","2.68","1.87","2.94","2.25","2.57","2.38","1.01","1.21","1.26","0.590000000000001","0.92","-0.21","-1.05","-0.68","0.569999999999999","0.799999999999999","0.969999999999999","0.76","0.33","0.25","-1.07","0.680000000000001","-0.299999999999999","0.23","0.369999999999999","-0.81","0.32","-0.710000000000001","-0.17","-0.59","-0.52","1.34","0.0599999999999987","1.52","0.82","1.49","2.76","-0.56","0.31","-0.75","0.32","-1.09","-0.290000000000003","-1.89","-1.51","2.03","1.5","-1.75","-1.31","1.2","0.699999999999999","-0.75","2.01","2.63","0.52","0.309999999999999","3.2","3.36"
"P Tracking Error","4.58","4.09","4.03","3.81","4.14","6.55","5.6","4.25","3.95","4.25","4.23","5.06","5","4.34","3.93","4.26","2.54","2.43","3.33","3.33","5.32","6.05","6.28","5.39","4.1","5.08","4.43","3.64","3.32","3.38","3.11","2.88","1.34","2.47","2.08","2.39","1.89","1.51","2.93","3.66","3.49","2.94","2.84","2.24","2.15","1.63","2.77","2.91","2.47","2.29","3.66","4.72","3.8","4.61","5.32","1.75","2.97","2.88","1.95","3.23","3.67","4.41","3.22","6.81","6.62","4.33","5.06","3.64","4.63","5","7.35","7.43","4.77","6.78","8.26","8.58"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.04","1.61","1.03","1.13","0.96","0.71","0.74","0.76","0.18","0.2","0.54","0.47","0.66","-0.16","0.92","-0.45","1.36","3.21","1.75","2.27","3.97","1.4","1.74","2.89","2.92","3.09","3.13","2.9","3.52","2.71","3.09","2.62","3.88","1.92","2.76","1.41","2.03","2.66","-0.34","0.04","-0.93","-0.01","-0.3","-0.12","0.12","-0.82","-1.37","-0.93","-1.26","-0.3","0.58","-0.03","-0.14","-0.35","-0.96","-3.39","-1.49","-0.51","-1.23","1.39","1.75","2.42","4.02","1.85","3.1","0.39","-0.08","4.31","1.06","4.3","2.44","3.96","3.76","2.47","1.63","1.44"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.52","0.61","0.33","0.28","0.32","0.44","0.63","0.37","-0.04","0.01","0.27","0.15","0.31","0","0.32","-0.05","0.58","0.54","0.34","0.43","0.64","0.67","0.81","0.75","1.13","1.22","1.14","0.88","0.72","1.27","1.45","0.91","0.25","0.16","0.27","0.27","0.27","0.2","0.07","-0.05","-0.07","-0.04","-0.11","-0.19","0.03","0.08","-0.24","-0.34","-0.28","-0.03","0.18","0.04","-0.09","-0.12","-0.61","-0.39","-0.36","-0.16","-0.09","0.31","0.6","0.59","1.01","0.97","1.23","0.15","0.11","0.78","0.47","1.27","1.32","1.3","1.19","1.42","0.91","0.71"
