"","2013-03-12_to_2015-03-13_VGPortfolio_1QRank","2013-04-12_to_2015-04-13_VGPortfolio_1QRank","2013-05-13_to_2015-05-13_VGPortfolio_1QRank","2013-06-12_to_2015-06-13_VGPortfolio_1QRank","2013-07-12_to_2015-07-13_VGPortfolio_1QRank","2013-08-12_to_2015-08-13_VGPortfolio_1QRank","2013-09-12_to_2015-09-13_VGPortfolio_1QRank","2013-10-14_to_2015-10-13_VGPortfolio_1QRank","2013-11-12_to_2015-11-13_VGPortfolio_1QRank","2013-12-12_to_2015-12-13_VGPortfolio_1QRank","2014-01-13_to_2016-01-13_VGPortfolio_1QRank","2014-02-12_to_2016-02-13_VGPortfolio_1QRank","2014-03-12_to_2016-03-13_VGPortfolio_1QRank","2014-04-14_to_2016-04-13_VGPortfolio_1QRank","2014-05-12_to_2016-05-13_VGPortfolio_1QRank","2014-06-12_to_2016-06-13_VGPortfolio_1QRank","2014-07-14_to_2016-07-13_VGPortfolio_1QRank","2014-08-12_to_2016-08-13_VGPortfolio_1QRank","2014-09-12_to_2016-09-13_VGPortfolio_1QRank","2014-10-13_to_2016-10-13_VGPortfolio_1QRank","2014-11-12_to_2016-11-13_VGPortfolio_1QRank","2014-12-12_to_2016-12-13_VGPortfolio_1QRank","2015-01-12_to_2017-01-13_VGPortfolio_1QRank","2015-02-12_to_2017-02-13_VGPortfolio_1QRank","2015-03-12_to_2017-03-13_VGPortfolio_1QRank","2015-04-13_to_2017-04-13_VGPortfolio_1QRank","2015-05-12_to_2017-05-13_VGPortfolio_1QRank","2015-06-12_to_2017-06-13_VGPortfolio_1QRank","2015-07-13_to_2017-07-13_VGPortfolio_1QRank","2015-08-12_to_2017-08-13_VGPortfolio_1QRank","2015-09-14_to_2017-09-13_VGPortfolio_1QRank","2015-10-12_to_2017-10-13_VGPortfolio_1QRank","2015-11-12_to_2017-11-13_VGPortfolio_1QRank","2015-12-14_to_2017-12-13_VGPortfolio_1QRank","2016-01-12_to_2018-01-13_VGPortfolio_1QRank","2016-02-12_to_2018-02-13_VGPortfolio_1QRank","2016-03-14_to_2018-03-13_VGPortfolio_1QRank","2016-04-12_to_2018-04-13_VGPortfolio_1QRank","2016-05-12_to_2018-05-13_VGPortfolio_1QRank","2016-06-13_to_2018-06-13_VGPortfolio_1QRank","2016-07-12_to_2018-07-13_VGPortfolio_1QRank","2016-08-12_to_2018-08-13_VGPortfolio_1QRank","2016-09-12_to_2018-09-13_VGPortfolio_1QRank","2016-10-12_to_2018-10-13_VGPortfolio_1QRank","2016-11-14_to_2018-11-13_VGPortfolio_1QRank","2016-12-12_to_2018-12-13_VGPortfolio_1QRank","2017-01-12_to_2019-01-13_VGPortfolio_1QRank","2017-02-13_to_2019-02-13_VGPortfolio_1QRank","2017-03-13_to_2019-03-13_VGPortfolio_1QRank","2017-04-12_to_2019-04-13_VGPortfolio_1QRank","2017-05-12_to_2019-05-13_VGPortfolio_1QRank","2017-06-12_to_2019-06-13_VGPortfolio_1QRank","2017-07-12_to_2019-07-13_VGPortfolio_1QRank","2017-08-14_to_2019-08-13_VGPortfolio_1QRank","2017-09-12_to_2019-09-13_VGPortfolio_1QRank","2017-10-12_to_2019-10-13_VGPortfolio_1QRank","2017-11-13_to_2019-11-13_VGPortfolio_1QRank","2017-12-12_to_2019-12-13_VGPortfolio_1QRank","2018-01-12_to_2020-01-13_VGPortfolio_1QRank","2018-02-12_to_2020-02-13_VGPortfolio_1QRank","2018-03-12_to_2020-03-13_VGPortfolio_1QRank","2018-04-12_to_2020-04-13_VGPortfolio_1QRank","2018-05-14_to_2020-05-13_VGPortfolio_1QRank","2018-06-12_to_2020-06-13_VGPortfolio_1QRank","2018-07-12_to_2020-07-13_VGPortfolio_1QRank","2018-08-13_to_2020-08-13_VGPortfolio_1QRank","2018-09-12_to_2020-09-13_VGPortfolio_1QRank","2018-10-12_to_2020-10-13_VGPortfolio_1QRank","2018-11-12_to_2020-11-13_VGPortfolio_1QRank","2018-12-12_to_2020-12-13_VGPortfolio_1QRank","2019-01-14_to_2021-01-13_VGPortfolio_1QRank","2019-02-12_to_2021-02-13_VGPortfolio_1QRank","2019-03-12_to_2021-03-13_VGPortfolio_1QRank","2019-04-12_to_2021-04-13_VGPortfolio_1QRank","2019-05-13_to_2021-05-13_VGPortfolio_1QRank","2019-06-12_to_2021-06-13_VGPortfolio_1QRank","2019-07-12_to_2021-07-13_VGPortfolio_1QRank","2019-08-12_to_2021-08-13_VGPortfolio_1QRank","2019-09-12_to_2021-09-13_VGPortfolio_1QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","26.87","29.132","25.413","22.35","16.57","17.174","12.363","15.326","15.085","15.715","7.67","5.33","7.935","13.258","12.969","10.9","7.771","8.213","5.18","11.755","7.662","11.512","15.249","13.365","14.237","12.581","15.593","19.216","15.87","14.731","22.503","20.604","21.169","22.392","30.614","25.821","20.56","26.347","27.178","25.557","22.683","19.776","20.623","17.135","14.505","10.702","9.877","7.807","12.506","10.459","10.403","9.581","14.796","10.259","9.715","6.954","10.744","7.055","8.078","10.605","-1.295","3.085","8.256","1.548","6.943","14.527","12.007","22.51","14.671","26.479","30.074","23.695","26.652","32.771","31.568","34.885","34.717","26.874","37.162"
"B Annualized Returns","13.601","13.058","12.153","12.529","10.838","10.136","6.883","7.949","6.943","7.582","2.15","1.912","4.38","6.73","3.949","3.722","4.135","6.046","3.346","6.104","2.937","6.461","6.02","5.644","7.789","6.126","7.027","7.969","7.948","8.498","13.363","12.331","11.669","14.235","19.423","18.704","16.67","12.909","14.487","15.139","13.98","13.73","15.972","13.978","12.52","8.721","6.952","8.504","8.54","11.103","8.46","9.13","11.277","8.808","9.833","8.157","9.938","9.417","9.222","13.426","0.389","3.995","4.109","6.695","8.963","11.594","10.064","14.85","16.469","19.492","23.319","22.255","20.354","21.449","22.351","23.243","22.776","26.833","25.24"
"AR DIFF(P-B)","13.269","16.074","13.26","9.821","5.732","7.038","5.48","7.377","8.142","8.133","5.52","3.418","3.555","6.528","9.02","7.178","3.636","2.167","1.834","5.651","4.725","5.051","9.229","7.721","6.448","6.455","8.566","11.247","7.922","6.233","9.14","8.273","9.5","8.157","11.191","7.117","3.89","13.438","12.691","10.418","8.703","6.046","4.651","3.157","1.985","1.981","2.925","-0.696999999999999","3.966","-0.644","1.943","0.450999999999999","3.519","1.451","-0.118","-1.203","0.805999999999999","-2.362","-1.144","-2.821","-1.684","-0.91","4.147","-5.147","-2.02","2.933","1.943","7.66","-1.798","6.987","6.755","1.44","6.298","11.322","9.217","11.642","11.941","0.0410000000000004","11.922"
"P Volatility","10.17","12.15","10.87","9.85","8.09","8.31","9.14","9.37","10.58","11.01","9.36","10.72","11.54","13.15","12.83","12.77","12.01","12.5","12.82","13.77","13.28","12.23","13.26","12.47","11.71","11.47","10.61","12.19","12.9","10.88","11.63","10.55","10.11","9.46","7.35","7.14","7.98","10.43","9.76","8.93","8.62","8.68","8.52","8.12","10.12","10.42","12.44","12.23","13.24","14.28","14.17","14.13","14.62","15.42","15.63","15.16","14.35","15.27","13.55","13.53","14.19","17.91","18.3","18.71","20.86","19.79","23.15","23.15","18.99","22.55","22.37","20.09","23.66","23.64","24.39","25.68","24.82","18.57","23.72"
"B Volatility","9.55","9.9","9.88","9.65","9.48","9.04","10.31","10.21","12.25","12.23","11.83","12.23","12.25","12.99","12.94","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","0.619999999999999","2.25","0.989999999999998","0.199999999999999","-1.39","-0.729999999999999","-1.17","-0.840000000000002","-1.67","-1.22","-2.47","-1.51","-0.710000000000001","0.16","-0.109999999999999","-0.16","-0.9","-0.42","-0.0700000000000003","0.9","0.43","-0.74","0.799999999999999","0.59","-0.25","-0.479999999999999","-1.34","0.4","1.18","0.260000000000002","1.46","2.85","2.43","1.93","1.24","0.529999999999999","1.11","2.72","2.03","1.17","1.09","0.899999999999999","0.609999999999999","0.48","0.609999999999999","0.959999999999999","0.529999999999999","-0.309999999999999","0.630000000000001","1.62","1.26","0.0200000000000014","-0.15","0.65","0.74","0.290000000000001","-0.51","0.26","-1.1","-0.690000000000001","-1.23","0.550000000000001","-1.22","-0.939999999999998","1.3","0.0399999999999991","2.56","2.9","-1.54","2.55","2.68","0.34","3.92","3.91","5.56","7.14","6.26","0.219999999999999","5.35"
"P Tracking Error","5.38","8.41","6.12","6.1","4.78","5.44","4.94","5.26","6.46","5.54","5.62","4.98","5.11","4.69","4.22","3.4","4.38","3.39","3.93","3.53","5.07","4.25","3.92","3.92","4.58","3.7","3.9","5.04","5.6","3.9","4.61","4.7","4.54","3.97","4.11","2.9","2.61","4.86","4.46","3.86","3.85","3.69","2.58","2.3","2.94","3.26","2.72","2.35","3.27","4.13","4.48","2.64","2.79","2.96","3.75","3.27","3.05","3.2","3.36","3.34","3.07","2.74","3.48","4.46","3.6","2.45","6.17","5.31","3.29","4.81","5.79","4.25","7","6.93","8.41","10.29","8.77","5.15","8.2"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
