"","2014-06-11_to_2016-06-12_VGPortfolio_6QRank","2014-07-11_to_2016-07-12_VGPortfolio_6QRank","2014-08-11_to_2016-08-12_VGPortfolio_6QRank","2014-09-11_to_2016-09-12_VGPortfolio_6QRank","2014-10-13_to_2016-10-12_VGPortfolio_6QRank","2014-11-11_to_2016-11-12_VGPortfolio_6QRank","2014-12-11_to_2016-12-12_VGPortfolio_6QRank","2015-01-12_to_2017-01-12_VGPortfolio_6QRank","2015-02-11_to_2017-02-12_VGPortfolio_6QRank","2015-03-11_to_2017-03-12_VGPortfolio_6QRank","2015-04-13_to_2017-04-12_VGPortfolio_6QRank","2015-05-11_to_2017-05-12_VGPortfolio_6QRank","2015-06-11_to_2017-06-12_VGPortfolio_6QRank","2015-07-13_to_2017-07-12_VGPortfolio_6QRank","2015-08-11_to_2017-08-12_VGPortfolio_6QRank","2015-09-11_to_2017-09-12_VGPortfolio_6QRank","2015-10-12_to_2017-10-12_VGPortfolio_6QRank","2015-11-11_to_2017-11-12_VGPortfolio_6QRank","2015-12-11_to_2017-12-12_VGPortfolio_6QRank","2016-01-11_to_2018-01-12_VGPortfolio_6QRank","2016-02-11_to_2018-02-12_VGPortfolio_6QRank","2016-03-11_to_2018-03-12_VGPortfolio_6QRank","2016-04-11_to_2018-04-12_VGPortfolio_6QRank","2016-05-11_to_2018-05-12_VGPortfolio_6QRank","2016-06-13_to_2018-06-12_VGPortfolio_6QRank","2016-07-11_to_2018-07-12_VGPortfolio_6QRank","2016-08-11_to_2018-08-12_VGPortfolio_6QRank","2016-09-12_to_2018-09-12_VGPortfolio_6QRank","2016-10-11_to_2018-10-12_VGPortfolio_6QRank","2016-11-11_to_2018-11-12_VGPortfolio_6QRank","2016-12-12_to_2018-12-12_VGPortfolio_6QRank","2017-01-11_to_2019-01-12_VGPortfolio_6QRank","2017-02-13_to_2019-02-12_VGPortfolio_6QRank","2017-03-13_to_2019-03-12_VGPortfolio_6QRank","2017-04-11_to_2019-04-12_VGPortfolio_6QRank","2017-05-11_to_2019-05-12_VGPortfolio_6QRank","2017-06-12_to_2019-06-12_VGPortfolio_6QRank","2017-07-11_to_2019-07-12_VGPortfolio_6QRank","2017-08-11_to_2019-08-12_VGPortfolio_6QRank","2017-09-11_to_2019-09-12_VGPortfolio_6QRank","2017-10-11_to_2019-10-12_VGPortfolio_6QRank","2017-11-13_to_2019-11-12_VGPortfolio_6QRank","2017-12-11_to_2019-12-12_VGPortfolio_6QRank","2018-01-11_to_2020-01-12_VGPortfolio_6QRank","2018-02-12_to_2020-02-12_VGPortfolio_6QRank","2018-03-12_to_2020-03-12_VGPortfolio_6QRank","2018-04-11_to_2020-04-12_VGPortfolio_6QRank","2018-05-11_to_2020-05-12_VGPortfolio_6QRank","2018-06-11_to_2020-06-12_VGPortfolio_6QRank","2018-07-11_to_2020-07-12_VGPortfolio_6QRank","2018-08-13_to_2020-08-12_VGPortfolio_6QRank","2018-09-11_to_2020-09-12_VGPortfolio_6QRank","2018-10-11_to_2020-10-12_VGPortfolio_6QRank","2018-11-12_to_2020-11-12_VGPortfolio_6QRank","2018-12-11_to_2020-12-12_VGPortfolio_6QRank","2019-01-11_to_2021-01-12_VGPortfolio_6QRank","2019-02-11_to_2021-02-12_VGPortfolio_6QRank","2019-03-11_to_2021-03-12_VGPortfolio_6QRank","2019-04-11_to_2021-04-12_VGPortfolio_6QRank","2019-05-13_to_2021-05-12_VGPortfolio_6QRank","2019-06-11_to_2021-06-12_VGPortfolio_6QRank","2019-07-11_to_2021-07-12_VGPortfolio_6QRank","2019-08-12_to_2021-08-12_VGPortfolio_6QRank","2019-09-11_to_2021-09-12_VGPortfolio_6QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","7.39","10.981","11.894","7.183","8.218","6.678","7.888","8.221","12.312","11.649","10.144","7.081","14.244","7.326","13.341","13.117","19.536","20.536","21.773","29.645","34.538","27.448","26.643","28.593","27.759","25.901","24.281","23.688","20.759","18.68","15.785","12.653","10.547","10.395","11.391","11.467","8.173","11.921","6.865","9.146","5.743","8.684","8.221","6.257","11.325","-5.044","3.716","5.026","6.517","7.913","10.376","9.07","25.192","14.474","14.67","18.815","30.263","29.13","28.797","33.567","38.008","35.782","42.003","38.239"
"B Annualized Returns","3.731","4.425","5.983","3.8","6.291","2.909","5.144","5.944","5.849","8.486","6.517","6.851","7.366","7.837","8.564","13.269","12.293","10.917","13.431","19.888","18.895","16.99","13.622","14.487","15.386","14.245","13.925","15.674","13.993","12.401","8.631","6.838","8.379","8.156","10.951","9.835","8.926","11.632","8.44","10.099","7.96","9.943","9.563","9.225","13.618","-4.331","4.657","4.975","6.74","10.135","11.71","10.065","16.08","15.845","19.766","22.625","23.046","20.488","21.51","21.691","23.054","23.117","26.747","25.396"
"AR DIFF(P-B)","3.659","6.556","5.911","3.383","1.927","3.769","2.744","2.277","6.463","3.163","3.627","0.23","6.878","-0.511","4.777","-0.151999999999999","7.243","9.619","8.342","9.757","15.643","10.458","13.021","14.106","12.373","11.656","10.356","8.014","6.766","6.279","7.154","5.815","2.168","2.239","0.44","1.632","-0.753","0.289","-1.575","-0.952999999999999","-2.217","-1.259","-1.342","-2.968","-2.293","-0.712999999999999","-0.941","0.0510000000000002","-0.223","-2.222","-1.334","-0.994999999999999","9.112","-1.371","-5.096","-3.81","7.217","8.642","7.287","11.876","14.954","12.665","15.256","12.843"
"P Volatility","10.88","11.13","11.68","10.87","11.61","10.77","11.7","12.67","12.26","11.36","11.18","9.93","10.86","10.38","10.61","9.85","8.91","8.99","9.46","7.74","9.18","9.08","10.16","10.23","9.17","8.91","9.19","8.7","8.57","10.74","11.1","12.37","12.56","12.68","13.25","13.44","14.07","15.21","15.14","16.06","15.88","15.36","15.44","14.51","13.93","15.1","17.37","18.93","19.77","20.42","20.01","21.13","23.17","20.78","21.99","19.8","23.78","23","23.13","22.35","22.94","21.57","21.3","21.21"
"B Volatility","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","-2.05","-1.78","-1.24","-2.02","-1.26","-2.08","-1.27","0.209999999999999","0.379999999999999","-0.600000000000001","-0.77","-2.02","-0.93","-1.34","-0.00999999999999979","-0.32","1.21","1.31","1.93","1.63","2.57","2.21","2.45","2.5","1.41","1.38","1.41","0.789999999999999","0.930000000000001","1.23","1.64","0.459999999999999","0.0200000000000014","0.0700000000000003","0.59","0.529999999999999","-0.0399999999999991","0.440000000000001","0.370000000000001","1.17","1.01","0.5","0.43","-0.140000000000001","-0.290000000000001","-0.32","0.0100000000000016","-0.59","0.120000000000001","0.860000000000003","0.260000000000002","0.539999999999999","2.92","0.25","1.99","0.109999999999999","4.03","3.26","3.4","3.52","4.4","3.01","2.95","2.84"
"P Tracking Error","4.91","4.62","4.45","4.39","4.41","4.69","4.43","3.98","3.65","4.08","3.68","3.93","4.9","3.34","3.88","3.6","3.86","3.57","3.69","4.03","4.81","4.72","5.06","4.79","3.87","4.28","4.58","4.28","4.06","4.01","3.98","3.32","2.12","2.44","2.65","3.25","2.8","2.5","2.96","3.36","3.66","2.71","3.04","2.46","2.28","2.24","2.29","2.74","2.62","2.92","3.49","4.11","5.9","4.24","5.7","3.71","6.67","6.68","6.98","8.36","8.8","8.07","7.86","7.38"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
