"","2014-12-11_to_2016-12-12_VGPortfolio_8QRank","2015-01-12_to_2017-01-12_VGPortfolio_8QRank","2015-02-11_to_2017-02-12_VGPortfolio_8QRank","2015-03-11_to_2017-03-12_VGPortfolio_8QRank","2015-04-13_to_2017-04-12_VGPortfolio_8QRank","2015-05-11_to_2017-05-12_VGPortfolio_8QRank","2015-06-11_to_2017-06-12_VGPortfolio_8QRank","2015-07-13_to_2017-07-12_VGPortfolio_8QRank","2015-08-11_to_2017-08-12_VGPortfolio_8QRank","2015-09-11_to_2017-09-12_VGPortfolio_8QRank","2015-10-12_to_2017-10-12_VGPortfolio_8QRank","2015-11-11_to_2017-11-12_VGPortfolio_8QRank","2015-12-11_to_2017-12-12_VGPortfolio_8QRank","2016-01-11_to_2018-01-12_VGPortfolio_8QRank","2016-02-11_to_2018-02-12_VGPortfolio_8QRank","2016-03-11_to_2018-03-12_VGPortfolio_8QRank","2016-04-11_to_2018-04-12_VGPortfolio_8QRank","2016-05-11_to_2018-05-12_VGPortfolio_8QRank","2016-06-13_to_2018-06-12_VGPortfolio_8QRank","2016-07-11_to_2018-07-12_VGPortfolio_8QRank","2016-08-11_to_2018-08-12_VGPortfolio_8QRank","2016-09-12_to_2018-09-12_VGPortfolio_8QRank","2016-10-11_to_2018-10-12_VGPortfolio_8QRank","2016-11-11_to_2018-11-12_VGPortfolio_8QRank","2016-12-12_to_2018-12-12_VGPortfolio_8QRank","2017-01-11_to_2019-01-12_VGPortfolio_8QRank","2017-02-13_to_2019-02-12_VGPortfolio_8QRank","2017-03-13_to_2019-03-12_VGPortfolio_8QRank","2017-04-11_to_2019-04-12_VGPortfolio_8QRank","2017-05-11_to_2019-05-12_VGPortfolio_8QRank","2017-06-12_to_2019-06-12_VGPortfolio_8QRank","2017-07-11_to_2019-07-12_VGPortfolio_8QRank","2017-08-11_to_2019-08-12_VGPortfolio_8QRank","2017-09-11_to_2019-09-12_VGPortfolio_8QRank","2017-10-11_to_2019-10-12_VGPortfolio_8QRank","2017-11-13_to_2019-11-12_VGPortfolio_8QRank","2017-12-11_to_2019-12-12_VGPortfolio_8QRank","2018-01-11_to_2020-01-12_VGPortfolio_8QRank","2018-02-12_to_2020-02-12_VGPortfolio_8QRank","2018-03-12_to_2020-03-12_VGPortfolio_8QRank","2018-04-11_to_2020-04-12_VGPortfolio_8QRank","2018-05-11_to_2020-05-12_VGPortfolio_8QRank","2018-06-11_to_2020-06-12_VGPortfolio_8QRank","2018-07-11_to_2020-07-12_VGPortfolio_8QRank","2018-08-13_to_2020-08-12_VGPortfolio_8QRank","2018-09-11_to_2020-09-12_VGPortfolio_8QRank","2018-10-11_to_2020-10-12_VGPortfolio_8QRank","2018-11-12_to_2020-11-12_VGPortfolio_8QRank","2018-12-11_to_2020-12-12_VGPortfolio_8QRank","2019-01-11_to_2021-01-12_VGPortfolio_8QRank","2019-02-11_to_2021-02-12_VGPortfolio_8QRank","2019-03-11_to_2021-03-12_VGPortfolio_8QRank","2019-04-11_to_2021-04-12_VGPortfolio_8QRank","2019-05-13_to_2021-05-12_VGPortfolio_8QRank","2019-06-11_to_2021-06-12_VGPortfolio_8QRank","2019-07-11_to_2021-07-12_VGPortfolio_8QRank","2019-08-12_to_2021-08-12_VGPortfolio_8QRank","2019-09-11_to_2021-09-12_VGPortfolio_8QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","7.745","10.263","7.895","11.617","11.331","10.03","7.861","7.211","16.244","13.391","19.045","20.76","21.095","30.227","34.364","27.573","25.138","26.416","26.812","22.983","22.409","24.197","20.453","19.11","14.184","10.146","10.997","11.259","12.963","11.647","7.857","12.496","8.505","12.154","8.329","11.649","9.299","8.116","10.685","-4.039","-0.858","2.634","3.596","4.685","9.946","5.624","11.918","21.497","27.407","28.183","18.057","18.612","30.131","27.655","32.682","30.205","36.827","34.652"
"B Annualized Returns","4.723","6.055","5.695","8.343","6.657","6.882","7.525","7.488","8.48","13.075","12.503","11.014","14.092","19.494","17.296","16.289","13.145","14.366","15.35","13.666","14.381","15.68","13.115","14.472","8.368","6.853","7.66","8.02","10.624","9.682","9.076","11.413","9.045","9.944","7.421","9.879","9.12","9.403","13.282","0.456","4.664","5.925","6.117","9.555","10.842","10.119","14.39","16.366","19.798","23.126","22.854","20.593","21.161","23.003","22.997","22.447","26.481","25.528"
"AR DIFF(P-B)","3.022","4.208","2.2","3.274","4.674","3.148","0.335999999999999","-0.277","7.764","0.316000000000001","6.542","9.746","7.003","10.733","17.068","11.284","11.993","12.05","11.462","9.317","8.028","8.517","7.338","4.638","5.816","3.293","3.337","3.239","2.339","1.965","-1.219","1.083","-0.539999999999999","2.21","0.908","1.77","0.179","-1.287","-2.597","-4.495","-5.522","-3.291","-2.521","-4.87","-0.896000000000001","-4.495","-2.472","5.131","7.609","5.057","-4.797","-1.981","8.97","4.652","9.685","7.758","10.346","9.124"
"P Volatility","12.38","13.13","11.91","11.64","11.56","11.1","10.72","10.81","9.45","8.49","8.67","9.04","8.66","7.29","9.1","9.78","10.36","10.61","10.27","10.48","9.72","10","9.14","10.23","9.84","12.1","13.76","14.04","13.74","14.1","14.01","15.01","14.49","14.64","15.01","13.5","13.7","14.13","13.08","13.97","19.1","20.46","20.86","21.91","23.04","22.64","23.53","24.34","27","25.17","23.35","23.09","26.18","25.68","26.41","25.44","25.45","24.74"
"B Volatility","13.35","13.12","12.74","12.77","12.75","12.73","12.49","12.39","11.21","10.79","8.48","8.49","8.36","5.72","6.32","6.58","7.48","7.5","7.53","7.34","7.62","7.65","7.51","9.44","9.35","11.44","12.09","12.18","12.19","12.56","13.39","13.71","13.73","13.87","13.83","13.82","14.01","13.69","13.25","14.92","17.09","19.27","19.37","19.31","19.36","20.51","20.15","20.28","19.62","19.3","19.29","19.34","19.24","18.74","18.71","18.74","18.53","18.53"
"V DIFF(P-B)","-0.969999999999999","0.0100000000000016","-0.83","-1.13","-1.19","-1.63","-1.77","-1.58","-1.76","-2.3","0.19","0.549999999999999","0.300000000000001","1.57","2.78","3.2","2.88","3.11","2.74","3.14","2.1","2.35","1.63","0.790000000000001","0.49","0.66","1.67","1.86","1.55","1.54","0.619999999999999","1.3","0.76","0.770000000000001","1.18","-0.32","-0.31","0.440000000000001","-0.17","-0.949999999999999","2.01","1.19","1.49","2.6","3.68","2.13","3.38","4.06","7.38","5.87","4.06","3.75","6.94","6.94","7.7","6.7","6.92","6.21"
"P Tracking Error","6.23","5.74","5.86","6.36","6.41","6.17","6.5","6.4","6.8","5.12","5.01","4.81","4.35","4.81","5.6","5.22","5.89","5.92","5.51","5.85","5.93","5.9","5.59","5.31","4.1","3.77","4.51","4.43","4.38","4.2","3.77","3.74","4.31","4.23","4.34","4.91","4.32","4.31","5.08","4.82","6.34","4.95","5.56","6.05","7.1","6.36","6.99","7.73","10.56","9.5","8.26","8.97","10.19","10.96","11.67","10.73","11.09","10.88"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.49","0.73","0.38","0.51","0.73","0.51","0.05","-0.04","1.14","0.06","1.31","2.03","1.61","2.23","3.05","2.16","2.04","2.04","2.08","1.59","1.35","1.44","1.31","0.87","1.42","0.87","0.74","0.73","0.53","0.47","-0.32","0.29","-0.13","0.52","0.21","0.36","0.04","-0.3","-0.51","-0.93","-0.87","-0.66","-0.45","-0.8","-0.13","-0.71","-0.35","0.66","0.72","0.53","-0.58","-0.22","0.88","0.42","0.83","0.72","0.93","0.84"
