"","1 Y 2013-03-12 to 2016-03-13","1 Y 2013-04-12 to 2016-04-13","1 Y 2013-05-13 to 2016-05-13","1 Y 2013-06-12 to 2016-06-13","1 Y 2013-07-12 to 2016-07-13","1 Y 2013-08-12 to 2016-08-13","1 Y 2013-09-12 to 2016-09-13","1 Y 2013-10-14 to 2016-10-13","1 Y 2013-11-12 to 2016-11-13","1 Y 2013-12-12 to 2016-12-13","1 Y 2014-01-13 to 2017-01-13","1 Y 2014-02-12 to 2017-02-13","1 Y 2014-03-12 to 2017-03-13","1 Y 2014-04-14 to 2017-04-13","1 Y 2014-05-12 to 2017-05-13","1 Y 2014-06-12 to 2017-06-13","1 Y 2014-07-14 to 2017-07-13","1 Y 2014-08-12 to 2017-08-13","1 Y 2014-09-12 to 2017-09-13","1 Y 2014-10-13 to 2017-10-13","1 Y 2014-11-12 to 2017-11-13","1 Y 2014-12-12 to 2017-12-13","1 Y 2015-01-12 to 2018-01-13","1 Y 2015-02-12 to 2018-02-13","1 Y 2015-03-12 to 2018-03-13","1 Y 2015-04-13 to 2018-04-13","1 Y 2015-05-12 to 2018-05-13","1 Y 2015-06-12 to 2018-06-13","1 Y 2015-07-13 to 2018-07-13","1 Y 2015-08-12 to 2018-08-13","1 Y 2015-09-14 to 2018-09-13","1 Y 2015-10-12 to 2018-10-13","1 Y 2015-11-12 to 2018-11-13","1 Y 2015-12-14 to 2018-12-13","1 Y 2016-01-12 to 2019-01-13","1 Y 2016-02-12 to 2019-02-13","1 Y 2016-03-14 to 2019-03-13","1 Y 2016-04-12 to 2019-04-13","1 Y 2016-05-12 to 2019-05-13","1 Y 2016-06-13 to 2019-06-13","1 Y 2016-07-12 to 2019-07-13","1 Y 2016-08-12 to 2019-08-13","1 Y 2016-09-12 to 2019-09-13","1 Y 2016-10-12 to 2019-10-13","1 Y 2016-11-14 to 2019-11-13","1 Y 2016-12-12 to 2019-12-13","1 Y 2017-01-12 to 2020-01-13","1 Y 2017-02-13 to 2020-02-13","1 Y 2017-03-13 to 2020-03-13","1 Y 2017-04-12 to 2020-04-13","1 Y 2017-05-12 to 2020-05-13","1 Y 2017-06-12 to 2020-06-13","1 Y 2017-07-12 to 2020-07-13","1 Y 2017-08-14 to 2020-08-13","1 Y 2017-09-12 to 2020-09-13","1 Y 2017-10-12 to 2020-10-13","1 Y 2017-11-13 to 2020-11-13","1 Y 2017-12-12 to 2020-12-13","1 Y 2018-01-12 to 2021-01-13","1 Y 2018-02-12 to 2021-02-13","1 Y 2018-03-12 to 2021-03-13","1 Y 2018-04-12 to 2021-04-13","1 Y 2018-05-14 to 2021-05-13","1 Y 2018-06-12 to 2021-06-13","1 Y 2018-07-12 to 2021-07-13","1 Y 2018-08-13 to 2021-08-13","1 Y 2018-09-12 to 2021-09-13","1 Y 2018-10-12 to 2021-10-13","2 Y 2013-03-12 to 2016-03-13","2 Y 2013-04-12 to 2016-04-13","2 Y 2013-05-13 to 2016-05-13","2 Y 2013-06-12 to 2016-06-13","2 Y 2013-07-12 to 2016-07-13","2 Y 2013-08-12 to 2016-08-13","2 Y 2013-09-12 to 2016-09-13","2 Y 2013-10-14 to 2016-10-13","2 Y 2013-11-12 to 2016-11-13","2 Y 2013-12-12 to 2016-12-13","2 Y 2014-01-13 to 2017-01-13","2 Y 2014-02-12 to 2017-02-13","2 Y 2014-03-12 to 2017-03-13","2 Y 2014-04-14 to 2017-04-13","2 Y 2014-05-12 to 2017-05-13","2 Y 2014-06-12 to 2017-06-13","2 Y 2014-07-14 to 2017-07-13","2 Y 2014-08-12 to 2017-08-13","2 Y 2014-09-12 to 2017-09-13","2 Y 2014-10-13 to 2017-10-13","2 Y 2014-11-12 to 2017-11-13","2 Y 2014-12-12 to 2017-12-13","2 Y 2015-01-12 to 2018-01-13","2 Y 2015-02-12 to 2018-02-13","2 Y 2015-03-12 to 2018-03-13","2 Y 2015-04-13 to 2018-04-13","2 Y 2015-05-12 to 2018-05-13","2 Y 2015-06-12 to 2018-06-13","2 Y 2015-07-13 to 2018-07-13","2 Y 2015-08-12 to 2018-08-13","2 Y 2015-09-14 to 2018-09-13","2 Y 2015-10-12 to 2018-10-13","2 Y 2015-11-12 to 2018-11-13","2 Y 2015-12-14 to 2018-12-13","2 Y 2016-01-12 to 2019-01-13","2 Y 2016-02-12 to 2019-02-13","2 Y 2016-03-14 to 2019-03-13","2 Y 2016-04-12 to 2019-04-13","2 Y 2016-05-12 to 2019-05-13","2 Y 2016-06-13 to 2019-06-13","2 Y 2016-07-12 to 2019-07-13","2 Y 2016-08-12 to 2019-08-13","2 Y 2016-09-12 to 2019-09-13","2 Y 2016-10-12 to 2019-10-13","2 Y 2016-11-14 to 2019-11-13","2 Y 2016-12-12 to 2019-12-13","2 Y 2017-01-12 to 2020-01-13","2 Y 2017-02-13 to 2020-02-13","2 Y 2017-03-13 to 2020-03-13","2 Y 2017-04-12 to 2020-04-13","2 Y 2017-05-12 to 2020-05-13","2 Y 2017-06-12 to 2020-06-13","2 Y 2017-07-12 to 2020-07-13","2 Y 2017-08-14 to 2020-08-13","2 Y 2017-09-12 to 2020-09-13","2 Y 2017-10-12 to 2020-10-13","2 Y 2017-11-13 to 2020-11-13","2 Y 2017-12-12 to 2020-12-13","2 Y 2018-01-12 to 2021-01-13","2 Y 2018-02-12 to 2021-02-13","2 Y 2018-03-12 to 2021-03-13","2 Y 2018-04-12 to 2021-04-13","2 Y 2018-05-14 to 2021-05-13","2 Y 2018-06-12 to 2021-06-13","2 Y 2018-07-12 to 2021-07-13","2 Y 2018-08-13 to 2021-08-13","2 Y 2018-09-12 to 2021-09-13","2 Y 2018-10-12 to 2021-10-13","3 Y 2013-03-12 to 2016-03-13","3 Y 2013-04-12 to 2016-04-13","3 Y 2013-05-13 to 2016-05-13","3 Y 2013-06-12 to 2016-06-13","3 Y 2013-07-12 to 2016-07-13","3 Y 2013-08-12 to 2016-08-13","3 Y 2013-09-12 to 2016-09-13","3 Y 2013-10-14 to 2016-10-13","3 Y 2013-11-12 to 2016-11-13","3 Y 2013-12-12 to 2016-12-13","3 Y 2014-01-13 to 2017-01-13","3 Y 2014-02-12 to 2017-02-13","3 Y 2014-03-12 to 2017-03-13","3 Y 2014-04-14 to 2017-04-13","3 Y 2014-05-12 to 2017-05-13","3 Y 2014-06-12 to 2017-06-13","3 Y 2014-07-14 to 2017-07-13","3 Y 2014-08-12 to 2017-08-13","3 Y 2014-09-12 to 2017-09-13","3 Y 2014-10-13 to 2017-10-13","3 Y 2014-11-12 to 2017-11-13","3 Y 2014-12-12 to 2017-12-13","3 Y 2015-01-12 to 2018-01-13","3 Y 2015-02-12 to 2018-02-13","3 Y 2015-03-12 to 2018-03-13","3 Y 2015-04-13 to 2018-04-13","3 Y 2015-05-12 to 2018-05-13","3 Y 2015-06-12 to 2018-06-13","3 Y 2015-07-13 to 2018-07-13","3 Y 2015-08-12 to 2018-08-13","3 Y 2015-09-14 to 2018-09-13","3 Y 2015-10-12 to 2018-10-13","3 Y 2015-11-12 to 2018-11-13","3 Y 2015-12-14 to 2018-12-13","3 Y 2016-01-12 to 2019-01-13","3 Y 2016-02-12 to 2019-02-13","3 Y 2016-03-14 to 2019-03-13","3 Y 2016-04-12 to 2019-04-13","3 Y 2016-05-12 to 2019-05-13","3 Y 2016-06-13 to 2019-06-13","3 Y 2016-07-12 to 2019-07-13","3 Y 2016-08-12 to 2019-08-13","3 Y 2016-09-12 to 2019-09-13","3 Y 2016-10-12 to 2019-10-13","3 Y 2016-11-14 to 2019-11-13","3 Y 2016-12-12 to 2019-12-13","3 Y 2017-01-12 to 2020-01-13","3 Y 2017-02-13 to 2020-02-13","3 Y 2017-03-13 to 2020-03-13","3 Y 2017-04-12 to 2020-04-13","3 Y 2017-05-12 to 2020-05-13","3 Y 2017-06-12 to 2020-06-13","3 Y 2017-07-12 to 2020-07-13","3 Y 2017-08-14 to 2020-08-13","3 Y 2017-09-12 to 2020-09-13","3 Y 2017-10-12 to 2020-10-13","3 Y 2017-11-13 to 2020-11-13","3 Y 2017-12-12 to 2020-12-13","3 Y 2018-01-12 to 2021-01-13","3 Y 2018-02-12 to 2021-02-13","3 Y 2018-03-12 to 2021-03-13","3 Y 2018-04-12 to 2021-04-13","3 Y 2018-05-14 to 2021-05-13","3 Y 2018-06-12 to 2021-06-13","3 Y 2018-07-12 to 2021-07-13","3 Y 2018-08-13 to 2021-08-13","3 Y 2018-09-12 to 2021-09-13","3 Y 2018-10-12 to 2021-10-13"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","2.665","5.177","1.858","3.169","2.892","6.053","10.893","8.157","7.52","17.196","17.294","25.561","29.355","22.133","31.861","21.075","18.398","16.104","24.297","37.82","27.275","21.765","37.061","29.318","35.024","28.918","24.766","26.632","24.699","22.903","22.09","12.248","6.818","-2.321","-7.928","3.538","2.53","5.055","-0.88","0.901","4.635","4.546","1.322","4.197","10.402","14.881","23.47","24.448","-3.938","0.683","3.709","10.222","8.711","26.183","15.424","14.98","35.902","28.18","39.466","16.993","58.201","73.005","48.389","43.171","40.086","44.089","40.459","43.824","9.315","13.97","12.241","8.429","7.08","10.126","7.913","12.383","8.787","16.293","9.822","9.392","15.502","13.894","19.286","13.078","9.954","10.262","14.828","23.719","17.186","17.047","32.647","33.555","30.411","24.165","25.153","29.891","25.808","22.188","25.905","22.266","19.565","10.67","10.638","10.891","11.712","15.482","13.111","13.348","14.708","11.609","9.24","5.38","8.259","6.835","8.494","10.918","-0.977","2.941","2.87","6.809","8.983","13.85","10.792","11.059","25.082","22.026","32.488","16.802","16.745","32.571","26.348","21.076","21.745","37.186","34.597","37.569","18.5","21.615","17.126","15.073","11.877","13.392","11.693","12.594","13.171","16.351","10.804","11.307","15.504","16.142","19.021","14.043","11.203","10.81","11.436","19.865","13.419","15.081","22.164","18.372","21.017","17.712","18.576","21.846","18.618","18.043","22.365","17.937","16.657","13.528","16.081","17.973","14.217","19.071","17.209","16.733","16.436","14.472","14.446","12.012","13.12","11.804","13.975","13.091","6.798","7.175","8.315","9.69","12.446","14.192","11.658","9.466","18.718","13.718","17.786","12.639","12.447","22.6","20.255","13.55","17.005","23.468","22.178","28.115"
"B Annualized Returns","-1.152","0.881","-2.688","0.284","2.267","5.357","9.721","7.273","4.854","11.052","17.077","22.901","17.789","11.48","15.377","16.879","13.395","11.795","17.125","18.992","19.473","17.508","22.843","14.823","15.565","13.306","13.515","13.426","14.605","14.558","16.443","9.655","5.99","-0.169","-6.238","2.534","1.943","9.421","3.455","4.638","7.906","3.362","3.452","8.357","14.034","19.976","28.863","25.184","-0.288","-1.185","4.029","9.237","10.035","24.12","16.362","23.882","19.338","18.874","18.384","19.157","59.051","49.36","42.952","40.151","37.087","31.563","30.588","30.588","4.38","6.73","4.124","3.563","4.135","5.679","3.34","6.143","2.937","6.864","6.507","5.438","8.128","6.048","7.038","8.275","7.687","8.498","13.363","12.981","12.379","14.235","20.938","18.788","16.67","12.389","14.487","15.139","13.998","13.73","16.784","13.978","12.52","8.31","6.838","8.504","8.54","11.103","8.46","8.943","11.277","8.808","9.756","7.96","9.938","9.441","9.222","13.294","1.075","4.147","4.109","6.912","8.922","11.298","10.064","15.346","17.09","19.492","23.319","22.134","19.946","21.521","21.947","23.243","22.837","27.787","25.777","25.777","8.686","9.683","7.063","7.891","8.053","8.408","7.743","7.528","6.688","8.253","7.213","8.11","9.184","8.29","7.909","7.82","7.135","7.978","7.749","10.264","7.952","10.304","11.403","8.475","10.55","8.414","9.169","9.967","9.945","10.744","14.381","11.629","10.21","9.216","9.928","13.097","11.534","11.851","11.057","11.527","11.895","10.166","12.159","11.494","13.023","12.067","13.534","13.802","5.573","7.118","7.094","9.041","10.632","12.571","12.006","13.07","13.108","12.464","12.124","15.216","13.617","17.434","15.715","16.395","17.593","17.68","17.724","19.762"
"AR DIFF(P-B)","3.817","4.296","4.546","2.885","0.625","0.696","1.172","0.884","2.666","6.144","0.216999999999999","2.66","11.566","10.653","16.484","4.196","5.003","4.309","7.172","18.828","7.802","4.257","14.218","14.495","19.459","15.612","11.251","13.206","10.094","8.345","5.647","2.593","0.827999999999999","-2.152","-1.69","1.004","0.587","-4.366","-4.335","-3.737","-3.271","1.184","-2.13","-4.16","-3.632","-5.095","-5.393","-0.736000000000001","-3.65","1.868","-0.32","0.984999999999999","-1.324","2.063","-0.937999999999999","-8.902","16.564","9.306","21.082","-2.164","-0.850000000000001","23.645","5.437","3.02","2.999","12.526","9.871","13.236","4.935","7.24","8.117","4.866","2.945","4.447","4.573","6.24","5.85","9.429","3.315","3.954","7.374","7.846","12.248","4.803","2.267","1.764","1.465","10.738","4.807","2.812","11.709","14.767","13.741","11.776","10.666","14.752","11.81","8.458","9.121","8.288","7.045","2.36","3.8","2.387","3.172","4.379","4.651","4.405","3.431","2.801","-0.516","-2.58","-1.679","-2.606","-0.728","-2.376","-2.052","-1.206","-1.239","-0.103","0.0609999999999999","2.552","0.728","-4.287","7.992","2.534","9.169","-5.332","-3.201","11.05","4.401","-2.167","-1.092","9.399","8.82","11.792","9.814","11.932","10.063","7.182","3.824","4.984","3.95","5.066","6.483","8.098","3.591","3.197","6.32","7.852","11.112","6.223","4.068","2.832","3.687","9.601","5.467","4.777","10.761","9.897","10.467","9.298","9.407","11.879","8.673","7.299","7.984","6.308","6.447","4.312","6.153","4.876","2.683","7.22","6.152","5.206","4.541","4.306","2.287","0.518000000000001","0.0969999999999995","-0.263","0.440999999999999","-0.711","1.225","0.0569999999999995","1.221","0.648999999999999","1.814","1.621","-0.348000000000001","-3.604","5.61","1.254","5.662","-2.577","-1.17","5.166","4.54","-2.845","-0.588000000000001","5.788","4.454","8.353"
"P Volatility","14.66","17.47","16.52","15.87","14.61","12.8","13.62","11.38","12.59","13.3","9.74","7.87","6.04","7.32","7.15","7.37","4.99","5.59","4.5","5.88","4.45","4.29","6.47","10.77","11.93","13.9","12.53","14.15","14.71","12.92","12.51","12.97","17.06","17.22","16.88","16.6","16.66","19.25","18.81","21.02","21.17","20.17","20.29","20.46","19.24","15.17","10.58","13.8","17.11","19.71","25.67","21.6","21.44","23.12","21.19","21.98","26.25","29.71","28.93","21.69","15.49","21.69","21.63","15.54","15.9","17.79","18.67","18.15","12.46","14.36","13.54","12.52","12.05","11.3","11.69","11.63","11.76","12.36","11.24","10.27","11.49","12.51","12.07","12.13","11.06","10.13","10.26","10.01","10.27","8.71","7.46","9.64","9.4","9.94","9.66","11.02","11.35","9.68","9.58","9.61","12.36","12.38","14.31","12.68","13.44","15.73","15.55","16.58","16.4","15.79","15.86","17.13","15.85","16.05","14.55","14.34","15.97","18.4","21.66","19.67","19.21","20.74","19.78","18.64","21.1","22.24","21.07","18.52","17.6","22.79","20.82","17.14","19.31","20.45","23.1","23","12.05","13.91","12.93","11.9","10.76","10.44","10.53","10.53","11","11.44","10.01","9.74","10.76","11.45","11.2","11.19","10.29","10.65","10.8","11.9","11.27","10.29","11.34","12.01","11.64","12.01","11.23","12.57","13.19","11.23","11.57","11.18","12.44","12.3","12.88","11.44","11.48","13.67","13.08","13.79","13.56","13.24","13.26","14.24","13.25","13.42","12.74","12.48","14.15","16.03","18.68","16.8","16.54","17.74","17.17","17.06","18.49","20.45","19.51","17.42","16.4","20.76","19.42","17.73","19.27","19.8","21.68","21.56"
"B Volatility","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08","12.08","12.25","12.99","12.94","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37","18.37","11.58","12.02","11.99","11.91","11.66","11.55","11.53","11.29","11.27","11.3","10.99","10.86","11.05","11.06","11.03","11.02","10.99","10.89","10.85","10.85","10.85","10.91","10.39","10.41","10.61","10.93","10.93","10.86","10.81","10.17","9.96","8.45","9.5","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","-0.209999999999999","1.16","0.25","-0.300000000000002","-1.36","-1.92","-0.430000000000001","1.61","2.68","3.33","1.77","0.33","-0.13","1.09","0.91","1.24","-0.529999999999999","0.14","-0.81","1.62","0.3","0.0300000000000002","2.21","5.2","3.95","4.35","2.96","4.46","5.07","2.78","2.06","2.54","4.02","4.17","2.08","0.140000000000001","0.59","3.09","2.31","2.57","1.83","1.12","1.1","2.87","1.56","1.71","-1.77","1.4","0.93","0.57","3.45","0.0899999999999999","-0.149999999999999","1.31","-1.93","-2.26","1.63","3.35","2.52","-2.2","-3.44","5.82","5.54","-0.810000000000002","-0.17","3.46","6.59","6.07","0.210000000000001","1.37","0.6","-0.41","-0.859999999999999","-1.62","-1.2","-1.24","-1.09","-0.610000000000001","-1.22","-1.61","-0.470000000000001","0.56","0.120000000000001","0.340000000000002","-0.66","-0.489999999999998","0.0899999999999999","2.31","2.59","1.18","1.35","3.03","2.53","2.23","1.93","3.26","3.82","1.9","1.67","1.97","2.85","2.92","2.4","0.140000000000001","0.83","3.07","2.64","2.47","1.63","1.02","0.969999999999999","2.26","0.99","1.04","-0.0999999999999996","0.119999999999999","0.550000000000001","1.04","2.14","0.0200000000000031","-0.349999999999998","0.989999999999998","-0.809999999999999","-1.61","0.57","2.24","1.38","-1.23","-2.14","3.06","1.99","-1.4","0.75","2.1","4.73","4.63","0.470000000000001","1.89","0.94","-0.00999999999999979","-0.9","-1.11","-1","-0.76","-0.27","0.139999999999999","-0.98","-1.12","-0.290000000000001","0.389999999999999","0.17","0.17","-0.700000000000001","-0.24","-0.0499999999999989","1.05","0.42","-0.620000000000001","0.949999999999999","1.6","1.03","1.08","0.300000000000001","1.71","2.38","1.06","1.61","2.73","2.94","2.91","2.3","0.309999999999999","0.75","2.92","2.15","1.92","1.29","0.99","0.91","1.97","0.98","1.08","0.34","0.210000000000001","0.700000000000001","1.1","2.11","0.140000000000001","-0.140000000000001","0.849999999999998","-0.34","-0.790000000000003","0.489999999999998","1.67","0.870000000000001","-1.01","-1.79","2.51","1.02","-0.68","0.890000000000001","1.46","3.31","3.59"
"P Tracking Error","4.8","8.61","5.53","5.02","3.67","3.84","3.93","3.29","4.03","4.08","2.8","3.04","3.87","4.32","4.02","3.97","3.18","3.03","2.68","4.86","3.53","3.22","6.6","6.67","6.86","7.56","6.58","6.26","7.26","6.85","5.1","5.96","6.47","6.02","5.32","5.11","2.64","5.57","4.71","5","3.89","3.38","2.1","4.27","3.79","5.12","2.69","3.5","3.64","4.28","5.38","2.84","3.69","3.98","4.12","6.17","5.65","6.31","5.81","5.58","5.1","8.15","8.75","7.06","5.4","7.39","10.45","10.05","4.8","6.98","5.06","4.2","3.77","4.35","4.29","4.73","5.25","4.65","4.8","4.05","4.6","4.81","4.2","4","4.23","3.34","3.95","4.56","4.35","3.45","4.83","5.28","5.46","5.63","5.94","5.8","6.66","5.55","4.95","5.03","5.65","5.06","5.19","3.84","2.64","5.47","5.61","5.05","4.33","3.71","2.47","3.62","3.36","4.11","3.4","2.85","3.68","4.37","4.88","2.87","3.48","3.59","4.12","4.82","4.79","4.99","5.04","4.31","4.01","6.26","6.45","5.92","4.54","5.59","8.74","8.19","5.13","8.32","6.05","5.71","4.62","4.89","4.62","4.95","5.69","5.03","4.85","4.42","4.67","4.49","4.1","3.6","3.93","3.23","3.58","4.05","4.51","3.88","4.78","5.12","5.4","5.2","5.41","5.45","6.04","4.86","4.66","5.1","5.15","4.77","4.84","3.68","2.57","5.41","4.82","4.42","4.1","3.55","2.53","3.34","3.19","3.94","3.25","2.7","3.48","4.06","4.67","2.66","3.08","3.22","3.94","4.39","4.4","4.54","4.62","4.07","3.75","5.63","5.56","5.44","4.26","4.85","7.55","7.05"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
