"","2017-12-12_to_2020-12-13_VGPortfolio_20QRank","2018-01-12_to_2021-01-13_VGPortfolio_20QRank","2018-02-12_to_2021-02-13_VGPortfolio_20QRank","2018-03-12_to_2021-03-13_VGPortfolio_20QRank","2018-04-12_to_2021-04-13_VGPortfolio_20QRank","2018-05-14_to_2021-05-13_VGPortfolio_20QRank","2018-06-12_to_2021-06-13_VGPortfolio_20QRank","2018-07-12_to_2021-07-13_VGPortfolio_20QRank","2018-08-13_to_2021-08-13_VGPortfolio_20QRank","2018-09-12_to_2021-09-13_VGPortfolio_20QRank","2018-10-12_to_2021-10-13_VGPortfolio_20QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","18.421","18.96","20.543","17.986","22.502","19.397","19.766","22.851","22.272","16.442","18.603"
"B Annualized Returns","12.478","11.931","15.176","13.376","17.122","15.292","16.353","17.684","17.821","17.779","20.2"
"AR DIFF(P-B)","5.943","7.029","5.367","4.61","5.38","4.105","3.413","5.167","4.451","-1.337","-1.597"
"P Volatility","21.99","21.6","21.72","21.42","22.42","22.43","22.24","22.9","22.74","20.96","20.12"
"B Volatility","18.33","18.23","17.98","17.76","17.8","18.01","18.04","18","17.98","17.99","17.56"
"V DIFF(P-B)","3.66","3.37","3.74","3.66","4.62","4.42","4.2","4.9","4.76","2.97","2.56"
"P Tracking Error","7.53","7.48","7.75","7.74","8.32","8.54","8.19","8.52","8.17","7.06","6.63"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.79","0.94","0.69","0.6","0.65","0.48","0.42","0.61","0.54","-0.19","-0.24"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.4","0.36","0.3","0.18","0.2","0.08","0.05","0.27","0.14","-0.19","-0.16"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.14","1.12","1.14","1.13","1.18","1.16","1.16","1.2","1.2","1.1","1.09"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","89.24","88.64","88.2","87.81","88.03","86.84","87.72","88.23","89.16","89.11","89.38"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-32.0996","-32.114","-32.541","-31.8682","-32.149","-31.6004","-31.8405","-32.9173","-33.1896","-32.2467","-31.5384"
"B Max Drawdown","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312","-31.5312"
"MD DIFF(P-B)","-0.568400000000004","-0.582799999999999","-1.0098","-0.337000000000003","-0.617800000000003","-0.0692000000000021","-0.3093","-1.3861","-1.6584","-0.715499999999999","-0.00720000000000098"
