"","2013-09-11_to_2016-09-12_VGPortfolio_3QRank","2013-10-11_to_2016-10-12_VGPortfolio_3QRank","2013-11-11_to_2016-11-12_VGPortfolio_3QRank","2013-12-11_to_2016-12-12_VGPortfolio_3QRank","2014-01-13_to_2017-01-12_VGPortfolio_3QRank","2014-02-11_to_2017-02-12_VGPortfolio_3QRank","2014-03-11_to_2017-03-12_VGPortfolio_3QRank","2014-04-11_to_2017-04-12_VGPortfolio_3QRank","2014-05-12_to_2017-05-12_VGPortfolio_3QRank","2014-06-11_to_2017-06-12_VGPortfolio_3QRank","2014-07-11_to_2017-07-12_VGPortfolio_3QRank","2014-08-11_to_2017-08-12_VGPortfolio_3QRank","2014-09-11_to_2017-09-12_VGPortfolio_3QRank","2014-10-13_to_2017-10-12_VGPortfolio_3QRank","2014-11-11_to_2017-11-12_VGPortfolio_3QRank","2014-12-11_to_2017-12-12_VGPortfolio_3QRank","2015-01-12_to_2018-01-12_VGPortfolio_3QRank","2015-02-11_to_2018-02-12_VGPortfolio_3QRank","2015-03-11_to_2018-03-12_VGPortfolio_3QRank","2015-04-13_to_2018-04-12_VGPortfolio_3QRank","2015-05-11_to_2018-05-12_VGPortfolio_3QRank","2015-06-11_to_2018-06-12_VGPortfolio_3QRank","2015-07-13_to_2018-07-12_VGPortfolio_3QRank","2015-08-11_to_2018-08-12_VGPortfolio_3QRank","2015-09-11_to_2018-09-12_VGPortfolio_3QRank","2015-10-12_to_2018-10-12_VGPortfolio_3QRank","2015-11-11_to_2018-11-12_VGPortfolio_3QRank","2015-12-11_to_2018-12-12_VGPortfolio_3QRank","2016-01-11_to_2019-01-12_VGPortfolio_3QRank","2016-02-11_to_2019-02-12_VGPortfolio_3QRank","2016-03-11_to_2019-03-12_VGPortfolio_3QRank","2016-04-11_to_2019-04-12_VGPortfolio_3QRank","2016-05-11_to_2019-05-12_VGPortfolio_3QRank","2016-06-13_to_2019-06-12_VGPortfolio_3QRank","2016-07-11_to_2019-07-12_VGPortfolio_3QRank","2016-08-11_to_2019-08-12_VGPortfolio_3QRank","2016-09-12_to_2019-09-12_VGPortfolio_3QRank","2016-10-11_to_2019-10-12_VGPortfolio_3QRank","2016-11-11_to_2019-11-12_VGPortfolio_3QRank","2016-12-12_to_2019-12-12_VGPortfolio_3QRank","2017-01-11_to_2020-01-12_VGPortfolio_3QRank","2017-02-13_to_2020-02-12_VGPortfolio_3QRank","2017-03-13_to_2020-03-12_VGPortfolio_3QRank","2017-04-11_to_2020-04-12_VGPortfolio_3QRank","2017-05-11_to_2020-05-12_VGPortfolio_3QRank","2017-06-12_to_2020-06-12_VGPortfolio_3QRank","2017-07-11_to_2020-07-12_VGPortfolio_3QRank","2017-08-11_to_2020-08-12_VGPortfolio_3QRank","2017-09-11_to_2020-09-12_VGPortfolio_3QRank","2017-10-11_to_2020-10-12_VGPortfolio_3QRank","2017-11-13_to_2020-11-12_VGPortfolio_3QRank","2017-12-11_to_2020-12-12_VGPortfolio_3QRank","2018-01-11_to_2021-01-12_VGPortfolio_3QRank","2018-02-12_to_2021-02-12_VGPortfolio_3QRank","2018-03-12_to_2021-03-12_VGPortfolio_3QRank","2018-04-11_to_2021-04-12_VGPortfolio_3QRank","2018-05-11_to_2021-05-12_VGPortfolio_3QRank","2018-06-11_to_2021-06-12_VGPortfolio_3QRank","2018-07-11_to_2021-07-12_VGPortfolio_3QRank","2018-08-13_to_2021-08-12_VGPortfolio_3QRank","2018-09-11_to_2021-09-12_VGPortfolio_3QRank","2018-10-11_to_2021-10-12_VGPortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","9.519","11.41","10.613","12.921","11.459","12.994","12.355","17.675","17.927","11.061","11.748","12.429","17.364","15.911","14.176","15.559","17.846","12.405","8.532","7.481","11.217","11.934","13.057","12.725","24.521","19.912","15.509","14.613","15.828","20.882","14.182","17.63","14.813","14.203","15.486","12.105","15.666","14.005","13.402","11.839","13.713","13.653","0.508","5.943","8.216","9.042","10.571","15.731","14.831","17.64","13.416","16.132","13.886","22.521","16.631","22.905","20.122","21.136","23.137","18.737","25.895","26.999"
"B Annualized Returns","8.219","7.8","6.6","7.751","7.502","8.201","8.639","8.825","7.948","7.51","7.248","7.932","7.51","10.206","8.004","9.398","11.296","8.861","11.028","8.575","9.047","9.621","10.095","11.014","14.168","11.408","9.319","8.636","10.223","13.186","11.194","12.205","11.683","11.39","12.094","9.546","11.682","11.506","12.86","12.331","13.25","13.93","2.142","6.907","7.743","9.165","11.51","12.967","12.146","13.175","12.553","12.58","12.15","15.304","13.316","17.447","15.309","16.418","18.079","17.821","17.718","20.396"
"AR DIFF(P-B)","1.3","3.61","4.013","5.17","3.957","4.793","3.716","8.85","9.979","3.551","4.5","4.497","9.854","5.705","6.172","6.161","6.55","3.544","-2.496","-1.094","2.17","2.313","2.962","1.711","10.353","8.504","6.19","5.977","5.605","7.696","2.988","5.425","3.13","2.813","3.392","2.559","3.984","2.499","0.542","-0.491999999999999","0.462999999999999","-0.276999999999999","-1.634","-0.964","0.472999999999999","-0.122999999999999","-0.939","2.764","2.685","4.465","0.863","3.552","1.736","7.217","3.315","5.458","4.813","4.718","5.058","0.915999999999997","8.177","6.603"
"P Volatility","10.3","10.14","10.39","10.55","9.48","9.49","9.79","11.18","10.95","10.6","9.78","10.19","11.39","10.49","11.2","11.48","10.82","10.39","10.42","10.27","10.65","9.94","9.46","9.25","10.43","9.79","11.73","11.96","13.15","14.41","13.07","12.98","13.8","13.46","14.27","13.68","13.6","13.71","12.32","12.25","12.62","12.37","13.71","15.94","17.57","17.51","17.68","17.75","19.85","19.63","17.77","20.23","16.52","19.25","19.88","19.41","19.51","19.39","21.62","17.54","22.14","22.21"
"B Volatility","11.53","11.29","11.27","11.3","10.99","10.86","11.05","11.06","11.03","11.02","10.99","10.89","10.85","10.85","10.85","10.91","10.39","10.41","10.61","10.93","10.93","10.86","10.81","10.17","9.96","8.45","9.5","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","-1.23","-1.15","-0.879999999999999","-0.75","-1.51","-1.37","-1.26","0.119999999999999","-0.0800000000000001","-0.42","-1.21","-0.700000000000001","0.540000000000001","-0.359999999999999","0.35","0.57","0.43","-0.0199999999999996","-0.19","-0.66","-0.279999999999999","-0.92","-1.35","-0.92","0.469999999999999","1.34","2.23","2.57","2.57","3.28","2.34","2.23","2.87","1.59","2","1.43","1.25","1.44","0.0500000000000007","-0.0899999999999999","0.219999999999999","0.0999999999999996","0.260000000000002","1.01","1","0.850000000000001","1","0.859999999999999","2.34","1.78","-0.23","1.45","-2.12","0.82","1.69","1.16","1.11","0.98","3.24","-0.800000000000001","3.77","4.24"
"P Tracking Error","4.79","5.26","4.67","5.56","5.37","5.8","4.58","4.68","4.49","3.97","4.55","4.66","4.87","3.92","4.58","4.15","3.49","3.04","3.14","2.8","3.25","3.79","4.14","3.43","5.23","4.49","4.85","4.97","5.1","5.52","4.34","4.41","5.52","4.06","4.41","4.32","3.52","4","2.55","2.3","2.44","2.86","3.4","3.78","3.49","3.76","3.6","3.55","5.11","5.01","3.51","5.19","3.91","4.97","5.02","5.24","5.36","4.97","5.83","4.08","6.91","7.24"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
