"","2014-12-11_to_2017-12-12_VGPortfolio_8QRank","2015-01-12_to_2018-01-12_VGPortfolio_8QRank","2015-02-11_to_2018-02-12_VGPortfolio_8QRank","2015-03-11_to_2018-03-12_VGPortfolio_8QRank","2015-04-13_to_2018-04-12_VGPortfolio_8QRank","2015-05-11_to_2018-05-12_VGPortfolio_8QRank","2015-06-11_to_2018-06-12_VGPortfolio_8QRank","2015-07-13_to_2018-07-12_VGPortfolio_8QRank","2015-08-11_to_2018-08-12_VGPortfolio_8QRank","2015-09-11_to_2018-09-12_VGPortfolio_8QRank","2015-10-12_to_2018-10-12_VGPortfolio_8QRank","2015-11-11_to_2018-11-12_VGPortfolio_8QRank","2015-12-11_to_2018-12-12_VGPortfolio_8QRank","2016-01-11_to_2019-01-12_VGPortfolio_8QRank","2016-02-11_to_2019-02-12_VGPortfolio_8QRank","2016-03-11_to_2019-03-12_VGPortfolio_8QRank","2016-04-11_to_2019-04-12_VGPortfolio_8QRank","2016-05-11_to_2019-05-12_VGPortfolio_8QRank","2016-06-13_to_2019-06-12_VGPortfolio_8QRank","2016-07-11_to_2019-07-12_VGPortfolio_8QRank","2016-08-11_to_2019-08-12_VGPortfolio_8QRank","2016-09-12_to_2019-09-12_VGPortfolio_8QRank","2016-10-11_to_2019-10-12_VGPortfolio_8QRank","2016-11-11_to_2019-11-12_VGPortfolio_8QRank","2016-12-12_to_2019-12-12_VGPortfolio_8QRank","2017-01-11_to_2020-01-12_VGPortfolio_8QRank","2017-02-13_to_2020-02-12_VGPortfolio_8QRank","2017-03-13_to_2020-03-12_VGPortfolio_8QRank","2017-04-11_to_2020-04-12_VGPortfolio_8QRank","2017-05-11_to_2020-05-12_VGPortfolio_8QRank","2017-06-12_to_2020-06-12_VGPortfolio_8QRank","2017-07-11_to_2020-07-12_VGPortfolio_8QRank","2017-08-11_to_2020-08-12_VGPortfolio_8QRank","2017-09-11_to_2020-09-12_VGPortfolio_8QRank","2017-10-11_to_2020-10-12_VGPortfolio_8QRank","2017-11-13_to_2020-11-12_VGPortfolio_8QRank","2017-12-11_to_2020-12-12_VGPortfolio_8QRank","2018-01-11_to_2021-01-12_VGPortfolio_8QRank","2018-02-12_to_2021-02-12_VGPortfolio_8QRank","2018-03-12_to_2021-03-12_VGPortfolio_8QRank","2018-04-11_to_2021-04-12_VGPortfolio_8QRank","2018-05-11_to_2021-05-12_VGPortfolio_8QRank","2018-06-11_to_2021-06-12_VGPortfolio_8QRank","2018-07-11_to_2021-07-12_VGPortfolio_8QRank","2018-08-13_to_2021-08-12_VGPortfolio_8QRank","2018-09-11_to_2021-09-12_VGPortfolio_8QRank","2018-10-11_to_2021-10-12_VGPortfolio_8QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","11.554","15.832","11.03","17.739","16.375","11.943","11.271","10.846","18.394","14.741","17.463","16.11","14.47","15.58","22.152","15.979","18.369","17.874","16.012","16.307","14.205","15.581","15.096","16.285","14.512","14.004","15.357","3.799","9.105","8.686","9.676","11.201","14.757","14.145","17.378","17.321","12.322","13.074","19.807","13.749","13.821","13.747","13.729","14.975","19.533","14","17.288"
"B Annualized Returns","9.282","11.044","7.849","10.471","8.266","8.966","9.593","9.718","11.306","14.186","10.832","10.473","8.98","10.236","12.691","11.183","11.986","11.581","11.494","11.948","10.277","11.578","11.138","12.988","12.031","13.377","13.705","5.532","6.914","8.436","8.742","11.119","12.066","12.185","12.064","12.888","12.594","12.206","15.176","13.376","17.207","16.113","16.376","17.633","17.648","17.773","20.463"
"AR DIFF(P-B)","2.272","4.788","3.181","7.268","8.109","2.977","1.678","1.128","7.088","0.555","6.631","5.637","5.49","5.344","9.461","4.796","6.383","6.293","4.518","4.359","3.928","4.003","3.958","3.297","2.481","0.626999999999999","1.652","-1.733","2.191","0.25","0.933999999999999","0.0820000000000007","2.691","1.96","5.314","4.433","-0.272","0.868","4.631","0.373000000000001","-3.386","-2.366","-2.647","-2.658","1.885","-3.773","-3.175"
"P Volatility","10.55","11.07","10.87","11.62","12.04","10.56","10.26","10.14","9.96","8.64","9.69","10.94","11.25","13.09","14.33","13.7","14.3","14.43","15.08","15.61","14.96","15.17","13.98","12.62","12.12","12.94","13.29","14.21","16.23","18.47","18.23","18.41","18.74","19.14","20.47","19.86","20.1","20.44","22.02","19","20.26","19.87","19.11","20.39","22.64","19.88","20.8"
"B Volatility","11.21","10.91","10.97","11.11","11.42","11.41","11.28","11.21","10.51","10.31","8.86","9.89","9.79","10.16","10.78","10.36","10.37","10.64","11.29","11.43","11.43","11.5","11.47","11.46","11.55","11.59","11.46","13.01","14.67","16.33","16.4","16.46","16.57","17.42","17.75","17.8","18.33","18.23","17.98","17.76","17.8","18.01","18.04","18","17.98","17.99","17.56"
"V DIFF(P-B)","-0.66","0.16","-0.100000000000001","0.51","0.619999999999999","-0.85","-1.02","-1.07","-0.549999999999999","-1.67","0.83","1.05","1.46","2.93","3.55","3.34","3.93","3.79","3.79","4.18","3.53","3.67","2.51","1.16","0.569999999999999","1.35","1.83","1.2","1.56","2.14","1.83","1.95","2.17","1.72","2.72","2.06","1.77","2.21","4.04","1.24","2.46","1.86","1.07","2.39","4.66","1.89","3.24"
"P Tracking Error","5.58","5.27","5.53","6.68","7.1","5.73","5.83","5.62","6.63","4.87","5.45","5.1","5.2","5.78","6.33","5.82","6.51","6.47","6.25","6.5","6.36","6.35","5.81","5.62","4.84","4.58","5.23","5.55","5.74","5.67","5.68","5.46","6.12","6.13","6.3","6.53","7.12","6.43","8.3","6.19","8.03","6.91","6.49","6.94","8.34","6.85","7.47"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
