"","1 Y 2014-12-11 to 2015-12-12","1 Y 2015-01-12 to 2016-01-12","1 Y 2015-02-11 to 2016-02-12","1 Y 2015-03-11 to 2016-03-12","1 Y 2015-04-13 to 2016-04-12","1 Y 2015-05-11 to 2016-05-12","1 Y 2015-06-11 to 2016-06-12","1 Y 2015-07-13 to 2016-07-12","1 Y 2015-08-11 to 2016-08-12","1 Y 2015-09-11 to 2016-09-12","1 Y 2015-10-12 to 2016-10-12","1 Y 2015-11-11 to 2016-11-12","1 Y 2015-12-11 to 2016-12-12","1 Y 2016-01-11 to 2017-01-12","1 Y 2016-02-11 to 2017-02-12","1 Y 2016-03-11 to 2017-03-12","1 Y 2016-04-11 to 2017-04-12","1 Y 2016-05-11 to 2017-05-12","1 Y 2016-06-13 to 2017-06-12","1 Y 2016-07-11 to 2017-07-12","1 Y 2016-08-11 to 2017-08-12","1 Y 2016-09-12 to 2017-09-12","1 Y 2016-10-11 to 2017-10-12","1 Y 2016-11-11 to 2017-11-12","1 Y 2016-12-12 to 2017-12-12","1 Y 2017-01-11 to 2018-01-12","1 Y 2017-02-13 to 2018-02-12","1 Y 2017-03-13 to 2018-03-12","1 Y 2017-04-11 to 2018-04-12","1 Y 2017-05-11 to 2018-05-12","1 Y 2017-06-12 to 2018-06-12","1 Y 2017-07-11 to 2018-07-12","1 Y 2017-08-11 to 2018-08-12","1 Y 2017-09-11 to 2018-09-12","1 Y 2017-10-11 to 2018-10-12","1 Y 2017-11-13 to 2018-11-12","1 Y 2017-12-11 to 2018-12-12","1 Y 2018-01-11 to 2019-01-12","1 Y 2018-02-12 to 2019-02-12","1 Y 2018-03-12 to 2019-03-12","1 Y 2018-04-11 to 2019-04-12","1 Y 2018-05-11 to 2019-05-12","1 Y 2018-06-11 to 2019-06-12","1 Y 2018-07-11 to 2019-07-12","1 Y 2018-08-13 to 2019-08-12","1 Y 2018-09-11 to 2019-09-12","1 Y 2018-10-11 to 2019-10-12","1 Y 2018-11-12 to 2019-11-12","1 Y 2018-12-11 to 2019-12-12","1 Y 2019-01-11 to 2020-01-12","1 Y 2019-02-11 to 2020-02-12","1 Y 2019-03-11 to 2020-03-12","1 Y 2019-04-11 to 2020-04-12","1 Y 2019-05-13 to 2020-05-12","1 Y 2019-06-11 to 2020-06-12","1 Y 2019-07-11 to 2020-07-12","1 Y 2019-08-12 to 2020-08-12","1 Y 2019-09-11 to 2020-09-12","1 Y 2019-10-11 to 2020-10-12","1 Y 2019-11-11 to 2020-11-12","1 Y 2019-12-11 to 2020-12-12","1 Y 2020-01-13 to 2021-01-12","1 Y 2020-02-11 to 2021-02-12","1 Y 2020-03-11 to 2021-03-12","1 Y 2020-04-13 to 2021-04-12","1 Y 2020-05-11 to 2021-05-12","1 Y 2020-06-11 to 2021-06-12","1 Y 2020-07-13 to 2021-07-12","1 Y 2020-08-11 to 2021-08-12","1 Y 2020-09-11 to 2021-09-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","-7.986","-3.722","-10.35","-1.065","1.166","0.253","-0.686","4.136","7.699","13.185","4.642","9.765","20.94","31.218","48.506","23.738","18.72","17.313","20.432","21.339","15.929","18.434","20.685","17.989","19.893","19.021","12.041","12.563","9.234","8.494","9.058","10.624","8.913","10.63","5.335","8.525","-0.16","-6.658","-0.272","0.878","-0.557","1.578","-0.946","1.565","1.455","1.838","2.422","7.846","19.485","14.546","9.627","-27.137","-8.211","-2.957","4.177","13.414","24.286","25.079","40.111","-7.067","-3.499","3.342","9.93","93.504","74.05","84.648","70.145","66.212","56.173","57.906"
"B Annualized Returns","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","-9.723","-0.368","-1.238","0.087","1.081","0.952","-0.501","1.355","2.342","1.934","-2.432","4.911","10.723","12.156","25.677","6.01","5.358","1.936","3.932","8.197","4.134","3.078","2.212","-1.022","1.44","-3.822","-2.517","-3.933","-3.577","-5.021","-5.228","-4.128","-7.188","-5.362","-4.32","2.304","0.217","-0.42","-2.82","0.444","-9.978","-4.687","-4.764","-6.341","-0.295","-2.269","-5.935","-5.939","-0.629000000000001","-12.747","-16.255","-17.592","-8.055","-9.342","-5.06","1.712","3.554","8.717","15.466","-25.036","-22.373","-14.11","-9.227","34.453","25.3","45.449","29.994","28.82","25.107","22.973"
"P Volatility","13.12","16.17","12.52","11.02","13.82","13.87","13.64","14","12.19","12.49","11.69","11.56","13.02","13.2","15.19","12.32","13.53","13.37","13.48","13.5","11.47","10.9","8.64","4.72","6.43","6.4","7","10.73","11.98","12.04","11.21","11.23","11.93","11.98","10.71","10.85","11.25","13.03","13.26","12.81","15.33","16.33","16.36","17.46","18.33","18.62","19.7","21.76","18.17","16.1","18.46","20.15","25.06","27","25.75","25.72","26.17","31.59","34.19","23.9","29.22","27.37","28.7","21.65","22.68","22.84","23.16","23.64","27.35","25.36"
"B Volatility","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","-3.16","0.730000000000002","-2.51","-3.85","-2.49","-2.4","-2.53","-1.97","-2.53","-1.56","1.92","1.65","3.05","5.23","7.65","6.15","7.3","7.13","7.35","7.98","6.02","5.59","4.38","0.569999999999999","2.17","2.14","1.43","2.75","2.43","2.47","1.52","1.59","1.79","1.53","0.280000000000001","-2.19","-1.8","-1.77","-3.2","-3.26","-0.83","-0.170000000000002","-2.09","-1.88","-0.720000000000002","-0.57","2.11","4.08","4.71","3.75","6.06","3.97","5.92","4.78","4.24","4.13","4.36","8.47","9.95","-0.720000000000002","2.86","0.960000000000001","4.81","2.72","6.81","6.75","6.81","7.57","13.02","13.28"
"P Tracking Error","5.14","4.02","5.67","7.97","8.12","7.69","7.55","6.56","7","6.26","5.04","5.44","6.43","9.42","11.27","10.19","10.82","10.53","10.82","11.84","9.99","9.24","7.35","4.28","5.56","5.55","4.43","5.41","6.25","6.02","5.44","6.16","6.83","5.73","5.21","6.37","5.79","7.14","8.41","8.39","8.74","8.6","8.85","8.58","7.44","7.48","4.53","6.99","6.62","6.4","8.25","5.91","7.9","8.24","7.93","8.77","8.05","14.58","15.46","9.99","12.97","10.76","14.15","16.47","17.13","18.8","19.65","19.07","20.79","20.81"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
