"","1 Y 2013-03-12 to 2015-03-13","1 Y 2013-04-12 to 2015-04-13","1 Y 2013-05-13 to 2015-05-13","1 Y 2013-06-12 to 2015-06-13","1 Y 2013-07-12 to 2015-07-13","1 Y 2013-08-12 to 2015-08-13","1 Y 2013-09-12 to 2015-09-13","1 Y 2013-10-14 to 2015-10-13","1 Y 2013-11-12 to 2015-11-13","1 Y 2013-12-12 to 2015-12-13","1 Y 2014-01-13 to 2016-01-13","1 Y 2014-02-12 to 2016-02-13","1 Y 2014-03-12 to 2016-03-13","1 Y 2014-04-14 to 2016-04-13","1 Y 2014-05-12 to 2016-05-13","1 Y 2014-06-12 to 2016-06-13","1 Y 2014-07-14 to 2016-07-13","1 Y 2014-08-12 to 2016-08-13","1 Y 2014-09-12 to 2016-09-13","1 Y 2014-10-13 to 2016-10-13","1 Y 2014-11-12 to 2016-11-13","1 Y 2014-12-12 to 2016-12-13","1 Y 2015-01-12 to 2017-01-13","1 Y 2015-02-12 to 2017-02-13","1 Y 2015-03-12 to 2017-03-13","1 Y 2015-04-13 to 2017-04-13","1 Y 2015-05-12 to 2017-05-13","1 Y 2015-06-12 to 2017-06-13","1 Y 2015-07-13 to 2017-07-13","1 Y 2015-08-12 to 2017-08-13","1 Y 2015-09-14 to 2017-09-13","1 Y 2015-10-12 to 2017-10-13","1 Y 2015-11-12 to 2017-11-13","1 Y 2015-12-14 to 2017-12-13","1 Y 2016-01-12 to 2018-01-13","1 Y 2016-02-12 to 2018-02-13","1 Y 2016-03-14 to 2018-03-13","1 Y 2016-04-12 to 2018-04-13","1 Y 2016-05-12 to 2018-05-13","1 Y 2016-06-13 to 2018-06-13","1 Y 2016-07-12 to 2018-07-13","1 Y 2016-08-12 to 2018-08-13","1 Y 2016-09-12 to 2018-09-13","1 Y 2016-10-12 to 2018-10-13","1 Y 2016-11-14 to 2018-11-13","1 Y 2016-12-12 to 2018-12-13","1 Y 2017-01-12 to 2019-01-13","1 Y 2017-02-13 to 2019-02-13","1 Y 2017-03-13 to 2019-03-13","1 Y 2017-04-12 to 2019-04-13","1 Y 2017-05-12 to 2019-05-13","1 Y 2017-06-12 to 2019-06-13","1 Y 2017-07-12 to 2019-07-13","1 Y 2017-08-14 to 2019-08-13","1 Y 2017-09-12 to 2019-09-13","1 Y 2017-10-12 to 2019-10-13","1 Y 2017-11-13 to 2019-11-13","1 Y 2017-12-12 to 2019-12-13","1 Y 2018-01-12 to 2020-01-13","1 Y 2018-02-12 to 2020-02-13","1 Y 2018-03-12 to 2020-03-13","1 Y 2018-04-12 to 2020-04-13","1 Y 2018-05-14 to 2020-05-13","1 Y 2018-06-12 to 2020-06-13","1 Y 2018-07-12 to 2020-07-13","1 Y 2018-08-13 to 2020-08-13","1 Y 2018-09-12 to 2020-09-13","1 Y 2018-10-12 to 2020-10-13","1 Y 2018-11-12 to 2020-11-13","1 Y 2018-12-12 to 2020-12-13","1 Y 2019-01-14 to 2021-01-13","1 Y 2019-02-12 to 2021-02-13","1 Y 2019-03-12 to 2021-03-13","1 Y 2019-04-12 to 2021-04-13","1 Y 2019-05-13 to 2021-05-13","1 Y 2019-06-12 to 2021-06-13","1 Y 2019-07-12 to 2021-07-13","1 Y 2019-08-12 to 2021-08-13","1 Y 2019-09-12 to 2021-09-13","2 Y 2013-03-12 to 2015-03-13","2 Y 2013-04-12 to 2015-04-13","2 Y 2013-05-13 to 2015-05-13","2 Y 2013-06-12 to 2015-06-13","2 Y 2013-07-12 to 2015-07-13","2 Y 2013-08-12 to 2015-08-13","2 Y 2013-09-12 to 2015-09-13","2 Y 2013-10-14 to 2015-10-13","2 Y 2013-11-12 to 2015-11-13","2 Y 2013-12-12 to 2015-12-13","2 Y 2014-01-13 to 2016-01-13","2 Y 2014-02-12 to 2016-02-13","2 Y 2014-03-12 to 2016-03-13","2 Y 2014-04-14 to 2016-04-13","2 Y 2014-05-12 to 2016-05-13","2 Y 2014-06-12 to 2016-06-13","2 Y 2014-07-14 to 2016-07-13","2 Y 2014-08-12 to 2016-08-13","2 Y 2014-09-12 to 2016-09-13","2 Y 2014-10-13 to 2016-10-13","2 Y 2014-11-12 to 2016-11-13","2 Y 2014-12-12 to 2016-12-13","2 Y 2015-01-12 to 2017-01-13","2 Y 2015-02-12 to 2017-02-13","2 Y 2015-03-12 to 2017-03-13","2 Y 2015-04-13 to 2017-04-13","2 Y 2015-05-12 to 2017-05-13","2 Y 2015-06-12 to 2017-06-13","2 Y 2015-07-13 to 2017-07-13","2 Y 2015-08-12 to 2017-08-13","2 Y 2015-09-14 to 2017-09-13","2 Y 2015-10-12 to 2017-10-13","2 Y 2015-11-12 to 2017-11-13","2 Y 2015-12-14 to 2017-12-13","2 Y 2016-01-12 to 2018-01-13","2 Y 2016-02-12 to 2018-02-13","2 Y 2016-03-14 to 2018-03-13","2 Y 2016-04-12 to 2018-04-13","2 Y 2016-05-12 to 2018-05-13","2 Y 2016-06-13 to 2018-06-13","2 Y 2016-07-12 to 2018-07-13","2 Y 2016-08-12 to 2018-08-13","2 Y 2016-09-12 to 2018-09-13","2 Y 2016-10-12 to 2018-10-13","2 Y 2016-11-14 to 2018-11-13","2 Y 2016-12-12 to 2018-12-13","2 Y 2017-01-12 to 2019-01-13","2 Y 2017-02-13 to 2019-02-13","2 Y 2017-03-13 to 2019-03-13","2 Y 2017-04-12 to 2019-04-13","2 Y 2017-05-12 to 2019-05-13","2 Y 2017-06-12 to 2019-06-13","2 Y 2017-07-12 to 2019-07-13","2 Y 2017-08-14 to 2019-08-13","2 Y 2017-09-12 to 2019-09-13","2 Y 2017-10-12 to 2019-10-13","2 Y 2017-11-13 to 2019-11-13","2 Y 2017-12-12 to 2019-12-13","2 Y 2018-01-12 to 2020-01-13","2 Y 2018-02-12 to 2020-02-13","2 Y 2018-03-12 to 2020-03-13","2 Y 2018-04-12 to 2020-04-13","2 Y 2018-05-14 to 2020-05-13","2 Y 2018-06-12 to 2020-06-13","2 Y 2018-07-12 to 2020-07-13","2 Y 2018-08-13 to 2020-08-13","2 Y 2018-09-12 to 2020-09-13","2 Y 2018-10-12 to 2020-10-13","2 Y 2018-11-12 to 2020-11-13","2 Y 2018-12-12 to 2020-12-13","2 Y 2019-01-14 to 2021-01-13","2 Y 2019-02-12 to 2021-02-13","2 Y 2019-03-12 to 2021-03-13","2 Y 2019-04-12 to 2021-04-13","2 Y 2019-05-13 to 2021-05-13","2 Y 2019-06-12 to 2021-06-13","2 Y 2019-07-12 to 2021-07-13","2 Y 2019-08-12 to 2021-08-13","2 Y 2019-09-12 to 2021-09-13"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","21.731","20.215","16.391","10.22","10.317","3.627","-2.215","10.048","-3.393","4.723","-2.914","-4.389","-1.565","4.703","7.2","6.9","5.155","4.483","8.066","18.639","11.657","16.333","22.42","27.236","15.633","9.672","27.414","37.088","31.113","7.867","19.63","30.265","21.052","16.307","26.376","27.048","30.098","25.282","21.313","25.4","27.097","12.095","12.93","6.101","8.752","5.882","1.152","-0.446","-1.334","-6.07","-7.303","-1.368","9.629","8.864","8.041","9.804","10.35","11.849","24.927","13.378","-12.899","-2.482","6.647","0.612","-7.264","2.67","23.418","51.521","26.138","31.468","14.519","31.5","90.527","80.066","89.156","94.583","65.707","45.328","37.961","27.825","26.574","22.98","17.757","14.315","8.282","6.403","9.039","7.533","11.195","6.054","6.167","5.371","14.379","16.687","15.361","7.308","5.225","2.286","15.902","9.909","15.979","16.06","6.184","8.968","5.338","16.261","24.868","21.078","6.889","14.12","17.172","14.819","19.15","29.785","40.183","30.713","25.432","19.362","21.776","23.711","11.882","14.878","9.607","13.85","12.335","9.939","5.971","5.065","1.411","-0.227","3.206","10.314","8.928","5.64","3.231","6.141","3.739","5.691","9.309","-3.602","-2.522","7.099","-0.79","-0.214","0.595","11.811","25.087","20.88","29.516","21.661","23.776","31.916","38.279","38.483","46.328","49.2","36.742","19.523"
"B Annualized Returns","10.828","12.771","9.672","7.842","5.52","6.003","-3.171","5.514","-0.371","1.737","-5.471","-9.112","-1.152","0.881","-2.688","0.284","2.267","5.357","9.721","7.273","4.854","11.052","17.077","22.901","17.789","11.48","15.377","16.879","13.395","11.795","17.126","18.992","19.473","17.508","22.843","14.823","15.565","13.306","13.515","13.426","14.605","14.558","16.443","9.655","5.99","-0.169","-6.238","2.534","1.943","9.421","3.455","4.638","7.906","3.362","3.452","8.357","14.034","19.976","28.863","25.184","-0.288","-1.185","4.029","9.237","10.035","24.12","16.362","23.882","19.338","18.874","18.384","19.157","59.051","49.36","42.952","40.151","37.087","31.563","30.588","13.595","13.058","12.153","12.529","10.838","9.966","6.883","7.949","6.538","7.582","2.15","1.912","4.38","6.73","4.124","3.563","4.135","5.679","3.34","6.143","2.937","6.864","6.507","5.438","8.128","6.048","7.038","8.275","7.687","8.498","13.363","12.981","12.379","14.235","20.938","18.788","16.67","12.389","14.487","15.139","13.998","13.73","16.784","13.978","12.52","8.31","6.952","8.504","8.54","11.103","8.46","8.943","11.277","8.808","9.756","8.157","9.938","9.441","9.222","13.294","1.075","4.147","4.109","6.913","8.922","11.298","10.064","15.346","17.09","19.492","23.319","22.134","19.946","21.521","21.947","23.243","22.837","27.787","25.24"
"AR DIFF(P-B)","10.903","7.444","6.719","2.378","4.797","-2.376","0.956","4.534","-3.022","2.986","2.557","4.723","-0.413","3.822","9.888","6.616","2.888","-0.874000000000001","-1.655","11.366","6.803","5.281","5.343","4.335","-2.156","-1.808","12.037","20.209","17.718","-3.928","2.504","11.273","1.579","-1.201","3.533","12.225","14.533","11.976","7.798","11.974","12.492","-2.463","-3.513","-3.554","2.762","6.051","7.39","-2.98","-3.277","-15.491","-10.758","-6.006","1.723","5.502","4.589","1.447","-3.684","-8.127","-3.936","-11.806","-12.611","-1.297","2.618","-8.625","-17.299","-21.45","7.056","27.639","6.8","12.594","-3.865","12.343","31.476","30.706","46.204","54.432","28.62","13.765","7.373","14.23","13.516","10.827","5.228","3.477","-1.684","-0.48","1.09","0.995","3.613","3.904","4.255","0.991000000000001","7.649","12.563","11.798","3.173","-0.454000000000001","-1.054","9.759","6.972","9.115","9.553","0.746","0.84","-0.71","9.223","16.593","13.391","-1.609","0.757","4.191","2.44","4.915","8.847","21.395","14.043","13.043","4.875","6.637","9.713","-1.848","-1.906","-4.371","1.33","4.025","2.987","-2.533","-3.475","-9.692","-8.687","-5.737","-0.962999999999999","0.120000000000001","-4.116","-4.926","-3.797","-5.702","-3.531","-3.985","-4.677","-6.669","2.99","-7.703","-9.136","-10.703","1.747","9.741","3.79","10.024","-1.658","1.642","11.97","16.758","16.536","23.085","26.363","8.955","-5.717"
"P Volatility","9.73","13.12","11.42","8.33","6.41","6.61","10.39","8.69","9.1","9.95","9.08","10.7","13.28","19.93","19.7","18.23","12.87","10.5","13.04","16.21","16.9","14.98","8.46","10.77","6.78","5.37","6.93","10.75","11.96","7.23","9.25","7.19","3.55","4.85","6.26","10.12","11.22","13.04","10.51","11.62","11.41","9.62","10.28","9.79","10.36","12.08","13.79","14.82","15.63","18.97","17.64","18.4","15.92","20.01","19.32","18.4","16.15","12.54","8.7","9.58","14.06","23.32","22.81","18.61","24.71","26.58","37.97","38.05","27.54","31.55","30.35","22.53","32.67","32.08","34.98","38.99","33.69","15.5","14.87","9.46","12.36","11.9","8.87","6.2","6.53","9.27","7.35","9.83","10.07","8.55","9.75","11.7","15.56","15.36","13.65","10.69","11.1","12.44","16.64","15.69","15.48","15.37","13.71","11.32","10.24","10.6","12.14","14.6","12.54","14.11","13.32","9.8","10.09","9.56","11.71","11.1","12.19","8.82","9.68","8.16","7.94","7.71","7.33","8.58","9.54","10.89","12.28","13.12","15.52","14.26","13.95","12.7","15.32","15.27","15.47","13.69","14.98","12.01","10.97","13.21","19.49","19.32","19.42","23.14","23.98","31.03","30.23","24.82","26.34","23.37","20.48","27.48","28.03","30.64","33.7","30.5","22.05","20.29"
"B Volatility","9.3","10.03","9.98","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08","9.55","9.9","9.88","9.65","9.48","9.04","10.31","10.21","12.25","12.23","11.83","12.23","12.25","12.99","12.94","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","0.43","3.09","1.44","-1.62","-3.81","-3.31","-1.56","-3.51","-7.15","-6.33","-6.36","-4.33","-1.59","3.62","3.43","2.06","-3.1","-4.22","-1.01","6.44","6.99","5.01","0.490000000000001","3.23","0.61","-0.86","0.69","4.62","6.44","1.78","3.94","2.93","-0.600000000000001","0.59","2","4.55","3.24","3.49","0.94","1.93","1.77","-0.520000000000001","-0.17","-0.640000000000001","-2.68","-0.970000000000001","-1.01","-1.64","-0.44","2.81","1.14","-0.0500000000000007","-3.42","0.960000000000001","0.129999999999999","0.809999999999999","-1.53","-0.920000000000002","-3.65","-2.82","-2.12","4.18","0.59","-2.9","3.12","4.77","14.85","13.81","2.92","5.19","3.94","-1.36","13.74","16.21","18.89","22.64","17.62","1.17","2.79","-0.0899999999999999","2.46","2.02","-0.780000000000001","-3.28","-2.51","-1.04","-2.86","-2.42","-2.16","-3.28","-2.48","-0.550000000000001","2.57","2.42","0.720000000000001","-2.22","-1.82","-0.450000000000001","3.77","2.84","2.51","2.91","1.83","-0.640000000000001","-1.71","-1.35","0.350000000000001","2.88","1.92","3.94","5.62","2.12","2.56","3.45","5.1","4.23","4.48","1.09","1.92","0.63","0.16","-0.2","-0.31","-0.93","0.0799999999999983","-1.02","-0.26","0.51","2.86","1.35","-0.16","-2.07","0.550000000000001","0.379999999999999","0.600000000000001","-1.17","-0.0299999999999994","-2.64","-3.25","-2.21","2.13","-0.199999999999999","-0.229999999999997","3.58","4.23","10.44","9.98","4.29","6.34","3.68","0.73","7.74","8.3","11.81","15.16","11.94","3.7","1.92"
"P Tracking Error","5.5","4.5","4.2","3.17","6.3","6","4.43","6.47","9.42","7.72","7.82","6.94","3.83","6.64","8.83","7.63","6.32","6.62","5.27","8.68","9.18","7.55","4.62","4.72","3.42","3.38","6.55","8.58","11.05","4.18","7.6","5.45","3.05","4.13","4.16","6.1","6.91","6.21","4.22","4.2","5.01","3.05","4.85","4.62","7.15","4.78","6.15","5.77","5.47","4.28","5.93","6.58","6.8","3.52","3.79","2.95","6.45","7.46","7.35","5.01","4.92","5.73","5.01","5.31","4.86","7.97","17.87","15.81","4.98","7.83","8.19","5.12","18.42","19.55","22.51","25.94","20.89","9.85","9.77","6.34","6.21","5.72","5.94","5.77","5","3.82","5.13","7.86","6.73","6.03","5.7","4.39","5.43","6.85","6.08","5.23","5.17","4.17","7.27","7.23","7.03","7.35","5.58","4.59","4.57","6.75","6.77","8.31","5.24","7.75","7.6","4","5.24","6.62","8.46","7.3","7.48","3.99","4.77","4.69","3.31","4.36","4.19","6","4.94","5.36","5.33","5.25","5.34","6.58","5.38","6.93","4.73","5.89","5.07","8.06","7.53","8.52","6.55","7.43","6.28","5.28","6.13","6.64","7.41","13.63","12.47","6.96","8.67","6.78","6.02","13.7","14.29","16.86","19.68","15.65","9.07","9.13"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
