"","2013-09-11_to_2015-09-12_ValuePortfolio_3QRank","2013-10-11_to_2015-10-12_ValuePortfolio_3QRank","2013-11-11_to_2015-11-12_ValuePortfolio_3QRank","2013-12-11_to_2015-12-12_ValuePortfolio_3QRank","2014-01-13_to_2016-01-12_ValuePortfolio_3QRank","2014-02-11_to_2016-02-12_ValuePortfolio_3QRank","2014-03-11_to_2016-03-12_ValuePortfolio_3QRank","2014-04-11_to_2016-04-12_ValuePortfolio_3QRank","2014-05-12_to_2016-05-12_ValuePortfolio_3QRank","2014-06-11_to_2016-06-12_ValuePortfolio_3QRank","2014-07-11_to_2016-07-12_ValuePortfolio_3QRank","2014-08-11_to_2016-08-12_ValuePortfolio_3QRank","2014-09-11_to_2016-09-12_ValuePortfolio_3QRank","2014-10-13_to_2016-10-12_ValuePortfolio_3QRank","2014-11-11_to_2016-11-12_ValuePortfolio_3QRank","2014-12-11_to_2016-12-12_ValuePortfolio_3QRank","2015-01-12_to_2017-01-12_ValuePortfolio_3QRank","2015-02-11_to_2017-02-12_ValuePortfolio_3QRank","2015-03-11_to_2017-03-12_ValuePortfolio_3QRank","2015-04-13_to_2017-04-12_ValuePortfolio_3QRank","2015-05-11_to_2017-05-12_ValuePortfolio_3QRank","2015-06-11_to_2017-06-12_ValuePortfolio_3QRank","2015-07-13_to_2017-07-12_ValuePortfolio_3QRank","2015-08-11_to_2017-08-12_ValuePortfolio_3QRank","2015-09-11_to_2017-09-12_ValuePortfolio_3QRank","2015-10-12_to_2017-10-12_ValuePortfolio_3QRank","2015-11-11_to_2017-11-12_ValuePortfolio_3QRank","2015-12-11_to_2017-12-12_ValuePortfolio_3QRank","2016-01-11_to_2018-01-12_ValuePortfolio_3QRank","2016-02-11_to_2018-02-12_ValuePortfolio_3QRank","2016-03-11_to_2018-03-12_ValuePortfolio_3QRank","2016-04-11_to_2018-04-12_ValuePortfolio_3QRank","2016-05-11_to_2018-05-12_ValuePortfolio_3QRank","2016-06-13_to_2018-06-12_ValuePortfolio_3QRank","2016-07-11_to_2018-07-12_ValuePortfolio_3QRank","2016-08-11_to_2018-08-12_ValuePortfolio_3QRank","2016-09-12_to_2018-09-12_ValuePortfolio_3QRank","2016-10-11_to_2018-10-12_ValuePortfolio_3QRank","2016-11-11_to_2018-11-12_ValuePortfolio_3QRank","2016-12-12_to_2018-12-12_ValuePortfolio_3QRank","2017-01-11_to_2019-01-12_ValuePortfolio_3QRank","2017-02-13_to_2019-02-12_ValuePortfolio_3QRank","2017-03-13_to_2019-03-12_ValuePortfolio_3QRank","2017-04-11_to_2019-04-12_ValuePortfolio_3QRank","2017-05-11_to_2019-05-12_ValuePortfolio_3QRank","2017-06-12_to_2019-06-12_ValuePortfolio_3QRank","2017-07-11_to_2019-07-12_ValuePortfolio_3QRank","2017-08-11_to_2019-08-12_ValuePortfolio_3QRank","2017-09-11_to_2019-09-12_ValuePortfolio_3QRank","2017-10-11_to_2019-10-12_ValuePortfolio_3QRank","2017-11-13_to_2019-11-12_ValuePortfolio_3QRank","2017-12-11_to_2019-12-12_ValuePortfolio_3QRank","2018-01-11_to_2020-01-12_ValuePortfolio_3QRank","2018-02-12_to_2020-02-12_ValuePortfolio_3QRank","2018-03-12_to_2020-03-12_ValuePortfolio_3QRank","2018-04-11_to_2020-04-12_ValuePortfolio_3QRank","2018-05-11_to_2020-05-12_ValuePortfolio_3QRank","2018-06-11_to_2020-06-12_ValuePortfolio_3QRank","2018-07-11_to_2020-07-12_ValuePortfolio_3QRank","2018-08-13_to_2020-08-12_ValuePortfolio_3QRank","2018-09-11_to_2020-09-12_ValuePortfolio_3QRank","2018-10-11_to_2020-10-12_ValuePortfolio_3QRank","2018-11-12_to_2020-11-12_ValuePortfolio_3QRank","2018-12-11_to_2020-12-12_ValuePortfolio_3QRank","2019-01-11_to_2021-01-12_ValuePortfolio_3QRank","2019-02-11_to_2021-02-12_ValuePortfolio_3QRank","2019-03-11_to_2021-03-12_ValuePortfolio_3QRank","2019-04-11_to_2021-04-12_ValuePortfolio_3QRank","2019-05-13_to_2021-05-12_ValuePortfolio_3QRank","2019-06-11_to_2021-06-12_ValuePortfolio_3QRank","2019-07-11_to_2021-07-12_ValuePortfolio_3QRank","2019-08-12_to_2021-08-12_ValuePortfolio_3QRank","2019-09-11_to_2021-09-12_ValuePortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","3.454","6.608","3.062","4.905","4.108","5.901","7.296","10.022","10.271","5.382","9.663","11.154","9.201","11.396","11.818","14.412","16.011","7.345","6.475","5.995","5.386","5.358","4.059","8.204","14.212","12.697","11.745","19.069","26.405","35.987","26.705","20.429","23.727","24.601","25.688","23.694","24.623","18.201","8.848","11.164","7.242","6.195","3.836","2.189","1.201","2.35","4.19","3.661","4.418","2.523","2.67","0.139","2.829","11.954","-7.627","3.89","6.272","7.373","6.145","2.71","12.001","19.482","12.38","17.53","18.413","18.703","41.417","40.229","42.425","49.827","22.392","49.608","38.812"
"B Annualized Returns","6.736","8.481","7.483","7.303","3.425","1.851","4.379","6.631","4.419","3.731","4.425","5.983","3.8","6.291","2.909","5.144","5.944","5.849","8.486","6.517","6.851","7.366","7.837","8.564","13.269","12.293","10.917","13.431","19.888","18.895","16.99","13.622","14.487","15.386","14.245","13.925","15.674","13.993","12.401","8.631","6.838","8.379","8.156","10.951","9.835","8.926","11.632","8.44","10.099","7.96","9.943","9.563","9.225","13.618","-4.331","4.657","4.975","6.74","10.135","11.71","10.065","16.08","15.845","19.766","22.625","23.046","20.488","21.51","21.691","23.054","23.117","26.747","25.396"
"AR DIFF(P-B)","-3.282","-1.873","-4.421","-2.398","0.683","4.05","2.917","3.391","5.852","1.651","5.238","5.171","5.401","5.105","8.909","9.268","10.067","1.496","-2.011","-0.522","-1.465","-2.008","-3.778","-0.359999999999999","0.943","0.404","0.827999999999999","5.638","6.517","17.092","9.715","6.807","9.24","9.215","11.443","9.769","8.949","4.208","-3.553","2.533","0.404","-2.184","-4.32","-8.762","-8.634","-6.576","-7.442","-4.779","-5.681","-5.437","-7.273","-9.424","-6.396","-1.664","-3.296","-0.767","1.297","0.633","-3.99","-9","1.936","3.402","-3.465","-2.236","-4.212","-4.343","20.929","18.719","20.734","26.773","-0.725000000000001","22.861","13.416"
"P Volatility","8.23","8.41","9.28","8.93","7.84","7.7","8.95","11.85","12.25","11.77","10.25","11.67","12.75","14.72","15.32","15.87","15.07","12.86","13.41","12.71","12.61","10.66","10.07","10.79","9.93","9.51","8.92","10.34","9.37","11.85","11.68","13.87","12.55","10.82","10.33","11.25","8.6","8.69","7.67","7.35","9.99","10.11","10.67","11.15","12.86","13.03","14.42","14.81","15.01","14.7","14.22","13.34","12.4","10.84","13.45","15.73","16.69","16.69","21.63","20.41","28.74","32.41","25.07","26.35","24.89","26.34","33.41","29.95","29.23","31.13","18.94","30.43","29.96"
"B Volatility","10.31","10.21","12.25","12.23","11.83","12.23","12.25","12.99","12.94","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","-2.08","-1.8","-2.97","-3.3","-3.99","-4.53","-3.3","-1.14","-0.69","-1.16","-2.66","-1.25","-0.140000000000001","1.85","2.47","2.9","2.61","0.979999999999999","1.45","0.760000000000002","0.66","-1.13","-1.65","0.17","-0.24","1.81","1.24","2.81","3.26","5.24","4.81","6.16","4.82","3.06","2.8","3.47","0.69","1.05","-1.84","-2.11","-1.92","-2.43","-1.94","-1.51","-0.0500000000000007","-1.08","-0.35","0.0400000000000009","0.119999999999999","-0.17","-0.639999999999999","-1.67","-2.25","-3.38","-1.97","-1.63","-2.83","-2.96","2.07","0.66","8.15","12.16","4.54","6.35","5.2","6.59","13.67","10.22","10.4","12.59","0.380000000000003","12.08","11.59"
"P Tracking Error","5.08","4.7","4.94","5.11","7.43","7.93","6.89","4.61","3.89","4.07","5.19","4.69","4.77","4.97","6.58","6.88","6.62","5.72","6.3","5.17","5.43","5.54","6.41","5.25","5.22","5.01","4.87","5.85","6.16","9.08","8.72","10.23","8.47","6.49","7.18","8.26","4.82","5.37","7.71","6.22","6.39","5.8","5.53","5.86","5.72","5.16","6.17","4.81","5.08","4.76","6.47","6.65","8.12","8.13","7.94","8.37","8.35","7.52","6.62","6.95","11.61","14.63","8.77","10.31","8.24","10.66","16.72","14.94","15.95","16.89","10.29","16.61","16.44"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
