"","2014-03-11_to_2016-03-12_ValuePortfolio_5QRank","2014-04-11_to_2016-04-12_ValuePortfolio_5QRank","2014-05-12_to_2016-05-12_ValuePortfolio_5QRank","2014-06-11_to_2016-06-12_ValuePortfolio_5QRank","2014-07-11_to_2016-07-12_ValuePortfolio_5QRank","2014-08-11_to_2016-08-12_ValuePortfolio_5QRank","2014-09-11_to_2016-09-12_ValuePortfolio_5QRank","2014-10-13_to_2016-10-12_ValuePortfolio_5QRank","2014-11-11_to_2016-11-12_ValuePortfolio_5QRank","2014-12-11_to_2016-12-12_ValuePortfolio_5QRank","2015-01-12_to_2017-01-12_ValuePortfolio_5QRank","2015-02-11_to_2017-02-12_ValuePortfolio_5QRank","2015-03-11_to_2017-03-12_ValuePortfolio_5QRank","2015-04-13_to_2017-04-12_ValuePortfolio_5QRank","2015-05-11_to_2017-05-12_ValuePortfolio_5QRank","2015-06-11_to_2017-06-12_ValuePortfolio_5QRank","2015-07-13_to_2017-07-12_ValuePortfolio_5QRank","2015-08-11_to_2017-08-12_ValuePortfolio_5QRank","2015-09-11_to_2017-09-12_ValuePortfolio_5QRank","2015-10-12_to_2017-10-12_ValuePortfolio_5QRank","2015-11-11_to_2017-11-12_ValuePortfolio_5QRank","2015-12-11_to_2017-12-12_ValuePortfolio_5QRank","2016-01-11_to_2018-01-12_ValuePortfolio_5QRank","2016-02-11_to_2018-02-12_ValuePortfolio_5QRank","2016-03-11_to_2018-03-12_ValuePortfolio_5QRank","2016-04-11_to_2018-04-12_ValuePortfolio_5QRank","2016-05-11_to_2018-05-12_ValuePortfolio_5QRank","2016-06-13_to_2018-06-12_ValuePortfolio_5QRank","2016-07-11_to_2018-07-12_ValuePortfolio_5QRank","2016-08-11_to_2018-08-12_ValuePortfolio_5QRank","2016-09-12_to_2018-09-12_ValuePortfolio_5QRank","2016-10-11_to_2018-10-12_ValuePortfolio_5QRank","2016-11-11_to_2018-11-12_ValuePortfolio_5QRank","2016-12-12_to_2018-12-12_ValuePortfolio_5QRank","2017-01-11_to_2019-01-12_ValuePortfolio_5QRank","2017-02-13_to_2019-02-12_ValuePortfolio_5QRank","2017-03-13_to_2019-03-12_ValuePortfolio_5QRank","2017-04-11_to_2019-04-12_ValuePortfolio_5QRank","2017-05-11_to_2019-05-12_ValuePortfolio_5QRank","2017-06-12_to_2019-06-12_ValuePortfolio_5QRank","2017-07-11_to_2019-07-12_ValuePortfolio_5QRank","2017-08-11_to_2019-08-12_ValuePortfolio_5QRank","2017-09-11_to_2019-09-12_ValuePortfolio_5QRank","2017-10-11_to_2019-10-12_ValuePortfolio_5QRank","2017-11-13_to_2019-11-12_ValuePortfolio_5QRank","2017-12-11_to_2019-12-12_ValuePortfolio_5QRank","2018-01-11_to_2020-01-12_ValuePortfolio_5QRank","2018-02-12_to_2020-02-12_ValuePortfolio_5QRank","2018-03-12_to_2020-03-12_ValuePortfolio_5QRank","2018-04-11_to_2020-04-12_ValuePortfolio_5QRank","2018-05-11_to_2020-05-12_ValuePortfolio_5QRank","2018-06-11_to_2020-06-12_ValuePortfolio_5QRank","2018-07-11_to_2020-07-12_ValuePortfolio_5QRank","2018-08-13_to_2020-08-12_ValuePortfolio_5QRank","2018-09-11_to_2020-09-12_ValuePortfolio_5QRank","2018-10-11_to_2020-10-12_ValuePortfolio_5QRank","2018-11-12_to_2020-11-12_ValuePortfolio_5QRank","2018-12-11_to_2020-12-12_ValuePortfolio_5QRank","2019-01-11_to_2021-01-12_ValuePortfolio_5QRank","2019-02-11_to_2021-02-12_ValuePortfolio_5QRank","2019-03-11_to_2021-03-12_ValuePortfolio_5QRank","2019-04-11_to_2021-04-12_ValuePortfolio_5QRank","2019-05-13_to_2021-05-12_ValuePortfolio_5QRank","2019-06-11_to_2021-06-12_ValuePortfolio_5QRank","2019-07-11_to_2021-07-12_ValuePortfolio_5QRank","2019-08-12_to_2021-08-12_ValuePortfolio_5QRank","2019-09-11_to_2021-09-12_ValuePortfolio_5QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","6.345","5.671","4.487","4.658","5.847","7.693","4.48","8.796","5.056","9.003","9.717","3.173","6.541","8.505","5.011","5.225","5.109","7.197","11.532","10.672","11.278","17.178","25.727","32.007","25.739","22.272","24.623","22.7","20.257","19.314","15.311","11.54","12.76","13.641","7.433","7.076","4.784","3.014","2.022","1.667","5.953","0.404","5.741","2.716","3.733","3.151","2.638","6.643","-11.268","-3.385","-1.162","0.275","1.557","2.148","14.792","21.524","16.926","14.509","16.795","17.115","20.229","36.793","41.767","48.405","47.57","56.511","50.246"
"B Annualized Returns","4.379","6.631","4.419","3.731","4.425","5.983","3.8","6.291","2.909","5.144","5.944","5.849","8.486","6.517","6.851","7.366","7.837","8.564","13.269","12.293","10.917","13.431","19.888","18.895","16.99","13.622","14.487","15.386","14.245","13.925","15.674","13.993","12.401","8.631","6.838","8.379","8.156","10.951","9.835","8.926","11.632","8.44","10.099","7.96","9.943","9.563","9.225","13.618","-4.331","4.657","4.975","6.74","10.135","11.71","10.065","16.08","15.845","19.766","22.625","23.046","20.488","21.51","21.691","23.054","23.117","26.747","25.396"
"AR DIFF(P-B)","1.966","-0.96","0.0680000000000005","0.927","1.422","1.71","0.680000000000001","2.505","2.147","3.859","3.773","-2.676","-1.945","1.988","-1.84","-2.141","-2.728","-1.367","-1.737","-1.621","0.361000000000001","3.747","5.839","13.112","8.749","8.65","10.136","7.314","6.012","5.389","-0.363","-2.453","0.359","5.01","0.595","-1.303","-3.372","-7.937","-7.813","-7.259","-5.679","-8.036","-4.358","-5.244","-6.21","-6.412","-6.587","-6.975","-6.937","-8.042","-6.137","-6.465","-8.578","-9.562","4.727","5.444","1.081","-5.257","-5.83","-5.931","-0.259","15.283","20.076","25.351","24.453","29.764","24.85"
"P Volatility","9.06","10.77","10.11","9.05","9.16","9.57","10.76","12.68","13.13","13.79","14.77","13.14","12.29","13.35","11.62","11.57","11.17","11.28","11.67","11.6","9.22","10.51","9.35","12.36","12.62","13.15","11.59","11.69","11.94","12.27","10.3","11.18","9.71","10.32","11.27","11.36","11.6","11.87","11.16","11.78","13.82","12.49","13.58","14.23","13.64","13.39","12.84","12.9","15.3","17.75","17.15","17.39","17.6","19.08","23.91","27.63","27.46","23.86","21.91","25.15","24.38","32.78","28.84","31.47","29.41","30.28","29.89"
"B Volatility","12.25","12.99","12.94","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","-3.19","-2.22","-2.83","-3.88","-3.75","-3.35","-2.13","-0.19","0.280000000000001","0.819999999999999","2.31","1.26","0.329999999999998","1.4","-0.33","-0.219999999999999","-0.550000000000001","0.66","1.5","3.9","1.54","2.98","3.24","5.75","5.75","5.44","3.86","3.93","4.41","4.49","2.39","3.54","0.200000000000001","0.859999999999999","-0.640000000000001","-1.18","-1.01","-0.790000000000001","-1.75","-2.33","-0.949999999999999","-2.28","-1.31","-0.639999999999999","-1.22","-1.62","-1.81","-1.32","-0.119999999999999","0.390000000000001","-2.37","-2.26","-1.96","-0.670000000000002","3.32","7.38","6.93","3.86","2.22","5.4","4.64","13.05","10.01","12.93","10.85","11.93","11.52"
"P Tracking Error","7","4.52","4.37","6.38","6.56","6.93","5.13","3.52","4.01","3.95","4.75","5.59","4.89","5.04","4.8","4.51","5.24","5.28","6.21","6.8","4.79","5.66","6.35","9.8","9.54","9.5","7.23","7.22","8.44","8.43","6.54","7.35","5.91","5.16","5.17","5.79","4.91","6.1","6.75","7.48","6.32","7.63","5.81","6.38","6.79","7.67","6.94","5.49","5.59","5.48","8.47","7.45","8.01","7.03","9.44","10.66","9.13","8.27","6.87","9.66","9.51","17.31","16.17","17.21","16.08","16.33","16.05"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
