"","2013-03-12_to_2016-03-13_ValuePortfolio_1QRank","2013-04-12_to_2016-04-13_ValuePortfolio_1QRank","2013-05-13_to_2016-05-13_ValuePortfolio_1QRank","2013-06-12_to_2016-06-13_ValuePortfolio_1QRank","2013-07-12_to_2016-07-13_ValuePortfolio_1QRank","2013-08-12_to_2016-08-13_ValuePortfolio_1QRank","2013-09-12_to_2016-09-13_ValuePortfolio_1QRank","2013-10-14_to_2016-10-13_ValuePortfolio_1QRank","2013-11-12_to_2016-11-13_ValuePortfolio_1QRank","2013-12-12_to_2016-12-13_ValuePortfolio_1QRank","2014-01-13_to_2017-01-13_ValuePortfolio_1QRank","2014-02-12_to_2017-02-13_ValuePortfolio_1QRank","2014-03-12_to_2017-03-13_ValuePortfolio_1QRank","2014-04-14_to_2017-04-13_ValuePortfolio_1QRank","2014-05-12_to_2017-05-13_ValuePortfolio_1QRank","2014-06-12_to_2017-06-13_ValuePortfolio_1QRank","2014-07-14_to_2017-07-13_ValuePortfolio_1QRank","2014-08-12_to_2017-08-13_ValuePortfolio_1QRank","2014-09-12_to_2017-09-13_ValuePortfolio_1QRank","2014-10-13_to_2017-10-13_ValuePortfolio_1QRank","2014-11-12_to_2017-11-13_ValuePortfolio_1QRank","2014-12-12_to_2017-12-13_ValuePortfolio_1QRank","2015-01-12_to_2018-01-13_ValuePortfolio_1QRank","2015-02-12_to_2018-02-13_ValuePortfolio_1QRank","2015-03-12_to_2018-03-13_ValuePortfolio_1QRank","2015-04-13_to_2018-04-13_ValuePortfolio_1QRank","2015-05-12_to_2018-05-13_ValuePortfolio_1QRank","2015-06-12_to_2018-06-13_ValuePortfolio_1QRank","2015-07-13_to_2018-07-13_ValuePortfolio_1QRank","2015-08-12_to_2018-08-13_ValuePortfolio_1QRank","2015-09-14_to_2018-09-13_ValuePortfolio_1QRank","2015-10-12_to_2018-10-13_ValuePortfolio_1QRank","2015-11-12_to_2018-11-13_ValuePortfolio_1QRank","2015-12-14_to_2018-12-13_ValuePortfolio_1QRank","2016-01-12_to_2019-01-13_ValuePortfolio_1QRank","2016-02-12_to_2019-02-13_ValuePortfolio_1QRank","2016-03-14_to_2019-03-13_ValuePortfolio_1QRank","2016-04-12_to_2019-04-13_ValuePortfolio_1QRank","2016-05-12_to_2019-05-13_ValuePortfolio_1QRank","2016-06-13_to_2019-06-13_ValuePortfolio_1QRank","2016-07-12_to_2019-07-13_ValuePortfolio_1QRank","2016-08-12_to_2019-08-13_ValuePortfolio_1QRank","2016-09-12_to_2019-09-13_ValuePortfolio_1QRank","2016-10-12_to_2019-10-13_ValuePortfolio_1QRank","2016-11-14_to_2019-11-13_ValuePortfolio_1QRank","2016-12-12_to_2019-12-13_ValuePortfolio_1QRank","2017-01-12_to_2020-01-13_ValuePortfolio_1QRank","2017-02-13_to_2020-02-13_ValuePortfolio_1QRank","2017-03-13_to_2020-03-13_ValuePortfolio_1QRank","2017-04-12_to_2020-04-13_ValuePortfolio_1QRank","2017-05-12_to_2020-05-13_ValuePortfolio_1QRank","2017-06-12_to_2020-06-13_ValuePortfolio_1QRank","2017-07-12_to_2020-07-13_ValuePortfolio_1QRank","2017-08-14_to_2020-08-13_ValuePortfolio_1QRank","2017-09-12_to_2020-09-13_ValuePortfolio_1QRank","2017-10-12_to_2020-10-13_ValuePortfolio_1QRank","2017-11-13_to_2020-11-13_ValuePortfolio_1QRank","2017-12-12_to_2020-12-13_ValuePortfolio_1QRank","2018-01-12_to_2021-01-13_ValuePortfolio_1QRank","2018-02-12_to_2021-02-13_ValuePortfolio_1QRank","2018-03-12_to_2021-03-13_ValuePortfolio_1QRank","2018-04-12_to_2021-04-13_ValuePortfolio_1QRank","2018-05-14_to_2021-05-13_ValuePortfolio_1QRank","2018-06-12_to_2021-06-13_ValuePortfolio_1QRank","2018-07-12_to_2021-07-13_ValuePortfolio_1QRank","2018-08-13_to_2021-08-13_ValuePortfolio_1QRank","2018-09-12_to_2021-09-13_ValuePortfolio_1QRank","2018-10-12_to_2021-10-13_ValuePortfolio_1QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","21.003","18.474","16.122","15.418","12.306","8.867","8.518","9.259","8.232","16.053","10.014","7.289","9.634","16.144","20.902","17.262","7.67","6.302","6.967","26.164","15.204","17.619","19.185","9.43","11.825","8.485","20.607","25.541","22.629","9.317","13.127","11.116","12.436","9.863","12.683","26.48","20.342","20.459","15.389","15.137","17.608","10.074","9.484","7.297","13.287","13.162","14.752","9.33","-1.478","-1.565","-6.858","-0.78","6.359","8.891","1.603","2.671","13.668","15.062","20.04","9.691","7.704","24.886","23.112","10.832","12.311","13.994","26.378","33.36"
"B Annualized Returns","8.686","8.899","7.367","8.092","8.081","8.521","7.825","7.528","6.688","8.211","7.552","8.44","8.592","8.29","7.948","7.927","7.135","7.978","7.741","10.233","8.019","10.016","11.296","8.613","10.316","8.465","9.169","9.755","10.121","10.795","14.381","11.408","9.746","9.216","9.928","13.059","11.534","11.851","10.717","11.527","11.895","10.166","11.642","11.494","13.023","12.347","13.582","13.802","5.475","6.849","7.213","9.165","10.856","12.571","12.006","13.095","12.96","12.464","12.089","15.304","13.316","17.307","15.715","16.395","17.614","17.883","17.724","19.762"
"AR DIFF(P-B)","12.317","9.575","8.755","7.326","4.225","0.346","0.693000000000001","1.731","1.544","7.842","2.462","-1.151","1.042","7.854","12.954","9.335","0.535","-1.676","-0.774","15.931","7.185","7.603","7.889","0.817","1.509","0.0199999999999996","11.438","15.786","12.508","-1.478","-1.254","-0.292","2.69","0.647","2.755","13.421","8.808","8.608","4.672","3.61","5.713","-0.0920000000000005","-2.158","-4.197","0.264000000000001","0.815000000000001","1.17","-4.472","-6.953","-8.414","-14.071","-9.945","-4.497","-3.68","-10.403","-10.424","0.707999999999998","2.598","7.951","-5.613","-5.612","7.579","7.397","-5.563","-5.303","-3.889","8.654","13.598"
"P Volatility","10.77","14.38","13.55","11.27","9.34","8.94","10.29","8.48","10.58","11.25","9.87","9.33","10.91","13.48","13.86","12.73","9.53","9.8","10.4","14.83","13.26","13.05","12.75","11.8","9.91","9.85","12.34","13.39","15.34","11.94","13.15","12.25","11.01","11.54","13.15","15.72","14.67","15.13","11.12","13.48","12.66","11.64","10.49","10.8","10.29","10.49","10.2","11.5","14.63","18.51","21.51","17.77","15.15","17.79","17.46","17.36","19.35","20.62","20.06","15.7","14.74","25.62","22.58","18.77","21.66","22.82","29.44","28.34"
"B Volatility","11.58","12.02","11.99","11.91","11.66","11.55","11.53","11.29","11.27","11.3","10.99","10.86","11.05","11.06","11.03","11.02","10.99","10.89","10.85","10.85","10.85","10.91","10.39","10.41","10.61","10.93","10.93","10.86","10.81","10.17","9.96","8.45","9.5","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","-0.81","2.36","1.56","-0.640000000000001","-2.32","-2.61","-1.24","-2.81","-0.69","-0.0500000000000007","-1.12","-1.53","-0.140000000000001","2.42","2.83","1.71","-1.46","-1.09","-0.449999999999999","3.98","2.41","2.14","2.36","1.39","-0.699999999999999","-1.08","1.41","2.53","4.53","1.77","3.19","3.8","1.51","2.15","2.57","4.59","3.94","4.38","0.19","1.61","0.390000000000001","-0.609999999999999","-1.86","-1.47","-1.98","-1.85","-2.2","-0.77","1.18","3.58","4.94","1.11","-1.53","0.899999999999999","-0.0500000000000007","-0.490000000000002","1.35","1.84","1.42","-2.73","-3.45","7.37","4.18","0.359999999999999","3.28","4.48","11.07","10.37"
"P Tracking Error","5.8","6.56","5.82","5.08","5.94","5.54","4.99","5.21","6.98","6.36","5.98","5.96","4.1","5.47","7.34","6.9","4.58","4.77","3.68","8.29","6.8","6.69","6.63","5.1","4.13","4.2","8.44","7.41","9","5.1","7.35","6.58","4.07","5.09","6.34","8.55","6.95","7.95","4.3","5.13","4.79","4.3","4.99","4.53","6.69","5.66","6.19","5.94","5.7","6.34","9.31","6.11","6.31","4.68","6.22","6.12","9.1","8.27","9.42","7.32","8.57","12.35","9.82","7.5","9","10.52","14.93","13.73"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
