"","1 Y 2017-12-12 to 2020-12-13","1 Y 2018-01-12 to 2021-01-13","1 Y 2018-02-12 to 2021-02-13","1 Y 2018-03-12 to 2021-03-13","1 Y 2018-04-12 to 2021-04-13","1 Y 2018-05-14 to 2021-05-13","1 Y 2018-06-12 to 2021-06-13","1 Y 2018-07-12 to 2021-07-13","1 Y 2018-08-13 to 2021-08-13","1 Y 2018-09-12 to 2021-09-13","1 Y 2018-10-12 to 2021-10-13","2 Y 2017-12-12 to 2020-12-13","2 Y 2018-01-12 to 2021-01-13","2 Y 2018-02-12 to 2021-02-13","2 Y 2018-03-12 to 2021-03-13","2 Y 2018-04-12 to 2021-04-13","2 Y 2018-05-14 to 2021-05-13","2 Y 2018-06-12 to 2021-06-13","2 Y 2018-07-12 to 2021-07-13","2 Y 2018-08-13 to 2021-08-13","2 Y 2018-09-12 to 2021-09-13","2 Y 2018-10-12 to 2021-10-13","3 Y 2017-12-12 to 2020-12-13","3 Y 2018-01-12 to 2021-01-13","3 Y 2018-02-12 to 2021-02-13","3 Y 2018-03-12 to 2021-03-13","3 Y 2018-04-12 to 2021-04-13","3 Y 2018-05-14 to 2021-05-13","3 Y 2018-06-12 to 2021-06-13","3 Y 2018-07-12 to 2021-07-13","3 Y 2018-08-13 to 2021-08-13","3 Y 2018-09-12 to 2021-09-13","3 Y 2018-10-12 to 2021-10-13"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","1.308","0.835","3.322","36.947","33.972","38.294","35.951","41.093","35.235","28.363","29.537","8.107","8.988","6.947","6.992","9.349","10.973","12.967","11.437","15.327","7.979","8.472","3.801","3.37","5.435","6.81","7.048","8.383","8.979","9.557","8.935","5.144","6.916"
"B Annualized Returns","18.874","18.384","19.157","59.051","49.36","42.952","40.151","37.087","31.563","30.588","30.588","19.492","23.319","22.134","19.946","21.521","21.947","23.243","22.837","27.787","25.777","25.777","12.464","12.124","15.216","13.617","17.434","15.715","16.395","17.593","17.68","17.724","19.762"
"AR DIFF(P-B)","-17.566","-17.549","-15.835","-22.104","-15.388","-4.658","-4.2","4.006","3.672","-2.225","-1.051","-11.385","-14.331","-15.187","-12.954","-12.172","-10.974","-10.276","-11.4","-12.46","-17.798","-17.305","-8.663","-8.754","-9.781","-6.807","-10.386","-7.332","-7.416","-8.036","-8.745","-12.58","-12.846"
"P Volatility","27.46","27.02","25.26","14.75","13.82","13.91","13.46","15.13","14.92","14.26","13.68","20.4","19.71","20.49","18.4","19.55","18.35","17.95","19.9","20.28","20.27","19.82","17.94","17.57","18.02","16.17","17.3","17.14","17.12","18.7","19.51","19.99","19.66"
"B Volatility","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08","12.08","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37","18.37","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","1.1","0.609999999999999","1.37","-4.18","-2.05","-2.18","-2.89","-0.94","0.59","2.18","1.6","0.399999999999999","0.0199999999999996","0.739999999999998","-1.34","-0.18","-0.479999999999997","-0.59","1.34","1.93","1.9","1.45","-0.84","-1.07","-0.41","-2.02","-0.949999999999999","-1.26","-1.29","0.32","1.17","1.62","1.69"
"P Tracking Error","9.72","9.91","10.24","9.57","9.62","9.25","9.61","10.27","10.74","11.41","11.55","7.72","7.89","7.83","7.89","8.13","7.58","8.2","9.09","10.23","10.06","10.26","8.01","7.82","7.44","7.64","7.62","7.13","7.41","7.93","8.57","8.87","9.07"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
