"","2013-09-11_to_2016-09-12_ValuePortfolio_3QRank","2013-10-11_to_2016-10-12_ValuePortfolio_3QRank","2013-11-11_to_2016-11-12_ValuePortfolio_3QRank","2013-12-11_to_2016-12-12_ValuePortfolio_3QRank","2014-01-13_to_2017-01-12_ValuePortfolio_3QRank","2014-02-11_to_2017-02-12_ValuePortfolio_3QRank","2014-03-11_to_2017-03-12_ValuePortfolio_3QRank","2014-04-11_to_2017-04-12_ValuePortfolio_3QRank","2014-05-12_to_2017-05-12_ValuePortfolio_3QRank","2014-06-11_to_2017-06-12_ValuePortfolio_3QRank","2014-07-11_to_2017-07-12_ValuePortfolio_3QRank","2014-08-11_to_2017-08-12_ValuePortfolio_3QRank","2014-09-11_to_2017-09-12_ValuePortfolio_3QRank","2014-10-13_to_2017-10-12_ValuePortfolio_3QRank","2014-11-11_to_2017-11-12_ValuePortfolio_3QRank","2014-12-11_to_2017-12-12_ValuePortfolio_3QRank","2015-01-12_to_2018-01-12_ValuePortfolio_3QRank","2015-02-11_to_2018-02-12_ValuePortfolio_3QRank","2015-03-11_to_2018-03-12_ValuePortfolio_3QRank","2015-04-13_to_2018-04-12_ValuePortfolio_3QRank","2015-05-11_to_2018-05-12_ValuePortfolio_3QRank","2015-06-11_to_2018-06-12_ValuePortfolio_3QRank","2015-07-13_to_2018-07-12_ValuePortfolio_3QRank","2015-08-11_to_2018-08-12_ValuePortfolio_3QRank","2015-09-11_to_2018-09-12_ValuePortfolio_3QRank","2015-10-12_to_2018-10-12_ValuePortfolio_3QRank","2015-11-11_to_2018-11-12_ValuePortfolio_3QRank","2015-12-11_to_2018-12-12_ValuePortfolio_3QRank","2016-01-11_to_2019-01-12_ValuePortfolio_3QRank","2016-02-11_to_2019-02-12_ValuePortfolio_3QRank","2016-03-11_to_2019-03-12_ValuePortfolio_3QRank","2016-04-11_to_2019-04-12_ValuePortfolio_3QRank","2016-05-11_to_2019-05-12_ValuePortfolio_3QRank","2016-06-13_to_2019-06-12_ValuePortfolio_3QRank","2016-07-11_to_2019-07-12_ValuePortfolio_3QRank","2016-08-11_to_2019-08-12_ValuePortfolio_3QRank","2016-09-12_to_2019-09-12_ValuePortfolio_3QRank","2016-10-11_to_2019-10-12_ValuePortfolio_3QRank","2016-11-11_to_2019-11-12_ValuePortfolio_3QRank","2016-12-12_to_2019-12-12_ValuePortfolio_3QRank","2017-01-11_to_2020-01-12_ValuePortfolio_3QRank","2017-02-13_to_2020-02-12_ValuePortfolio_3QRank","2017-03-13_to_2020-03-12_ValuePortfolio_3QRank","2017-04-11_to_2020-04-12_ValuePortfolio_3QRank","2017-05-11_to_2020-05-12_ValuePortfolio_3QRank","2017-06-12_to_2020-06-12_ValuePortfolio_3QRank","2017-07-11_to_2020-07-12_ValuePortfolio_3QRank","2017-08-11_to_2020-08-12_ValuePortfolio_3QRank","2017-09-11_to_2020-09-12_ValuePortfolio_3QRank","2017-10-11_to_2020-10-12_ValuePortfolio_3QRank","2017-11-13_to_2020-11-12_ValuePortfolio_3QRank","2017-12-11_to_2020-12-12_ValuePortfolio_3QRank","2018-01-11_to_2021-01-12_ValuePortfolio_3QRank","2018-02-12_to_2021-02-12_ValuePortfolio_3QRank","2018-03-12_to_2021-03-12_ValuePortfolio_3QRank","2018-04-11_to_2021-04-12_ValuePortfolio_3QRank","2018-05-11_to_2021-05-12_ValuePortfolio_3QRank","2018-06-11_to_2021-06-12_ValuePortfolio_3QRank","2018-07-11_to_2021-07-12_ValuePortfolio_3QRank","2018-08-13_to_2021-08-12_ValuePortfolio_3QRank","2018-09-11_to_2021-09-12_ValuePortfolio_3QRank","2018-10-11_to_2021-10-12_ValuePortfolio_3QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","6.456","6.876","4.422","6.56","5.826","8.256","7.335","10.878","11.299","7.102","7.559","9.932","11.035","15.667","16.591","18.236","20.177","6.599","6.819","6.844","7.259","7.827","6.634","10.544","15.477","11.021","9.474","10.734","10.863","21.171","13.256","13.928","14.88","14.134","18.107","13.587","16.502","14.644","8.831","11.058","13.044","9.357","-1.396","1.005","0.914","1.565","1.072","3.779","-1.337","1.708","0.037","-1.55","3.197","22.127","15.808","22.065","20.855","20.967","21.755","12.755","25.899","30.082"
"B Annualized Returns","8.219","7.8","6.6","7.751","7.502","8.201","8.639","8.825","7.948","7.51","7.248","7.932","7.51","10.206","8.004","9.398","11.296","8.861","11.028","8.575","9.047","9.621","10.095","11.014","14.168","11.408","9.319","8.636","10.223","13.186","11.194","12.205","11.683","11.39","12.094","9.546","11.682","11.506","12.86","12.331","13.25","13.93","2.142","6.907","7.743","9.165","11.51","12.967","12.146","13.175","12.553","12.58","12.15","15.304","13.316","17.447","15.309","16.418","18.079","17.821","17.718","20.396"
"AR DIFF(P-B)","-1.763","-0.923999999999999","-2.178","-1.191","-1.676","0.0549999999999997","-1.304","2.053","3.351","-0.407999999999999","0.311","2","3.525","5.461","8.587","8.838","8.881","-2.262","-4.209","-1.731","-1.788","-1.794","-3.461","-0.469999999999999","1.309","-0.386999999999999","0.154999999999999","2.098","0.639999999999999","7.985","2.062","1.723","3.197","2.744","6.013","4.041","4.82","3.138","-4.029","-1.273","-0.206","-4.573","-3.538","-5.902","-6.829","-7.6","-10.438","-9.188","-13.483","-11.467","-12.516","-14.13","-8.953","6.823","2.492","4.618","5.546","4.549","3.676","-5.066","8.181","9.686"
"P Volatility","9.43","9.83","9.6","9.82","8.82","8.78","9.11","10.54","10.97","10.93","10.15","10.45","10.94","12.3","13.06","13.4","12.56","10.59","11.51","11.47","11.04","10.16","9.61","10.31","9.97","9.87","10.23","11.48","13.19","15.68","14.68","15.06","14.94","14.83","16","16.56","13.98","12.22","9.42","8.98","9.74","9.47","11.17","12.87","15.28","15.13","16.16","16.96","21.23","19.41","17.47","17.63","15.58","21.45","21.89","21.68","21.12","20.37","25.16","18.46","27.65","30.39"
"B Volatility","11.53","11.29","11.27","11.3","10.99","10.86","11.05","11.06","11.03","11.02","10.99","10.89","10.85","10.85","10.85","10.91","10.39","10.41","10.61","10.93","10.93","10.86","10.81","10.17","9.96","8.45","9.5","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","-2.1","-1.46","-1.67","-1.48","-2.17","-2.08","-1.94","-0.520000000000001","-0.0599999999999987","-0.0899999999999999","-0.84","-0.440000000000001","0.0899999999999999","1.45","2.21","2.49","2.17","0.18","0.9","0.540000000000001","0.109999999999999","-0.699999999999999","-1.2","0.140000000000001","0.00999999999999979","1.42","0.73","2.09","2.61","4.55","3.95","4.31","4.01","2.96","3.73","4.31","1.63","-0.0499999999999989","-2.85","-3.36","-2.66","-2.8","-2.28","-2.06","-1.29","-1.53","-0.52","0.0700000000000003","3.72","1.56","-0.530000000000001","-1.15","-3.06","3.02","3.7","3.43","2.72","1.96","6.78","0.120000000000001","9.28","12.42"
"P Tracking Error","6.49","5.54","5.31","6.17","8.28","8.15","6.73","4.24","3.63","4.06","5.27","4.82","4.4","4.3","6.08","6.69","6.31","5.33","5.76","4.9","4.91","5.27","6.32","5.28","5.71","5","5.15","5.86","6.03","8.4","7.72","9.15","8.16","6.95","7.62","8.63","5.6","5.34","8.01","6.91","6.86","6.76","6.24","6.83","6.42","5.76","6.14","5.17","8","7.33","7.57","7.52","8.77","10.99","11.02","11.32","10.9","9.83","11.48","8.56","13.47","15.67"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
