"","2013-12-11_to_2016-12-12_ValuePortfolio_4QRank","2014-01-13_to_2017-01-12_ValuePortfolio_4QRank","2014-02-11_to_2017-02-12_ValuePortfolio_4QRank","2014-03-11_to_2017-03-12_ValuePortfolio_4QRank","2014-04-11_to_2017-04-12_ValuePortfolio_4QRank","2014-05-12_to_2017-05-12_ValuePortfolio_4QRank","2014-06-11_to_2017-06-12_ValuePortfolio_4QRank","2014-07-11_to_2017-07-12_ValuePortfolio_4QRank","2014-08-11_to_2017-08-12_ValuePortfolio_4QRank","2014-09-11_to_2017-09-12_ValuePortfolio_4QRank","2014-10-13_to_2017-10-12_ValuePortfolio_4QRank","2014-11-11_to_2017-11-12_ValuePortfolio_4QRank","2014-12-11_to_2017-12-12_ValuePortfolio_4QRank","2015-01-12_to_2018-01-12_ValuePortfolio_4QRank","2015-02-11_to_2018-02-12_ValuePortfolio_4QRank","2015-03-11_to_2018-03-12_ValuePortfolio_4QRank","2015-04-13_to_2018-04-12_ValuePortfolio_4QRank","2015-05-11_to_2018-05-12_ValuePortfolio_4QRank","2015-06-11_to_2018-06-12_ValuePortfolio_4QRank","2015-07-13_to_2018-07-12_ValuePortfolio_4QRank","2015-08-11_to_2018-08-12_ValuePortfolio_4QRank","2015-09-11_to_2018-09-12_ValuePortfolio_4QRank","2015-10-12_to_2018-10-12_ValuePortfolio_4QRank","2015-11-11_to_2018-11-12_ValuePortfolio_4QRank","2015-12-11_to_2018-12-12_ValuePortfolio_4QRank","2016-01-11_to_2019-01-12_ValuePortfolio_4QRank","2016-02-11_to_2019-02-12_ValuePortfolio_4QRank","2016-03-11_to_2019-03-12_ValuePortfolio_4QRank","2016-04-11_to_2019-04-12_ValuePortfolio_4QRank","2016-05-11_to_2019-05-12_ValuePortfolio_4QRank","2016-06-13_to_2019-06-12_ValuePortfolio_4QRank","2016-07-11_to_2019-07-12_ValuePortfolio_4QRank","2016-08-11_to_2019-08-12_ValuePortfolio_4QRank","2016-09-12_to_2019-09-12_ValuePortfolio_4QRank","2016-10-11_to_2019-10-12_ValuePortfolio_4QRank","2016-11-11_to_2019-11-12_ValuePortfolio_4QRank","2016-12-12_to_2019-12-12_ValuePortfolio_4QRank","2017-01-11_to_2020-01-12_ValuePortfolio_4QRank","2017-02-13_to_2020-02-12_ValuePortfolio_4QRank","2017-03-13_to_2020-03-12_ValuePortfolio_4QRank","2017-04-11_to_2020-04-12_ValuePortfolio_4QRank","2017-05-11_to_2020-05-12_ValuePortfolio_4QRank","2017-06-12_to_2020-06-12_ValuePortfolio_4QRank","2017-07-11_to_2020-07-12_ValuePortfolio_4QRank","2017-08-11_to_2020-08-12_ValuePortfolio_4QRank","2017-09-11_to_2020-09-12_ValuePortfolio_4QRank","2017-10-11_to_2020-10-12_ValuePortfolio_4QRank","2017-11-13_to_2020-11-12_ValuePortfolio_4QRank","2017-12-11_to_2020-12-12_ValuePortfolio_4QRank","2018-01-11_to_2021-01-12_ValuePortfolio_4QRank","2018-02-12_to_2021-02-12_ValuePortfolio_4QRank","2018-03-12_to_2021-03-12_ValuePortfolio_4QRank","2018-04-11_to_2021-04-12_ValuePortfolio_4QRank","2018-05-11_to_2021-05-12_ValuePortfolio_4QRank","2018-06-11_to_2021-06-12_ValuePortfolio_4QRank","2018-07-11_to_2021-07-12_ValuePortfolio_4QRank","2018-08-13_to_2021-08-12_ValuePortfolio_4QRank","2018-09-11_to_2021-09-12_ValuePortfolio_4QRank","2018-10-11_to_2021-10-12_ValuePortfolio_4QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","7.346","5.84","6.363","5.105","5.537","5.759","7.067","6.012","4.961","4.752","10.434","8.548","16.115","21.028","11.843","10.92","6.777","3.493","7.325","8.55","9.283","12.281","10.082","9.997","11.27","13.418","21.104","14.798","14.502","13.76","11.138","12.31","11.357","10.049","12.595","12.986","14.624","12.55","6.936","-1.245","2.733","-0.422","-0.389","0.529","5.689","2.678","3.772","-0.11","2.944","4.065","4.921","3.347","6.989","21.911","21.526","8.436","10.965","25.766","30.284"
"B Annualized Returns","7.751","7.502","8.201","8.639","8.825","7.948","7.51","7.248","7.932","7.51","10.206","8.004","9.398","11.296","8.861","11.028","8.575","9.047","9.621","10.095","11.014","14.168","11.408","9.319","8.636","10.223","13.186","11.194","12.205","11.683","11.39","12.094","9.546","11.682","11.506","12.86","12.331","13.25","13.93","2.142","6.907","7.743","9.165","11.51","12.967","12.146","13.175","12.553","12.58","12.15","15.304","13.316","17.447","15.309","16.418","18.079","17.821","17.718","20.396"
"AR DIFF(P-B)","-0.405","-1.662","-1.838","-3.534","-3.288","-2.189","-0.443","-1.236","-2.971","-2.758","0.228","0.544","6.717","9.732","2.982","-0.108000000000001","-1.798","-5.554","-2.296","-1.545","-1.731","-1.887","-1.326","0.677999999999999","2.634","3.195","7.918","3.604","2.297","2.077","-0.252000000000001","0.216000000000001","1.811","-1.633","1.089","0.126000000000001","2.293","-0.699999999999999","-6.994","-3.387","-4.174","-8.165","-9.554","-10.981","-7.278","-9.468","-9.403","-12.663","-9.636","-8.085","-10.383","-9.969","-10.458","6.602","5.108","-9.643","-6.856","8.048","9.888"
"P Volatility","9.78","9.66","8.73","9.02","9.14","8.77","9.67","9.66","9.11","9.97","11.66","10.85","11.94","12.74","13.15","12.09","11.06","9.78","10.14","11.09","11.37","10.6","10.17","10.03","11.76","13.15","15.43","14.48","15.29","14.11","15.67","14.75","16.36","14.58","14.01","11.84","10.71","10.61","9.7","10.97","13.32","14.14","16.3","14.66","15.91","16.16","16.16","16.79","20.68","18.61","16.15","15.32","16.15","21.36","20.89","17.06","17.4","23.94","26.68"
"B Volatility","11.3","10.99","10.86","11.05","11.06","11.03","11.02","10.99","10.89","10.85","10.85","10.85","10.91","10.39","10.41","10.61","10.93","10.93","10.86","10.81","10.17","9.96","8.45","9.5","9.39","10.58","11.13","10.73","10.75","10.93","11.87","12.27","12.25","12.35","12.27","12.27","12.34","12.4","12.27","13.45","14.93","16.57","16.66","16.68","16.89","17.51","17.85","18","18.78","18.64","18.43","18.19","18.25","18.4","18.41","18.38","18.34","18.37","17.97"
"V DIFF(P-B)","-1.52","-1.33","-2.13","-2.03","-1.92","-2.26","-1.35","-1.33","-1.78","-0.879999999999999","0.81","0","1.03","2.35","2.74","1.48","0.130000000000001","-1.15","-0.719999999999999","0.279999999999999","1.2","0.639999999999999","1.72","0.529999999999999","2.37","2.57","4.3","3.75","4.54","3.18","3.8","2.48","4.11","2.23","1.74","-0.43","-1.63","-1.79","-2.57","-2.48","-1.61","-2.43","-0.359999999999999","-2.02","-0.98","-1.35","-1.69","-1.21","1.9","-0.0300000000000011","-2.28","-2.87","-2.1","2.96","2.48","-1.32","-0.940000000000001","5.57","8.71"
"P Tracking Error","6.31","6.49","7.46","7.14","6.99","6.28","4.72","4.19","5.06","4.28","3.54","3.94","5.16","5.7","5.72","5.43","4.41","6.43","5.05","4.9","5.93","5.75","4.7","4.95","5.97","6.59","8.08","7.54","8.99","7.04","7.64","6.66","8.54","6.82","6.28","4.23","5.52","5.63","7.39","7.34","6.34","6.98","6.58","7.65","6.05","5.95","7.01","6.97","7.95","7.66","8.43","8.68","8.45","11.05","10.28","8.07","8.39","11.09","12.62"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
