"","1 Y 2016-06-27 to 2017-06-28","1 Y 2016-07-27 to 2017-07-28","1 Y 2016-08-29 to 2017-08-28","1 Y 2016-09-27 to 2017-09-28","1 Y 2016-10-27 to 2017-10-28","1 Y 2016-11-28 to 2017-11-28","1 Y 2016-12-27 to 2017-12-28","1 Y 2017-01-27 to 2018-01-28","1 Y 2017-02-27 to 2018-02-28","1 Y 2017-03-27 to 2018-03-28","1 Y 2017-04-27 to 2018-04-28","1 Y 2017-05-30 to 2018-05-28","1 Y 2017-06-27 to 2018-06-28","1 Y 2017-07-27 to 2018-07-28","1 Y 2017-08-28 to 2018-08-28","1 Y 2017-09-27 to 2018-09-28","1 Y 2017-10-27 to 2018-10-28","1 Y 2017-11-27 to 2018-11-28","1 Y 2017-12-27 to 2018-12-28","1 Y 2018-01-29 to 2019-01-28","1 Y 2018-02-27 to 2019-02-28","1 Y 2018-03-27 to 2019-03-28","1 Y 2018-04-27 to 2019-04-28","1 Y 2018-05-29 to 2019-05-28","1 Y 2018-06-27 to 2019-06-28","1 Y 2018-07-27 to 2019-07-28","1 Y 2018-08-27 to 2019-08-28","1 Y 2018-09-27 to 2019-09-28","1 Y 2018-10-29 to 2019-10-28","1 Y 2018-11-27 to 2019-11-28","1 Y 2018-12-27 to 2019-12-28","1 Y 2019-01-28 to 2020-01-28","1 Y 2019-02-27 to 2020-02-28","1 Y 2019-03-27 to 2020-03-28","1 Y 2019-04-29 to 2020-04-28","1 Y 2019-05-28 to 2020-05-28","1 Y 2019-06-27 to 2020-06-28","1 Y 2019-07-29 to 2020-07-28","1 Y 2019-08-27 to 2020-08-28","1 Y 2019-09-27 to 2020-09-28","1 Y 2019-10-28 to 2020-10-28","1 Y 2019-11-27 to 2020-11-28","1 Y 2019-12-27 to 2020-12-28","1 Y 2020-01-27 to 2021-01-28","1 Y 2020-02-27 to 2021-02-28","1 Y 2020-03-27 to 2021-03-28","1 Y 2020-04-27 to 2021-04-28","1 Y 2020-05-27 to 2021-05-28","1 Y 2020-06-29 to 2021-06-28","1 Y 2020-07-27 to 2021-07-28","1 Y 2020-08-27 to 2021-08-28","1 Y 2020-09-28 to 2021-09-28","1 Y 2020-10-27 to 2021-10-28","1 Y 2020-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","28.439","19.835","15.727","19.832","27.975","23.547","23.971","26.993","17.13","15.023","16.153","20.324","18.229","19.037","25.022","17.302","4.969","6.141","-6.61","-2.529","7.558","10.075","10.937","3.488","7.213","6.439","0.468","2.739","15.377","14.535","31.337","20.938","3.155","-17.449","-7.271","4.697","-4.247","2.037","12.46","7.841","3.86","20.723","16.821","23.951","37.619","98.25","74.845","65.202","65.58","57.001","51.44","56.826","67.812","38.8"
"B Annualized Returns","20.936","14.255","12.034","16.07","20.095","18.208","18.235","24.859","15.805","11.575","11.679","13.281","11.584","14.668","18.568","16.233","5.233","3.104","-7.224","-7.5","1.753","7.378","10.656","5.006","8.345","7.278","-0.952","2.189","14.179","17.14","30.272","22.755","6.675","-6.249","-2.199","8.341","5.446","7.251","20.659","9.197","11.557","17.103","14.811","14.484","28.644","49.665","45.449","38.363","40.387","35.872","28.368","32.67","34.241","30.176"
"AR DIFF(P-B)","7.503","5.58","3.693","3.762","7.88","5.339","5.736","2.134","1.325","3.448","4.474","7.043","6.645","4.369","6.454","1.069","-0.263999999999999","3.037","0.614","4.971","5.805","2.697","0.280999999999999","-1.518","-1.132","-0.839","1.42","0.55","1.198","-2.605","1.065","-1.817","-3.52","-11.2","-5.072","-3.644","-9.693","-5.214","-8.199","-1.356","-7.697","3.62","2.01","9.467","8.975","48.585","29.396","26.839","25.193","21.129","23.072","24.156","33.571","8.624"
"P Volatility","10.2","9.59","9.26","9.24","7.26","5.26","6.03","6.11","6.39","8.32","8.47","8.5","9.18","9.12","9.23","9.48","9.95","12.7","12.39","15.44","19.52","19.92","19.51","18.71","20.49","21.73","21.38","21.97","21.41","21.86","17.13","12.96","12.25","15.8","27.78","33.81","34.63","34.72","36.13","35.65","36.39","39.49","39.67","40.76","39.31","26.38","20.65","19.91","19.87","20.51","21.05","19.73","20.76","9.09"
"B Volatility","5.98","5.52","5.51","5.14","4.31","3.95","4.11","4.11","5.1","7.64","9.44","9.48","9.54","9.48","9.84","10.02","9.95","12.82","12.77","14.74","17.42","16.98","16.95","17.4","18.58","18.88","18.74","18.88","17.05","17.09","12.56","10.19","10.09","15.19","20.15","23.95","23.79","23.82","24","24.99","25.67","26.98","27.22","27.27","24.34","16.66","13.15","13.5","13.94","13.79","12.46","10.3","12.26","10.65"
"V DIFF(P-B)","4.22","4.07","3.75","4.1","2.95","1.31","1.92","2","1.29","0.680000000000001","-0.969999999999999","-0.98","-0.359999999999999","-0.360000000000001","-0.609999999999999","-0.539999999999999","0","-0.120000000000001","-0.379999999999999","0.699999999999999","2.1","2.94","2.56","1.31","1.91","2.85","2.64","3.09","4.36","4.77","4.57","2.77","2.16","0.610000000000001","7.63","9.86","10.84","10.9","12.13","10.66","10.72","12.51","12.45","13.49","14.97","9.72","7.5","6.41","5.93","6.72","8.59","9.43","8.5","-1.56"
"P Tracking Error","5.42","5.15","4.92","4.83","4.11","3.19","3.48","3.19","2.9","2.43","4.96","5.7","6.25","5.92","6.52","5.52","5.5","5.73","5.84","6.08","6.63","4.74","4.47","4.73","4.87","5.29","5.29","5.66","6.58","7.22","6.92","5.77","5.9","6.63","10.96","12.59","14.1","13.87","14.91","13.93","14.56","16.04","16.17","16.44","16.9","13.49","12.2","12.15","12.45","13.04","13.71","14.23","15.71","10.52"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
