"","1 Y 2016-09-27 to 2017-09-28","1 Y 2016-10-27 to 2017-10-28","1 Y 2016-11-28 to 2017-11-28","1 Y 2016-12-27 to 2017-12-28","1 Y 2017-01-27 to 2018-01-28","1 Y 2017-02-27 to 2018-02-28","1 Y 2017-03-27 to 2018-03-28","1 Y 2017-04-27 to 2018-04-28","1 Y 2017-05-30 to 2018-05-28","1 Y 2017-06-27 to 2018-06-28","1 Y 2017-07-27 to 2018-07-28","1 Y 2017-08-28 to 2018-08-28","1 Y 2017-09-27 to 2018-09-28","1 Y 2017-10-27 to 2018-10-28","1 Y 2017-11-27 to 2018-11-28","1 Y 2017-12-27 to 2018-12-28","1 Y 2018-01-29 to 2019-01-28","1 Y 2018-02-27 to 2019-02-28","1 Y 2018-03-27 to 2019-03-28","1 Y 2018-04-27 to 2019-04-28","1 Y 2018-05-29 to 2019-05-28","1 Y 2018-06-27 to 2019-06-28","1 Y 2018-07-27 to 2019-07-28","1 Y 2018-08-27 to 2019-08-28","1 Y 2018-09-27 to 2019-09-28","1 Y 2018-10-29 to 2019-10-28","1 Y 2018-11-27 to 2019-11-28","1 Y 2018-12-27 to 2019-12-28","1 Y 2019-01-28 to 2020-01-28","1 Y 2019-02-27 to 2020-02-28","1 Y 2019-03-27 to 2020-03-28","1 Y 2019-04-29 to 2020-04-28","1 Y 2019-05-28 to 2020-05-28","1 Y 2019-06-27 to 2020-06-28","1 Y 2019-07-29 to 2020-07-28","1 Y 2019-08-27 to 2020-08-28","1 Y 2019-09-27 to 2020-09-28","1 Y 2019-10-28 to 2020-10-28","1 Y 2019-11-27 to 2020-11-28","1 Y 2019-12-27 to 2020-12-28","1 Y 2020-01-27 to 2021-01-28","1 Y 2020-02-27 to 2021-02-28","1 Y 2020-03-27 to 2021-03-28","1 Y 2020-04-27 to 2021-04-28","1 Y 2020-05-27 to 2021-05-28","1 Y 2020-06-29 to 2021-06-28","1 Y 2020-07-27 to 2021-07-28","1 Y 2020-08-27 to 2021-08-28","1 Y 2020-09-28 to 2021-09-28","1 Y 2020-10-27 to 2021-10-28","1 Y 2020-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","18.734","27.309","23.299","24.647","28.363","18.163","16.709","14.664","22.115","20.748","20.918","26.965","18.356","5.584","6.132","-8.457","-2.257","8.066","10.049","11.183","3.32","6.941","6.82","1.168","2.905","14.99","13.622","31.157","21.929","3.35","-18.457","-6.912","4.671","-4.143","2.074","13.666","10.44","3.917","17.811","18.137","19.449","37.626","97.9","77.752","67.312","66.369","57.21","50.992","57.177","67.942","38.701"
"B Annualized Returns","16.07","20.095","18.208","18.235","24.859","15.805","11.575","11.679","13.281","11.584","14.668","18.568","16.233","5.233","3.104","-7.224","-7.5","1.753","7.378","10.656","5.006","8.345","7.278","-0.952","2.189","14.179","17.14","30.272","22.755","6.675","-6.249","-2.199","8.341","5.446","7.251","20.659","9.197","11.557","17.103","14.811","14.484","28.644","49.665","45.449","38.363","40.387","35.872","28.368","32.67","34.241","30.176"
"AR DIFF(P-B)","2.664","7.214","5.091","6.412","3.504","2.358","5.134","2.985","8.834","9.164","6.25","8.397","2.123","0.351","3.028","-1.233","5.243","6.313","2.671","0.526999999999999","-1.686","-1.404","-0.457999999999999","2.12","0.716","0.811","-3.518","0.885000000000002","-0.826000000000001","-3.325","-12.208","-4.713","-3.67","-9.589","-5.177","-6.993","1.243","-7.64","0.707999999999998","3.326","4.965","8.982","48.235","32.303","28.949","25.982","21.338","22.624","24.507","33.701","8.525"
"P Volatility","9.33","7.06","5.47","5.93","6.09","6.16","8.32","8.04","8.38","9.13","9.39","9.11","8.86","9.08","12.83","11.48","15.58","19.79","20.13","19.82","19.56","20.59","21.89","21.45","21.03","20.96","21.75","17.05","12.78","12.73","15.9","27.27","33.98","35.72","35.81","36.91","35.94","35.98","38.95","40.19","41.1","39.58","26.2","20.78","19.66","19.84","20.39","20.89","20.07","20.92","9.03"
"B Volatility","5.14","4.31","3.95","4.11","4.11","5.1","7.64","9.44","9.48","9.54","9.48","9.84","10.02","9.95","12.82","12.77","14.74","17.42","16.98","16.95","17.4","18.58","18.88","18.74","18.88","17.05","17.09","12.56","10.19","10.09","15.19","20.15","23.95","23.79","23.82","24","24.99","25.67","26.98","27.22","27.27","24.34","16.66","13.15","13.5","13.94","13.79","12.46","10.3","12.26","10.65"
"V DIFF(P-B)","4.19","2.75","1.52","1.82","1.98","1.06","0.680000000000001","-1.4","-1.1","-0.409999999999998","-0.0899999999999999","-0.73","-1.16","-0.869999999999999","0.00999999999999979","-1.29","0.84","2.37","3.15","2.87","2.16","2.01","3.01","2.71","2.15","3.91","4.66","4.49","2.59","2.64","0.710000000000001","7.12","10.03","11.93","11.99","12.91","10.95","10.31","11.97","12.97","13.83","15.24","9.54","7.63","6.16","5.9","6.6","8.43","9.77","8.66","-1.62"
"P Tracking Error","4.91","3.75","3.4","3.46","3.16","2.87","2.57","4.94","5.5","5.96","5.82","6.61","6.14","5.89","5.46","5.19","5.84","6.64","4.92","4.87","4.87","4.92","5.38","5.48","5.24","6.37","7.21","6.94","5.88","6.04","6.66","10.58","12.77","14.93","14.91","15.66","14.29","14.25","16.1","16.48","16.62","16.98","13.17","12.15","11.77","12.15","12.72","13.51","14.4","15.68","9.78"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.54","1.92","1.5","1.85","1.11","0.82","2","0.6","1.61","1.54","1.07","1.27","0.35","0.06","0.55","-0.24","0.9","0.95","0.54","0.11","-0.35","-0.29","-0.09","0.39","0.14","0.13","-0.49","0.13","-0.14","-0.55","-1.83","-0.45","-0.29","-0.64","-0.35","-0.45","0.09","-0.54","0.04","0.2","0.3","0.53","3.66","2.66","2.46","2.14","1.68","1.67","1.7","2.15","0.87"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.73","-0.17","0.11","0.13","-0.35","-0.02","0.18","0.58","0.66","0.93","0.84","0.88","0.57","0.76","0.26","0.15","0.18","0.49","0.07","0.07","-0.28","-0.25","0.06","0.06","0.18","-0.27","-0.25","-0.43","-0.33","-0.73","-0.38","-0.53","-0.69","-0.48","-0.41","-0.65","-0.49","-0.7","-0.46","-0.08","0.08","-0.77","1.39","1.52","1.04","1.39","1.37","0.82","0.38","1.65","1.85"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.69","1.46","1.09","1.19","1.3","1.07","1.04","0.73","0.72","0.76","0.8","0.7","0.7","0.74","0.91","0.82","0.98","1.07","1.16","1.14","1.09","1.08","1.13","1.11","1.08","1.19","1.22","1.27","1.12","1.12","0.95","1.28","1.36","1.43","1.43","1.47","1.37","1.33","1.36","1.41","1.45","1.58","1.42","1.32","1.18","1.13","1.17","1.32","1.42","1.14","0.44"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","85.18","77.64","57.53","63.97","74.66","76.23","89.53","69.57","63.1","59.51","61.78","53.02","59.17","62.18","80.78","81.63","84.41","87.96","95.42","94.94","93.87","94.21","94.73","93.84","93.71","92.27","91.17","85.92","77.5","75.89","80.72","87.94","91.62","89.71","90.02","90.35","89.83","88.69","87.93","89.77","91.74","93.64","80.01","66.59","61.9","59.34","58.17","57.5","47.91","38.32","18.52"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-4.6421","-3.04","-3.3309","-3.4321","-3.589","-10.2836","-10.1741","-10.1167","-9.9935","-10.1745","-10.1354","-10.174","-10.0278","-11.5711","-11.6598","-18.8814","-18.1964","-18.9859","-19.1862","-18.9584","-18.6918","-18.7492","-18.9112","-18.3665","-17.5813","-14.9797","-13.4615","-7.5049","-7.4601","-12.897","-38.2199","-36.638","-37.7604","-38.2826","-37.8674","-38.6892","-37.3232","-37.3703","-38.385","-38.295","-38.8169","-32.9313","-11.4391","-11.8337","-11.1174","-8.3923","-8.2396","-8.6384","-6.8567","-5.1221","-4.4932"
"B Max Drawdown","-3.8091","-2.412","-2.412","-2.412","-2.412","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5506","-9.5507","-9.878","-15.8093","-16.4756","-16.4757","-16.4756","-16.4757","-16.4756","-16.4756","-16.4757","-16.4757","-16.326","-13.0069","-12.2736","-6.8361","-6.8361","-12.0311","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4469","-5.2125","-5.2125"
"MD DIFF(P-B)","-0.833","-0.628","-0.9189","-1.0201","-1.177","-0.733000000000001","-0.6235","-0.5661","-0.4429","-0.623900000000001","-0.584800000000001","-0.6234","-0.4772","-2.0204","-1.7818","-3.0721","-1.7208","-2.5102","-2.7106","-2.4827","-2.2162","-2.2736","-2.4355","-1.8908","-1.2553","-1.9728","-1.1879","-0.6688","-0.624","-0.8659","-4.29490000000001","-2.713","-3.8354","-4.35760000000001","-3.94240000000001","-4.7642","-3.3982","-3.4453","-4.46","-4.37","-4.8919","-4.411","-1.8346","-2.2292","-1.5129","1.2122","1.3649","0.966099999999999","0.5902","0.0904000000000007","0.7193"
