"","1 Y 2018-06-26 to 2020-06-27","1 Y 2018-07-26 to 2020-07-27","1 Y 2018-08-27 to 2020-08-27","1 Y 2018-09-26 to 2020-09-27","1 Y 2018-10-26 to 2020-10-27","1 Y 2018-11-26 to 2020-11-27","1 Y 2018-12-26 to 2020-12-27","1 Y 2019-01-28 to 2021-01-27","1 Y 2019-02-26 to 2021-02-27","1 Y 2019-03-26 to 2021-03-27","1 Y 2019-04-26 to 2021-04-27","1 Y 2019-05-28 to 2021-05-27","1 Y 2019-06-26 to 2021-06-27","1 Y 2019-07-26 to 2021-07-27","1 Y 2019-08-26 to 2021-08-27","1 Y 2019-09-26 to 2021-09-27","1 Y 2019-10-28 to 2021-10-27","1 Y 2019-11-26 to 2021-11-27","2 Y 2018-06-26 to 2020-06-27","2 Y 2018-07-26 to 2020-07-27","2 Y 2018-08-27 to 2020-08-27","2 Y 2018-09-26 to 2020-09-27","2 Y 2018-10-26 to 2020-10-27","2 Y 2018-11-26 to 2020-11-27","2 Y 2018-12-26 to 2020-12-27","2 Y 2019-01-28 to 2021-01-27","2 Y 2019-02-26 to 2021-02-27","2 Y 2019-03-26 to 2021-03-27","2 Y 2019-04-26 to 2021-04-27","2 Y 2019-05-28 to 2021-05-27","2 Y 2019-06-26 to 2021-06-27","2 Y 2019-07-26 to 2021-07-27","2 Y 2019-08-26 to 2021-08-27","2 Y 2019-09-26 to 2021-09-27","2 Y 2019-10-28 to 2021-10-27","2 Y 2019-11-26 to 2021-11-27"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","0.826","3.895","19.499","8.131","12.013","24.579","17.654","23.961","39.047","69.932","67.322","56.027","58.007","49.126","45.7","53.519","47.464","38.542","3.027","4.256","8.752","4.801","12.436","19.921","23.012","21.902","19.651","21.79","24.238","28.427","24.822","23.203","29.141","26.835","26.532","27.014"
"B Annualized Returns","5.834","7.157","21.246","8.768","11.93","16.012","14.412","18.682","22.877","57.925","45.63","40.251","39.87","36.632","28.495","37.445","34.514","31.113","6.417","6.806","9.586","5.706","13.513","16.636","22.351","20.699","17.073","17.776","19.343","22.398","21.038","21.054","24.818","22.302","22.719","22.281"
"AR DIFF(P-B)","-5.008","-3.262","-1.747","-0.637","0.0830000000000002","8.567","3.242","5.279","16.17","12.007","21.692","15.776","18.137","12.494","17.205","16.074","12.95","7.429","-3.39","-2.55","-0.834","-0.905","-1.077","3.285","0.661000000000001","1.203","2.578","4.014","4.895","6.029","3.784","2.149","4.323","4.533","3.813","4.733"
"P Volatility","32.87","32.59","33.89","32.96","34.21","34.73","36.67","36.97","35.63","21.17","18.39","17.73","16.32","15.87","16.47","14.5","15.46","9.65","27.01","26.79","27.64","27.05","27.44","27.75","27.22","26.57","26.73","26.56","27.36","26.62","26.12","26.25","26.92","26.42","27.16","28.07"
"B Volatility","23.79","23.82","24","24.99","25.67","25.68","27.22","27.27","24.34","16.66","13.15","13.5","13.94","13.79","12.46","10.3","12.26","10.65","20.6","20.52","20.66","21.3","20.79","20.88","20.27","19.63","19.6","19.6","19.54","19.1","19.03","19.03","18.85","18.85","19.47","19.77"
"V DIFF(P-B)","9.08","8.77","9.89","7.97","8.54","9.05","9.45","9.7","11.29","4.51","5.24","4.23","2.38","2.08","4.01","4.2","3.2","-1","6.41","6.27","6.98","5.75","6.65","6.87","6.95","6.94","7.13","6.96","7.82","7.52","7.09","7.22","8.07","7.57","7.69","8.3"
"P Tracking Error","12.62","11.8","13.5","12.06","12.68","13.77","13.29","13.48","13.98","9.11","8.47","8.39","8.32","8.14","8.92","8.59","8.77","7.51","9.46","8.98","9.99","9.18","9.9","10.57","10.16","10.46","10.58","10.65","10.6","10.76","10.82","10.85","11.68","11.15","11.54","12.29"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
