"","2017-01-10_to_2019-01-11_ALLPortfolio_2QRank","2017-02-10_to_2019-02-11_ALLPortfolio_2QRank","2017-03-10_to_2019-03-11_ALLPortfolio_2QRank","2017-04-10_to_2019-04-11_ALLPortfolio_2QRank","2017-05-10_to_2019-05-11_ALLPortfolio_2QRank","2017-06-12_to_2019-06-11_ALLPortfolio_2QRank","2017-07-10_to_2019-07-11_ALLPortfolio_2QRank","2017-08-10_to_2019-08-11_ALLPortfolio_2QRank","2017-09-11_to_2019-09-11_ALLPortfolio_2QRank","2017-10-10_to_2019-10-11_ALLPortfolio_2QRank","2017-11-10_to_2019-11-11_ALLPortfolio_2QRank","2017-12-11_to_2019-12-11_ALLPortfolio_2QRank","2018-01-10_to_2020-01-11_ALLPortfolio_2QRank","2018-02-12_to_2020-02-11_ALLPortfolio_2QRank","2018-03-12_to_2020-03-11_ALLPortfolio_2QRank","2018-04-10_to_2020-04-11_ALLPortfolio_2QRank","2018-05-10_to_2020-05-11_ALLPortfolio_2QRank","2018-06-11_to_2020-06-11_ALLPortfolio_2QRank","2018-07-10_to_2020-07-11_ALLPortfolio_2QRank","2018-08-10_to_2020-08-11_ALLPortfolio_2QRank","2018-09-10_to_2020-09-11_ALLPortfolio_2QRank","2018-10-10_to_2020-10-11_ALLPortfolio_2QRank","2018-11-12_to_2020-11-11_ALLPortfolio_2QRank","2018-12-10_to_2020-12-11_ALLPortfolio_2QRank","2019-01-10_to_2021-01-11_ALLPortfolio_2QRank","2019-02-11_to_2021-02-11_ALLPortfolio_2QRank","2019-03-11_to_2021-03-11_ALLPortfolio_2QRank","2019-04-10_to_2021-04-11_ALLPortfolio_2QRank","2019-05-10_to_2021-05-11_ALLPortfolio_2QRank","2019-06-10_to_2021-06-11_ALLPortfolio_2QRank","2019-07-10_to_2021-07-11_ALLPortfolio_2QRank","2019-08-12_to_2021-08-11_ALLPortfolio_2QRank","2019-09-10_to_2021-09-11_ALLPortfolio_2QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","7.4","9.854","11.537","13.04","13.756","14.151","14.92","17.318","10.702","9.404","11.895","9.905","11.051","15.272","-0.161","1.524","2.63","3.879","4.14","7.097","4.633","12.051","13.7","20.281","28.065","23.279","20.796","21.388","24.06","24.577","24.851","28.24","28.617"
"B Annualized Returns","6.961","8.154","8.298","10.68","9.58","9.001","11.152","9.423","9.823","7.902","9.323","8.677","9.003","12.455","-0.751","2.468","3.723","3.875","6.762","8.448","7.738","11.724","14.476","17.798","20.903","19.215","17.632","19.563","19.982","21.236","20.826","24.205","23.313"
"AR DIFF(P-B)","0.439","1.7","3.239","2.36","4.176","5.15","3.768","7.895","0.879","1.502","2.572","1.228","2.048","2.817","0.59","-0.944","-1.093","0.004","-2.622","-1.351","-3.105","0.327","-0.776000000000002","2.483","7.162","4.064","3.164","1.825","4.078","3.341","4.025","4.035","5.304"
"P Volatility","12.37","14.61","14.92","15.14","15.53","15.95","16.48","17.09","17.61","16.52","16.22","16.05","15.76","14.4","16.03","20.93","23.02","23.37","24.45","25.59","25.96","25.14","24.18","25.06","24.5","24.21","23.6","24.2","23.02","23.46","23.09","23.43","23.99"
"B Volatility","11.66","12.63","12.73","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.01","20.05","20","19.21","18.87","18.87","18.68","18.7"
"V DIFF(P-B)","0.709999999999999","1.98","2.19","2.39","2.58","1.91","1.75","2.37","2.78","1.71","1.46","1.16","1.23","0.27","0.580000000000002","2.81","2.75","2.89","4.07","4.97","4.85","4.54","3.4","4.57","4.47","4.2","3.55","4.2","3.81","4.59","4.22","4.75","5.29"
"P Tracking Error","3.33","3.75","4.17","4.33","4.62","4.68","4.57","5.36","4.32","3.83","4.23","3.91","4.21","3.49","3.47","4.85","4.84","4.92","5.27","6.09","5.85","5.71","5.86","7.01","6.89","6.78","6.85","7.39","6.2","6.89","6.57","7.44","7.9"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.13","0.45","0.78","0.55","0.9","1.1","0.82","1.47","0.2","0.39","0.61","0.31","0.49","0.81","0.17","-0.19","-0.23","0","-0.5","-0.22","-0.53","0.06","-0.13","0.35","1.04","0.6","0.46","0.25","0.66","0.48","0.61","0.54","0.67"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
