"","1 Y 2018-01-09 to 2020-01-10","1 Y 2018-02-09 to 2020-02-10","1 Y 2018-03-09 to 2020-03-10","1 Y 2018-04-09 to 2020-04-10","1 Y 2018-05-09 to 2020-05-10","1 Y 2018-06-11 to 2020-06-10","1 Y 2018-07-09 to 2020-07-10","1 Y 2018-08-09 to 2020-08-10","1 Y 2018-09-10 to 2020-09-10","1 Y 2018-10-09 to 2020-10-10","1 Y 2018-11-09 to 2020-11-10","1 Y 2018-12-10 to 2020-12-10","1 Y 2019-01-09 to 2021-01-10","1 Y 2019-02-11 to 2021-02-10","1 Y 2019-03-11 to 2021-03-10","1 Y 2019-04-09 to 2021-04-10","1 Y 2019-05-09 to 2021-05-10","1 Y 2019-06-10 to 2021-06-10","1 Y 2019-07-09 to 2021-07-10","1 Y 2019-08-09 to 2021-08-10","1 Y 2019-09-09 to 2021-09-10","2 Y 2018-01-09 to 2020-01-10","2 Y 2018-02-09 to 2020-02-10","2 Y 2018-03-09 to 2020-03-10","2 Y 2018-04-09 to 2020-04-10","2 Y 2018-05-09 to 2020-05-10","2 Y 2018-06-11 to 2020-06-10","2 Y 2018-07-09 to 2020-07-10","2 Y 2018-08-09 to 2020-08-10","2 Y 2018-09-10 to 2020-09-10","2 Y 2018-10-09 to 2020-10-10","2 Y 2018-11-09 to 2020-11-10","2 Y 2018-12-10 to 2020-12-10","2 Y 2019-01-09 to 2021-01-10","2 Y 2019-02-11 to 2021-02-10","2 Y 2019-03-11 to 2021-03-10","2 Y 2019-04-09 to 2021-04-10","2 Y 2019-05-09 to 2021-05-10","2 Y 2019-06-10 to 2021-06-10","2 Y 2019-07-09 to 2021-07-10","2 Y 2019-08-09 to 2021-08-10","2 Y 2019-09-09 to 2021-09-10"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","23.433","18.724","2.782","-7.577","1.857","9.403","2.61","15.13","10.5","25.68","18.834","22.912","28.546","30.37","52.307","71.924","61.909","50.257","58.58","47.176","51.02","8.889","12.624","2.253","0.714","4.209","6.205","4.532","8.058","6.927","15.796","15.783","20.319","26.342","24.652","22.251","22.99","24.83","26.75","26.462","28.761","28.519"
"B Annualized Returns","25.753","23.775","3.554","-3.41","2.058","10.549","6.171","16.607","11.272","18.345","14.853","16.758","16.795","14.752","33.684","47.995","43.081","32.884","38.626","32.028","32.074","9.003","13.102","1.769","2.756","4.211","7.084","7.153","8.894","7.53","11.724","14.061","17.946","21.638","19.244","17.659","19.563","20.535","21.203","20.826","24.089","23.291"
"AR DIFF(P-B)","-2.32","-5.051","-0.772","-4.167","-0.201","-1.146","-3.561","-1.477","-0.772","7.335","3.981","6.154","11.751","15.618","18.623","23.929","18.828","17.373","19.954","15.148","18.946","-0.114000000000001","-0.478","0.484","-2.042","-0.00200000000000067","-0.879","-2.621","-0.836","-0.603000000000001","4.072","1.722","2.373","4.704","5.408","4.592","3.427","4.295","5.547","5.636","4.672","5.228"
"P Volatility","12.63","12.2","14.32","23.5","27.32","28.04","27.42","28.21","29.51","30.15","29.19","32.4","32.25","31.21","20.2","16.92","16.24","16.71","16.06","15.76","14.08","16.3","15.82","16.55","21.23","23.14","23.96","23.75","24.51","25.23","24.62","24.26","24.6","23.67","24.47","24.62","25.13","23.78","23.8","23.59","23.62","23.58"
"B Volatility","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.01","20.05","20","19.21","18.87","18.87","18.68","18.7"
"V DIFF(P-B)","0.680000000000001","0.209999999999999","-1.42","3.35","3.78","5.12","4.47","4.9","5.43","5.37","4.24","5.32","5.12","6.68","2.42","2.35","1.55","1.84","1.49","2.1","2.35","1.77","1.69","1.1","3.11","2.87","3.48","3.37","3.89","4.12","4.02","3.48","4.11","3.64","4.46","4.57","5.13","4.57","4.93","4.72","4.94","4.88"
"P Tracking Error","2.34","1.78","2.85","6.29","5.54","7.08","6.05","6.57","7.68","7.66","7.48","8.17","8.18","9.09","6.6","6.62","6.55","6.83","6.88","7.28","7.38","3.64","3.59","3.8","5.29","4.72","5.47","4.73","5.28","5.86","5.91","5.87","6.32","6.1","6.65","7.02","7.4","7.05","7.43","7.39","7.66","7.77"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
