"","1 Y 2017-06-27 to 2019-06-28","1 Y 2017-07-27 to 2019-07-28","1 Y 2017-08-28 to 2019-08-28","1 Y 2017-09-27 to 2019-09-28","1 Y 2017-10-27 to 2019-10-28","1 Y 2017-11-27 to 2019-11-28","1 Y 2017-12-27 to 2019-12-28","1 Y 2018-01-29 to 2020-01-28","1 Y 2018-02-27 to 2020-02-28","1 Y 2018-03-27 to 2020-03-28","1 Y 2018-04-27 to 2020-04-28","1 Y 2018-05-29 to 2020-05-28","1 Y 2018-06-27 to 2020-06-28","1 Y 2018-07-27 to 2020-07-28","1 Y 2018-08-27 to 2020-08-28","1 Y 2018-09-27 to 2020-09-28","1 Y 2018-10-29 to 2020-10-28","1 Y 2018-11-27 to 2020-11-28","1 Y 2018-12-27 to 2020-12-28","1 Y 2019-01-28 to 2021-01-28","1 Y 2019-02-27 to 2021-02-28","1 Y 2019-03-27 to 2021-03-28","1 Y 2019-04-29 to 2021-04-28","1 Y 2019-05-28 to 2021-05-28","1 Y 2019-06-27 to 2021-06-28","1 Y 2019-07-29 to 2021-07-28","1 Y 2019-08-27 to 2021-08-28","1 Y 2019-09-27 to 2021-09-28","1 Y 2019-10-28 to 2021-10-28","1 Y 2019-11-27 to 2021-11-28","2 Y 2017-06-27 to 2019-06-28","2 Y 2017-07-27 to 2019-07-28","2 Y 2017-08-28 to 2019-08-28","2 Y 2017-09-27 to 2019-09-28","2 Y 2017-10-27 to 2019-10-28","2 Y 2017-11-27 to 2019-11-28","2 Y 2017-12-27 to 2019-12-28","2 Y 2018-01-29 to 2020-01-28","2 Y 2018-02-27 to 2020-02-28","2 Y 2018-03-27 to 2020-03-28","2 Y 2018-04-27 to 2020-04-28","2 Y 2018-05-29 to 2020-05-28","2 Y 2018-06-27 to 2020-06-28","2 Y 2018-07-27 to 2020-07-28","2 Y 2018-08-27 to 2020-08-28","2 Y 2018-09-27 to 2020-09-28","2 Y 2018-10-29 to 2020-10-28","2 Y 2018-11-27 to 2020-11-28","2 Y 2018-12-27 to 2020-12-28","2 Y 2019-01-28 to 2021-01-28","2 Y 2019-02-27 to 2021-02-28","2 Y 2019-03-27 to 2021-03-28","2 Y 2019-04-29 to 2021-04-28","2 Y 2019-05-28 to 2021-05-28","2 Y 2019-06-27 to 2021-06-28","2 Y 2019-07-29 to 2021-07-28","2 Y 2019-08-27 to 2021-08-28","2 Y 2019-09-27 to 2021-09-28","2 Y 2019-10-28 to 2021-10-28","2 Y 2019-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","9.32","8.969","6.229","3.011","16.491","16.335","31.972","25.177","3.748","-13.512","-6.488","8.379","0.997","4.831","16.782","8.277","14.498","26.264","26.686","25.451","38.058","69.053","64.103","56.754","58.324","48.831","44.853","44.529","52.076","35.982","15.006","16.298","16.12","11.602","11.768","10.078","10.692","10.537","4.922","-3.273","1.191","4.474","3.364","5.363","7.526","4.856","14.117","19.386","28.657","23.241","19.969","20.872","24.111","28.787","25.362","23.986","30.444","27.147","26.259","27.719"
"B Annualized Returns","8.345","5.537","-0.952","2.466","13.335","17.471","31.293","22.755","6.675","-6.249","-2.199","8.341","5.834","7.251","20.659","8.768","11.557","16.012","14.412","14.484","22.877","57.925","45.449","38.363","39.87","35.872","28.495","32.67","34.241","31.113","9.952","10.184","8.356","8.995","8.238","9.888","9.911","6.635","4.185","0.333","4.272","6.251","6.888","7.532","9.663","5.568","13.322","16.47","21.862","19.108","17.13","18.077","19.301","22.435","20.838","20.736","24.818","22.24","22.374","23.014"
"AR DIFF(P-B)","0.975","3.432","7.181","0.545","3.156","-1.136","0.679000000000002","2.422","-2.927","-7.263","-4.289","0.0380000000000003","-4.837","-2.42","-3.877","-0.491000000000001","2.941","10.252","12.274","10.967","15.181","11.128","18.654","18.391","18.454","12.959","16.358","11.859","17.835","4.869","5.054","6.114","7.764","2.607","3.53","0.19","0.781000000000001","3.902","0.737","-3.606","-3.081","-1.777","-3.524","-2.169","-2.137","-0.712","0.795000000000002","2.916","6.795","4.133","2.839","2.795","4.81","6.352","4.524","3.25","5.626","4.907","3.885","4.705"
"P Volatility","21.76","23.32","23.28","23.03","21.55","21.21","15.76","11.75","11.05","13.54","25.91","31.59","32.01","33.1","33.98","34.04","35.59","34.97","38.36","37.61","35.53","21.33","17.82","17.26","17.44","16.95","16.88","15.27","15.34","9.39","16.19","16.94","17.01","16.87","17.02","16.67","16.53","16","15.17","16.16","22.5","25.5","26.06","26.8","27.47","27.38","28.18","27.81","28.13","26.92","26.63","26.8","26.91","26.55","26.76","26.7","27.65","26.97","27.09","28.6"
"B Volatility","18.58","18.88","18.74","18.88","17.05","17.09","12.56","10.19","10.09","15.19","20.15","23.95","23.79","23.82","24","24.99","25.67","25.68","27.22","27.27","24.34","16.66","13.15","13.5","13.94","13.79","12.46","10.3","12.26","10.65","14.14","14.43","14.43","14.56","14.52","14.47","14.59","14.29","13.9","15.36","18.32","20.44","20.6","20.52","20.66","21.3","20.79","20.88","20.27","19.63","19.6","19.6","19.54","19.1","19.03","19.03","18.85","18.85","19.47","20.23"
"V DIFF(P-B)","3.18","4.44","4.54","4.15","4.5","4.12","3.2","1.56","0.960000000000001","-1.65","5.76","7.64","8.22","9.28","9.98","9.05","9.92","9.29","11.14","10.34","11.19","4.67","4.67","3.76","3.5","3.16","4.42","4.97","3.08","-1.26","2.05","2.51","2.58","2.31","2.5","2.2","1.94","1.71","1.27","0.800000000000001","4.18","5.06","5.46","6.28","6.81","6.08","7.39","6.93","7.86","7.29","7.03","7.2","7.37","7.45","7.73","7.67","8.8","8.12","7.62","8.37"
"P Tracking Error","5.62","6.16","6.36","5.86","7.16","6.65","6.23","5.57","5.32","5.95","9.2","10.66","11.88","13.08","13.52","13.05","14.09","13.42","14.85","13.97","13.78","9.06","8.36","8.33","8.21","7.95","9.15","8.77","8.84","7.94","5.93","6.2","6.31","5.91","6.4","6.02","5.91","5.76","5.62","5.2","7.24","7.98","8.85","9.59","9.92","9.62","10.74","10.32","11","10.67","10.34","10.58","10.18","10.78","11.06","10.84","12.08","11.54","11.68","12.63"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
