"","1 Y 2016-12-13 to 2019-12-14","1 Y 2017-01-13 to 2020-01-14","1 Y 2017-02-13 to 2020-02-14","1 Y 2017-03-13 to 2020-03-14","1 Y 2017-04-13 to 2020-04-14","1 Y 2017-05-15 to 2020-05-14","1 Y 2017-06-13 to 2020-06-14","1 Y 2017-07-13 to 2020-07-14","1 Y 2017-08-14 to 2020-08-14","1 Y 2017-09-13 to 2020-09-14","1 Y 2017-10-13 to 2020-10-14","1 Y 2017-11-13 to 2020-11-14","1 Y 2017-12-13 to 2020-12-14","1 Y 2018-01-15 to 2021-01-14","1 Y 2018-02-13 to 2021-02-14","1 Y 2018-03-13 to 2021-03-14","1 Y 2018-04-13 to 2021-04-14","1 Y 2018-05-14 to 2021-05-14","1 Y 2018-06-13 to 2021-06-14","1 Y 2018-07-13 to 2021-07-14","1 Y 2018-08-13 to 2021-08-14","1 Y 2018-09-13 to 2021-09-14","1 Y 2018-10-15 to 2021-10-14","2 Y 2016-12-13 to 2019-12-14","2 Y 2017-01-13 to 2020-01-14","2 Y 2017-02-13 to 2020-02-14","2 Y 2017-03-13 to 2020-03-14","2 Y 2017-04-13 to 2020-04-14","2 Y 2017-05-15 to 2020-05-14","2 Y 2017-06-13 to 2020-06-14","2 Y 2017-07-13 to 2020-07-14","2 Y 2017-08-14 to 2020-08-14","2 Y 2017-09-13 to 2020-09-14","2 Y 2017-10-13 to 2020-10-14","2 Y 2017-11-13 to 2020-11-14","2 Y 2017-12-13 to 2020-12-14","2 Y 2018-01-15 to 2021-01-14","2 Y 2018-02-13 to 2021-02-14","2 Y 2018-03-13 to 2021-03-14","2 Y 2018-04-13 to 2021-04-14","2 Y 2018-05-14 to 2021-05-14","2 Y 2018-06-13 to 2021-06-14","2 Y 2018-07-13 to 2021-07-14","2 Y 2018-08-13 to 2021-08-14","2 Y 2018-09-13 to 2021-09-14","2 Y 2018-10-15 to 2021-10-14","3 Y 2016-12-13 to 2019-12-14","3 Y 2017-01-13 to 2020-01-14","3 Y 2017-02-13 to 2020-02-14","3 Y 2017-03-13 to 2020-03-14","3 Y 2017-04-13 to 2020-04-14","3 Y 2017-05-15 to 2020-05-14","3 Y 2017-06-13 to 2020-06-14","3 Y 2017-07-13 to 2020-07-14","3 Y 2017-08-14 to 2020-08-14","3 Y 2017-09-13 to 2020-09-14","3 Y 2017-10-13 to 2020-10-14","3 Y 2017-11-13 to 2020-11-14","3 Y 2017-12-13 to 2020-12-14","3 Y 2018-01-15 to 2021-01-14","3 Y 2018-02-13 to 2021-02-14","3 Y 2018-03-13 to 2021-03-14","3 Y 2018-04-13 to 2021-04-14","3 Y 2018-05-14 to 2021-05-14","3 Y 2018-06-13 to 2021-06-14","3 Y 2018-07-13 to 2021-07-14","3 Y 2018-08-13 to 2021-08-14","3 Y 2018-09-13 to 2021-09-14","3 Y 2018-10-15 to 2021-10-14"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","25.281","30.271","27.424","0.056","2.616","16.144","15.486","17.591","32.554","19.817","35.202","31.646","33.495","45.835","39.894","83.46","66.486","60.205","54.775","45.921","44.853","47.868","49.058","12.034","10.527","14.867","1.43","6.376","11.676","9.432","12.918","19.152","11.555","21.368","22.358","26.326","36.725","31.366","25.767","26.252","25.044","26.267","21.551","31.455","32.437","32.116","14.677","15.389","15.658","7.337","10.097","14.422","13.868","16.3","20.021","15.146","18.203","17.218","17.408","21.642","21.879","17.757","19.44","17.505","17.109","15.516","19.679","20.89","23.634"
"B Annualized Returns","19.52","27.403","22.554","-11.75","-4.968","-0.508","4.245","4.688","18.758","11.272","18.4","14.317","16.758","16.042","14.015","40.552","49.969","45.833","32.884","38.476","31.964","26.302","26.302","9.058","8.974","12.561","-5.287","1.811","1.633","3.79","6.169","8.988","7.53","13.01","13.988","17.946","21.457","18.482","17.485","19.419","20.454","21.203","20.426","23.466","24.747","24.747","11.741","13.108","13.163","1.483","5.839","5.494","7.156","8.822","11.012","10.172","11.17","11.02","11.288","11.004","13.118","11.703","15.676","14.632","15.191","16.042","16.49","16.069","18.809"
"AR DIFF(P-B)","5.761","2.868","4.87","11.806","7.584","16.652","11.241","12.903","13.796","8.545","16.802","17.329","16.737","29.793","25.879","42.908","16.517","14.372","21.891","7.445","12.889","21.566","22.756","2.976","1.553","2.306","6.717","4.565","10.043","5.642","6.749","10.164","4.025","8.358","8.37","8.38","15.268","12.884","8.282","6.833","4.59","5.064","1.125","7.989","7.69","7.369","2.936","2.281","2.495","5.854","4.258","8.928","6.712","7.478","9.009","4.974","7.033","6.198","6.12","10.638","8.761","6.054","3.764","2.873","1.918","-0.526000000000002","3.189","4.821","4.825"
"P Volatility","15.8","12.56","12.58","13.38","26.5","35.93","38.15","38.22","39.37","37.42","37.48","35.95","38.08","38.09","36.75","22.02","18.1","16.2","16.23","15.76","15.62","14.81","14.48","16.66","16.27","15.81","16.21","22.76","28.27","30.06","30.08","31.09","30.09","29.14","28.03","27.77","27.04","27.01","26.72","26.58","25.55","25.21","24.97","25.59","25.09","25.33","13.84","13.73","13.61","13.87","19.03","23.38","24.74","24.78","25.54","24.74","24.62","23.68","24.85","24.67","24.44","24.09","24.05","23.77","23.63","23.52","24.17","23.85","23.74"
"B Volatility","12.16","10.28","10.17","15.24","20.19","23.99","23.82","23.86","24.03","25.03","25.7","25.66","27.21","27.32","24.34","16.76","13.29","13.65","14.06","13.91","12.6","10.47","10.47","13.95","13.64","13.21","14.93","17.98","20.14","20.3","20.21","20.36","21","20.49","20.58","20.15","19.68","19.67","19.7","19.6","19.16","19.09","19.09","18.91","18.91","18.91","11.48","11.51","11.41","12.89","15.27","16.89","17.01","17.03","17.18","17.65","17.86","17.88","18.58","18.49","18.28","18.15","18.17","18.38","18.39","18.35","18.34","18.34","17.9"
"V DIFF(P-B)","3.64","2.28","2.41","-1.86","6.31","11.94","14.33","14.36","15.34","12.39","11.78","10.29","10.87","10.77","12.41","5.26","4.81","2.55","2.17","1.85","3.02","4.34","4.01","2.71","2.63","2.6","1.28","4.78","8.13","9.76","9.87","10.73","9.09","8.65","7.45","7.62","7.36","7.34","7.02","6.98","6.39","6.12","5.88","6.68","6.18","6.42","2.36","2.22","2.2","0.979999999999999","3.76","6.49","7.73","7.75","8.36","7.09","6.76","5.8","6.27","6.18","6.16","5.94","5.88","5.39","5.24","5.17","5.83","5.51","5.84"
"P Tracking Error","6.94","5.94","6.13","8.57","12.06","17.89","20.5","21.25","21.85","17.54","17.71","15","15.02","15.14","15.03","10.26","9.95","9.22","9.13","8.85","9.26","9.49","9.45","6.41","6.1","6.29","7.2","9.15","12.85","14.85","15.02","15.55","13.18","13.14","11.36","11.3","11.53","11.28","11.15","10.73","10.66","10.57","9.93","11.03","10.85","10.98","5.52","5.23","5.37","6.33","7.79","10.83","12.31","12.62","13.01","11.07","11.05","9.63","9.75","9.95","9.74","9.45","9.32","9.15","9.14","8.68","9.57","9.52","9.75"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
