"","2018-05-10_to_2021-05-11_ALLPortfolio_20QRank","2018-06-11_to_2021-06-11_ALLPortfolio_20QRank","2018-07-10_to_2021-07-11_ALLPortfolio_20QRank","2018-08-10_to_2021-08-11_ALLPortfolio_20QRank","2018-09-10_to_2021-09-11_ALLPortfolio_20QRank","2018-10-10_to_2021-10-11_ALLPortfolio_20QRank"
"1",NA,NA,NA,NA,NA,NA
"P Annualized Returns","17.815","18.446","18.842","18.564","19.821","23.268"
"B Annualized Returns","15.418","15.073","15.659","16.312","16.386","18.198"
"AR DIFF(P-B)","2.397","3.373","3.183","2.252","3.435","5.07"
"P Volatility","23.44","23.61","23.77","24.23","24.17","24.09"
"B Volatility","18.38","18.39","18.35","18.34","18.34","17.9"
"V DIFF(P-B)","5.06","5.22","5.42","5.89","5.83","6.19"
"P Tracking Error","8.84","9.19","8.91","9.7","9.71","9.87"
"B Tracking Error","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA
"P Information Ratio","0.27","0.37","0.36","0.23","0.35","0.51"
"B Information Ratio","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.04","0.04","0.06","-0.01","0.04","-0.03"
"B Alpha Stat","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA
"P Beta Stat","1.2","1.2","1.22","1.23","1.23","1.25"
"B Beta Stat","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA
"P R-Squared","87.83","86.88","88.54","86.69","86.48","86.34"
"B R-Squared","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA
"P Max Drawdown","-35.7742","-36.1158","-36.1714","-36.9653","-36.4699","-36.7736"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-1.8492","-2.1908","-2.2464","-3.0403","-2.54490000000001","-2.8486"
