"","1 Y 2017-07-11 to 2020-07-12","1 Y 2017-08-11 to 2020-08-12","1 Y 2017-09-11 to 2020-09-12","1 Y 2017-10-11 to 2020-10-12","1 Y 2017-11-13 to 2020-11-12","1 Y 2017-12-11 to 2020-12-12","1 Y 2018-01-11 to 2021-01-12","1 Y 2018-02-12 to 2021-02-12","1 Y 2018-03-12 to 2021-03-12","1 Y 2018-04-11 to 2021-04-12","1 Y 2018-05-11 to 2021-05-12","1 Y 2018-06-11 to 2021-06-12","1 Y 2018-07-11 to 2021-07-12","1 Y 2018-08-13 to 2021-08-12","1 Y 2018-09-11 to 2021-09-12","1 Y 2018-10-11 to 2021-10-12","2 Y 2017-07-11 to 2020-07-12","2 Y 2017-08-11 to 2020-08-12","2 Y 2017-09-11 to 2020-09-12","2 Y 2017-10-11 to 2020-10-12","2 Y 2017-11-13 to 2020-11-12","2 Y 2017-12-11 to 2020-12-12","2 Y 2018-01-11 to 2021-01-12","2 Y 2018-02-12 to 2021-02-12","2 Y 2018-03-12 to 2021-03-12","2 Y 2018-04-11 to 2021-04-12","2 Y 2018-05-11 to 2021-05-12","2 Y 2018-06-11 to 2021-06-12","2 Y 2018-07-11 to 2021-07-12","2 Y 2018-08-13 to 2021-08-12","2 Y 2018-09-11 to 2021-09-12","2 Y 2018-10-11 to 2021-10-12","3 Y 2017-07-11 to 2020-07-12","3 Y 2017-08-11 to 2020-08-12","3 Y 2017-09-11 to 2020-09-12","3 Y 2017-10-11 to 2020-10-12","3 Y 2017-11-13 to 2020-11-12","3 Y 2017-12-11 to 2020-12-12","3 Y 2018-01-11 to 2021-01-12","3 Y 2018-02-12 to 2021-02-12","3 Y 2018-03-12 to 2021-03-12","3 Y 2018-04-11 to 2021-04-12","3 Y 2018-05-11 to 2021-05-12","3 Y 2018-06-11 to 2021-06-12","3 Y 2018-07-11 to 2021-07-12","3 Y 2018-08-13 to 2021-08-12","3 Y 2018-09-11 to 2021-09-12","3 Y 2018-10-11 to 2021-10-12"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","16.119","27.147","20.47","20.58","32.419","37.045","47.844","40.655","85.751","70.354","55.902","55.702","56.117","45.854","50.265","49.605","12.197","18.263","12.111","12.592","22.041","28.233","37.649","31.315","26.773","25.287","24.367","26.754","23.908","28.133","31.615","31.207","15.123","18.759","14.95","11.892","17.438","18.912","21.628","23.254","18.821","20.775","16.864","18.611","17.778","19.73","21.139","24.7"
"B Annualized Returns","6.171","15.515","11.012","19.209","14.317","15.619","15.603","14.201","55.326","49.642","41.563","41.482","39.09","31.964","32.074","32.074","7.153","9.448","7.54","12.995","13.988","17.553","21.352","18.304","17.079","19.128","20.206","21.445","20.587","23.466","23.186","23.186","9.506","11.098","10.2","11.448","11.02","11.202","10.899","13.105","11.692","15.83","14.185","15.081","16.107","16.49","16.192","18.99"
"AR DIFF(P-B)","9.948","11.632","9.458","1.371","18.102","21.426","32.241","26.454","30.425","20.712","14.339","14.22","17.027","13.89","18.191","17.531","5.044","8.815","4.571","-0.402999999999999","8.053","10.68","16.297","13.011","9.694","6.159","4.161","5.309","3.321","4.667","8.429","8.021","5.617","7.661","4.75","0.443999999999999","6.418","7.71","10.729","10.149","7.129","4.945","2.679","3.53","1.671","3.24","4.947","5.71"
"P Volatility","32.92","34.05","32.99","30.7","31.11","34.51","34.46","33.06","20.81","17.02","16.3","16.08","15.32","15.19","14.67","14.64","27.4","28.35","28.03","25.3","25.53","25.68","24.86","24.74","24.07","23.68","22.83","21.76","22.33","22.27","22.9","23.06","22.59","23.31","23.02","21.77","21.9","23.45","23.12","22.85","22.22","21.93","21.71","20.97","21.74","21.86","22.46","22.18"
"B Volatility","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73","11.73","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.01","20.05","20","19.21","18.87","18.87","18.68","18.7","18.7","17.19","17.41","17.76","17.99","18.07","19","18.87","18.66","18.53","18.56","18.69","18.69","18.65","18.63","18.65","18.23"
"V DIFF(P-B)","9.97","10.74","8.91","5.92","6.16","7.43","7.33","8.53","3.03","2.45","1.61","1.21","0.75","1.53","2.94","2.91","7.02","7.73","6.92","4.7","4.75","5.19","4.83","4.73","4.02","3.68","3.62","2.89","3.46","3.59","4.2","4.36","5.4","5.9","5.26","3.78","3.83","4.45","4.25","4.19","3.69","3.37","3.02","2.28","3.09","3.23","3.81","3.95"
"P Tracking Error","15.64","16.01","12.54","7.94","9.44","9.99","10.7","11.11","7.08","7.79","7.75","7.7","8.15","7.89","8.2","7.74","11.45","11.8","9.73","6.23","7.58","7.77","8.29","8.22","7.21","7.18","7.2","6.95","7.41","7.47","7.79","7.56","9.57","9.82","8.1","5.39","6.56","6.92","7.26","7.24","6.34","6.32","6.25","5.97","6.31","6.43","6.69","6.61"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
